Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations
حوثيه والاستايل بعد بسيط 🤢🤢,High,derogatory,colloquial,negative,"حوثيه, 🤢🤢"
كانت غير لائقة على منصة الشهود.,Low,informational,descriptive and neutral,negative,غير لائقة
وهل الشريف يسمع لكلام ساقطات من هي اليسا,High,derogatory,offensive and disrespectful,disdainful,ساقطات
عنجد هيدا شارون هيدا جماعة شارون يارب تخسر أولادك,High,aggressive,derogatory and hostile,negative,تخسر أولادك
مدرب ساذج مو عارف يوظف اللاعبين,High,derogatory,critical and informal,negative,"ساذج, مو عارف يوظف"
لا تعتب عليه هيدا اسمه ابو فلان,Low,casual,informative,neutral,none
يبدو أن قرار زوبيل لا يهم هذا الشخص.,Low,neutral,informative,indifferent,none
رحت بالغصب بس انبسطت شميت هواء نظيف الله يبعدك ياكورونا,Low,informal,expressive and colloquial,positive,ياكورونا
حان الوقت لهؤلاء المنفذين للتقاعد.,Medium,directive,assertive,critical,none
أريدكم جميعا لنفسي,Medium,informal,possessive and demanding,selfish,none
الناس الغير حكيمين سيعتقدون ذلك,Medium,critical,judgmental,disapproval,الغير حكيمين
ما شاء الله كل دول فاشلين,High,sarcastic,derogatory,negative,فاشلين
كلهم تكالبو على فلسطين والاسلام بشكل خاص,High,accusatory,emotive and charged,hostile,تكالبو
والله يا استاذ صلاح انك تستنقص من مكانتك لما ترد على أمثال هذا الواضح من حسابه انه متشدد مثير للقلق,Medium,disparaging,informative and opinionated,disapproval,"تستنقص, متشدد, مثير للقلق"
مش باقي خسارة، مش باقي حداد بقا، غضب الناس رح يفترسكم,High,aggressive,threatening,hostile,"خسارة, حداد, غضب, يفترسكم"
أنت لست ذكيًا بما فيه الكفاية لفهم الدعابة.,Medium,sarcastic,dismissive and critical,negative,لست ذكيًا بما فيه الكفاية
جونز يعتقد أنه يستطيع شراء أي شيء يريده، بما في ذلك الشعبية.,Low,critical,informative,skeptical,شراء، الشعبية
تعبت من أكاذيبك,Medium,frustrated,informal and accusatory,negative,"تعبت, أكاذيبك"
اللهم إنا نعوذ بك من الخبث و الخبائث ما بقى غير هالاشكال تملي علينا اوامرها حسبي الله عليكم,High,hostile,derogatory and complaint,negative,"الخبث, الخبائث, هالاشكال, حسبي الله عليكم"
كيفيك يا اسمر — انت عارف كم الساعه هسا؟,Medium,casual,informative and neutral,curious,اسمر
أنا لله وإنا إليه راجعون ولا حولا ولا قوة الا بالله. زهرة شبابنا تقتل بدم بارد وبايدى ناس كنا نحسبهم وطنيين!,High,mourning and accusatory,emotional and expressive,grief and betrayal,"تقتل بدم بارد, بايدي ناس كنا نحسبهم وطنيين"
مستحيه تقول انها مليانة وتفطر بروست,Medium,informal,colloquial,mocking,"مستحية, مليانة"
هذا الرجل غير مدروس جداً.,Medium,critical,negative and evaluative,disapproving,غير مدروس
إن أكثر الناس لا يبالون بما يظن هؤلاء النرجسيون .,Medium,critical,derogatory,disdainful,النرجسيون
عن جد عم تحكي يا وئام صاير كمان خبير بالمتفجرات انت عن جد ضايع حقك حتا يلي متحالف معن ما عامليلك…,Medium,sarcastic,colloquial and informal,dismissive,ضايع
من فضلكم أوقفوا التغطية,Low,formal,informative and directive,urgent,none
السبب الوحيد الذي يسمح بحدوث هذا هو أنها أرض فيدرالية,Low,neutral,informative,neutral,none
يرجع نسبة للنبي محمد صلئ الله عليه وسلم من وين من اي اتجاه بلاش كذب يا ناس,Medium,accusatory,confrontational and casual,skeptical,كذب
يا لك من حكم اقسم بالله واضح الفاول جعلك تتمنى الموت ولا تشوفه,High,hostile,harsh and aggressive,angry,موت
كل صحباتي ما ينطاقون ابد مع ذلك احبهم,Medium,casual,informative and neutral,mixed,ما ينطاقون
ايه يوفينتوس ياخي فريق كله فاشلين,Medium,derogatory,colloquial and critical,negative,فاشلين
مش ملاحظ ان موضوع الازمه القلبيه ده بقى قديم ،، الناس دي معندهاش تجديد ،، تفكير ساذج وبيخاطب ساذجين,High,derogatory,conversational and critical,negative,"قديم, معندهاش تجديد, ساذج, ساذجين"
حاولت أن تجعل نقطة غير ذات صلة من خلال الاستخفاف تعميم غير ذكي حقا.,Medium,critical,informative,negative,"الاستخفاف, غير ذكي"
ماذا حدث للميزة التي كانت تتيح للقراء تجاهل المنشورات الغير مناسبة والمسيئة على لوحات تعليقات GM؟,Low,inquisitive,informative and concerned,critical,"الغير مناسبة, المسيئة"
حسبي الله نمد لكم حبل الوصل وانتم بالجفا تقطعونه,Medium,accusatory,expression of frustration,negative,"حسبي الله, بالجفا, تقطعونه"
وين القضاء عنهم لازم يتوقف بثه ويتحاسبون وين وصل بنا الحال نشر القذارة والرذيلة وتدمير الأطفال,High,aggressive,accusatory and critical,disapproving,"القذارة, الرذيلة, تدمير"
من السذاجة القفز في الماء بجانب القاتل .,High,critical and accusatory,warning and judgmental,negative,"السذاجة, القاتل"
المدرب الجرار رافع صغطي اكثر من الحكم,Medium,critical,emotional and expressive,frustration,رافع صغطي
هذا الي قدرتو عليه المنظمات هي أكثر من تنتهك حقوق الإنسان وانت في مواقع ال…,Medium,accusatory,critical,negative,تنتهك
لكني لا أعتقد أن السعوديين ليس لديهم مستشارين جيدين.,Medium,critical,subjective and slightly negative,doubtful,"ليس, لا أعتقد"
هذا كله يخرج من جيوبنا ، وأنا لست واثقا من ذلك.,Low,concerned,expressing doubt and concern,uncertainty,لست واثقا
انت ما تتخيل شعور الصدمة لاني صارلي سنين ما شفتهم واذكرهم صغار 😂😂😂,Low,informal,expressive and emotional,nostalgic,none
الرئيس ترامب أبقى جيمس كومي مستقيما وضيقا,Medium,critical,political,negative,ضيقا
أوباما لم يكن ناجحا تماما، وانه لا يبدو وكأنه خاسر.,Low,informal,opinionated,neutral,"لم يكن ناجحا, لا يبدو وكأنه خاسر"
لا كيف كذا الكيان الصهيوني يحب السلام ويسعى للسلام والأمان ولا كيف يا الإمارات ؟,Medium,sarcastic,critical and confrontational,negative,الكيان الصهيوني
"بعض الاطقم الي متمركزة على اساس تامين قلبت وصارت تضرب عشوائي وجزء من الهجوم ,",Medium,informal,descriptive and emotive,frustration or concern,"تضرب, عشوائي, الهجوم"
يكتبون بعض اللوائح الغير عادلة للأعمال التجارية، المزارع الصغيرة، ويمررون قوانين الضرائب الغريبة المجنونة.,Medium,critical,informative and informal,negative,"غير عادلة, الغريبة المجنونة"
أنا لا أتذكر أي حركات غير مناسبة,Low,neutral,informative,apologetic,غير مناسبة
لقد حصلت على ما صوت عليه لذا لا تندم على ذلك,Medium,assertive,direct and critical,disapproving,تندم
سب امه المتوفيه وانت تقول يتألم يتألم من خساره الاتحاد ولا فوز الإتحاد ماعرفنا يا فهمان,High,aggressive,derogatory and confrontational,hostile,"سب, امه المتوفيه, فهمان"
يعني احنا نراجع ف القسم ونقيب قال لنا القصه يعني نكذبه ونصدقك,Medium,"questioning, incredulous","colloquial, assertive",doubtful,نكذبه
لا تتكلم عن ردت الفعل وانت لاترى الفعل نفسه انت أحد فاسدين الدوحه ولك من البذائه النصيب الأكبر,High,aggressive,accusatory and offensive,negative,"فاسدين, البذائه, النصيب الأكبر"
يا الله عليك يا جوالي ويا نتي خلقة صورة صارلوا نص ساعة بيرفعها ع تويتر ومش راضي لييش,Low,frustrated,informal and expressive,annoyed,مش راضي
دامك اخترت انك تتزوج و تجيب اطفال تحمل مسؤوليتهم كاملة و تربيتهم مو تتكل على الي حولك 🤭,Medium,admonishing,directive,critical,تتكل
أول تفكير لي كان في التعامل مع جميع الأشخاص المتورطين.,Low,neutral,informative,neutral,none
آسف، كيلي، لا نريدك هنا في كندا.,Medium,dismissive,exclusionary,rejection,لا نريدك
آسف لأنك تعيش بجوار شخص بسيط.,Medium,condescending,informative,apologetic with a hint of disdain,بسيط
لا شك أن الكونجرس ومجلس الشيوخ وقادتنا لا سيما اتباع بوش يعبثون,Medium,critical,informative and assertive,disapproving,يعبثون
هذة حقيقة حماس التي لم يعد لهم مفر منها....حماس أعلنت وصرحت أنها مع الإيرانيين,Medium,critical,informative and accusatory,negative,"حقيقة, لم يعد لهم مفر, مع الإيرانيين"
يعني قصفتم المواطنين وتركتم الحكومة عحسبي الله,High,angry and accusatory,critical and confrontational,discontent,"قصفتم, عحسبي الله"
السيسي هز عرش أردوغان. سحب من تحت قدمه بساط الخلافه والسلطان. سقط على جنبه يبكي . وحصار فى ليبيا والمتو…,Medium,provocative,confrontational and derogatory,hostile,"هز, سحب, سقط, يبكي, حصار"
النفسي الذي يعاني منه هذا الاحتلال؟ 19 عاماً عندكم في السجون والان تذكرتم أن لديكم أمور للتحقيق معه فيها؟,High,accusatory and confrontational,rhetorical and critical,anger and frustration,"يعاني, احتلال, السجون"
يا يهودي فقد وعدنا الله بالنصر عليكم ووعد الله حق لسنا نا…,High,hostile,antagonistic,threatening,"يهودي, النصر عليكم"
من الذي جنح للسلام ومن الذي قدم التنازلات من أجل السلام ومن الذي تنصل من الاتفاقيات ولا هو كلام وبس,Medium,questioning,formal,critical,"تنصل, كلام وبس"
لا والله انها بسيطة حيل,Low,informal,casual,reassuring,none
للحين حاقد على ابوي عشان وريته وحده شعرها بينك و نفسي اصبغ زيها و قال هذا لون مو حلو,Medium,resentful,colloquial and emotional,frustrated,حاقد
حزم الانفصال السخية !,Medium,critical,sarcastic,negative,سخية
العينتين ليش حظرتني اصلا انا ما بعرفك ولابعرف حسابك لو مو داخل ع حساب اليسا شواف الاقتباس تبعها الك ما شوفك…,Medium,confrontational,informal and accusatory,frustrated,حظرتني
توقف عن كونك غير ناضج,Medium,commanding,direct,critical,غير ناضج
يا فتاة انا سأقول لكي اذهبي لأي مختبر احيائي وفسري لي الشجر الجينية 🙂 التطور قائم على ثلاث مح…,Medium,condescending,directive and demeaning,authoritative,"يا فتاة, اذهبي"
والله 😅 ساقطات تصلحن لبعض الله يوفقكن ❤️ 🌚,High,sarcastic or derogatory,dismissive and hostile,negative,ساقطات
كنا بنتخانق مين جامعات خاصة و مين جامعات مبتدئين,Medium,aggressive,colloquial and confrontational,conflictual,بنتخانق
الولايات المتحدة ليست مكانا جيدا,Low,critical,opinionated,negative,"ليست, مكانا جيدا"
من هالتغير عرفت انه المدرب خسران بالخمسه وفريقك منهار ودخل مهاجم رابع وطلع لاعب ارتكاز ياب العيد .,Medium,critical,colloquial,negative,"خسران, منهار, العيد"
من كثر ما اشوف امثالك معد اتعجب كيف العصملي حكم البلاد العربيه كم قرن لانه ا…,High,disparaging,derogatory,negative,"اشوف امثالك, العصملي"
قرآن ترضى او مترضاش منك ليها,Low,neutral,informative,neutral,none
لهذا السبب لا تهتم تركيا بأفكارك,Medium,dismissive,assertive,negative,لا تهتم
اوكي قصير بس شدخل هطف,Medium,informal,informative and derogatory,condescending,هطف
ومن حق هذا الشخص أن يتكلم مهما كانت رسالته.,Low,assertive,neutral and assertive,supportive,none
يا سلام يعني سويت خير تعطيهم خويك وربي احاسبك على ذي الكلمة ماشي,Medium,informal,aggressive and confrontational,threatening,"احاسبك, ذي الكلمة"
لقد رصدت عددا لا يحصى من الأشياء الخاطئة .,Medium,critical,formal,negative,الأشياء الخاطئة
قتل شخص بريء على وشك الولادة يجب أن يكون الملاذ الأخير,High,serious,assertive and provocative,negative,"قتل, بريء"
من يهتم بالخاسرين الذين يسيئون الظن بالآخرين، فهم جميعًا لا يستحقون إلا الاستقالة.,Medium,critical,derogatory,negative,"الخاسرين, يسيئون الظن, لا يستحقون"
ما هو هذا عن الأمنيات؟,Low,neutral,inquisitive,curiosity,none
سرعان ما أدرك خطأه وصححه.,Low,neutral,informative,constructive,none
مهلا، أنت لست شجاعا.,Medium,critical,informative and negative,disapproving,لست شجاعا
تلك الأمهات الشابات يوصلن أطفالهن إلى الرعاية النهارية عبر الثلوج المنجرفة .,Low,informative,descriptive,neutral,none
اطلع اطلع منت حق كوره,Medium,dismissive,colloquial,negative,منت حق كوره
حكم ظلم عيني عينك حسبي الله و نعم الوكيل,Medium,angry,accusatory and expressive,resentful,"حكم ظلم, حسبي الله و نعم الوكيل"
راح يجيك الدور,Medium,threatening,informal and confrontational,negative,يجيك الدور - Implies a negative or threatening situation
لبنان لا يحبك ولا يحب اجدادك انتم اسباب الدمار يا ناس,High,aggressive,accusatory and emotional,negative,"لا يحبك, اسباب الدمار"
في حدا يقبل يعيش بخيمة منشان يأخذ كيس رز ١٠كيلو وزيت وشويت عدس!!! سيد…,Medium,sarcastic,critical,negative,"بخيمة, منشان, يأخذ"
هو انا ليه كل ما أشوف واحد اسمر في العاشر يبقي لابس سماعات و ماسك موبيل سامسونج جراند القديم,High,derogatory,prejudiced,negative,اسمر
بلنتي ياحكم الكل عرف الا انت,Medium,informal,conversational and critical,frustration,"بلنتي, الكل عرف الا انت"
انا رايح انام,Low,neutral,informative,casual,none
بس اللي مو غريب اني دايم أزعلك,Medium,apologetic,colloquial and expressive,regret,أزعلك
مجرد عرض آخر للمشاكل,Low,neutral,informative and neutral,casual,none
يعني حياة المواطنين رخيصه عنكم ما يهمك من مات ع قد ما يهمك تثبت انك صح حسبي الله ع السياسه والسياسيين,High,aggressive,emotional and accusatory,hostile,"رخيصه, ما يهمك, مات, حسبي الله, السياسه, السياسيين"
قلنا لكم هذا قنبله موقووته ع النصر ؟؟ لي متى الاداره ساكته عليه,Medium,urgent and critical,colloquial and emotional,frustration and warning,قنبله موقووته
حان وقت الاهتمام بهذه المسألة.,Low,neutral,informative,serious,none
البشر في الأساس ليسوا أذكياء بما فيه الكفاية.,Medium,critical,dismissive and generalizing,negative,ليسوا أذكياء
فاختر ما شئت وأصلح ما شئت من خير أو شر أو سنصلحه لك في الآخرة.,Medium,stern,commanding and cautionary,warning,شر
حتى الخيام بهالبرد حسودهم هذولي شياطين الانس,Medium,aggressive,derogatory,negative,"حسودهم, شياطين"
توقف عن الاختباء خلف شاشة الكمبيوتر وأنت تكتب كأنك تعرف ما تتحدث عنه.,Medium,confrontational,derogatory,critical,الاختباء
انا قررت نجيب من أهل الصعيد ونوبيين السويس ولو في فلاحين سُمر ونعمل مسلسل زيّه ع الديق,High,derogatory,colloquial and discriminatory,contemptuous,"فلاحين سُمر, ع الديق"
ههههههههههههههههههههههه اقسم بالله جرارين على مستوى عالي من الاحترافية خلاص عطوهم الدوري وريحونا,Medium,sarcastic,informal,negative,جرارين
اسولف للحلاق اقوله كيف كورونا بتركيا يقولي اصلا كورونا كذبه ولعبه سياسه,Medium,conversational,informative,skeptical,"كذبه, لعبه سياسه"
كيف تجرؤ على افتراض معرفة تاريخ المنطقة,Medium,challenging,confrontational,disapproval,تجرؤ
ضحوا بأفضل شخصية نسائية وبعدها مباشرة بأفضل شخصية رجالية وكابلهم الراقي الجميل، وانتهى المسلسل..,Low,disappointed,descriptive,negative,ضحوا
ربما عليك أن تهدأ بعض الوقت,Low,informal,advisory and neutral,considerate,none
أوه، شيء آخر، عندما يتعلق الأمر بالحياة قبل التاريخ، يا رفاق لستم أذكياء.,Medium,informal,condescending and sarcastic,negative,لستم أذكياء
هده الاخبار نشرا البارح كاتعاودو تنشروها,Low,neutral,informative,frustration,none
متحسف ع التداول والبقاء فوق ٨٦١٤ وده يرجع يتأكد منها قبل نهاية الجلسه والمزاد ويشاور عليها يمسكها ولا يشرمها 😎,Medium,colloquial,informative and speculative,casual,يشرمها
وأمور أخرى سيئة .,Medium,negative,informative,critical,سيئة
وجمهورنا مبسوط يقولك البريكان مو مطلوب منه يسجل 😭,Low,informal,casual and expressive,neutral to slightly positive,none
ساعتين وربع ولا نص ساعه رجعنا الدولة ومسكناه وتم إعدامه نفس…,High,aggressive,descriptive and violent,hostile,"مسكناه, إعدامه"
مضحك جداً أمر بعض الوافدين ومن ضمنهم مصريين! يعايرون بلادنا بعلاقات صداقتها المتينة مع أميركا وهم يحلمون بالسفر,Medium,dismissive,derogatory,contemptuous,"مضحك جداً, يعايرون, يحلمون بالسفر"
كل دول ع التايم اسيبهم و اذاكر بقي,Low,casual,informative,determined or focused,none
لا لا لا الحكم ده جاهل اوي كده ليه,Medium,informal,derogatory,negative,جاهل
للاسف لدينا في الخليج بعض من الكتاب والدكاتره والمحللين جهلة لا يفقهون ماذا يقولون,Medium,critical,informative and negative,disapproving,"للأسف, جهلة, لا يفقهون"
بس هو انت بتعالج مجانا كله بمصاري,Medium,sarcastic,informative,critical,بمصاري
معناتي يقولون مانتي مليانة ليه تروحين 😐.,Medium,judgmental,colloquial and critical,disapproval,مانتي مليانة
حد يقع في نفس الغلط مرتين؟ انت ما تفكر يابني؟ *وانا رايح عن الغلط البيت*,Medium,aggressive,confrontational,critical,"ما تفكر, الغلط"
من اليوم ورايح معد في نصايح الحساب كله هبد طلعت حتى لو قلت نصيحه تضحكون لكم الله,Medium,informal,dismissive and resentful,frustrated,"هبد, تضحكون"
لماذا لا تنزل وتحتج على ذلك,Low,questioning,direct,encouraging action,none
كيف هذي فاول يا حكم,Low,questioning,informative and neutral,curiosity,none
أردوغان دخل غازيا فمن مهد له الطريق,Medium,provocative,assertive and critical,negative,غازيا
رغم ذلك كنت تدعمه طوال الوقت كان واحدا من كبار الوزراء,Low,neutral,informative,supportive,none
دعونا نجلب اللاجئين السوريين إلى ألمانيا أولاً.,Low,requestive,informative and neutral,concerned,none
والله عندهم فريق قووووي مب بس ميسي لكن تفكير اللاعبين غير,Low,informal,conversational,neutral,none
نصرة الله مع نصرة الحق وليس لبيوت الدعاره والشذوذ الجنسي,High,judgmental,condemnatory,negative,"بيوت الدعاره, الشذوذ الجنسي"
لا انا جد جايه عشان أعلمك,Medium,assertive,direct,authoritative,"لا, جد"
العار والله عليكم انتم يااتباع الإيرانيين المكان يمنى والموجودين يمنيين والمفتولين يمنيين والقت…,High,hostile,accusatory and divisive,negative,"العار, اتباع الإيرانيين"
يجب أن تكون هذه الطريقة الأكثر فسادا للمزايدة في تاريخ البشرية,Medium,critical,accusatory and harsh,negative,"فسادا, مزايدة"
هذا الرجل يعرف كيف يتعامل مع الشيوعيين مثل لا أحد آخر!,Medium,assertive,conversational and opinionated,critical,الشيوعيين
نحن ملزمون بالتعامل مع هذا الشخص لسنوات إضافية تقريبًا.,Low,formal,neutral,slightly negative,ملزمون
أوه، انها موافقة zuker، نحن غبيون جدا للن نصدقك على أية حال.,Medium,sarcastic,conversational and informal,disparaging,غبيون
يختار الثاني عشان ما محد يقول عنه قصير,Medium,informal,derogatory and sarcastic,judgmental,قصير
يعني حياة المواطنين رخيصه عنكم .. ما يهمك من مات ع قد ما يهمك تثبت انك صح .. مافي خير في السياسه والسياسيين,High,accusatory and confrontational,critical and emotional,negative,"رخيصه, مات, مافي خير, السياسيين"
انت لحقت درست الاتفاقيه وقست حق مصر اد ايه ولا أردوغان عيطلك . خليك فى حالك.,Medium,informal and confrontational,accusatory and dismissive,hostile,"انت, عيطلك, خليك فى حالك"
ما قصرت .. تطور الامر ..,Low,neutral,informative and neutral,neutral,none
الدكتور بيقولي بلاش عصبية مش عارف اني بتعامل مع ناس بدون تربية,High,aggressive,informative and confrontational,frustration,بدون تربية
ترا العرش حقي بأوفرواتش انهدم وطاح وأنتي السبب عطيتك الشعلة وطفيتيها المفروض ترجعين لي عرشي يرحم أبوك,High,angry,accusatory and confrontational,hostile,"طاح, السبب, طفيتيها, يرحم أبوك"
للجميع أصعب مهمه بحياتي اسكر سحاب فستان وحده سمينة والمشكله تهدد ياويلك لو انقطع يامسلمه اتقي الله.,High,mocking and threatening,informative and accusatory,negative,"سمينة, تهدد, ياويلك, اتقي الله"
هذه ليست سياسة,Low,assertive,statement and direct,neutral,none
نهني الأطفال والابرياء على مقتل هالمجرم كفو يا ترامب 💪,High,celebratory,informal and aggressive,vindictive,"مقتل, مجرم"
ما سمعنا صوتكم مبارح على القصف الإسرائيلي يلي اغتصب سماء سوريا ، عويل الجيش وصل لقبرص,High,accusatory and inflammatory,provocative and critical,negative,"اغتصب, عويل"
قعدت اقرا قلت الولد بيسدح لهم الحين تغريدتين يجاوب,Low,informal,casual and conversational,neutral,none
البايرن يقسو على المتهالك برشلونه بخماسية مع الرأفة،، مدرب سيء وادارة مفلسة تقود اعظم نادي بالعالم،، ثلثا لاعبي برشلونه وجب عليهم الرحيل،،!,High,derogatory,criticizing and negative,displeased,"يقسو, المتهالك, سيء, مفلسة, الرحيل"
حسبي الله عليكم يا اعداء الله ورسوله اللهم ارينا فيهم عجائب قدرتك عاجلا غير آجل اللهم طهر,High,hostile,aggressive and judgmental,negative,"حسبي الله, اعداء الله, ورسوله, اللهم ارينا فيهم عجائب قدرتك, عاجلا غير آجل"
المزيد من البرهان على أن الليبرالية قد تكون مشكلة,Medium,critical,argumentative,negative,مشكلة
ماشي مقبوله منك,Medium,sarcastic,dismissive,critical,مقبوله
اللهم عليك بالفاسدين الظالمين اللهم عليك بكل وزير فاسد,High,hostile,aggressive and accusatory,vengeful,"الفاسدين, الظالمين, فاسد"
صح النوووووم ياجزائر !!!! اشمعنى لبنان؟؟ ليش مادعيتونا للمواجهة والمناقشة حول ذاكرة الاستعمار التركي لما وصل أردوغان ليبيا ؟؟؟,Medium,sarcastic and confrontational,accusatory and provocative,frustrated and critical,"صح النوووووم, ليش مادعيتونا, مواجهة, الاستعمار التركي"
الهدايه بيد الله يمكن ربي يهديهم باخر لحظه…,Low,hopeful,reflective and spiritual,optimistic,none
متسولون اصحاب فتن هؤلاء يبيعون ارضهم وشرفهم وضمائرهم بأي ثمن,High,hostile,accusatory and derogatory,negative,"متسولون, اصحاب فتن, يبيعون ارضهم, وشرفهم, وضمائرهم بأي ثمن"
كل من صوت لها في يوم من الأيام يجب أن يعاقب .,High,accusatory,hostile,negative,يعاقب
من المعلقين المصريين متسولين ومش نافعين,High,derogatory,aggressive and derogatory,negative,"متسولين, مش نافعين"
فريق مبتدئ حتى البلنتي جاء بالغلط,Medium,critical,informative and judgmental,disparaging,"مبتدئ, بالغلط"
أردوغان لم يتدخل في ليبيا او سوريا وقطر لحمايتهم او الخفاظ على مواردهم فهذا حال كل بلد يتدخل فيه هذ…,Low,neutral,informative,critical,none
حسبي الله ع طبقتنا السياسية الفاسدة والفاشلة هيدا من اهمالكن وفسادكن,High,angry,accusatory and critical,frustration,"الفاسدة والفاشلة, اهمالكن, فسادكن"
