Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations
जिस दिन बर्दाश्त की हद पार हुई ना कोई कोर्ट होगा ना कोई कानून बस एक्शन लिया जाएगा |,High,aggressive,threatening,hostile,"बर्दाश्त, पार, कोर्ट, कानून, एक्शन"
आजादी में कोई कमी तो नहीं रही बे...,Medium,casual and somewhat disrespectful,colloquial,sarcastic,बे...
"सब तेरे जैसे बेकार नहीं हैं , गेंहू की कटाई चल रही है, आजा तू भी गेंहू काटने।",Medium,informal and derogatory,conversational and critical,negative,बेकार
तब कहा छिपकर बैठा था तू ?,Medium,accusatory,confrontational,aggressive,"छिपकर, तू"
लेकिन ट्विटर पर बकवास बातें मत करो |,Medium,informal,directive,dismissive,बकवास
"ये वोट और नोट के लिए किसी भी हद तक गिर सकता है,",Medium,critical,colloquial and evaluative,negative,गिर सकता है
ये ही है बुरी औरत।,High,accusatory,derogatory,negative,बुरी
इन लोगो को पता है की पक्षपात मीडिया कूछ नही कहेगा।,Medium,critical,disapproving and accusatory,negative,पक्षपात
क्यू इतना राहुल गांधी की झूठी तारीफ करते हो ?,Medium,accusatory,critical and informal,negative,झूठी
दुष्ट जिस थाली मे खाते हो उसी मे छेद करते हो,Medium,accusatory,informal and critical,negative,"दुष्ट, छेद करते हो"
तुम भीख मांगने मे हमेशा आगे क्यों रहते हो ?,Medium,accusatory,informal and derogatory,insulting,"भीख मांगने, हमेशा आगे"
तुम तो सीएम हो अपने लोगो को ख़ुश करने के लिए रिपोर्ट बदलवा दो,Medium,critical,sarcastic and accusatory,negative,"ख़ुश करने, बदलवा दो"
"नौकरियां तो बाद में, सही सलामत रहेंगे तो मजदुरी करके कमा सकेंगे |",Low,advisory,informative and cautionary,concerned,none
तुम निकलो यहाँ से,Medium,commanding,informal and rude,hostile,निकलो
वो चापलूस रूबीका तुम्हें याद कर रही थी उससे बात कर लेना ओके,Medium,informal,colloquial and negative,disparaging,चापलूस
क्या गुलाम कोई बेकार के काम में व्यस्त रहता है?,Medium,condescending,informal and interrogative,negative,"गुलाम, बेकार"
अच्छे से बोल रहा हूँ तो तुम्हारा मूड खराब हो रहा है,Medium,sarcastic,informal and confrontational,frustrated,तुम्हारा मूड खराब
आखिरकार अपनी बेकार सोच को आपने परिलक्षित कर ही दिया।,Medium,sarcastic,critical,negative,बेकार
अब सेंचरी बनाना मुश्किल हो गया है...,Low,informal,neutral,frustration,मुश्किल
इंग्लिश फैन्स सिर्फ ताली मारने को बैठै रहते हैं।,Medium,sarcastic,colloquial and critical,disparaging,ताली मारने को बैठै रहते हैं
लो जी बेकार आदमी आ गया ।,Medium,dismissive,informal and negative,derogatory,बेकार
अगली बार CD बना तो लाइटिंग अच्छी लगाना !,Low,informal,instructive,neutral,none
तो भी होश नहीं है? बेकार काम कर निकल अब यहां से।,High,derogatory and commanding,informal and harsh,hostile,"होश नहीं, बेकार, निकल"
बेटा घुंगरू मुँह क्यों फुलाया है किसी ने तुम्हें बुरी तरह शांत कर दिया है क्या ?,Medium,informal,conversational,mocking,बुरी तरह शांत कर दिया
फ़टी न तेरी ? बेकार आदमी,High,aggressive,derogatory and informal,disrespectful,"फ़टी, बेकार"
तुम्हारा काम क्या रे,Medium,informal and casual,colloquial,disrespectful,रे
बेगूसराय से कन्हैया कुमार <number> लाख वोटों से हार चुका हैं! मुन्ना ज़ुल्म इसको कहते हैं !!,Medium,aggressive,conversational and charged,negative,"हार चुका, ज़ुल्म"
ऐसी कार्रवाई करो इस पर कि दोबारा ऐसी हरकत करने से पहले सोचे।,Medium,commanding,authoritative,warning,हरकत
विनोद शांत है अब नहीं उछल रहा,Low,neutral,informative,neutral,none
तू महौल ख़राब की बात करेगा,Medium,confrontational,informal and accusatory,negative,ख़राब
अब वो ओवेसी कहाँ चला गया।,Low,curious,colloquial,inquiring,none
"चुप हो जा बेकार इंसान, मैच तू देख, तुझे जरूरत है,",High,aggressive,commanding and derogatory,disdainful,"चुप हो जा, बेकार"
आतिशी को गाली देने वाले बेकार लोग,High,harsh,derogatory,negative,"गाली, बेकार"
आप बढे आगे हम इन बुरे पत्रकारों को संभालते हैं |,Medium,informal,conversational and slightly aggressive,dismissive,बुरे
अपनी ट्रेनों को भी कभी चेक कर लिया करो ।।ट्रेनों के ऊपर बुरे लोगों के लिए गाली लिखते है |,Medium,advisory,cautionary and critical,concerned,"बुरे, गाली"
बेटा जिस पर तू चिल्ला रहा है,Medium,informal,conversational and admonishing,critical,चिल्ला
तो इस पक्षपाती पत्रकार को पता नही होता,Medium,accusatory,informal and critical,negative,पक्षपाती
गुजरात के IPS संजीव भट्ट को क़त्ल करने के लिए उम्र केद...!!,High,aggressive,informative,negative,क़त्ल
मोदी क्या तेरा फूफा है ?,Medium,informal,derogatory,disrespectful,फूफा
उसके होंठ और बाल बहुत अच्छे हैं,Low,complimentary,admiring,positive,none
गलत काम अब भी कर रहा है या छोड़ दिया ?,Medium,accusatory,informal and questioning,disapproval,गलत काम
भारत मे बहोत तकलिफ है?,Low,concerned,informative and neutral,negative,तकलिफ
भाजपा फर्जी मुद्दों को उठाकर देश को विपरीत दिशा में ले जा रही है,Medium,critical,informative and strong,negative,"फर्जी, विपरीत"
तेरी लड़की पहले से ही जाहिल है।,High,insulting,derogatory,disrespectful,जाहिल
इस भूषण का अपहरण कर के इसके उस जगह मिर्ची भरे जहाँ से ये.,High,aggressive,violent and threatening,hostile,"अपहरण, मिर्ची भरे"
तू अपना बुरा ज्ञान अपने पास रख,Medium,commanding,informal and dismissive,negative,बुरा
दोनों बुरे हो और तू लालची भी है पैसों का,High,accusatory,insulting and informal,negative,"बुरे, लालची"
अबे बुरी औरत चुपचाप भाग,High,aggressive,derogatory,negative,"अबे, बुरी"
इस के बारे में तो कहा जाता था कि बालाकोट एयर स्ट्राइक में मारा गया था फिर जिंदा कैसे है यह ,Medium,questioning and skeptical,doubtful and investigative,suspicious,मारा
"अंधभक्तों की बुरी हरकत, ये चाहते ही नहीं देश में शांति",High,accusatory,derogatory,negative,"अंधभक्तों, बुरी हरकत"
कौन बना रहा है ऐसे मीम. आधे घंटे से हँस रहा हूँ.,Low,curious and amused,casual and humorous,positive,none
अबे तुझे डिटेल्स पता ही नही है,Medium,dismissive and informal,conversational and rude,disrespectful,"अबे, नही"
बांग्लादेश देश हार गई लेकिन पाकिस्तान को हारना चाहिए था ||,Medium,critical,informal,negative,हारना चाहिए
तुम तो मार खाते ही रहते हो,Medium,derogatory,informal and aggressive,insulting,मार
ये बेकार इंसान चुडिया पहन कर बैठ गया है |,High,derogatory,insulting and demeaning,negative,"बेकार, चुडिया पहन कर बैठ गया"
क्षेत्र में ऐसी घटनाएं हो तो अंजाम अच्छा नहीं होगा,Medium,cautionary,warning,negative,अंजाम अच्छा नहीं होगा
ये तो एजेंडा चलता है | उसकी बीवी भी वही एजन्डा चला रही है।,Medium,accusatory,colloquial,critical,एजेंडा
सड़को पे उतरना जायज़ है?,Low,curious,informative,questioning,none
सबको अपना व्यवहार दिख रही है बुरी औरत,High,derogatory,insulting and harmful,hostile,बुरी औरत
न्यूज़ चलाते हो तब क्या अपनी मर्यादा भूल जाते हो ?,Medium,accusatory,conversational and informal,disapproving,मर्यादा भूल जाते
बुरे लोगों ने दना दन सब कुछ बिगाड़ दिया |,Medium,aggressive,colloquial and critical,negative,"बुरे, बिगाड़"
सब ढोंगी बुद्धिजीवी सड़क पर उतरकर हंगामा कर रहे,High,derogatory,informal and accusatory,negative,"ढोंगी, हंगामा"
ये वही बुरा आदमी है जिसने उसको जीते जी मार डाला ||,High,accusatory,aggressive and negative,hostile,"बुरा, मार डाला"
हम लोगो ने जिताया अब उसके नाम पे सबका विकास कर रहे हो|,Medium,accusatory,conversational and critical,disappointment,"जिताया, विकास"
सबके सब अब शांत हो गए अब कोई भी आवाज नहीं उठा रहा !,Low,neutral,descriptive and neutral,calm,none
वह हर समय बेकार का ही काम करती रहती है |,Medium,disapproving,informal and critical,negative,बेकार
शोएब अख्तर एक उभरती टीम का मजाक उड़ाते हुए,Medium,mocking,derisive,disparaging,मजाक उड़ाते हुए
यह भी अच्छा आदमी नहीं है जो खुद उस संग बस में घूमता है,Medium,disparaging,informal and critical,negative,अच्छा आदमी नहीं
"जो बच्चे ,महिला ,ओर बुजुर्ग पर हाथ चलता है वो बुरे इंसान हैं",Medium,accusatory,direct and confronting,negative,बुरे
नहीं खा रहा है तो भूखे छोड़ दो...,High,harsh and aggressive,informal and commanding,negative,भूखे छोड़ दो
अगर पता नही लगे तो बता देना अड्रेस तेरे घर पर डाक से भेज दूंगा,Medium,informal,directive,imperative,तेरे
यह तो बताओ क्यूँ हुआ ?,Low,inquisitive,conversational,curiosity,none
जैसे भी हो पर काम पड़ने पर हमेशा आगे रहते हैं दोस्त,Low,informal,colloquial,slightly sarcastic,none
"राह चलते पागल बनते हैं दोस्त, कुछ भी बातें बना के दारु पिलाते हैं दोस्त,",Medium,colloquial,informal and critical,negative,"पागल, दारु"
तुम वो रईस हो जो गरीबों के माल कहीं और लुटा रहे हो।,High,condescending,critical and accusative,negative,"रईस, लुटा"
उन बुरे लोगों पर भी मुक़दमा होना चाहिए ।,Medium,critical,assertive,disapproval,बुरे
"सुन, अगर गलत को गलत मान रहे हो तो मर्यादित भाषा में टिप्पणी करो।",Medium,directive,informal,admonishing,"सुन, गलत"
"तुमको मल्टी-बिलियन डॉलर का इंडस्ट्रियल पॉल्यूशन नही दिख रहा, पेसिफिक गार्बेज पैच  नही दिख रहा ?",Low,confrontational,informative and direct,critical,none
यह पार्टी किसी बिल के पास करवाने के समर्थन मैं नही दिखती,Medium,critical,assertive and evaluative,negative,"नही, समर्थन"
जिसके कारण आज तुम्हारी जैसी घटिया आदमी फिर बोल रही है,High,derogatory and accusatory,aggressive and insulting,negative,घटिया
नीतू का बाप गुस्सा उठा ओर बोला रिश्ता हम नीतू बिटिया का लाए है उसकी माँ कमला का नहि ...,Medium,aggressive,colloquial and offensive,angry,"बाप, गुस्सा, नहि"
इन लोगों को नारा नहीं सुनाई दे रहा है...,Low,neutral,descriptive,neutral,none
अभी भी सोशल मीडिया पर नौटंकी कर रहे हैं,Medium,sarcastic,colloquial and dismissive,negative,नौटंकी
बहुत बुरे लोग देखे पर तेरा जैसा नहीं देखा।,Medium,derogatory,informal,negative,बुरे
थप्पड़ नहि जूता पड़ा है उसे बुरे आदमी को,High,aggressive,colloquial and hostile,negative,"थप्पड़, जूता, बुरे आदमी"
तेरा स्तर नहीं दूसरों के बारे में कुछ भी बोलने का,High,aggressive and condescending,informal and disrespectful,disdainful,"तेरा, स्तर नहीं"
थोड़ा सा तो शर्म कर,Medium,imperative,colloquial and commanding,critical,शर्म
ये सब इंसानों का व्यवहार जानवरों जैसा है,Medium,derogatory,disrespectful,negative,जानवरों
भाई साइंस कभी पढ़े हो??,Low,casual,informal,curiosity,none
कितनी भी कोशिश कर लो आप सुधार नहीं सकते || आपके लिए इतना ही कहना चाहेंगे,Medium,dismissive,critical,negative,सुधार नहीं सकते
ये लोग सपोर्ट करने वाले है ??,Low,questioning,informal,doubtful,none
लड़कियों को देखने के नज़रिया सबका अलग-अलग होता है,Low,informative,neutral,neutral,none
तो सारे बुरे लोग इकट्ठा हो गये वो मना करता रह गया मैने नही कहा,Medium,informal,confrontational and accusatory,negative,"बुरे, मना"
तेरी तरह किसी की चापलूसी नहीं करते हैं हम,Medium,dismissive,derogatory and informal,disapproval,"तेरी, चापलूसी"
ये सोच जो एक जानवर से भी प्यार करता है वो इंसानो के लिए कितना अच्छा सोचता होगा,Low,thoughtful,reflective and positive,admiration,none
बदनाम कर रहा है ये बुरा आदमी,High,accusatory,derogatory,negative,"बदनाम, बुरा"
इस ने तब राज्यसभा में कुछ नही बोला,Low,neutral,informative,neutral,none
सब बुरे प्रवक्ता ट्वीट और डिबेट चालू कर देते है।,Medium,critical and accusatory,informal and dismissive,negative,बुरे
धोनी के लास्ट बाल पे सिक्स मारते ही पागलों की तरह चिल्ला रहे थे || देखो इनको,Medium,informal,casual and expressive,excited,पागलों
"जिसको बुरा कह कर सत्ता पाये, आज उसी की मदद के लिए इतना बेचैन |",Medium,critical,sarcastic and reflective,ironic,"बुरा, बेचैन"
तुम लोग पागल हो गए हो तुम्हारे अंदर दिमाग नहीं है,High,offensive,derogatory and confrontational,negative,"पागल, दिमाग नहीं"
ये लाइफ ओके चेंनल वाले सावधान इंडिया का नाम बदलकर लड़की का चक्कर मौत से टक्कर क्यों नहीं रख लेते |,Medium,sarcastic and critical,informal and derogatory,negative,"लड़की का चक्कर, मौत से टक्कर"
देश में परेशानी है और तुम और लूट ही जा रहे,Medium,critical,informative and accusatory,negative,"परेशानी, लूट"
तुम लोगों को अब भी अक़्ल नही आ रही है क्या ?,Medium,aggressive and informal,informal and accusatory,negative and critical,अक़्ल नही आ रही
ये आर्टिकल 15 देखने मे व्यस्त है,Low,neutral,informative,neutral,none
अपना नाम भी ठीक नहीं लिख सकते,Medium,sarcastic,informal,disparaging,ठीक नहीं
"सबसे ज्यादा गन्दगी फैलाते है, जानवरों से बद्तर",High,derogatory,pejorative and critical,negative,"गन्दगी, बद्तर"
तुम कभी तो गलत का विरोध करा करो,Medium,directive,instructive,frustration,गलत
परेशानी हो रही हैं बात बिगड़ने वाले कुछ बुरे लोगों को |,Medium,frustrated,informal and accusatory,negative,"परेशानी, बिगड़ने, बुरे"
ऐसे ही सभी जगह बेइज्जत होते रहते हो ?,Medium,confrontational,informative and negative,derisive,बेइज्जत
"सुन, तुझे अच्छा सबक सिखाया है और सिखते रहेंगे ।।",High,threatening,informal and aggressive,hostile,"सुन, तुझे, सबक सिखाया, सिखते रहेंगे"
चापलूस मीडिया किसी एक के पक्ष में न्यूज़ बताना स्टार्ट कर देती है,Medium,critical,informative and opinionated,negative,चापलूस
गाली बकना पाप है,Low,preaching,informative and moralistic,negative towards bad behavior,गाली पाप
तुम भी चढ़ जा और नहीं दे तो जबरदस्ती छीन लो ।,High,aggressive,informal and coercive,forceful,"चढ़ जा, जबरदस्ती, छीन"
मुंह में दहीं जम जायेगा। वह बोलेगा तक नहीं,Medium,confrontational,"metaphorical, informal",critical,"मुंह में दहीं जम जायेगा, बोलेगा तक नहीं"
"बुरे इंसान, भक्ति दर्शन पढ़ लेना ||",Medium,condescending,informal,critical,बुरे
ये कौन सा फरमान है ???,Low,questioning,informal,doubtful,none
जभी तू इतनी नफरत करता है,Medium,accusatory,colloquial and informal,negative,नफरत
पाकिस्तान को हरा चुके है आज बांग्लादेश की बारी है।,Low,competitive,informal and casual,nationalistic and enthusiastic,none
आज जिसको देखो ज्ञान देने आ जाता है बे,Medium,informal and irritated,casual and dismissive,annoyance,बे
"बहुत बुरे आदमी हो यार आप, , कन्फर्म हो गया",High,informal,derogatory and accusatory,negative,बुरे
"बिहार का भी ये नज़ारा देख लेना, यहाँ भी शतक लग गया है बच्चो की लाशों का",High,disturbing and critical,informative and alarming,negative,लाशों
ओ। मेरे से ज्यादा बोला तो तुम्हें अच्छे से चुप करा दूंगा समझा ना,High,threatening,aggressive and informal,hostile,"चुप करा दूंगा, समझा ना"
"हालत तो बहुत ज़्यादा ख़राब है,",Medium,concerned and critical,colloquial,negative,ख़राब
इस को कोई नहीं पूछता आज कल ? एकदम बेकार इंसान है ,High,derogatory,colloquial and hurtful,negative,"बेकार, पूछता नहीं"
वरना कुछ भी बेकार खाओ |,Medium,informal and dismissive,informative and aggressive,negative,बेकार
अपनी टीम को खेलना नही आता और हमे गुरु ज्ञान दे रहा है।,Medium,sarcastic,informal and critical,negative,"खेलना नही आता, गुरु ज्ञान दे रहा"
दिल्ली का मालिक पूरी सरकार चलाने का ढोंग कर सकता है |,Medium,critical,derisive and accusatory,disapproval,"मालिक, ढोंग"
झोपड़ियाँ वालो को IPhone और विमान की टिकट कौन देता है |,High,contemptuous,derisive and judgmental,disdain,झोपड़ियाँ
ये काम अगर उसने किया होता तो तुम फालतू का तमाशा खड़ा कर देते ।,Medium,disapproving,colloquial and critical,negative,"फालतू, तमाशा"
ये गुलाबी पैंट कौन पहनता है बे,Medium,informal and mocking,colloquial and slightly derisive,disapproval,बे
आत्महत्या की तैयारी कर रहा है ?,High,concerned,emotive and urgent,alarming,"आत्महत्या, तैयारी"
