Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations
ድብቅ ፍላጎታችሁን ትታችሁ አገር ምሩ እየተባላችሁ ሌላ የለመደ አመል ያለበት ይመስል እሱን መተው አልቻላችሁም ፡፡እኛ የምንለው ኢትዮጵያዊ የሆነ ሁላ እኩል ስልጣን እኩል መብት እኩል ድርሻ እኩል,Medium,critical,assertive and confrontational,disappointment,"ድብቅ ፍላጎታችሁን, ሌላ የለመደ አመል, መተው አልቻላችሁም"
የማያሸንፈውን ነገር ቤቱ አስቀምጦ ሲወጣና ሲገባ ማንነቱን አጥቶ ተቸገረ,Medium,disparaging,critical,negative,ማንነቱን አጥቶ ተቸገረ
እንደዚ አይነት የበሰብሰ ተረት ተረት ተረት ለሚስትህ ንገራት የባንዳ ዘር። ጀ/ል አሳምነው ጀግና ነው የመይሳው ዘር ነፍሱን በገነት ያኑራት,High,derogatory and sarcastic,insulting and inflammatory,negative,"በሰብሰ, ባንዳ"
የእናቶች ህፃናት እና ሴቶች ሲቃይ ሊሳማህ ይጋበል,High,insensitive and offensive,derogatory,hostile,ሲቃይ
የወንድማችንን ቴዎድሮስ ጸጋዬን የዋህነት ሳላደንቅ ባልፍ ህሊናዬ እንደሚወቅስኝ ተስማኝ አንደኛውን ቡድን ከሌላኛው ጋር ለማስማማት ጥረት ቢያደርግም ሳይሳካ ቀርቶል፡፡,Low,reflective,contemplative and neutral,thoughtful,ሳይሳካ
የሚገርመው አንተ ስለ Cloud seeding ቴክኖሎጂ መረዳት ትንሽ ይከብድሃል።,Medium,disparaging,conversational,negative,መረዳት ትንሽ ይከብድሃል
አቶ ተክሌ ይሻው በስላማዊ መንገድ አገርቤት ገብቼ የማውቀውን ስራ እሰራለው ብሏል,Low,informal,expressive,positive,none
ቀና ልቦና እና እርጋታ ያለውን በለጠ ሞላ በጣም ነው የምወድላችሁ:: ይሄኛው በፖለቲካ ሹምነት በካድሬነት ትንሽ ያደገ አይነት ስለሆነ አለመውደድ ምርጫየን አትጋፋኛ:,Medium,informal,opinionated,negative,"ሹምነት, ካድሬነት, አለመውደድ, አትጋፋኛ"
መጀመሪያ ለእናንተ  ስለ ቴክኖሎጂ ብዙ ላይገባችሁ ይችላል። ባግባቡ ብትረዱ ኖሮ ለሰላምም አየተሰራ ቴክኖሎጂውም እንዲበለፅግ ትመኙ ነበር።,Low,informative,advisory and neutral,encouraging,none
አስመሳይ ሰዎች ይከሱሀል ፤ ልብ በል በመከራ ውስጥ ሳለ የጮህክለት ወገን በሀገር ቤት ይጠብቅሀል ይናፍቅሀል,Low,caring,supportive and compassionate,comforting,none
ሚኒስትር ወይዘሮ ዳግማዊት ሞገስ  ለምን tag ተደረኩ ቢለው ሁሉ ነው block የሚያደርጉ,Medium,confrontational,informal,negative,block
የማይጨበጥ ልማዳዊ አይነት ተራ ወሬ እንዳይሆን . ሲጀመር ኩላሊት እንደኮንትሮባንድ ትራንስፖርት አርጎ ጥቅም ላይ,Medium,neutral,informative,critical,ኮንትሮባንድ
የኢትዮጵያ በቅኔ የሚተቹ ትዊተር ተጠቃሚዎችን በጣም ወደድኳቸው,Low,positive,informal,appreciative,none
ለካ እስከዛሬ ፋሲል ሲነቃቃ ነበር እኛም የምነነቃቃው ፤ ያዛጋኝ ጀምሯል አሁን አሁንማ.??አቦ ና ተናፍቀሃል,Medium,informal,conversational and emotional,frustration,"ጀምሯል, ተናፍቀሃል"
ሰይጣንን ወደ እርሶ እንዲሸሸ እና እንዲይዝዎ አይፍቀዱ,Medium,urgent,commanding,negative,ሰይጣን
ስምህን ዘነበ ከበደ አሉህ ቢሉህ ይሻል ነበር:: የት ይሆን ነው የተማርከው ጃል? የምትገርም ፍጡር ነህ:: ለነገሩ ኢትዮጵያዊ,High,derogatory and demeaning,offensive and informal,negative,"ዘነበ, ከበደ, ጃል, የምትገርም"
ትነሽ:እፈሩ እንጂ። የኢትዮጵያ:ህዝብ:በነቂስ:ወጥቶ:አንደማፈልጋችሁ:ነገራችሁ። ህዝብን በግድ ማስተዳደር አይቻልም,Medium,aggressive,confrontational,frustration,"እፈሩ, አንደማፈልጋችሁ, በግድ"
ውይ፡ ውርደት፡ ወርውረው፤ ጣሉት? ምን ይመስላል?,High,aggressive,derisive,negative,"ውይ, ውርደት, ወርውረው, ጣሉት"
እኔ ወታደርም አይደለሁ ? ፖለቲካው አይመለከተኝም . ግን አብይ ጥሩ ሰው አይደለም ነ ስንል ነው አምርረን መታገል የምንችለው,Medium,critical,candid and opinionated,negative,ጥሩ ሰው አይደለም
በሰላም አስከባሪነት ስም ልታያቸው መሄድህ ገርሞኛል,Low,neutral,informative and neutral,surprised,none
ከሀገር መሪ የሚጠበቅ አስተሳሰብ የለህም፡፡,Medium,accusatory,critical,negative,የለህም
ይሄ የማይመስል  ወሬ አታውራብ መንግሥት ለወሬ ክፍተት አይኖረውም እንዴት ነውየምታስቡት,Medium,critical,informative and accusatory,skeptical,"የማይመስል, ክፍተት"
አንተ የሚገባህ አይመስለኝም ከዚህ በላይ ምን እስኪፈጠር ነው ምትጠብቀው? ነው የራስ ያልከው መጥፎነቱ ለሌላው ከሆነ አይታይም,Medium,critical,accusatory and informal,frustration,"መጥፎነቱ, አይመስለኝም"
ልነትማ አለን የአረዳድ እናንተ ማደባበስ ምናምን ምነው አለም እኮ በመሪዎቻችን ቀና አመለካከት መጥፋት,Medium,critical,harsh and accusatory,negative,"አረዳድ, ምናምን, ቀና አመለካከት መጥፋት"
እሱ የሆነ ነገርማ አለው,Low,neutral,informative,neutral,none
የንፁኀንን ነፍስ እያጠፉ በሰላም መኖር እንደማይቻል ልታውቅ ይገበሀል፡፡,Medium,serious,accusatory,negative,"እያጠፉ, ነፍስ"
አንተ ክብር አይገባህም ፤ ሽንጥህን ገትረህ አገር ባቆሙት ጀግና አያቶችህ ደም የተዋጀ ባንዲራ,High,insulting,derogatory and disrespectful,hostile,"አይገባህም, ሽንጥህን, ገትረህ"
ይኬ ስው የአፍሪካ መሪ ነው ወይስ የኢትዮጽያ መሪ መቼ ነው ስለራሱ አገር የሚያወራው,Medium,sarcastic,informative and critical,disapproving,ይኬ ስው
ወገንተኝነት ይስተዋልበዎታል:: ላለፉት 52 ቀናት ምንም ንፁሃን ስላልተገድሉ አይመስለኝም ምንም ያላሉት:: የገዳዩ ማንነት ወይንም የሟቾቹን ከለዩ በሁላ የሚደረግ ውግዘት ፍትሀዊ አይደለም፡፡,Medium,accusatory,critical and formal,disapproving,"ወገንተኝነት, ንፁሃን, ወግዘት, ገዳዩ, ውግዘት ፍትሀዊ አይደለም"
በል ጉዳት እንዳይደርስብህ ዘፈን በማበላሸት እና በ ትንኮሳ,Medium,cautionary,warning and advisory,negative,"ጉዳት, ትንኮሳ"
በመሰረቱ የሰው ልጅ አይጠላም ፤ አንዳንድ ሰውን ግን ምን ታደርገዋለህ ?,Low,pensive,reflective and slightly critical,thoughtful,አይጠላም
ተይ ግድ የለም አጨክኚ ብዙዎቹ ብዙም አርቀው የሚያስተውሉ አይደሉምና ከእኔ ባትለዪ ጥሩ ይሻላል በማለት ነው,Medium,assertive,informative and slightly confrontational,discouraging but advisory,አጨክኚ አይደሉም
አሁን ላይ የምታደርገውን ተሳትፎ ላለፉት 27 አመታት እንዴት ሳናየው እንደቆየን አንተ ነህ መናገር የምትችለው,Medium,accusatory,critical,frustration,እንደቆየን
ዳንኤል_ብርሃነን ያያችሁ፡፡ የትኛው ግንባር ላይ ነው የተሰለፈው ግን ይሄን ያክል ድምፁ የጠፈው?,Medium,interrogative and accusatory,conversational and critical,negative,ያክል ድምፁ የጠፈው
ምንም አይነት ሰው ብትሆን የሴት ልጅ ሰብአዊ ክብር እየተጣሰ ነፍስ እየጠፋ ህግ ወደማስከበር ስራዬ አልመለስም ማለት በራሱ ከወንጀል የተለየ አይሆንም ፡፡,Medium,serious,assertive and critical,disapproval,"የሴት ልጅ, ነፍስ, አልመለስም, ወንጀል"
የአብይ አህመድን ድብቅ ፍላጎት ለማወቅ ገና ረጅም ጊዜ ያስፈልግሻል። አብይ እያሳሳቀ የት እንደሚያደርሰን  ኋላ ይገባሻል,Medium,critical,informative,suspicious,"ድብቅ, እያሳሳቀ"
ዶ/ር ዳንኤል በቀለ ሆይ አንተ ትልቅ ወንጀል ተፈፅሟል ብለህ እንድታምን ስንት ሰው መጎደት እለበት ? አብይ አህመድ ሆይ ይህው ወንጀሉ ቀጥሏል,High,accusatory and confrontational,aggressive and judgmental,hostile,"ትልቅ ወንጀል, መጎደት, ወንጀሉ"
በሰላም አይመሰለኝም ብዙ እየተናገረ ያለው,Medium,doubtful,conversational,skeptical,አይመሰለኝም
ኮሚቴው ሰላት የእስላም መሰረት እንደሆነ ሁሉ ሀጅም የእስላም መሰረት መሆናቸውን ተገንዝቦ አቻችሎ ህዝቡን ማገልገል አለበት,Low,formal,informative and assertive,positive,none
አንተ ጥላቻ ስላስተማረህ ነው መጥፎ ምታስበው? አበት መጥፌ ስለ ሰራ ልጅ መጥፎ አይሆንም።,Medium,confrontational,accusatory and defensive,negative,"ጥላቻ, መጥፎ, መጥፌ"
የተወሰነ ቡድን ዝምብሎ ባለማስተዋል በአንድ አቅጣጫ ብቻ ሲጕዝ  ሀይ ሊባል ይገባል። ሀገርም መመራት ያለባት ግልጽ አቅጣጫ በሚያመለክት መሪ መንግስት መሆን አለበት፡፡,Low,formal,informative and critical,cautionary,ሀይ
ላጲሴ የስምህ ትርጓሜ ፡  እንደላጲስ ታሪከን ማጥፋት የሚል ይመስላል ፤ ነው ወይስ ትምህርት አልተማርክም,Medium,sarcastic,critical,disapproving,"ማጥፋት, አልተማርክም"
ህዝብ ለምን ተጎዳ ብለህ ትነገረለህ ብሎ ያሚካፋው ሰው አለ።,Medium,confrontational,accusatory,negative,"ተጎዳ, ያሚካፋው"
ከሰሞኑ ባህር ዳር ከነበረው ጋር የሚያያዝ መሆኑን አስታዎሰኝ,Low,nostalgic,reflective,sentimental,none
የአማራ ሕዝብ አሁን ከለበት ተጽኖ ለማላቀቅ ዋናው መፍትሔ  ብአዴን አመራር የሆኑትን  በአንድ አዳራሽ ሰብስቤ መፊቴሂ መፈለግ ነው,Low,formal,expressive and slightly political,resolute,none
ከአንተ በላይ ለዚህ ሁሉ የሰው ህይወት ማለፍ ተጠያቂ ሊኖር አይችልም፡፡ አላህ የስራህን ይሰጥል ጠብቅ,Medium,accusatory,judgmental,critical,ተጠያቂ
ስለዚህ አንድ ሰው ትንሽ ለየት ያለ አስተያየት ካለው አላዋቂ ነው ማለት ነው? እንደዚያ የሚያስቡ ከሆነ  እኔን  ከጉረኝነት ጋር እንዴት ነው የሚያገናኙኝ,Low,questioning,conversational and defensive,defensive,አላዋቂ
አሁን በአማርኛ እየተናገርክ እንደዚያ ማለት ትንሽ አይጋጭም?,Low,questioning,conversational and informal,slightly critical,ጋጭ
አለመወቅን እንደ እውቀት የሙጥኝ አድርገው የያዙ የወያኔ ደገፊዎች . የሚክዱት እውነት ነው,High,accusatory,critical and charged,negative,"አለመወቅ, የሙጥኝ, የወያኔ, ደገፊዎች"
በጉሙዝና በወሎ ሙስሊሞች ላይ የህይወት ህልፈት እንዲደርስ ያደረጉ ለህግ ሊቀርቡ ይገባል ። ከስራ በማገድ ከተጠያቂነት ለማዳን የሚደረግ አሰራር ትክክል አይደለም።,High,accusatory,formal,negative,"ህይወት ህልፈት, ለህግ ሊቀርቡ, ከስራ በማገድ, ከተጠያቂነት ለማዳን, አሰራር"
ሙኒራ ልደቱን ታደንቂዋልሽ ወይስ ትፈሪዋለሽ? ልደቱ በየቦታው ሄዶ ከሚናገረው ያንቺ በምን ተለየ,Medium,confrontational,accusative and questioning,challenging,"ግርማ, ጥርጥር"
ካልፈራህ ማንነትክን ለምን ትደብቃለህ,Medium,challenging,confrontational and accusatory,disapproval,መፍራት
እንዳንተ አይነቱ ላፕቶፕ ላይ ተቀምጦ የሚውል ሰው የአማራ ህዝብ ጠበቃ ሊሆን እይችልም። ከልብ የሚያስብ አገሩ ገብቶ ከ,High,derogatory and dismissive,accusatory and negative,contemptuous,"ሊሆን እይችልም, ላፕቶፕ ላይ ተቀምጦ, እንዳንተ አይነቱ"
እንዳንቺ ያለ እህት የለውም በገንዘብ የምትገዛ  የትግራይ ህዝብ ቀራቢ ና የቆራቢ ልጅ ነዉ,High,derogatory,informal and offensive,insulting,"እንዳንቺ ያለ, ቀራቢ, የቆራቢ ልጅ"
ይቅርታ ያድርጉልኝና ፤ አቶ አብራር ሱሌማን፣ ታድያ እርሶ በቀናነት፣ አይተውት እንዴት ዝም አላሉም,Medium,questioning and accusatory,conversational and critical,disapproving,"በቀናነት, ዝም አላሉም"
የተፃፈውን፣ የፃፈውንና የተያያዘውን ምስል በደንብ መመልከት ተሳነህ,Low,formal,informative,neutral,none
አሜሪካን ደጅ በመጥናት ለረጅም ጊዜ ከቆየ ሰው ብዙም የሚጠበቅ ነገር አይኖርም,Medium,cautionary,informative,pessimistic,"ከቆየ, አይኖርም"
እስከ ቅርብ ግዜ የኣማራና የኦሮሞ ህዝብ ጉደት ያደረሰበት ትግሬ ብቻ ያለበት የህወሓት ልዩ ክ/ጦር  እንደ ነበር የተወራው ውሸት እንደሆነና ሃገር ወዳድ ህብረ ጦር ሆነ,High,accusatory,assertive,hostile,"ልዩ ክ/ጦር, ውሸት"
የፈለገ ቢያነብ እንኩዋን የተነቀሰው ጥሩ መልእክት የሌለው ንቅሳትን ማጥፋት ስለማይችል በሌላ መንገድ የማይጠቅም መልአክት ማስተላለፉ አይቀርም፡፡,Medium,critical,dismissive,negative,"የተነቀሰው, ንቅሳትን, ማጥፋት, የማይጠቅም"
ይኸ አንተን አይመለከትም,Medium,dismissive,direct and assertive,negative,አይመለከትም
ጥፋት የሰራን ሰው በመደገፍ ስህተት ሰርተሀል፡፡,Medium,accusatory,critical,negative,"ጥፋት, ስህተት"
የሃገር ትርጉሙ ያልገባው: ጥቅመኛ: ራስ ወዳድ ነው ስለመገጠል የሚያወራው አይምሮ ያለው ሰው በዓጥንት እና በደሙ የገነባትን አገር ልበትን አይልም እናልህ,Medium,critical,emotional and expressive,disapproving,"ጥቅመኛ, ራስ ወዳድ, አይምሮ"
አንተ ሀገር ማለት ከመላው ህዝብ ጋር ነው ሀገሪቷ ከሌላች ፣ መቶ አስር ሚልዮኑም ሀዝብ የለም ማለት ነው,Medium,critical,assertive and critical,negative,"አስር ሚልዮን, ሀዝብ የለም"
ፈሪ  የሆነ ሰው አልወድም ለሀገርም ይጠቅማል ብዬ አላስብም,Medium,disapproving,critical,negative,ፈሪ
አሁን እንደው እርሶ ሴት ነኅ ይላሉ . በንፁሀን ላይ እየተደረገ ያለው ግፍ እንደሚያስጠይቀዎት ዘንግተውታል,Medium,accusatory,informative and critical,negative,ግፍ
Accent ነው?? ታኬም የተሾመ ሰሞን እንዲህ በቀላሉ የማይገባ ነገር ነበር ሚፅፈው። ክፍለከተማው ላይ የተሾሙ ሹሞች ነው የሚሆኑት,Medium,critical,cynical and discouraging,disapproval,"ታኬም, በቀላሉ የማይገባ, ነገር, ሹሞች"
የፖለቲካ ድርጅት ደጋፊ ላትሆን ትችላለህ ግን የኣብይን ፖስት ከስር ከስሩ  ደግፈህ ስትጽፍ ነው የምትታየው,Medium,assertive,admonishing and critical,disapproving,"ስትጽፍ, የምትታየው"
እንደ ትልቅ ሰው ህሊናችን ሊገዛን እና የንጹሀኖችን ሞት መከላከል ይገባል፡፡,Low,formal,persuasive,serious,ሞት
አንተ አልገባህም ነገሩ ቀላል መሰለህ ጦርነት ካበድ ንው በፉከራ አይሰራም,Medium,critical,dismissive and confrontational,negative,"አንተ አልገባህም, ቀላል መሰለህ, ጦርነት, አይሰራም"
አንተሞ ብዙ ከለውጡ ጋር የምትጓዝ አይደለህም፤ እናንተን ይዘን እንዴት እንለወጣለን,Medium,critical,frustrated and exclusionary,exasperation,"አይደለህም, እንዴት እንለወጣለን"
ከዚህ በፊት በነበራቸው ተሳትፎ ነው የለየኋቸው።የሐሳብ ልእልናን ስንገልፅ የአማራ ህዝብ ጥያቄዎችን ክብር ባለመስጠት መሆን የለበትም,Medium,critical and assertive,accusatory,discontent,"የለየኋቸው, ክብር ባለመስጠት"
ኣማካሪ ተብየው ተጫወተብህ መሰለኝ የሆነ ነገር ነው የመሰልከው ፤ እስቲ ማንኛችን እንደምንቀድም እናያለን,Low,neutral,conversational,neutral,none
ይሄ ሰው ግን ኮሜዲያን ገብሬ አይደለም?,Low,informal,questioning and slightly sarcastic,casual,none
ኢትዮጵያን ልታጠፋ አትችልም።,Medium,defensive,assertive and emotional,protective,ልታጠፋ
እንዳንታይነት አይነት ለህዝቡ የማያስብ መሪ ኢትዮጵያ አይኖራትም,Medium,critical,accusatory and judgmental,negative,"እንዳንታይነት, የማያስብ"
እንኳን አብሮ አደረሰን ዶ/ር አብይ የለ ምክንያት የተሰሩ ሰዎችን መፈታት አለበቸው።የቀድም መንግስት መንገድ መከተል አይስፈልግም,Medium,critical,advisory and critical,disapproving,"መፈታት, አይስፈልግም"
ሊያስከትለው የሚችለው አደጋ ስላያችሁት  በጥንቃቄ እያዩ እንደሆነ ይረዳናል (በአስተዋይ አእምሮ ካየንው)። በተረፈ,Low,formal,advisory and cautious,concerned,አደጋ
መሪዎች ሃላፊነታቸውን ካላወቁ: ለህዝቡ ትልቅ ችግር ነው:: ከእድገትና አንድነት ይልቅ ሞትና ውድቀትን ነው ለህዝብ የሚያተርፈው ፡፡,High,critical and confrontational,accusatory and negative,disapproving and alarmist,"ችግር, ሞት, ውድቀት"
አንተ ትለፋለህ መልፋትም አለብህ ምክንያቱም ኢትዮጵያ ናት። አሁን በምትለፋው ስምህ ከመቃብር በላይ በጥሩ ሲወሳ ይኖራል።,High,condescending and judgmental,critical,negative,ትለፋለህ መልፋትም አለብህ መቃብር
በስተርጅና ዘመኑም ምን ያህል  ማሰብና መረዳት የማይችል እንደሆነ እየነገረን ነው,Low,critical,informative,negative,የማይችል
አንተ የምትገርም ሰው ነህ ከዚህ ቃል ሌላ አታውቅም እንዴ ?,High,accusatory,confrontational and derogatory,disdainful,"አታውቅም, አንተ"
በጣም ያዘንሽ ነው የሚመስለው,Medium,informal,emotional and critical,negative,ያዘንሽ
በጥሩ ቤተሰብ ውስጥ ካደክ እና ከተማርክ እንዲህ አይነት ውስን ሀሳብ ብቻ አታቀርብም ነበር,Medium,admonitory,critical,disapproving,ውስን ሀሳብ
አይ እኛ ሲሞላ ሲሞላ ጉዳያችን ሌላ ሲጎድል ሲጎድል አንዳችን ላንዳችን ያለን መተሳሰብ ሲጠፋና ወደ ቡድናችን ስንመለስ ይታያል ፡፡ ያ መሆን የለበትም፡፡,Medium,critical,emotional and concerned,lamenting,"ሲጎድል, ሲጠፋ"
ለረጅም ጊዜ ከእንስት ጋር ያገናኘውን ሲያገለግል ነው የሚታወቀው,Medium,disapproving,critical,negative,ሲያገለግል እንስት
በኢትዮጵያዊነት ስር ሆነው የራሳቸውን ፍላጎት የሚያራምዱ ናቸው,Low,formal,critical and descriptive,negative,"ፍላጎት, የሚያራምዱ"
ስንት ጊዜ ነው እሚቅጣጠሩት። አልገባህን ባክህ።,Medium,confrontational,colloquial,frustrated,አልገባህን
ሳንቲም እየሰበሰብክ ነው ? ትርፉ እንዴት ነው?,Medium,slightly confrontational,colloquial and informal,skeptical,ሳንቲም
አኔ እንዳንተ ተደብቄ አደለም ያለሁት አዲስአበባ ነው ያለሁት,Medium,defensive,assertive and dismissive,dismissive,ተደብቄ
ማሰብ ከባድ ስራ ነው ብለው ነበር ፕሮፍ። ወትሮም መልሶ መላልሶ እዚያው ነው የኛ ነገር። የሚጋጩ ሃሳቦች ተሸክመህ፣ በግራ እግርህ ቀኝህን እ,Low,informal,conversational and reflective,neutral,አልነበረ
አሁን ሰአቱ አደለም አሁን ወዳጅ አይደላችሁም  እነሱም ይህ ሁሉ ነገር ደርሶባቸው አይመለሱም,Medium,critical,accusatory and dismissive,negative,"አይመለሱም, አደለም, አይደላችሁም"
እራስን በምቾት እያኖሩ የድሀን ልጅ በጦርነት ውስጥ በማስገባት ስልጣንን ለማራዘም ማሰብ ተገቢ አይደለም,Medium,critical,informative and accusatory,disapproving,"ስልጣንን, ለማራዘም, በጦርነት ውስጥ"
እድለኛ ነሽ የዱሮ መምህር ቢሆን ኖሮ ይቀጣሽ ነበር,Low,informal,colloquial,critical,"ቢሆን ኖሮ, ይቀጣሽ"
ሕወሐት መንግስትና ህዝብ የሚችለውን እያደረገ ነው ተቆርቋሪዎች አታስመስሉ,Medium,critical,assertive and accusatory,disapproving,ተቆርቋሪዎች
የእርሷ ኮሮናቫይረስ ከእግዚአብሄር መጣ ማለት ይገርማል?,Medium,curious and skeptical,challenging,doubtful,"ኮሮናቫይረስ, ከእግዚአብሄር"
አንተም  የምትቃወመውን ነገር የምትቀበለው አይመስለኝም ፤ ለ 28 አመት ህገ መንግስቱ ችግር እንዳለበት ሲነገር,Medium,confrontational and critical,informative and critical,negative,ችግር
ሀገራችን ትግራይ ትባላለች ታሪክ ማንበብ ትችላለህ አንተ ራሱ የምትፅፈው ከየት እንደሆንክ ይመሰክራል,Medium,confrontational,informative and abrasive,challenging,"አንተ, ከየት እንደሆንክ"
የአንች  የመጨረሻ ኑዛዜሽ መሆን አለበት ??,Medium,accusatory,informal,critical,ኑዛዜሽ
እስካሁን የሰውን ህልፈት ከሚቃወሙት ወገን እንደሆንክ ነበር የምረዳህ ፤ አሁን ላይ ፎቶ ፖሮፋይልህን ሳየው ግን ተግባርህ ያን የሚያሳይ አይመስልም፡፡,Medium,critical,disapproving and accusative,disapproving,"ህልፈት, ተግባር"
መሞትህ ላይቀር ዝም ብለህ ነው ስትለፋ የነበረው። የትግራይ ህዝብም ላይ የደራሰው በደል ብዙ ነው።,High,accusatory and hostile,emotive and inflammatory,negative,"መሞትህ, ዝም, በደል"
??በነገራችን ላይ ሲሳይ አጌና በእውቀት ቢመዘን ከፈለገ እነኤርሚያስን አስተምሮ ያስመርቃል,Low,formal,informative,neutral,none
አንድ ቀን ክብደት ቤት ሄዶ ሰርቶ ይመጣና ምንም ሳትለው እፍፍ እስትራፖ ሊገለኝ ነው ይላል ????,Medium,frustrated,conversational and accusatory,negative,እፍፍ እስትራፖ
ለሀገሩ ታማኝ ያልሆነው ማን እንደሆነ የራስህን ግምት መውሰድ ትችላለህ,Low,neutral,directive,skeptical,none
የፈለከውን የፖለቲካ ድርጅት ብልጽግናን ፣ ኢዜማን ፣ ኦነግን ወዘተ ምረጥ፤ ሀገር ግን በፍጹም አማራጭ የላትም፡፡ ኢትዮጵያዊ ሆነህ ሌላ አማራጭ መሻት ትክክል አይደለም፡፡,Medium,assertive,directive,exclusive,"አማራጭ የላትም, ግን, መሻት ትክክል አይደለም"
የአክሱም ጽዮን ማርያም ቄስ በመምሰል በአክሱም ከተማ በክርስትያኖች ላይ ጉዳት ሲያደርስ አይቻለሁ ብሎ ለአምነስቲ ኢንተርናሽናል ትክክል ያልሆነን መረጃ,Medium,accusatory,reporting,negative,"ጉዳት, አይቻለሁ, ትክክል ያልሆነን"
ባሏ ከስልጣናቸው ሲወርዱ እሷ ላይ የሚደርሰው ጉዳት ምን ሊሆን ይችላል ?,Medium,concerned,questioning,worried,ጉዳት
አንተ ራስህ ስርአት የለህም ፤ ሀሳብ ካለክ በሀሳብ ሞግት,Medium,harsh,derogatory and accusatory,disapproving,"ስርአት የለህም, ሞግት"
እሱን ታየዋለህ እንዳውም የሚገርመው አብረን መኖራችን ነው ባንዲራ ላይ ያለን አቄም ተለያይቶ,Low,reflective,contemplative and neutral,thoughtful,ያለን
ጥሩ ያልሆነ ጅማሮ ያለው ነገር ፈፃሜውም እንደዚያው ሊያመር አይችልም ፤ የንፁሀን በደል ደግሞ በመልሱ ክብር ያሳጣል,Medium,critical,analytical and judgmental,negative,"ጥሩ ያልሆነ, ጅማሮ, ክብር ያሳጣል"
ስማ ተመስገን 2012 መቀሌ አንድ የመንግስት ባለስልጣን 50 ህፃናት ላይ ፆታዊ በደል ሲፈፅም ምንም አላልክም በወቅቱ,High,serious,informative and accusatory,negative,ፆታዊ በደል
ደስ የሚለው በአማርኛ ነው መፈከርህን የምታሰማው,Medium,sarcastic,conversational and critical,negative,መፈከር
ክብር አሳጥተው አባረውህ ፣ አሁን ሌላ ወሬ,Medium,disapproving,derogatory,negative,"ክብር አሳጥተው, አባረውህ"
በአማርኛ መፃፍ እየቻልክ፤ ምን እያልክ ነው በ እንግሊዝኛ,Low,curious,informative,inquisitive,none
ብትልም መብቷ ነው:: የኦነግ ደጋፊም ብትሆን እንዲያው:: የአንተ አላዋቂ መሆን ግን  የአንተ ምርጫ ነው፡፡,Medium,assertive,informative with a hint of sarcasm,cynical,አላዋቂ
አንቺም መርሳት ጀምርሽ ማለት ነው ምክንያቱም የኢትዮጵያ ህዝብ በወያኔም ተጽኖ ሲደረግበት ነበር,Medium,accusatory,confrontational and historical,critical,ተጽኖ
