Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations
"Вы обсалбтно правы. Панику подняли из-за одного человека, что эти люди плохие, а этот человек завалить сразу троих, их это не беспокоит.",Medium,critical,informal,negative,"плохие, завалить"
жириновский предал фургала,Medium,accusatory,informative and direct,negative,предал
Плохой режиссёр у собаки лапы связаны,Medium,sarcastic,informal and critical,disparaging,Плохой
кому то было невесело ...тем кто упразднил эту практику ..,Low,neutral,casual,disapproving,"невесело, упразднил"
"Человек который говорит о нем такое,не точто быть президентом, но и находиться в этом государстве не имеет права",High,condemnatory,accusatory and confrontational,hostile,"не точто, не имеет права"
Зомбированная толпа людей. Ещё и агрессивных,High,derogatory,informal,negative,"Зомбированная, агрессивных"
бедный ребёнок я представляю какая у него ненависть к родителям.,Medium,sympathetic yet accusatory,colloquial,negative,"бедный, ненависть"
А где ты денег столько взяла?,Medium,informal,inquisitive and accusatory,suspicious,взяла
только человек без морали мог так сказать о целом народе !,High,condemnatory,accusatory and critical,disapproving,человек без морали
Они защищают бандитов 90 - х,Medium,accusatory,informative,negative,бандитов
Зачем вы такое пишите? Мне интересно в каком месте можно смеяться? Зачем вы трогаете религию?,Medium,inquisitive and accusatory,informative and questioning,concerned,трогаете религию
Наказывайте всех кто нарушает общественный порядок,Medium,authoritative,commanding and instructive,strict,"Наказывайте, нарушает"
"Какая форма, какая маска, совсем с ума сошли?",Medium,sarcastic,colloquial,annoyed,совсем с ума сошли
"Устала, это-ж надо так загнаться то, ну кому это нужно то все?",Low,informal,conversational and expressive,frustration,загнаться
"и что за травля автора, если она сама не умна",Medium,accusatory,informal and derogatory,negative,"травля, не умна"
"Домой её срочно, надоело на это все смотреть.",Medium,impatient,informal,frustration,"срочно, надоело"
"у тебя мамы нет,ласковое слово жалко!",Medium,sarcastic,derogatory,negative,"нет, жалко"
"Вчера сосед к себе в однушку двух ламантинов принёс, не знаю что делать, полицию вызывать, хорошо закон скоро появится",Low,informal,narrative and conversational,frustration,полицию
"а казну пополнять то,надо! не даром выплаты на детей были!!!",Medium,sarcastic,informal and critical,negative,"надо, не даром"
"когда этот пустослов старый покинет кресло , как он уже приелся. Вцепился в это корыто, позорник",High,aggressive,colloquial and insulting,negative,"пустослов, приелся, вцепился, корыто, позорник"
Вот такие как ты за него и голосуют,Medium,derogatory,informal and critical,negative,такие как ты
когда это прекратиться что нам делать вы считывают пусть значит свет дорожает а его не бывает .,Low,frustrated,informative,complaining,дорожает
вас три женщины в этом обсуждении верят в ковид!,Low,informal,informative,neutral,none
"Завидуйте молча, а то пишите неприятные вещи",Medium,hostile,directive and adversarial,critical,"Завидуйте, неприятные"
"Свое лицо подставляешь, что бы денег получить. Смотри может не получиться",Medium,critical,informative and slightly aggressive,caustic,подставляешь
этого надо было прямо на месте наказать!!!!!,High,aggressive,informal and intense,angry,наказать
Я прививаться не буду,Low,assertive,informative and neutral,resistant,none
"И ломают все вокруг не они, глупцов хватает в жизни.",Medium,informal,conversational and expressive,critical,глупцов
Ну и какая мама купит это своему ребёнку.,Medium,scornful,conversational and rhetorical,disapproving,none
"одно дело сосед не так поступает,а другое,когда тебя преднамеренно угнетает властный человек",Medium,critical,assertive,critical,"преднамеренно, угнетает, властный"
"Пишешь ни о чем, лишь бы масла в огонь прыснуть",Medium,critical,colloquial,negative,"ни о чем, масла в огонь"
ему не стыдно стыдео быть человеком которые на лайках наживаются,Medium,disparaging,critical and judgmental,negative,"не стыдно, наживаются"
Ты уже пошёл в атаку....твой взвод идёт следом? или ты в разведку вышел?,Low,inquisitive,conversational,curiosity,none
Россия много лет пользуется результатом производства этих людей,Low,neutral,informative,neutral,none
"Актер может и не плохой,но плох как человек",Medium,critical,informative and negative,disparaging,"плохой, плох"
"Проснулся, иди на укол",Medium,commanding,direct and imperative,authoritative,none
пусть забирает свое и уходит,Low,imperative,informative and directive,dismissive,none
"откуда вообще взяли этого кашаи, кто это человек такой, в своей стране он не нужен, а нам он зачем?",High,aggressive,derogatory and dismissive,negative,"вообще, не нужен, зачем"
Неужели ещё есть такие люди? Да пусть хранит Бог вашего президента и вас вместе с ним,Medium,sarcastic,informative and dismissive,negative,такие люди
"Кто-то же снимает, понятно что взрослый, это его или ее нужно наказать",Medium,assertive,blunt and directive,critical,наказать
только что это за голоса за кадром?,Low,curious,inquisitive,neutral,none
"А, я нашел-видос сверху. Да, получаетая что загорелось и подъезды сильно разрушило, но здание не разрушилось полностью",Low,informative,conversational,neutral,"загорелось, разрушило"
"Не думаю, с его лишним весом 16 оппозиционеров ему не заменит, пятерых максимум",Medium,critical,informal and judgmental,dismissive,лишним весом
"Глупым человеком прикинулся: то помнит, то не помнит.",Medium,sarcastic,colloquial,dismissive,Глупым
"Господи, как жалко детей которые страдают из за таких людей!",Low,compassionate,emotional and subjective,sympathetic,"страдают, таких людей"
Ещё открывает свой рот,Medium,disdainful,colloquial,negative,открывает свой рот
"Не стоит раздувать войну с братским народом, за это надо наказывать.",Medium,directive,opinionated,critical,"войну, наказывать"
их. действительно. убили. вопрос кто. которые увласти.все. которые. сидят в думе.,High,accusatory,informative and speculative,aggressive,"убили, увласти, сидят в думе"
"путин! ты президент!, какой страны?",Low,informal,conversational and questioning,curious,none
Он отменил пособия на детей матерям одиночкам,Medium,formal,informative,critical,отменил
"Сколько вышло на улицу проплаченных людей, лишь бы не работать!",High,accusatory,colloquial and inflammatory,negative,"проплаченных, не работать"
"Зачем нервировать животное? А когда она укусит этого человека, то разорется, что обезьяна виновата",Medium,critical,conversational and judgmental,disapproval,"нервировать, укусит, разорется, виновата"
это глупо ! так нельзя .,Medium,assertive,informal,negative,"глупо, нельзя"
"Они смешные и милые, а Стас ведёт себя не достойно и тем отталкивает.",Medium,judgmental,colloquial and critical,negative,"не достойно, отталкивает"
С чего бы это в эсэсэре был коммунистический режим? В этом и юмор,Low,sarcastic,informal,critical,none
"даааа, время идёт, а странных людей, все больше и больше.....",Medium,sarcastic,casual,negative,странных
Почему ты всех цепляешь?,Medium,interrogative,colloquial,confrontational,цепляешь
Это не отец,Low,neutral,informative and direct,neutral,none
вам не угодишь.,Medium,frustrated,colloquial,negative,не угодишь
"вы будете говорить о том кто как сдулся, лег, не встал, встал, но не так",Medium,informal,colloquial and critical,disapproving,"сдулся, лег, не встал, не так"
Что здесь смешного?,Low,inquisitive,colloquial,curious,none
ты чего так обзываешь участников этой группы может сам такой,Medium,confrontational,informal and accusatory,negative,"обзываешь, сам такой"
Вы что с ума сошли?,Medium,aggressive,colloquial,negative,с ума сошли
Потом сам канализацию будешь чистить.,Medium,aggressive,informative and direct,frustration,канализацию
а современным тем более все равно на интересы нашей страны,Low,neutral,informative,indifferent,none
Стоит ли так реагировать на человека не в себе?,Medium,questioning,neutral,critical,не в себе
Его нужно исключить из всех турниров.,Medium,assertive,directive and negative,exclusionary,исключить
"видать, неслабо тебе забашляли ефремовские родственнички, или дружки, если ты так старательно заступаешься за него.",Medium,sarcastic,informal and accusatory,critical,"неслабо, забашляли, родственнички, дружки"
"Молодец!!! Наказала этих людей. А то что судят, то это толерантность",Medium,sarcastic,conversational and critical,disapproval,"наказала, судят"
потому что в думе сидят такие люди и таких же людей хотят выростить,Medium,critical,colloquial,negative,"такие люди, хотят выростить"
"Он хотел полит убежище получить, а полицейские не дали, ну ничего может в 2021 получится.",Low,casual,informative and neutral,hopeful,none
я смотрю это группа людей все забайкалье запугало,Medium,critical,opinion,negative,запугало
а щас бегают с этой демократией.,Medium,informal,sarcastic,negative,"бегают, демократией"
"надо было не арестовывать, а отправлять в спец места для лечения",Medium,critical,directive,disapproving,спец места
"зачем фейк распространять ?это ролику 100 лет,нужно думать",Medium,dismissive,confrontational,critical,фейк
как они живут после этого.,Low,neutral,informative and curious,neutral,none
"даже вголове неукладывается, что есть такие девушки",Medium,disparaging,conversational,negative,"неукладывается, такие"
вот ты первый провокатор и провокационные вопросы задаешь,Medium,accusatory,colloquial and confrontational,critical,"провокатор, провокационные"
100000 человек пришло к Белому дому в Вашингтоне.,Low,neutral,informative and factual,neutral,none
А нас наши умники из министерств по западным шаблонам учить надумали,Medium,sarcastic,informal and critical,negative,"умники, западным шаблонам"
это какой человек такое придумывает,Medium,condescending,critical and informal,disapproval,"какой, придумывает"
"ему бы там пожить. продумано до мелочей, как угробить людей за 10 жизни.",High,cynical,derogatory and inciting,aggressive,угробить
"Люди едут повыделываться, а люди погибают.",High,accusatory,emotive and critical,negative,"повыделываться, погибают"
"Зашёл на сайт с играми, выбрал с весёлой картинкой, а там вместо игры такая ерунда.",Low,informal,conversational,disappointed,ерунда
Ты сама то что сделала? Ничего ты не сделала,Medium,accusatory,informal and confrontational,critical,ничего
им все равно на ваше мнение,Medium,dismissive,informative and direct,indifferent,все равно
"меня просили в комментариях - ну так и ответь в комментариях, докопались повсюду",Medium,informal,informative,frustration,докопались
"у нас своих плохих людей хватает. пускай полиция старается лучше работать, а не бездействует",Medium,critical,informative and assertive,discontent,"плохих, бездействует"
выспались и не знают за что апладировали,None,neutral,informative,casual,none
Вот так до людей быстрее доходит.,Low,informal,direct and colloquial,slightly condescending,none
Не могла найти где тебе написать,Low,informal,informative and neutral,concerned,none
наградить грамотой? !! этого представителя либеральной партии!!!!,Medium,sarcastic,informal and derogatory,critical,либеральной партии
Как можно так?!,Low,informal,neutral,frustration,none
Да конец пришёл нашему легендарному заводу,Low,melancholic,informative and neutral,negative,конец
Ты ленивый. жена ему не такая,Medium,accusatory,informal,disapproving,ленивый
Тебя это волновать не должно,Medium,assertive,directive,dismissive,волновать не должно
люди убедительная просьба не обращать на эту женщину внимания.,Medium,formal,directive,dismissive,none
"Он поработал народ, который в него верит",Medium,critical,inflammatory,negative,поработал
Как те которые потратили много денег на ручку которая может писать в невесомости если можно было взять карандаш,Low,neutral,informative,critical,none
"конечно глупо, но мне жаль этих доверчивых людей, а аферистов которые в основном обманывают стариков нужно наказывать",Medium,concerned,informative and critical,empathetic towards victims and condemning towards fraudsters,"глупо, аферистов, обманывают"
"эту женщину надо судить,потому что она является плохой матерью",High,accusatory,critical,negative,"плохой, судить"
Нет на что смотреть,Low,neutral,informative and neutral,dismissive,none
"чудо, с чего ты взял что, россия была процветающей в начале 20 го века...",Medium,informal and sarcastic,conversational and critical,disbelieving and dismissive,чудо
На корню надо это пресекать,Medium,assertive,directive and serious,urgent,пресекать
"Этим людям я оказалась очень нужной! А я сказала, что мне все равно",Low,informal,neutral,disinterested,все равно
"прошу прощения, но вы просто не особо умный, если задаете такие вопросы.",High,condescending,harsh and critical,disrespectful,не особо умный
Все мои аргументы были заглушены визгом,Medium,frustration,descriptive,negative,"заглушены, визгом"
Одним словом нищие которые последнее доедают,High,derogatory,informal and offensive,dismissive,"нищие, доедают"
"Не, по феминистски это когда некрасивые женщины снимаются, так что не прокатит в данном случае",High,dismissive,colloquial and hostile,derogatory,"феминистски, некрасивые"
"проблема не выбить дурь из макак, а получить прибыль",High,derogatory,informal and provocative,negative,"дурь, макак"
"Эх, как мы могли потерять свою свободу",Low,reflective,contemplative,regretful,потерять
Да ты просто не прав! О чём можно с тобой общаться!,Medium,dismissive,confrontational and disrespectful,negative,"не прав, О чём можно с тобой"
и ты меня хочешь чему то учить ?,Medium,sarcastic,informative and neutral,dismissive,none
Сидишь и тусуешь!!! Просто нет слов,Low,casual,informal,neutral,none
"то ,что у нас президент ужасен и нелеп, виноват не народ, а та личность которая была президентом до него...",Medium,critical,conversational and accusatory,blaming,"ужасен, нелеп, виноват"
Какая жестокая... а родители снимают на камеру... нет бы наказать!,Medium,critical,conversational,disapproving,"жестокая, наказать"
Что за глупости? К чему ты призываешь?,Medium,aggressive,interrogative and dismissive,negative,"глупости, призываешь"
веришь во что-то - верь и остальным не навязывай,Medium,disapproving,directive,critical,навязывай
А вас это очень волнует?,Low,inquisitive,neutral,neutral,none
Причём тут ваши шишки?,Low,questioning,informal and colloquial,slightly dismissive,none
что в думе их надо на прожиточный минимум посадить и на вечно,Medium,aggressive,critical and directive,hostile,"посадить, вечно"
"Вот такие мнения и создают мнение,что сосед плохой, компромисса нет",Medium,critical,opinionated and accusatory,negative,"плохой, компромисса нет"
К стенке таких людей нужно ставить и другие сразу задумаются!!!,High,aggressive,commanding and hostile,violent,"К стенке, нужно ставить"
народ опущен ниже некуда а вам фонтаны и голубые береты.,Medium,critical,colloquial and expressive,disapproving,"опущен, ниже некуда"
Яе ты врешь 90и уж не народ начал драку а полиция пыталась разогнать митинг,Medium,accusatory,colloquial and confrontational,defensive,"врешь, драку"
Сказала то о чем незнаешь,Low,neutral,informative,neutral,none
Музыки б ещё не было,Low,neutral,colloquial,resigned,none
а какой национальности этот киркоров филипп всем просто все равно!!!,Medium,dismissive,informal and casual,indifference,none
"Был о якутах лучшего мнения. Возможно, тюрская кровь культура играет свою роль. Буряты якуты.",Medium,judgmental,informative,critical,тюрская кровь
Нашёлся тут интеллигент,Low,sarcastic,derisive and informal,condescending,интеллигент
надоели эти люди уже пора про них забыть,Medium,dismissive,informal,negative,"надоели, забыть"
Этот человек получил по заслугам,Low,neutral,informative,neutral,none
"чем бы дитя не тешилось, лишь бы не плакало! дегтярев, куда ты полез?! народ недураки, все вам вылезет!",Medium,informal and critical,colloquial and accusatory,disapproving,"недураки, вылезет"
"оскорбление чести матери, это не может остаться безнаказано",Medium,serious,emphatic,stern,"оскорбление, безнаказано"
"Ещё одним театром, плохие люди завладели",Medium,negative,colloquial and critical,discontent,плохие люди
Зачем с таким жить?,Medium,dismissive,informal and critical,negative,none
этого человека бесплатно выучили в ссср!,Low,neutral,informative,neutral,none
"раньше всё в бункер уходило, щас сделали, что не уходит, сторожи теперь сиди богатство :-d ",Low,casual,informative and conversational,neutral,none
Возмездие не за горами,Medium,assertive,dramatic,threatening,возмездие
Убрать его из депутатов. И вообще разогнать всю думу,Medium,aggressive,commanding and critical,discontent,"убрать, разогнать"
"Вот как нервничает этот Ушаков... Оказывается, ему кажется, что его отношение ненаказуемо.",Medium,derogatory,"mocking, evaluative",disdainful,"нервничает, отношение ненаказуемо"
нам в россии они не нужны,Medium,informal,assertive and dismissive,negative,не нужны
"Это просто невозможно. Как же так,?",Low,frustrated,emotional,negative,невозможно
Кто это придумывает?,Low,inquisitive,informal and neutral,curiosity,none
Поговори у меня тут,Medium,commanding,colloquial and confrontational,irritation,Поговори
вот они и долетались,Medium,sarcastic,colloquial,disdainful,долетались
стас многим неугодил,Medium,neutral,informal and neutral,critical,неугодил
"Не надо руку поднимать на благородное создание, а сам он нехороший человек",Medium,disapproving,colloquial and judgmental,negative,нехороший человек
дак и нечего лезть ко всем .....,Medium,informal,confrontational and dismissive,negative,лезть
пусть сам едет отсюда,Medium,dismissive,informal,negative,отсюда
и что же ты тут делаешь и кого ищешь !!!!! :d,Medium,confrontational,informal and questioning,suspicious,none
"ну и славу богу что этого больше не будет, совёнок",Low,casual,colloquial and dismissive,relief,none
"Какой-то человек, прикрепил кота к подстилке, хозяева уже совсем того",High,informal and accusatory,emotionally charged,negative,"совсем того, прикрепил кота"
Что вас держит возле таких плохих людей?,Medium,inquisitive,somewhat critical,disapproving,плохих
"хоть и не умная, но очень красивая девушка",Medium,disparaging,informal,negative,не умная
"Не голосуйте за них, всю страну распродали",Medium,admonishing,directive and critical,disparaging,распродали
Такое враньё я читаю впервые! На кого рассчитана эта чушь?,High,aggressive,colloquial and confrontational,negative,"враньё, чушь"
зизу пусть монако или марсель сделает чемпионом...вранье ребят..,Medium,informal,informative and critical,negative,вранье
А кто то за этих людей жизнь отдавал,Low,reflective,informative and neutral,thoughtful,none
"Ну да, бедным людям в Москве не место",High,dismissive,colloquial and judgmental,hostile,бедным
да как носит таких людей на земле.,Medium,critical,conversational and judgmental,disapproving,таких людей
это у нас китайцы всё воровали и за своё выдавали,High,accusatory,colloquial,negative,воровали
не разрешать ему больше судить матчи,Medium,directive,authoritative,negative,"не разрешать, больше"
Он позорит честь настоящих мужчин,Medium,accusatory,negative and judgmental,critical,позорит
"Во-вторых, мой маленький, то, что покупается - это в основном капитальные вложения, и на прайс конечного товара влияет постольку-поскольку",Low,informal,informative,neutral,none
"Таких, как он сейчас очень много! И ни одного предателем не называют, всю страну растащили.",Medium,accusatory,informative and derogatory,critical,"предателем, растащили"
Ему нужно дать пожить на прожиточный минимум,Medium,critical,casual,resentful,прожиточный минимум
"Согласен, они плохие люди, но тогда кто наши министры здравоохранения, врачи, власть, которая идёт на поводу них?",Medium,questioning and critical,informal,critical,плохие люди
"Молодые ищут приключений, хотят порулить, не осознавая всей ответственности.",Low,informal,neutral and colloquial,slightly critical,не осознавая
так с ними и надо поступать,Medium,assertive,colloquial and direct,disapproving,поступать (in a negative sense)
"Всё, мне лениво с тобой бакланить",Medium,dismissive,colloquial,negative,"лениво, бакланить"
.....в городе должно быть чисто и спокойно.....,Low,neutral,informative,positive,none
Завидно ну сделайте так,Low,casual,neutral,indifferent,none
Ну прям ужас какой,Medium,casual,emotional and informal,negative,ужас
"и причем ваша форма ребята. то, что творят полицейские это касается только тех, которые поднимают руку на народ.",Medium,critical,informal and opinionated,disapproving,"творят, поднимают руку"
трое таких персонажей меня (думаю) до сих пор клянут.,Medium,critical,conversational,negative,клянут
Самых плохих их студентов отправляли работать с русскими.,Medium,judgmental,critical and discriminatory,negative,плохих
На эстраде редко встречаются настоящие таланты,Low,informative,neutral,critical,none
"Это что стих про них что ли? Это они диванные бойцы, которые в интернете пишут? Вы с ума сошли?",Medium,informal and accusatory,conversational and critical,dismissive,"диванные бойцы, Вы с ума сошли"
Он же официально беженец в Европе,Low,informative,formal,neutral,none
"Сами превращаете интернет в непойми что, сами же за это и получаете",Medium,accusatory,colloquial and critical,negative,непойми что
"Выйди из группы, что же вы все профессию родителя взяли",Medium,informal and critical,directive and dissatisfied,frustrated,"выйди, взяли"
"Эти господа ловили бы преступников, как и дед сказал",Low,neutral,informative,respectful,none
главный человек года уханя повар из полицейский из миннеаполиса сварщик из бейрута президент минска из d,Low,neutral,informative,neutral,none
Плохой человек не думает что однажды и к нему отнесутся плохо,Medium,judgmental,informative and neutral,critical,"Плохой, плохо"
Зачем вообще таких на застолье приглашать.,Medium,informal,dismissive and critical,negative,таких
Наказать за такое выступление,Medium,authoritative,judgmental and critical,disapproving,Наказать
"Уходите с Хабаровска, со всего Дальнего Востока",Medium,demanding,directive and imperative,negative,уходите
"Нагуляется, вспомнит что есть муж и дети. Таким женщинам хватает совести на все",High,sarcastic and judgmental,colloquial and disapproving,condemnatory,"нагуляется, совести, таким женщинам"
"Слушай, ты это ещё 20 раз напиши !!!",Medium,commanding and sarcastic,informal and imperative,irritation or annoyance,none
эти олигархи в думе знают что в стране есть детские дома и дома престарелых?! или уже все уничтожили?!....,Medium,critical,informative and accusatory,angry,"олигархи, уничтожили"
Вспомним самые светлые годы СССР и противостояние с Америкой,Medium,nostalgic,reflective and patriotic,"positive towards USSR, adversarial towards America",противостояние
У Батикова тоже веселья хватает,Low,casual,informative and neutral,positive,none
да и попугаи как раз в данном случае толпа пьяных дебоширов,Medium,informal,colloquial and derogatory,negative,"толпа, пьяных, дебоширов"
не приписывай другим свои памятные достижения!!!,Medium,informal,accusatory and imperative,negative,приписывай
Я в шоке неужели вот эта не чувствует что у неё разрез по самую нк хочу,Medium,disrespectful,colloquial and judgmental,critical,"шоке, не чувствует, разрез"
"А ты, что 41 й год помнишь? Сколько ей заплатили, чтобы она такую информацию произносила?",Medium,sarcastic,informative,skeptical,заплатили
протрезвел- одумался ? теперь будет выкручиваться пока адвокаты будут с него деньги тянуть ?,Medium,sarcastic,informal and critical,negative,"протрезвел, будет выкручиваться, деньги тянуть"
"Дынин Александр, это твой пост? Тебя за такое наказать надо",Medium,accusatory,informative and assertive,critical,наказать
"уахаха, человек, ты гений.",Low,mocking,informal,sarcastic,none
Автор повторяет слово русские много раз,Low,neutral,informative,neutral,none
на металлолом. ни себе ни людям. какие же казахи хитрые,High,aggressive,derogatory,negative,хитрые
"вы же считаете фургала преступников,а людей хабаровска глупыми людьми, хотя тоже лично незнакомы.",Medium,accusatory,colloquial and critical,negative,"преступников, глупыми"
Звезду героя превратили непонятно во что. Звания героя раздают своим. Куда катится страна,Medium,critical,emotive and informal,disapproval,"непонятно во что, раздают своим, катится страна"
да какой-то сидит и выставляет её фотки,Low,casual,informal and neutral,slightly annoyed,сидит
я в шоке с них,Low,informal,expressive,surprised,none
"Они никак не поймут, что кошки самые чистые существа на планете",Low,frustration,informative,critical,никак не поймут
"Террористов истребляют хорошо, а коррупцию ну такая трудная задача!!!",Medium,critical,informative and frustrated,frustration,"Террористов, истребляют, коррупцию, трудная"
"опека зря получает зарплату и ПНД не нужна, не умеют работать",High,critical,informative and negative,negative,"зря, не нужна, не умеют работать"
Яб сказал:хорошо что ты водила маршрутки!,Medium,sarcastic,colloquial,condescending,хорошо что ты водила маршрутки
"не понимаю, вас клонируют где-то что-ли?",Medium,sarcastic,informal and dismissive,negative,"не понимаю, клонируют"
сидишь в своей латвии и сиди нечего нос сунуть в чужую страну.,Medium,dismissive,colloquial and confrontational,hostile,чужую
"скорее всего мы видим самый конец астронавтики Америки, как и самого этого государства",Medium,pessimistic,opinionated and speculative,negative,"конец, самого этого государства"
она как будто дар речи потеряла,Low,informal,conversational,neutral,потеряла
"И опять метлы, помидоры и подарки. Снова теплицы, столярку, котлы. Надоели.",Low,informal,expressive and neutral,frustration,Надоели
"2 человека чушь рассказывают судьям, а теперь их слушают",Medium,informal,conversational and critical,disdainful,чушь
"любой человек не заслуживает доверия , и не важно хорошо нам или плохо .",Medium,cynical,informative and neutral,negative,не заслуживает доверия
"Я знаю про крутую грузинскую культуру, которую вы, судя по всему, нагло украли в свое время",Medium,accusatory,informative and argumentative,negative,"нагло, украли"
Зачем ты это писал,Low,neutral,inquisitive,curiosity,none
А почему в Золотом альбоме нет трека Black Стара незаслуженно Забытый трек,Low,inquisitive,informative,curiosity,none
"Ну вот значит, что если ты не скидываеш бумагу в унитаз, то ты отдаешь свои материалы на изучение людям из зарубежных стран",Medium,sarcastic,colloquial,dismissive,ни отдаешь свои материалы
"Очередная ложь. Глупые люди уже переводятся, все это неправда",Medium,informal,offensive and dismissive,negative,"ложь, глупые, неправда"
"Владелец сайта, на котором нарушаются Правила этого сайта, публично выставленные, врет.",Medium,critical,accusative and direct,negative,врет
Барса ни о чём спартак бы забил бы 6:0,Medium,critical,informal and colloquial,disparaging,ни о чём
ваш балл уходит в пользу форума!,Low,neutral,informative,positive,none
И нечего здесь орать что нам что-то принадлежало,Medium,aggressive,colloquial and confrontational,hostile,"орать, нечего"
Ещё один герой нашего времени..,Low,neutral,informative,slightly sarcastic,none
когда мы будем дышать чистым воздухом. адмистрация это к вам,Medium,critical,direct and accusatory,dissatisfaction,"адмистрация, это к вам"
это просто кошмар а не массаж,Medium,informal,critical and subjective,negative,кошмар
"Я из Америки,а ты из России",Low,neutral,informative and neutral,neutral,none
"тут не про деньги говорится, а про поведение этого человека!",Medium,indignant,direct and assertive,critical,"поведение, этого человека"
А какие то факты приводить вам смысла нет,Medium,dismissive,informative,negative,нет
они о детях своих бы подумали что ждет их детей,Low,concerned,neutral,worried,none
Где увлекательный рассказ про хабаровск,Low,inquisitive,informative and neutral,seeking information,none
"в россии много проблем будет, законы у нас такие",Medium,critical,informative and subjective,negative,"проблем, законы"
судя по твоим словам - ты точно русский.гордись собой,Medium,sarcastic,casual,mocking,гордись
ужасно!,Medium,strongly negative,emotionally charged,negative,ужасно
если торопитесь выезжай пораньше,Low,informative,neutral,advisory,none
я уж точно не советский,Low,informal,subjective and informal,dismissive,none
Дурят по всем фронтам,Medium,critical,colloquial,negative,дурят
"Кто кормил? Путин что-ли? Налог даже с грудного ребенка, на 2 памперса помощь",Medium,sarcastic,informal and critical,disapproving,налог
"эти либералы воду мутят, хотят Америку устроить",Medium,derogatory,colloquial and slang,hostile,"либералы, воду мутят, хотят Америку устроить"
Телевизор лет пять не смотрю и в одноклассники это лицо появляется,Medium,informal,colloquial and emotive,annoyance,это лицо
ты эт сталина вспомни .он 14 миллионов своих убил..,Medium,accusatory,colloquial,negative,убил
Зачем этот палач нужен.,High,hostile,confrontational,negative,палач
А письмецо накрапал - сущий ангел,Low,colloquial,informal,sarcastic,none
"Как всегда сказочно рассказал, особенно про дочку, сделавшую себе вакцину",Low,sarcastic,informal,negative,сказочно
кто собирает крышу на саморезах.кто вас учил?,Low,questioning,informative and neutral,critical,none
а этому что надо,Medium,dismissive,conversational and slightly aggressive,irritated,надо
у нас в семье 3 поколения там родились,Low,informal,informative and neutral,proud,none
вот это разговоры. вы не нашли в другом месте вести такие разговоры,Medium,dismissive,informative and neutral,disapproval,нет другим месте вести такие разговоры
Плохой человек старое кино переименовывает постоянно.,Medium,judgmental,critical,negative,Плохой
