Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations
Die@USER_0....was sind das eigentlich für Personen die für diese Texte und eigentliche Fake-News ...verantwortlich sind?,Medium,questioning,accusatory and critical,negative,"Fake-News, verantwortlich"
"Bij familievragen kent zij prima af.... Als we toch al familievriendelijk willen handelen, zijn er betere oplossingen:. Geen toegang voor alleenstaanden..!",Medium,discriminatory,informative and biased,exclusionary,"geen toegang, alleenstaanden"
"lieber #Horst #Seehofer, gibt es #Asylbewerber, die besser im #Tierasyl aufgehoben wären ? #sz #faz #zeit #nzz",High,sarcastic,disrespectful and offensive,disdainful,"Asylbewerber, Tierasyl"
"Die Ultras sind die gleiche Gruppe wie linke Anarchisten,wann wird endlich mal durchgegriffen.Unsere Juristen sind halt alle Gutmenschen die lieber eine arme Rentnerin ins Gefängnis schicken",High,hostile,informative but biased,critical,"linke Anarchisten, endlich mal durchgegriffen, alle Gutmenschen, Rentnerin ins Gefängnis schicken"
"Nu stoppen met jullie sancties. Ze helpen niets en beschadigen, ja -beschadigen- de eigen economie.",Medium,assertive,informative and emphatic,frustrated,beschadigen
Das ist der Frau Merkel garantiert egal. Die spielt mit anderen Politikern nun wieder Erschütterung vor + fertig,Medium,informal,disrespectful and dismissive,critical,"egal, spielt vor"
"Schulz, der nicht der Beste in der Schule war, forder einen Unsinn, an den sich die. Ost-Staaten und schon gar nicht die Einwanderer halten werden.",Medium,accusatory,informative and critical,negative,"Unsinn, schon gar nicht die Einwanderer"
IK en vele anderen ook. Het is zo. Ondanks uw commentaar.,Low,formal,informative and neutral,casual,none
Religionen sind alle FakeNews. Aber nützlich um Massen naiv zu halten und auszubeuten. Größte Bremsen in der Entwicklung der Menschheit.,High,derogatory,informal and confrontational,critical,"FakeNews, naiv, auszubeuten, Bremsen"
"Von der SPD fallen mir auf Anhieb mindestens 5 Personen ein, die ich nahe an Göbbels oder Himmler sehe.",High,derogatory,hostile and provocative,disparaging,"Göbbels, Himmler"
ist mit Sicherheit nicht der beste Talk-Show Moderator aber seine schlechte Zusammenstellung der Gäste wurde dann noch durch seine schwachte Moderation übertroffen. Au weia war das schlecht.,Medium,critical,informal,negative,"schlechte, schwachte, schlecht"
"Ist es noch ein Verfassungsgericht oder ein Gericht, das uns an der Nase herumführt? #DrittesGeschlecht",Medium,accusatory,critical,mistrust,herumführt
#Machtverlust Unfassbar mit welchen Methoden sich nun dieses rotschwarze Bündnis in #Österreich prügelt ...,Medium,critical,informal and biased,negative,"Machtverlust, unfassbar, prügelt"
"👍. ich frage mich echt, wie naiv man sein muss, um diesen verlogenen Politikern zu folgen...",Medium,informal,critical and emotional,negative,"naiv, verlogenen Politikern"
Könnten wir Kriminelle loswerden würde die #Asylbewerber-Welle auf beherrschbare Zahlen runtergehen.,High,aggressive,informative and biased,prejudiced,"Kriminelle, #Asylbewerber-Welle"
"Was für Personen hat unsere Regierung aufgenommen,aus Höhlen importiert und jetzt Sterneküche verpflegt genießen wollen!",High,derogatory,informative and emotional,complaining,Höhlen
Das ist erst der Anfang. Viele haben davor gewarnt. 9/11 jetzt ganz Europa. Einfach weil 50% der Deutschen nicht richtig nachdenken.,High,alarmist,provocative and accusatory,negative,nicht richtig nachdenken
60 % sind geklaut von uns ich mag dieses Bauern auch nicht,High,informal,accusatory and dismissive,hostile,"sind geklaut, mag nicht, Bauern"
Die Türken haben schon mal vor Wien im 17. Jahrhundert. Probleme bekommen. Raus mit den Doppelstaatsbürgern. Ab dafür.,High,hostile,derogatory and inflammatory,nationalistic,"Probleme, Raus, Ab dafür"
"Schulz, spar Dir Deine Aussagen. Es geht nicht um Verteilung, sondern um. Rückführung, verdammt nochmal. Es sind Einwanderer ohne Rechte.",High,aggressive,derogatory and accusatory,negative,"verdammt nochmal, Einwanderer ohne Rechte"
#Familiennachzug.. Sollen deze mensen toch weer terug naar hun families gaan. Waarom iedereen naar Nederland halen?,Medium,dismissive,informative and slightly aggressive,exclusionary,"terug, iedereen"
Trump saß auch nicht am Steuer und trotzdem hat ihn Presse und Medien direkt dafür verantwortlich gemacht!!,Medium,accusatory,informative and emotional,defensive,verantwortlich
Auf die Antje sollte man hören! Die ist wenigstens intelligent und vom Fach! ................... die anderen haben keine Ahnung und wollen/müssen sich nur ein paar Euronen nebenbei verdienen!!!,Medium,informal and dismissive,opinionated and derogatory,critical,"keine Ahnung, nur ein paar Euronen, nebenbei verdienen"
Ihr afghanischen Jugendlichen! Haut doch nicht ab und. kümmert Euch um Eure Angelegenheiten in Eurer Heimat.,High,commanding,informal and directive,hostile,"Haut doch nicht ab, Angelegenheiten"
Dann bleib am besten dort du linker Lügner!,High,aggressive,informal and accusatory,hostile,linker Lügner
Man gelooft het nauwelijks. De dame heeft de DDR blijkbaar niet bewust live meegemaakt.,Low,neutral,informative,skepticism,none
"Schade das wir soviele ungebildete deutsche Menschen haben, wer jetzt auf empört macht dem könnte ich glatt.....",High,aggressive,derogatory and offensive,negative,"ungebildete, empört"
wen interessiert dieser Türke gibt es nichts wichtigeres aus NRW zu berichten @USER_0 #WDR,High,contemptuous,informative but dismissive,negative,"Türke, nichts wichtigeres"
Wieso ist so ein linker Anarchist noch auf freien Fuß. Einsperren und dort lassen,High,aggressive,informal and confrontational,hostile,"linker Anarchist, Einsperren"
Wenn das zustande kommt müßte es eigentlich jeder merken das wir übergangen werden....!. Das ist keine Volksentscheidung ...das ist nicht Wählerwille ..!!. Meine Güte...😡😡,Medium,frustrated,emotional and assertive,negative,"übergangen, keine Volksentscheidung, nicht Wählerwille"
Wer wählt denn noch SPD mit dieser Schullaufbahn. Martin Schulz. 2 x sitzengeblieben. Der ist doch nicht geeignet.,Medium,informal,derogatory and critical,disapproving,"sitzengeblieben, nicht geeignet"
"Hetze, Wahlbeeinflussung in den USA u. GB, DAS IST DIESES LAND!!! Ach so, aber der Putin ist ja SCHULD 😂😂😂",High,sarcastic and accusatory,emotional and informal,critical,"Hetze, SCHULD"
Personen wie Tauber sind gut für`s Wahlergebnis. Merkel steht auf Leute oh. eigene Meinung 😜,Medium,sarcastic,colloquial and informal,negative,none
"George Weinberg war so ignorant, dass er nen gutes Sinnbild für Trumps Lager abgegeben hat. Die Republikaner sind meiner Meinung nach seit Bush in einer stetigen menschlichen Abwärtsspirale...",Medium,opinionated,informal and critical,negative,"ignorant, stetigen menschlichen Abwärtsspirale"
Raub Mord Vergewaltigung muss gesühnt werden...egal in welchem Land...Abschiebung erst nachdem diese Personen ihre Strafe absitzen...!,High,aggressive,punitive and judgmental,hostile,"Raub, Mord, Vergewaltigung, Strafe, Abschiebung"
Die Grenzen sind weit offen alle kommen sie herein registriert oder nicht das interessiert hier niemanden ....Das gibt es nur in Deutschland,Medium,critical,colloquial and opinionated,negative,"keiner, offen, registriert, interessiert niemanden"
Gratuliere ebenfalls!,Low,polite,informative and neutral,positive,none
"Die ist nicht nur peinlich, hat noch ganz andere Probleme, die Ungeeignetste, die mir diesbezüglich bisher begegnet ist",High,derogatory,critical and informal,negative,"peinlich, Probleme, Ungeeignetste"
Wo ist der #aufschrei #ausgruenden #Belästigung von #Flüchtlingsfrauen in #Flüchtlingsheimen? Könnt wohl nur #koelnhbf u Vorfälle mit #Refugees? :'-(,High,provocative,accusatory and informal,suspicious and accusative,"Belästigung, Flüchtlingsfrauen, Flüchtlingsheimen, Vorfälle, Refugees"
Die Roten lassen Moslems ohne Kontrolle rein und du heulst wegen einem Liedtext rum? #Landbauer,High,hostile,informal and accusatory,confrontational,"Moslems, heulst, ohne Kontrolle rein"
"Hat da tatsächlich iemand de Nahles voorgesteld, of was dat maar een kort idee ???",Low,informal,skeptical and questioning,doubtful,none
Und ignoriert die Asylsuchenden,Medium,assertive,informative and critical,negative,ignoriert
Und das sagt gerade eine pubertierende Person....heiligsblechle...😃😃,Medium,sarcastic and dismissive,colloquial and informal,derisive,pubertierende
"Jetzt wieder die typische AfD Rhetorik gepaart mit offensichtlichen Lügen.... unmöglich, Linker #Böhmermann",High,derogatory,aggressive,hostile,"offensichtlichen Lügen, unmöglich, Linker"
Auf nach Deutschland...die lieben solche Leute. ...und Geld gibt’s auch dafür...,Medium,sarcastic,informal,dismissive,solche Leute
#Invasion #Fakt Die kulturell inkompatible Gruppe von Personen versucht in verbrecherischer Art & Weise die deutschen Wahlen zu beeinflussen!,High,accusatory and alarmist,aggressive and derogatory,hostile,"Invasion, kulturell inkompatible Gruppe, verbrecherischer"
Schwarze eben nur triebgesteurt. War immer so und wird immer so bleiben!,High,discriminatory,derisive and offensive,racially biased,triebgesteurt
"Nur DER hatte noch Soldaten, Mutti hat nur Von der Leyens Truppe 😜",Medium,sarcastic,informal and dismissive,disparaging,Truppe (context-dependent)
"Bis dahin fällt den Grünen schon ein das Ghana kein sicheres Herkunftsland ist...die kriegen alles hin, die lieben solche Leute",Medium,sarcastic,colloquial and informal,critical,"kriegen, lieben solche Leute"
Ohne Worte....das manche Menschen so naiv sind....noch naiver sind wirklich nur Schafe...!,Medium,dismissive,informal and derogatory,negative,"naiv, naiver, Schafe"
Die SPD hat eben schlechtes Personal.,Medium,critical,informative and critical,negative,schlechtes
Schaut diesen hartnäckigen Anwalt an....😃😃,Low,casual,informative and neutral,positive,none
"Dass ist nicht freiwillig, sondern der Geldknappheit der Städte und Gemeinden geschuldet, die Gelder den Asylbewerbern geschenkt.🌬",Medium,critical,informative and opinionated,negative,"Geldknappheit, geschuldet, geschenkt"
Pubertierende...kein Wunder das deutsche Mädels keine deutsche Jungs wollen....!,Medium,dismissive,colloquial and informal,negative,"kein Wunder, keine, wollen"
"Diese Frau spricht viel, scheint aber keine Ahnung zu haben 🤦🏼‍♀️ Sorry",Medium,dismissive and condescending,informal and critical,negative,"keine Ahnung, 🤦🏼‍♀️"
Besser als Schreckschusswaffe gegen #Refugees: Wasserspritzpistole gefüllt mit Schweineblut ^^,High,hostile,informal and provocative,derogatory,"Schreckschusswaffe, Schweineblut"
Die grünen sind auch wieder dabei,Low,neutral,informative,neutral,none
"Ihr lügt was das Zeug hält, ihr Merkel Unterstützer!!",High,aggressive,informal,hostile,lügt
Was hast du für ein Problem mit Asiaten?!,High,aggressive,confrontational,accusatory,"Problem, Asiaten"
NrW Minister Jäger! : Der Mann spricht 😂😂😂😂😂,Low,mocking,informal and humorous,dismissive,none
"Bin wieder zu Hause in meinem Mecklenburg - in Szczecin meinte man, Merkel bekam heute die Aufmerksamkeit in Washington, die sie verdient 😜",Low,informal,neutral,positive,none
"In diesem Kiez sollten besser 1000 Deutsche leben ,als diese Gruppe von linken Anarchisten!",High,aggressive,discriminatory,hostile,linken Anarchisten
"Schulz wurde als Kind nicht verwöhnt, sondern die Schule war für ihn eine Herausforderung. 2 x sitzen geblieben und. ohne Schulabschluss.",Medium,informal,descriptive,negative,"nicht verwöhnt, Herausforderung, sitzen geblieben, ohne Schulabschluss"
Durch die #EU sind manche europ. Länder so verkommen daß sie ihr Volk wegen Geschäften mit Asylbewerbern verraten und verkaufen. #kapitalismus,High,critical,accusatory and inflammatory,negative,"verkommen, verraten, verkaufen"
"Tausende dieser Islam-Anhänger sind als Sozial-Touristen getarnt, noch in Deutschland unterwegs!",High,accusatory,derogatory and biased,negative,"Islam-Anhänger, Sozial-Touristen, getarnt"
Dabei hatte der Seehofer mal gute Ansätze...die Entscheidungen von Merkel spürt er heute noch. Das ablichten mit den Grünen ist seine Strafe!,Medium,critical,informative and opinionated,negative,Strafe
"Was soll sich denn drehen, wenn man diese SPD wählt? Vielleicht der Schulz im Vollsuff....",Medium,sarcastic,colloquial and informal,critical,Vollsuff
Was eine dämliche Diskussion .  Ich muss abschalten . Ich bekomme Kopfschmerzen.🤮,Medium,frustrated,informal,negative,"dämliche, Kopfschmerzen, 🤮"
WO SOLL DAS ENDEN ??? WENN MAN SO VIEL HASS UND WUT ERZEUGT WIE DIESE PERSON VON DER CDU/CSU/LINKE/ROTE/GRÜNE ????,High,aggressive,emotional and accusatory,negative,"HASS, WUT"
Die Linke Arroganz wird schon noch ihre Konsequenzen bekommen wenn so TAPFERE Menschen wie M.Albrecht länger am Watschenbaum rütteln !,High,derisive and threatening,sarcastic and insulting,hostile,"Arroganz, Watschenbaum"
Wenn man genügend bezahle pietätlose Antifa findet,Medium,critical,informative,negative,"bezahle, pietätlose"
Die meisten Messerangriffen sind nun mal von dem Asylbewerbern. Wer Das verharmlost ist für mich ein Fehgesteuerter Ignorant!,High,aggressive,discriminatory and accusatory,hostile,"Messerangriffen, Asylbewerbern, verharmlost, Fehgesteuerter, Ignorant"
Haha....von diesen gibt es tausende...ihr wolltet sie und jetzt habt ihr sie..!!. Diese Personen werden wir niewieder los😡,High,mocking,derogatory and confrontational,frustrated,niewieder los
Grüne machen es jetzt täglich 😜 erst konnten sie ihre neue Macht kaum fassen u. jetzt nicht mehr erwarten das Schland völlig zu ruinieren,High,sarcastic,informal and critical,negative,ruinieren
"Was mich an Linken am meisten nervt, ist deren moralisierende Art.. Wissen tun sie nicht viel, aber die Moral haben sie gepachtet.",Medium,critical,informative and opinionated,negative,"nervt, moralisierende"
Der Islam hat sich in den Sechzigern nicht integriert warum geht ihr davon aus dass er sich jetzt integrieren möchte? So naiv kann doch kein Mensch sein.. #illner,Medium,critical,informative and judgmental,skeptical,"nicht integriert, naiv"
"Es ist nicht die Aufgabe von Massenmedien, solche Themen zu verschweigen!!",Medium,assertive,critical,negative,verschweigen
Nazi Medien und Merkel Anhänger machen weiter Stimmunggegen den Präsidenten der Vereinigten Staaten!!,High,accusatory,inflammatory and derogatory,hostile,"Nazi, Stimmunggegen"
"Der Weg zum Erfolg führt in der CDU durch Merkels Zustimmung, Hirn braucht man nicht, Bsp. Altmaiers letzte 'Wahl-Äußerung' > 😜",Medium,sarcastic,derogatory,critical,Hirn braucht man nicht
"bei so vielen schwachen Entscheidungen, fragt man sich doch wie kommen die Verfassungsrichter darauf ?",Medium,criticizing,informative and neutral,dissatisfied,schwachen (weak)
"Jänicke möchte keine Windräder im Wald aber ohne genügend Abstand vor den Häusern der Landbewohner und das nur, damit er seine E-Karre laden kann. 🙄",Medium,accusatory,informal,critical,"keine Windräder, ohne genügend Abstand, Landbewohner, E-Karre"
Von wegen Cannabis....das sind Behauptungen der Pflichtverteidiger genauso wie dir Revisionen.. Die Anwälte erfinden neue Einnahmen.,Medium,critical,informative and skeptical,distrustful,"Behauptungen, erfinden"
Hatte schon Angst das ich ab jetzt nur noch an den Baum oder in die Hecke urinieren darf.,Medium,informal,expressive and colloquial,frustration,"Angst, urinieren"
"Deze mensen zouden echt een lesje moeten krijgen, zoals F.J. Strauß zei. Weg ermee en klaar!",Medium,assertive,informative and dismissive,disapproving,weg ermee
"@USER_10 @USER_6 @USER_3 @USER_7 @USER_2 @USER_1 @USER_5 @USER_8 @USER_9 Gibt es bei euch deutschfeindlichen Grünen, nicht ein Thema wo ihr NUR etwas Ahnung vion habt?",High,accusatory,informal and aggressive,hostile,deutschfeindlichen
Für d  Journalisten von ARD u ZDF ist es Hetze wenn man d tatsächlichen Zustände in diesem Merkeltollhaus anprangert. Jetzt AFD,High,derogatory,provocative and biased,hostile,"Hetze, Merkeltollhaus"
"Schauspieler u. Prediger Gauck ist krank??? Oder hat er schon Angst, wie 89 in Rostock. Tauchte dort auch lange ab 😂😂😂",Medium,mocking,informal and sarcastic,negative,"krank, Angst, Tauchte"
Diese unaufrichtige Frau ! Angela Merkel ist für mich die personifizierte Straftat ! Aber Islamkritiker gehen in den Knast !,High,aggressive,emotional and accusatory,hostile,"unaufrichtige, personifizierte Straftat, Islamkritiker, Knast"
Und eine Horde von loyalen Anhängern folgt ihr.,Low,neutral,informative,neutral,none
"Erschreckend, daß es #Frauen sind, die 30 Jahre #Emanzipation zugunsten islamistischer #Vergewaltiger in die Tonne treten! #AfD",High,aggressive,accusatory and inflammatory,hostile,"Erschreckend, islamistischer, Vergewaltiger"
Natürlich - die OSTKÜSTENDAME droht.,Medium,aggressive,informative and explicit,threatening,droht
#maischberger Fratscher voor migranten als investering. Tot dat moment #Islamisering en #IS terroristen. #abmerkeln,High,hostile,informative and accusatory,negative,"Islamisering, IS terroristen"
Unehrliche Personen. In der Kirche hat das Tradition.,Medium,critical,informative and accusatory,negative,"Unehrliche, Tradition"
"Man sollte grundsätzlich nur Schweinefleisch an Migranten ausgeben. Sollten diese das zurückweisen, könnten sie ja in den zahlreichen Kanalisationen Ratten fangen und verzehren.",High,derogatory,offensive and discriminatory,hostile,"Schweinefleisch, Migranten, Kanalisationen, Ratten, verzehren"
naiv ist wer nicht erkennt daß es in jeder Parteil naive. Belegen sie ihre vorlegte Hetze doch mal mit O-Passagen aus dem afd-Parteiprogramm!!,High,aggressive,confrontational,hostile,"naiv, Hetze"
Behalten Sie Ihre Meinung für sich! Die Kirche hat sich trotz ihrer Macht noch nicht tatkräftig eingesetzt!,Medium,assertive,direct and opinionated,critical,"keine, noch nicht tatkräftig eingesetzt"
Solange die sich selber streiten und Deutsche in Ruhe lassen. Egal.,Medium,dismissive,colloquial,indifferent,streiten
"Lieber höre ich mir die sogenannten Braunen an, als die Aussagen der extremen Linken",Medium,informal,biased and divisive,critical,"sogenannten, Braunen, extremen"
Stegner...du darfst doch nicht sprechen wenn der Schulz es dir nicht erlaubt...,Medium,dismissive,assertive,authoritarian,nicht erlauben
Biermann ist ein Mann der mit der Freiheit schon immer Geld verdienen wollte,Medium,critical,informative,negative,Geld verdienen
"Gabriel hat sich gemeldet weil er auch mal was sagen wollte!! Diese Person nimmt doch keiner erst, weltweit nicht!!",Medium,dismissive,insulting and dismissive,contemptuous,nimmt doch keiner erst
Yvonne #Willicks ist immer überzeugt wenn es ums Essen geht #Servicezeit #WDR,Low,informal,casual and supportive,positive,none
ich will die #Mauer zurück und dann die Menschen aus dem Osten und die #Flüchtlinge rausschmeissen,High,aggressive,informal and inflammatory,hostile,"Mauer, rausschmeissen"
"Der spinnt doch. Ich würde die Asylanten rauswerfen, wenn die meine Tür betreten.",High,aggressive and dismissive,informal,hostile,"spinnt, rauswerfen, Asylanten"
Kompliment den Niederlanden. Die verzichten auf Flugzeuglandungen in der. Türkei. Haha. Auch ich bin für Meidung der Türkei.,Medium,sarcastic,informal and biased,negative,"verzichten, Haha, Meidung"
SPD - . UNAUFRICHTIGSTE PARTEI DEUTSCHLANDS !!!. Aus welcher Partei stammt Steinmeier ???,Medium,aggressive,accusatory and critical,negative,UNAUFRICHTIGSTE
So siehts in Wahrheit aus. Viele Menschen kommt Nach D ohne Paß keine Akte.,Medium,informal,critical and accusatory,negative,"Wahrheit, keine, ohne"
"Solange solch Polit-Pfeifen, wie Merkel u. ihre Unterstützer bestimmen, was RECHTS ist, ist mir das egal - diese unehrlichen Menschen",High,aggressive,informal and derogatory,negative,"Polit-Pfeifen, unehrlichen Menschen"
So schaun Sieger aus lalalalla so schaun Sieger aus lalalallaalla...... Mein Traum geht in Erfüllung...Das Team Grün verschwindet endlich ..😂😂😂😂,Medium,celebratory,informal,negative toward Team Grün,verschwindet
"Tja,ich denke EU wird an Bürgerkriegen zugrunde gehen, ist ja genau das was die Eliten planen und die LINKE machts möglich !",High,aggressive,informative and accusatory,pessimistic,"zugrunde gehen, Eliten, Bürgerkriegen, planen, machts"
Wie naiv sind die meisten hier eigentlich 😡. Wer regiert Deutschland 'MERKEL' also die CDU sonst niemand!! Werdet doch mal wach Naiv-deutsche,High,aggressive,informal and accusatory,critical,"naiv, niemand, Naiv-deutsche"
"ich kann machen das die Luft riecht... Gehe damit auch nicht Hausieren....  Ihre Antwort ist meiner Meinung nach nicht ganz nachvollziehbar, ganz ehrlich",Medium,disapproving,informal and confrontational,critical,"riecht, nicht ganz nachvollziehbar"
Ich habe noch von keinem einen größeren Quatsch gehört als von diesem Beck...er schlägt alle Grünen 😃. Alter zieh dir lieber eine rein!!,High,disparaging and aggressive,colloquial and informal,hostile,"größeren Quatsch, schlägt alle Grünen, zieh dir lieber eine rein"
"Die Asylanten sollten für Unterkunft, Essen usw. arbeiten und in die RK einzahlen.",Medium,commanding,prescriptive,critical,Asylanten
Frau Barley war mit ihrem selbstsicheren Grinsen wirklich nicht zu ertragen.,Medium,critical,informative and emotional,negative,nicht zu ertragen
"Wieso lädt #Maischberger nicht das Opfer eines Asylbewerbers vom Wochenende in Oberhausen ein? Ach richtig, geht nicht, ist ja tot!",High,sarcastic and accusatory,informal and provocative,negative,"Opfer, Asylbewerber, tot"
"Trump lässt die Hose runter > Flugverbotszone in Syrien. Nur, um sich mit RU anzulegen, dafür hat er zu viel Angst 😜",Medium,sarcastic,casual and mocking,criticism,"Angst, anzulegen, lässt die Hose runter"
"Merkel und Gauck, ein ideales Paar! Unterstützer der Ostküste!",Medium,formal,sarcastic and politically charged,critical,Unterstützer der Ostküste
"Gegen Unwissenheit hilft, Bildung, mehr, effizienter!",Low,assertive,informative and neutral,positive,none
Aber 10 Prozent der Opfer sind Frauen! Frauen! Das ist das bessere Geschlecht mit den weiblichen Geschlechtsteilen!. Frauen!!!!,Medium,exclamatory,informative but aggressive,sarcastic,"Opfer, weiblichen Geschlechtsteilen"
Wo ist #Kubicki heute? Hat ihn Berlin schon zum Trinker und zum Freier gemacht? #illner,High,inquisitive and accusatory,informal and provocative,disparaging,"Trinker, Freier"
"Und die ukrainischen Soldaten werden heute vom Westen unterstützt - Poroschenko ist eine bedenkliche Person, meiner Meinung nach lügt und betrügt er!!!",Medium,accusatory,critical and assertive,negative,"lügt, betrügt, bedenkliche Person"
"Und anstelle sofort abzureisen,jammert dieser Gauck auch noch mit den Griechen.",Medium,critical,informal and negative,disapproving,"jammert, Gauck"
"Tag der deutschen Einheit??? 😂😂😂 In d. DDR war vieles nicht in Ordnung, aber dieses Land u. ihre Führung ist noch schlimmer 🤢",Medium,sarcastic,casual and critical,negative,schlimmer
Jeder glaubt es gibt 3 Geschlechter ist verwirrt,Medium,derogatory,informal,dismissive,verwirrt
Was Sie für Steuerbetrug halten gilt nur. in Deutschland und in Ihrem Kopf.,Medium,defensive,argumentative,dismissive,"Steuerbetrug, gilt nur, in Ihrem Kopf"
Die Frau darf ja nicht fehlen. Hätte selber gern einen Posten.,Medium,dismissive,colloquial,resentful,"nicht fehlen, gern einen Posten"
Oder Spanien gibt das von Marokko beanspruchte Land zurück und Ruhe ist!,Medium,assertive,neutral and opinionated,demanding,beanspruchte
"Die Tafeln sind total überlaufen zum großen Teil von Asylbewerbern, und deutsche Arme gucken in die Röhre!Die Asylbewerber brauchen ihr Geld scheinbar für Luxusartikel wie Klamotten,Smartphones und Rauschmittel.",High,accusatory,informative and biased,negative,"überlaufen, Asylbewerber, gucken in die Röhre, Luxusartikel, Rauschmittel"
Die Zuschauer klatschen wohl für jeden Beitrag was von den 4,Low,neutral,informative,indifferent,none
"Der bayerische Redner ist wieder am Werk! Wenn Merkel sich räuspert, ist wieder Ruhe im Staat!",Medium,sarcastic,colloquial and critical,negative,"räuspert, Ruhe"
"Frau Merkel drückt 'Verbundenheit' für Manchester aus > Wie unehrlich muss man eigentlich sein, wenn man d. Terror Tür u. Tor öffnete",High,accusatory,informative and judgmental,negative,"unehrlich, Terror"
Ein Antifaschist das sagt alles.,Medium,dismissive,informative and critical,negative,sagt alles
"Es ist unschön mit anzusehen, wie Merkel den Kirchentag als Bühne nutzt, um ihre MACHT zu erhalten, um so Dtl./EU an die Wand zu fahren 😜",Medium,critical,informal and accusatory,negative,"unschön, nutzt, MACHT, an die Wand zu fahren"
Was haben wir nur für ein Kabinett....,Medium,frustrated,informal,negative,none
"Stimmt, Österreich muss mittlerweile hinnehmen dass Moslems in Wien zum Mord an Juden aufrufen. Aufruf zum Völkermord!",High,accusatory and alarmist,provocative and incendiary,hostile,"Mord, Völkermord"
Diese Volksverräterin ist nur noch unnötig ich hoffe das diese .... bald weg ist,High,aggressive,informal and derogatory,hostile,"Volksverräterin, unnötig, weg"
"Eine liberalen Demokratie gegen ein autoritäres islamisches System, welches seinen Kindern zweifelhaftes beibringt.. Nein, die Verantwortung liegt nicht bei beiden.",High,argumentative,biased and inflammatory,disapproving,"autoritäres, islamisches, zweifelhaftes"
"Ich muss mich von ungebildeten, überbezahlten politischen Rednern nicht als Nazi, oder Populist bezeichnen lassen!!!",High,angry,offensive and accusatory,hostile,"ungebildeten, überbezahlten, Nazi, Populist"
Stoppt denn keiner diese Person!,Medium,aggressive,informal and commanding,frustration,Stoppt
Lösung in Sicht...Ticket verteuern und Sicherheitspersonal in die Busse!,Medium,urgent,directive and critical,frustration,"verteuern, Sicherheitspersonal"
"wenn du den Mut hättest,dann sag wirklich wie du heisst !!!! Oh Entschuldigung !",Medium,challenging,informal and confrontational,provocative,"keine Mut, wirklich"
"Kinder in Schwimmbad unbeaufsichtig zu lassen,kann man als Eltern vergessen,wenn frei rumlaufende kriminelle Geflüchtete ihr Unwesen treiben.#abmerkeln",High,accusatory,informal and inflammatory,negative,"kriminelle, frei rumlaufende, kriminelle Geflüchtete, ihr Unwesen treiben"
die Partei ohne Rückgrat #SPD fällt wie zu erwarten gewesen ist doch um. Und demnächst unter 5%,Medium,critical,informative and negative,disparaging,"ohne Rückgrat, fällt, unter 5%"
"Wenn schon die Betreuer Atemschutzmasken benutzen ,wer schützt uns vor Tropenkranken?",Medium,concerned,inquisitive,worried,Tropenkranken
Nu stop eens met die leugenaar. Voor mij is hij een zielige man die enkel in het openbaar kussen wil. Verder niets boeiends.,Medium,informal,informative,dismissive,"leugenaar, zielige, niets boeiends"
Mit dem Geld für die Goldjungenfamilien hätte man JEDEM DEUTSCHEN RENTNER/IN ein menschenwürdiges Dasein sichern können.,Medium,critical,informative and critical,resentment,Goldjungenfamilien
Die ganze Truppe auf einem Haufen,Low,colloquial,informal,neutral,none
