Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations
"Одного разу зробивши фiгню, ти раз-у-раз думаєш над черговою.",Medium,informal,conversational,frustrated,фiгню
"твіттер, чим більше оновлень, тим більше лагає",Low,informal,complaint,frustration,лагає
тобто? тобі більше 25?!,Low,questioning,colloquial,curiosity,none
Я: у мене якась депресія вже протягом тижня...,Low,informal,expressive,distressed,депресія
"Зайди на фб, молю вк не дає нічого зробити, це все чоловік поганий",Medium,frustrated,informal,negative,поганий
Хочеш бути потрібним усім на тебе байдуже люди дивуються 'А шо ж це ти такий злий?',Medium,sarcastic,colloquial,negative,"байдуже, злий"
"Боже, нарешті хтось про ССR сказав",Low,expressive,informative and neutral,relief,none
"тому, кстатє, спайк лі получив каннську гілочку, а кокотюха нічого не получив, і так йому і нада.",Medium,sarcastic,informal and colloquial,negative,"нічого, нада"
"Найбільший злочин проти українського народу - влада, яка складний час впевнено і безбожно продовжує брехати",Medium,critical and accusatory,emotional and assertive,negative,"злочин, безбожно, брехати"
Коли надурила самого Бога Долею.,Low,solemn,poetic,reflective,надурила
"нащо ти палиш, ну блин",Low,informal,colloquial and expressive,mild frustration,блин
"ніколи...чуєте, ніколи! не плутайте такі речі. це ж не можлiво порівнювати))",Low,assertive,informative and directive,emphatic,none
Він вміє гадити мимо лотка і гарантовано не допускати олігархічного беззаконня.,Medium,critical,informative but colloquial,negative,"гадити, олігархічного беззаконня"
"Я ненавиджу своє тіло, сам факт свого існування.",High,negative,emotional and expressive,very negative,"ненавиджу, факт існування"
"-------- Ну як завжди, Кежуал конверсейшнс віз)))))",Low,sarcastic,informal and casual,dismissive,none
Як добре що таке безглуздя властиве лише монархіям,Medium,sarcastic,disparaging,negative,безглуздя
'ти п''єш без нас',Low,informal,colloquial,mild disappointment or exclusion,none
Всі такі таємничі,Low,neutral,informative,curious,none
Не треба мені розповідати за бєдних лікарів & призваніє.,Medium,dismissive,informative,negative,бєдних
"Краще померти, ніж визнати, що помилився.",Medium,dramatic,emphatic,negative,"померти, помилився"
"всі, кому не нрав Євробачення тікайте з села",Medium,commanding,colloquial and dismissive,exclusionary,"тікайте, села"
"дякую, а ти киця",Low,casual,informal and friendly,positive,none
"Шо за нісенітниця? - сказав я, уважно підбираючи слова.",Medium,dismissive,colloquial,frustration,нісенітниця
Не розумiю чим я заслужила цю карму останнiм часом,Low,frustrated,conversational,negative,"не розумiю, карму"
"не писать йому тоді, чи шо",Low,informal,colloquial,uncertain,none
"То роби щось, жінко",Medium,commanding,colloquial,disrespectful,жінко
"Я третій день в хаті, а втікти звідси хочеться ВЖЕ І НЕГАЙНО.",Low,frustrated,colloquial,anxious,"втікти, НЕГАЙНО"
"Я зара вшарила, що я дуже не розумна.",Low,informal,conversational and self-critical,negative,не розумна
"Це не просто розтрачення,а нудне розтрачення",Low,informal,informative and neutral,negative,нудне
навіщо ми це зробили?,Low,inquiring,neutral,curiosity,none
"гегель такий мілаш,коли пише про абстрактне мислення, і такий чудний, коли товкмачить про право і державу.",Low,informal,subjective and colloquial,casual,чудний
Пісня про сесію:зззНа відміну від–так ну його :з,Low,informal,colloquial and casual,dismissive,так ну його
"чи не редиска ти, Дмитро?",Medium,sarcastic,colloquial,negative,редиска
"'Навіть не знаю, то дар чи прокляття моє вміння НІЧОГО НЕ ЗАБУВАТИ От якого, мозок, ти так підручники не запам''ятовував'",Low,contemplative,reflective,frustration,прокляття
Здається комусь вже пора надавати.,Medium,aggressive,colloquial,warning,надавати
Гоголь хоче всіх волонтерів фул-тайм і щоб всі фоткали афіші (шо за маячня афішами?) і набрали 300 людей (!).,Medium,demanding,informal and critical,frustration,маячня
"Ідеальна рiч, щоб тебе ніхто не торкався в метро, знайдена.",Low,casual,informative and neutral,neutral,ніхто не торкався
"(Якшо якась людина, знову, не зіллє інфу)",Medium,informal,colloquial,threatening,зіллє інфу
"Злить одна людина на роботі, але я не б''ю старших",Medium,frustrated,colloquial,negative,злить
Найкращі ультрас - дівчата з РГМ.,Low,casual,informal,positive,none
"Хеппі бьоздей, щось зовсім не хеппі.",Low,sarcastic,informal,negative,зовсім не хеппі
"я б з тобою поговорила, але ти такий дивний",Medium,informal,conversational,negative,дивний
І щоб не було ще ліпше: порвані джінси,Low,sarcastic,colloquial,negative,порвані
"поранивши палець, намагаючись розбити варене яйце кістяшками.",Low,neutral,descriptive,neutral,поранивши
"Отак не встиг зафоловити людину, як вона почала писати нісенітницю.",Medium,informal,conversational,frustration,нісенітницю
ти підписав собі вирок,Medium,threatening,informal,negative,вирок
"Хоча насправді байдуже, просто не було чим, а його щітка й справді чистить в важкодоступних місцях.",Low,informal,informative and neutral,neutral,байдуже
На кожен капець є своє все одно.,Low,neutral,colloquial and optimistic,philosophical,none
Ви хоч раз слухали що він каже?,Low,questioning,informative and neutral,curious,none
тепер моя черга сказати 'ну ось і все',Low,informal,casual,closure,none
Бамс нада шось придумати годне бамс добре і так зайде,Low,informal,colloquial and casual,encouraging,none
"«Подивіться, яка я бідося, жалійте мене!».",Low,dramatic,colloquial,seeking sympathy,біда
Останнім часом не бачив НЕ поганих людей.,Low,conversational,informative and neutral,negative,НЕ поганих
"КекНу типу бреше ніачом то і в житті не важкоНо я колись теж напастой мовчав, тому шарю тебе",Medium,informal,conversational and colloquial,understanding,"бреше, напастой"
сід каже що я ніяка :(,Medium,informal,conversational,negative,ніяка
"Капець, я не можу змусити себе вчитися",Low,frustrated,colloquial,negative,Капець
А всюди натовп з руками,Low,neutral,descriptive,neutral,none
"Чемпіоном він хоче бути, ага",Low,sarcastic,informal,doubtful,none
Та тоді якийсь ужас бувв мене рідко губи тріскають,Low,informal,conversational,discomfort,ужас
Яка ж я зла,Medium,frustrated,emotional and expressive,negative,зла
"Зараз закурю... поганий футбол, тримай себе в руках, Міла",Low,informal,conversational,frustration,поганий
"Ще раз переконуюсь, що я думаю чимось, а не мозком",Low,informal,colloquial,self-deprecating,"чомусь, мозком"
Блін точно)і поміняти прізвище вконтактику,Low,casual,informal,neutral,none
"Лєна, краще мене кашею годуй, ніж того хлопця.",Low,informal,colloquial,jealousy,none
"я й не бачила, шо вже так пізно.",Low,informal,conversational and neutral,surprised,none
"ця ""безвітсоткова позика"" це знущання з усіх, без виключення українців. ось що бісить у тому числі.",Medium,critical,informative and emotional,negative,"знущання, бісить"
Йди геть під силу,Medium,imperative,informative and directive,dismissive,Йди геть
"Дякую за зауваження)Бити мене треба, щоб менше тараторіла!",High,sarcastic,aggressive and informal,negative,"бити, треба, тараторіла"
А нє поставіть-ка мне моє достоєнство на аву і зіпсувати собі репутацію,Medium,sarcastic,colloquial,negative,зіпсувати
"Очікуєш на щось гідне, а в результаті отримуєш щось погане",Low,neutral,informative,disappointed,погане
"Мені багато французької, а манав, бо усний",Low,casual,informal,frustration,манав
та ну ви знущаєтесь?,Low,informal and questioning,conversational and direct,skeptical,знущаєтесь
Воно нас ні до чого не готувало.,Low,neutral,informative,disappointed,none
Чого ж так смішно з цього?,Low,curious,informative and neutral,inquisitive,none
"Рубрика 'Всім начхати на ті всраті діалоги':Итс соу світ вен після п'янки всі звітують, що дома.",Medium,informal,conversational and informal,dismissive,"начхати, всраті, п'янки"
завжди роблю поганий а їй нра,Medium,informal,colloquial and casual,frustration,поганий
Кидає фотку в платті і каже - диви яка в мене тут п''ята точка!,Medium,informal,colloquial,casual,п'ята точка
"не питання, від кого передати?)",Low,casual,informative,neutral,none
"'Перед тим, як щось затвітити, запитай у себе: ''А може всім байдуже на то?'', і пам''ятай, що відповідь завжди ''Так''.'",Low,casual,informative and humorous,dismissive,байдуже
навіщо ти пишеш твіти з моєю картинкою?,Low,inquisitive,colloquial,curious,none
"'ти пам'ятаєш, шо мені було потім?) я мацала так пити)'",Medium,informal,colloquial and slang,casual and humorous,мацала
"Господи, вирубіть уже літо.",Low,informal,expressive and emotional,frustration,вирубіть
"Той в тг не заходитьТи шо, яка ВікторіяЯ собі не дозволяю тепер такого",Low,informal,conversational,slightly annoyed,none
"Чувак, який безуспішно намагався вмовити мене на секс, пішов ва-банк і тепер замість ниття кидає мені АНЕКДОТИ.",Medium,dismissive and playful,informal and colloquial,frustration mixed with humor,"безуспішно, вмовити, секс, ниття"
"Ну, погані і є погані",Low,neutral,colloquial,dismissive,погані
Нема зворотніх плацкартні на коли мені треба в обозрімом будущєм,Low,neutral,informative,frustration,none
"Дивлюсь на відповіді голосувань і, хто так погано мене знає?",Low,informal,neutral,curiosity,погано
Та навіщо ти мені потрібен,Medium,dismissive,colloquial,negative,потрібен
"Люди кажуть, що всім всеодно на них.",Low,neutral,informative,indifferent,всеодно
"В коментарях автор пояснює, що їздив дивитися, як тубільці б'ються між собою, про “both sides” і “more neutral approach”, прекрасно",Medium,condescending,informative and sarcastic,dismissive,тубільці (natives in a possibly derogatory context)
"Підйом, Arbeit macht frei",High,provocative,informative and charged,controversial,Arbeit macht frei
"Є частинка щастя в хорі народу на концерті Жадана і Собак, який співає:Чотири роки без Кобзона!",Medium,celebratory,colloquial,positive with indirect criticism,Чотири роки без Кобзона
"Кидайте цю милоту будь якому російському , що почне говорити за те як на Сколєнії жить харашо.",Medium,informal,colloquial and provocative,antagonistic,none
НєБо у вас поганий гуртожиток,Medium,critical,informative,negative,поганий
"Очевидно, бог чистоти приготував, щоб покарати мене, бо не прибираю.",Low,neutral,informative and casual,slightly negative,покарати
Відчепіться зі своїми стереотипами.,Medium,imperative,confrontational,negative,"Відчепіться, стереотипами"
"І головне ж перша заговорила, а я...невдаха...",Low,resigned,colloquial,self-deprecating,невдаха
Кольорова печать на звичайному папері 10 гривень Ідіть,Low,neutral,informative,directive,none
Бо вам то не подобається.та блін.,Medium,frustrated,informal and slightly aggressive,annoyance,блін
Хороші спогади - це та ще штука.,Low,informal,casual,neutral,none
"як же мені прикро, що все так ;(",Low,sad,expressive,disappointment,none
"Ось навіщо мене діставати з самого ранку, а???",Medium,frustrated,casual,annoyed,діставати
Тому доводиться вмикати режим хитрощів.,Low,neutral,informal,cautious,хитрощів
"Все одно він негідник, бо не пише",Medium,accusatory,informal,negative,негідник
"Ахахах добре, шо не поступав туди#КНЕУ_топчік",Low,casual,informal and colloquial,sarcastic,none
"Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок...",Low,reflective,informal,frustration,забивати
Сподіваюся вся ця ситуація яка весь тиждень вставала між нами і Одесою не була жахливим попередженням світобудови,Low,concerned,informative and reflective,anxious,жахливим
Подруга прийшла поговоріть зі своїм хлопцем до мене в кімнату.,Low,neutral,informative,casual,none
Всі збиратимутися та вонанувати на твої фоточки.,High,hostile,aggressive,derogatory,вонанувати
"Чоловіки, хлопці - опануйте себе і до Києва!",Low,imperative,direct and motivational,encouraging,none
"Бандіти, написав в бложик, про те як поліцейських вогнеметами озброїли.",Medium,informal,informative,skeptical,"Бандіти, поліцейських вогнеметами озброїли"
"ДаЗнав одну, божевільного людини не бачив",Low,informal,colloquial,dismissive,божевільного
не лишайте пухнастих наодинці зі шкарпетками,Low,informative,conversational and neutral,light-hearted,none
"Хочу постити депресивну дурниці в інст, але там забагато знайомих",Low,informal,colloquial and casual,frustrated,"депресивну, дурниці"
"І, їхала сюди - то мала роботу.",Low,neutral,informative,neutral,none
Українська термінологія - це жах.,Medium,critical,informal,negative,жах
"Він потім думає, ну і не дуже то і хотілось їсти.",Low,casual,colloquial,indifferent,none
'- Ти п''єш горілку і перестаєш на все реагувати',Medium,accusatory,informal,critical,перестаєш
Ну чьо Михасику не отримаєш ти того що ти хочеш...,Low,casual,informal and conversational,dismissive,не отримаєш
Дуже хочу написати щось дуже розумне але хто його знає що...,Low,informal,expressive,neutral,none
Коли ти дуже жостко глузуєшь над Настєю,Medium,aggressive,colloquial and hostile,negative,жостко глузуєшь
"обколються своєю марихуаною, а потім всяку дурість роблятьнаркотики - зло",Medium,judgmental,colloquial,negative,"обколються, дурість, зло"
"ба-ссуха, там одна 'с', чол",Low,casual,informal,neutral,none
каре і срібло у жахливой якості,Medium,critical,informative and expressive,negative,жахливой
"Так хочеться простого людського, щоб дуже побили по попі.",Medium,informal,colloquial,humorous or fetishistic,побили
Навіщо ти включила бізнес аккаунт в інста якщо ти школярка і тебе фоловлять тільки твої однокласники..,Medium,condescending,informal and demeaning,disparaging,"школярка, тільки твої однокласники"
Коли пацан - геть як відразливо.,Medium,negative,colloquial,derogatory,відразливо
– Я що хворий налогі платіть?,Medium,rude,colloquial and informal,frustration,хворий
як же хочу сирників.,Low,casual,informative and neutral,positive,none
"Бо перша ночі, а ти тут розлігся як тюлєнь на льодовику.",Medium,sarcastic,conversational,disapproving,"розлігся, тюлєнь"
ото жиза я в шоці,Low,informal,colloquial,surprised,none
"Діма: цвіте і пахне, вже чудово себе почуває та готовий валили на сесіюХтось: нічого собі, в тебе карантин",Low,informal,conversational,positive,none
смм вийшов на вулиці і нам всім хана,Medium,casual,colloquial,negative,хана
"Хотіла б бути твоєю сестрою, щоб завжди мати можливість тебе кохати.",Low,affectionate,romantic and intimate,positive,none
"Я просто маленька дівчинка, котра хоче тортик, обіймів і покарати ворогів.",Medium,emotional,informal,aggressive,"покарати, ворогів"
"Хочеш їсти - їж, хочеш пити - пий, хочеш сексу - ну, буває.",Medium,informal,casual and explicit,dismissive,сексу
"Крутi мапи Польщі, мої улюблені про туризм, найбільш небезпечних тварин і ландшафт.",Low,enthusiastic,informative and positive,positive,none
"Лєра, вітаю, ти испортила найбільш невибагливу рослину.",Medium,sarcastic,informal and familiar,negative,испортила
'А п'ять двадцять п'ять)) ну не так вже бити мене не звикати)',Low,sarcastic,conversational,resigned,бити
"ну, я не вірю",Low,informal,neutral,skeptical,none
"Про мій твіттер гарно сказав Чарльз Буковскі 'Лінь народжує погане, погане - страждання, страждання - літературу ...",Low,reflective,literary,thoughtful,"лінь, погане, страждання"
навiщо я це вчу?,Low,neutral,casual,confused,none
"вже майже четверта, а я не сплю, що за",Low,informal,colloquial,frustration,none
'годуємо котів о п''ятій ранку',Low,neutral,informative and neutral,routine,none
"Це ж наче таке, але від неї паскудно до смерті.",Medium,negative,colloquial,disgust or repulsion,"паскудно, смерть"
Мужик що проходив мимо зацінив мою попу.,Medium,informal,colloquial,objectifying,"мужик, попу"
Ну вот прямо як у мене),Low,informal,casual and conversational,neutral,none
"давай закрутимось у вирі пристрастей?-, Якубович, крути сам свій барабан, старий ти дід",Medium,sarcastic and dismissive,colloquial,negatively charged,старий дід
"Вам що, феміністка дорогу перейшла",Medium,sarcastic,casual and informal,disdainful,феміністка
"Я не зла, але скоро буду бити вікна так припаркованим",High,aggressive,informal and threatening,hostile,"бити, вікна"
"В чому ваша, проблема?",Low,questioning,colloquial,neutral,проблема
Приватбанк - професійно шлемо Подзвони їм.,High,informal,confrontational,hostile,шлемо
"Але не можу, бо то сім'я.",Low,informal,neutral,neutral,none
"Має дві роботи, але вкрай ниє, яка у нас хренова держава, який він бідний, яке прикре у ньго життя.",Medium,negative,informal,complaining,"вкрай ниє, хренова, бідний, прикре"
Ось у наших батьків частково така проблема,Low,neutral,informative,concerned,проблема
Ну окЯ погана людина по факту і всьо,Low,resigned,colloquial and casual,negative,погана
"Мене зараз закидають тухлими помідорами, але Скарлет Йохансон",Medium,negative,colloquial,frustration,тухлими помідорами
Як перестати хотіти все що рухається,Medium,informal,casual and directly suggestive,disrespectful,рухається
"Здатність говорити - це просто найнепотрібніша рiч, дана мені.",Low,reflective,emotional and critical,negative,найнепотрібніша
"Це все Путін своє клімактічєскоє оружіє запустив, щоб нас зі світу зжити.",High,aggressive,colloquial and accusatory,hostile,"Путін, клімактічєскоє оружіє, зжити"
"Ну блін, як воно звучить",Medium,informal,colloquial,frustration,блін
"Заношений дірявий светр, списані блокноті, люди, котрим на тебе всеодно",Medium,informal,descriptive and negative,disregard,"Заношений, дірявий, списані, всеодно"
"Здається, мене люблять 2 дівчини.ото не варто було писати шопопало",Low,casual,colloquial and informal,reflective,шопопало
"А варто лиш почути всяку наркоманську фігню, ржу як коняка.",High,derisive,colloquial and informal,mocking,"наркоманську, фігню"
Ну вас з вашою політикою.,Low,dismissive,informal,frustrated,none
'П''яний друг каже: 'ніколи займайся сексом с дівчатами з економічного...',Medium,informal,colloquial and suggestive,stereotypical,"П'яний, ніколи, займайся сексом, дівчатами"
"привіт пенсіонерський відпочинок: сходила в замок, погуляла набережною, випила, тепер наступні дві доби хочу просто проспати в номері.",Low,casual,colloquial,relaxed,none
"не звертай уваги. таких мільйон, ти одна.)",Low,reassuring,conversational,supportive,none
Через твіттер капуста підгоріла ._.,Low,informal,conversational,frustration,підгоріла
"Я: Рєбзь, може суші візьмем?",Low,casual,informal,friendly,none
"Ну, давайте вже про імпотенцію та рак, так нецікаво.",Medium,sarcastic,informal and dismissive,insensitive,"імпотенцію, рак, нецікаво"
Я викину цю картку в Стікс,Low,neutral,colloquial,casual,none
я тікаю від вас спати,Low,informal,casual,neutral,none
а шо це справді лякає?) я завжди так роблю,Low,informal,casual and neutral,nonchalant,none
Ахахах уявив собі це,Low,humorous,informal,positive,none
"Ого, а навіщо вони це постять",Low,inquisitive,casual,neutral,none
"А навіщо він, є від нього щось, окрім шкоди?",Medium,questioning,critical and dismissive,negative,шкоди
"Я sooooo excited, прям заднім місцем в кріслі пританцьовую",Low,informal,expressive and colloquial,excited,заднім місцем
"словом, набридло то всьо. ви кто такіє? я вас не звал. iдіть звідси",Medium,aggressive,colloquial and imperative,hostile,"набридло, хто такіє, не звал, iдіть звідси"
Один раз побув поганим чоловіком і на все життя ним залишився.,Low,neutral,informative,negative,поганим
Однаково погано добиратись з Наукової до Рясне шо старим 131 шо новим 11 #lviv,Low,informal,casual,negative,погано
Де вона зараз – ніхто не знає,Low,neutral,informative,uncertainty,none
"Жарт, над яким не гріх поплакати.",Low,conversational,casual,negative,плакати
"ой блін, плюнув подорожник приклав і кайф",Low,casual,colloquial and informal,relaxed,блін
Ну чого вони такі каєфні?,Low,informal,casual and friendly,positive,none
"я за сьогодні вже 2 рази , руки реально нiзвiдки треба ростуть",Low,informal,colloquial,frustration,нiзвiдки
"Можу допомогти, все рівно нічим не займаюсь",Low,casual,informal,indifferent,none
"п'ята точка, к слову – на 2 з мінусом і без наколок.",Low,colloquial,informative and slightly negative,critical,"п'ята точка, на 2 з мінусом, без наколок"
Я буда в шоцi і привела кураторку.,Low,informative,neutral,slight surprise or concern,none
"До деяких людей не виникає інших питань, окрім 'Ти уже родився таким?'.",Medium,informal,derisive,dismissive,родився таким
Я можу придумувати дивні програми для СТБ.,Low,neutral,informative,creative,none
"ті самі, котрі 'полная імпотєнція в укаінском інфополє' і через два твіти – 'боти Порошенко на з/п' гг",High,"sarcastic, critical",colloquial,negative,"імпотєнція, боти Порошенко"
Хахахах зато ви всі такі правильні що Господь Бог цурається вас,Medium,sarcastic,disparaging,mocking,цурається
Вангую прапори новоросій чи іншого роду провокативні речі на трибунах,Medium,predictive,colloquial,negative,провокативні
"Сміх сміхом, а попа горіхом",Low,humorous,colloquial,playful,none
"Тільки раптом що це їсти треба, а не намазувати кудись",Low,casual,informative and neutral,slightly humorous,none
