Sentence,Negative Connotations
Daros prisa. La memoria histórica de Carmena cambiará el nombre por el de cualquier payaso podemita,payaso podemita
"Ya venís en manada a quejaros, anda a tomarte una mArandina.   ","manada, quejaros"
son sus costumbres y hay que respetarlas..,
"Mamona, tengan la mierda que tengan ellos, lo nuestro sigue siendo igual de lamentable","Mamona, mierda, lamentable"
"Han quedado los últimos 'Gran mayoría' Además de facha, tonto.","facha, tonto"
El dia que morais todos los fachas podre palmarla tranquilo ...,"morais, fachas"
No he leído a una sola mujer quejarse de twitt solo a los de siempre....los machirulos fachas ...que asquito,"machirulos, fachas, asquito"
"Aquí Piatti que no metía un puto gol y en el Español, lleva ya unos cuantos, mamón. ☹️","puto, mamón"
"Ahora pides asilo político HDP, ahora las escorias oficialistas pidiendo asilo que tal.","HDP, escorias"
"Encima cacho parguela te pones de gilipollas con ella, subnormal","cacho, parguela, gilipollas, subnormal"
"Que alguien se lo impida, que todavía les quedan pensiones por pagar.",impida
y el drama con el guiri de mierda de seamus en eurovision super living,"drama, mierda"
"Cada vez, la situación del país está en la mierda la de mierdísima #FreddyGuevaraTeCAGASTE","mierda, mierdísima, cagaste"
Ghostt subnormal se nota a la legua que eres tú el ... — Mira como llora el puto bizco,"subnormal, puto, bizco"
tu respuesta dice que no crees que el catalán tendría que ser de obligatorio entendimiento. Eres un puto…,puto
"Lo trataré con el trato maricon, penca, discriminatorio como trató a varios de mis compañeros 😒 VIEJO CULIAO.","maricon, penca, discriminatorio, VIEJO CULIAO"
no podia esperar a llegar a tierra para ponerse manos a la. obra,
"En ESPAÑA tenemos un Gobierno PSOE-UP, asi que simplemente estamos DISFRUTANDO LO VOTADO.",DISFRUTANDO LO VOTADO
Hay gente dándose cuenta de que Hamilton es imbécil en pleno 2020.,imbécil
No los vio el open arms,none
"Me gustaría saber lo que tú harías, si te llegará a pasar a ti. Eres el típico charlatán de feria.",charlatán
Porque usted es un hombre de bien y con valores. Esos otros son alimañas y 0,alimañas
Un Catalan a clasificado al Barça Cabroooooonnn,Cabroooooonnn
"Jajajajaja turco, subnormal, cuñado e español madremía.... PLENOOOO",subnormal
"Lo mejor, es que ya lo tenemos aquí y tenemos que mantenerlo en la cárcel, gracias",cárcel
"- Porque se que es la única forma que me visiten todos los fines de semana, borrachos malparidos","borrachos, malparidos"
Daniel has muerto o algo no te veo twittear como un subnormal,"muerto, subnormal"
"Pinche gobierno de mierda, no ayudan pero como estorban HDSPM.","Pinche, mierda, estorban, HDSPM"
"Los gallegos viejos, en gran parte, son basura franquista. Entre los jóvenes ya hay mucha más dignidad.",basura franquista
Muchas veces en sus carceles sobornan a gente y viven como reyes.,sobornan
Cómo estará el país para que ni los moros quieran estar,moros
"Ah, porque se va y viene la hija puta. Están haciendo el subnormal apagando y encendiendo","hija puta, subnormal"
"Son los mismos miserables de siempre, porque sera que siempre votan negativo a este tipo de noticias.......","miserables, negativo"
"Una paguita para ese hombre, que se ve con ganas de integrarse y aceptar nuestras reglas/costumbres.",paguita
"Eso no lo sabemos, puede que vinieran de pequeños. Si es asi, expulsión.",expulsión
#YoSoyAnonymousUE basta de absurda represión victimista por parte del Estado Fascista,"absurda, represión, victimista, Estado Fascista"
Ahora tampoco respetaréis la democracia fascistas de mierda???,"fascistas, mierda"
Y los otros haciéndose los traumados cuando no dudarían en hacer eso mismo,traumados
"El homófobo #obispo de #Cordoba recomienda rezar más en vacaciones [y follar menos, claro]. vía","homófobo, follar"
Supongo que Perro le dará asilo en la Moncloa ,Perro
"al guadalquivir primooo! Sigue insultando por internet, que eres un gitano falso.","insultando, gitano falso"
Pero que mierda estas hablando subnormal de los cojones MAMAAAAAAAA GORDOOOOOOOO.,"mierda, subnormal, cojones, GORDOOOOOOOO"
"En España los invasores tienen más derechos que los españoles, pura mierda trae Ebrard y López.","invasores, mierda"
"La historia reconocerá que fue el más pelele , inepto e hijo de puta presidente de la historia .","pelele, inepto, hijo de puta"
"lástima que sea un fascista, un machista, un subnormal y odie Catalunya","fascista, machista, subnormal, odie"
Tanto que hablan de Pinochet y los gringos y estos hijueputas son iguales o peores.,hijueputas
Blocs y a otra cosa No le des publicidad al monguer,monguer
Puto perroflautas que man rayao el mercedes,"puto, perroflautas, rayao"
Puta prensa deportiva saliendo en defensa de un puto ultraderechista,"Puta, puto"
Asumen tu género por tu apariencia física. Son unos fascistas transfobos y homófobos.,"fascistas, transfobos, homófobos"
... — putos rojos de mierda macho,"putos, mierda"
"Qué bien. Hay que ver con los ingenieros, doctores y demás cracks que nos llegan...",ninguno
"La democracia española y la interpretación libre de sus leyes en manos de fascistas. 6D, nada que celebrar.",fascistas
"Tu eres subnormal, no refinado, no confundas términos.",subnormal
"Sí, para que lo suelten a la media hora. Alguien que hace eso sólo aprende de una manera.","hace, sólo, manera"
"Lagarder ya era un puto subnormal, solo que hoy quiere que quede patente.","puto, subnormal"
La patada JAJAJAJAJA MUERE SUBNORMAL 😂😂😂😂,"muere, subnormal"
Venga silenciame ya verás tú cuánto me preocupo SUBNORMAL,SUBNORMAL
"Muy despreciados,siiii,pero todos vestidos de alta costura española o extranjera como la derechona burguesa verdad,…","despreciados, derechona"
Son sus costumbres y hay que respetarlas,none
"No busquéis más, ya tenemos al tonto del hilo.",tonto
Con el Zumo no se juega.,
No te acerques que me tiznas le dijo la sarten al cazo... 😂 Los más fascistas de la izquierda,fascistas
"Pero pedazo de subnormal, prefieres a Charlotte antes que Lana.",subnormal
"Te lo llama hasta tu cuñado. Pero no sufras, ¿quién no tiene un mongolo en la familia?",mongolo
"Pues un héroe el que se bebió el zumo, de no haberlo hecho este estaría vendiendo corbatas por los bares",vendiendo corbatas por los bares
Me acojona ver a la derecha rancia pidiendo #BoicotALosGoya Más incultura seguirá formando fascistas como ellos... ➕Cine ➖Toros #Españistán,"acojona, rancia, incultura, fascistas, Españistán"
🚨🚨 Los okupas causan graves disturbios en Santiago y el alcalde 'podemita' les respalda ➡️  ASQUEROSO,"graves disturbios, podemita, ASQUEROSO"
te has equivocado de captura subnormal,subnormal
Pero el calentamiento global son COSAS DE HIPPIES Y PERROFLAUTAS,COSAS DE HIPPIES Y PERROFLAUTAS
Tú debes de ser un facha costalero del PPodrido.,"facha, PPodrido"
La derechona sale a dar una vuelta por Barcelona. vía,derechona
Que ganas de que metan al peluo en la carcel por subnormal😆😆😆,subnormal
"Mejores Autopistas?, Ese mancito Gómez dónde vive?, Seguro es un sureñito Petrista 😕🤘","mancito, sureñito"
ya esta el subnormal de luis enrique jodiendome apuestas sin poner a suarez,"subnormal, jodiendome"
"No a los politicos de mierda, nunca mas.",mierda
🚨🚨 Los okupas causan graves disturbios en Santiago y el alcalde 'podemita' les respalda ➡️  SON GENTUZA,"disturbios, gentuza"
imagina y todo fue por entrar con una maleta en un museo. Putos nazis,Putos nazis
Expulsado #Guillermo Un mamarracho Herrera 💩,"mamarracho, 💩"
"Llévenlos a prisión, y una vez paguen la condena enviarlos a su país por deportación.","prisión, condena, deportación"
Otro españolazo fascista coaccionando al pueblo catalán secesionista.,"españolazo, fascista, coaccionando"
¿Y este subnormal quién es?,subnormal
En la puta casa del chaquetero de Aliaga los tendrían que poner,"puta, chaquetero"
Estas elecciones les van a venir de perlas a los fachas de VOX.,fachas
"Totalmente de acuerdo con la diputada, a esos cáfres asquerosos que no los vayan a dejar devolver a Bogotá.","cáfres, asquerosos"
Seguro que era de pera-piña. Es el único por el que yo mataría.,mataría
vete a un cajero mamon,mamon
"Le pega 16 tiros y le grita 'No te muevas', menudo subnormal.",subnormal
Ya empecé con la depresión de mierda,mierda
cuidado con estos conspiradores de mierda,mierda
Qué mierda esa zozobra previa a los recortes de personal.,mierda
ya me han venido los 4 fachas de turno a tocarme los cojones,"fachas, cojones"
Quién es este subnormal y por qué ha soltado semejante subnormalez?,"subnormal, subnormalez"
Qué peste a culé esta pillando la afición madridista...,peste
"Pues si es así, que zorras que sois.",zorras
Cuando alguien intenta manipular de manera tan burda lo que provoca es asco. Miratelo.,"manipular, burda, asco"
"No pasa nada, él es el mas preparado y el mas valiente que ya lo decia la abuela Carmena.",
"Con Mokus y Fajardo, hay estos políticos de mierda",mierda
"Mano, puto subnormal, dos veces te lo he tenio que repetir","puto, subnormal"
"Árbitro de mierda, Conmebol de mierda.",mierda
Es asombroso el nivel de estupidez-robotización del adoctrinamiento progre.,"estupidez, robotización, adoctrinamiento, progre"
"es que no lo eres, es decir, qué más da ser hetero, el problema está en ser retrasado xd",retrasado
Los mas valientes. Haz que pase!,None
"El gobierno de mierda, debería dejar de hablar hueás contra toda evidencia.","mierda, hueás"
"La jueza archiva la paliza de los trozos de mierda fascistas a Lagarder, porque la no entregó la denuncia","mierda, fascistas"
"Y lo bien que les va siendo fachas, que no es gratis",fachas
"Culpa de las mafias y lo progres follarefugees que hacen efecto llamada, nos quedamos sin 57 pensiones","mafias, follarefugees"
-Una directiva fracasa deportivamente -Unos monguers los votan para que sigan mandando -Los monguers se sorprenden d q fracasen #estapasando,"fracasa, monguers, fracasen"
"en una cárcel española cuestan dinero, en su puta casa en Marruecos no cuestan ni un duro.",puta
"ufff eso es como construir puertas lógicas con legos; se puede, pero estás haciendo el imbécil.",imbécil
"No, lo que parece de ese siglo es su puta bazofia de programa.","puta, bazofia"
Ni caso a los gilipollas como el  es un fascista de mierda,"gilipollas, fascista, mierda"
Pero que pedazo de retrasada,pedazo de retrasada
"Por cierto, donde anda metido el gusano comunista ese?",gusano
@ promosquevienen no se vayan de viaje de egresados con upgrade xq son la peor verga que hay:)),"peor, verga"
"Y como siempre los nacotes sin educación diciendo groserías, son los que están en contra de este gran gobierno respetable.","nacotes, sin educación, groserías"
Jajaja.. Que simpatico el charnego.. Te vamos a votar a ti membrillo.,"charnego, votar, membrillo"
Está claro que el lobby proxeneta está bien organizado 👿👿,proxeneta
Conclusión: Er Benni era un cabrón facha que ayudó a Trum,"cabrón, facha"
jaja ok andate con la zorra esa chau olvidate de mi :),"zorra, olvidate"
PAMBISITOS dejen de responder a subnormales de mierda como éste.,"mierda, subnormales"
"Tiene que ser fake, no me jodas. Jamás volverían a sus países.","fake, jodas, jamás"
a ti no catalán cabron jajaja! Esta champions es vuestra y del bayer xd,cabron
"Que algunos saquéis la bilis contra mi 😍😍 jajajajaja , monguers y gordos ...","bilis, monguers, gordos"
Le han dado por lo que habrá robado antes y por lo que robará cuando salga del hospital.,"robado, robará"
Ve na cuando habla Mazzoleni que puta,puta
"Yo me quiero escapar también, dan paguita al llegar?",paguita
"Pues súbete tu a repararlo, maricón",maricón
Habla en español catalán de mierda.,mierda
Y ahora me veo y parezco un Trump supporter. Putos nazis.,Putos nazis
"Origen patológico , delincuencial , usurpante , ilegal resultado delicuncial usurpante y patológico",patológico delincuencial usurpante ilegal
"Soy bioquímico y estoy trabajando para el Gobierno de Navarra... ánimo, puto subnormal.",puto subnormal
"Menudos gilipollas. Como no, tenían que ser los guardaespaldas de la nazi de Le Pen...","gilipollas, nazi"
#VivaElCineEspañol porque me gusta y por patriotismo. A ver si os enteráis pedazo de fachas.,fachas
Hacete cargo forro de mierda,"forro, mierda"
"Estos críos.... Qué pillastres..... Son unos terremotos los angelitos... Qué energía la de estos chicos... El futuro, son el futuro..... ",terremotos
Esa fascista JAMAS sera presi de !😂😂😂,"fascista, JAMAS"
"Costumbres tercermundistas que disfrutamos ya en Europa gracias a nuestros políticos progres, disfruten lo votado.","tercermundistas, políticos progres"
Lo hipócritas que son algunos con el tema de ladder no tiene tamaño AJAJAJ Vaya hipócritas de mierda ;),"hipócritas, mierda"
"Acojonante lo de la progresía, pagamos una barbaridad por alojar escoria mejor con unos servicios que ya quisieran nuestros mayores","acojonante, barbaridad, escoria"
"He puesto 'culo' maemia, además de pequeño, mongolo. 😭","culo, mongolo"
Me cuesta creer que haya alguien igual de subnormal que Dalas.,subnormal
Como para no votar a Vox. Hijos de puta 300.000 con la que se nos vien encima.,Hijos de puta
"Pues si, es una puta mierda, DEP por ellos.","puta, mierda"
"pero este tio es un puto subnormal, o que le pasa?","puto, subnormal"
Hoy prefieren el arbitraje manual. La mano negra del puto alemán ladrón.,"mano negra, puto, ladrón"
"este chico es subnormal, confirmed",subnormal
Es lo más seguro que pase eso didac puto catalán,puto
Aprende el significado de mayoría parlamentaria subnormal,subnormal
"Con periodistas de mierda, con empleados de mierda.",mierda
Me rio de ti jajajajajajjaja fascista a la cueva,fascista
"Llegó la racista maleducada, odias mi castellano al igual que a España y los españoles, supremacista arruinada y avergonzada","racista, maleducada, odias, supremacista, arruinada, avergonzada"
Por 'Crush' os referís a putas chonis?,putas chonis
"Que bronca cuando estás jugando al FIFA y ponen pausa para responder los msj, que trolo man","bronca, trolo"
Pobre tarado que no sabes lo que dices .... pobre tarado,tarado
Eres tarado o que pasa #hackmeseb,tarado
Que manera de perder la cabeza por un zumo.,perder la cabeza
es a cuartos de final subnormal,subnormal
"Hombre... a mi me tocan mi zumito y también arranco cabezas, hay cosas que hay que respetar.",arranco cabezas
y encima esqe eres mu puta,puta
da cobertura a terroristas de #Venezuela La deriva fascista del  y sus medios es muy preocupante. #ConElFranquismoHemosTopado,"terroristas, fascista, preocupante"
Ese buen hombre por lo menos pagará 7 u 8 pensiones. Es el más valiente sin duda.,
Y deportar a la escoria es parte de las leyes. Si para ti eso es justicia medieval haztelo mirar.,"escoria, medieval"
Lo que está claro es que tú sigues siendo un operador político totalmente parcializado. Asco,asco
Menudo baño te están dando pequeño dictador! 👏👏👏👏👏👏👏,dictador
La esposa no solo hacia lofts sin licencia sino que ni siquiera tenía la carrera de arquitectura. Detalles sin importancia.,"sin licencia, ni siquiera, sin importancia"
deja de tirarte abajo hija d re mil puta,puta
Supongo que el subnormal de  estará llorando porque Benzemierda no ha sido titular y Cristiano ha marcado.,"subnormal, Benzemierda"
"Te gustan los niños,fascista de mierda?",mierda
Gran puta estos chinos de mierda vinieron a arruinar mi año 😭,"puta, mierda, arruinar"
No han dicho ya que vienen los mejores y los mas preparados?,
"Si, esa es la que os gusta a los fachas. Menos mal que sois cuatro gatos.","fachas, cuatro gatos"
"Los de ahora son un infierno político y social, ocasionados por políticos fanáticos","infierno, fanáticos"
Los mejores y los más valientes.,
Yo voy a hacer #BoikotalosGoyas viendo la gala 😂😂 Que país de fachas!!!,fachas
"El chepas acaba de solucionar el problema de la inmigración, ahora vendrán los de Vox a tocar los huevos...",tocar los huevos
Como les gusta el afeitado en seco a esta gente.,ninguna
"No pasa nada, al bajar dice que tiene 14 años y a vivir la vida midugis juejuejejejeuejjejj",nada
"a ver eso se elige, no es natural... Vas a arder en el infierno por sodomita.","arder, infierno, sodomita"
"subnormal que no sabes de fútbol ni de nada, eres un periodista de pacotilla.... 😋","subnormal, pacotilla"
La justificación pedorra JAJAJAJ mejor no te defiendas 🤣🤣,pedorra
Pero siguen estando ahí y recibiendo subvenciones de la ilesia y del estado FASCISTA,estado FASCISTA
"Queremos más dominicanos y más moros, Sánchez trae más.!!!!",moros
solo 4? maldito hijo de puta fascista,"maldito, hijo de puta, fascista"
por favor dejad en paz a mi amiga la subnormal de mierda,"subnormal, mierda"
"Y una mierda. Vox dice fuera a la inmigración ilegal que comete delitos, y de ahí no pasa.",mierda
¿A qué puta perra hora suben el link de #HTGAWM?,"puta, perra"
Trump provocando como un macarra de pacotilla   vía,"macarra, pacotilla"
"me parto eh jaja es que vaya subnormal enserio, esta sobrevaloradisimo este actor.","subnormal, sobrevaloradisimo"
"Otro día de mierda, en éste mes de mierda, de éste año de mierda",mierda
ME JUEGAS PUTO RETO O COMO VA LA COSA PUTO RETRASADO,"PUTO, RETRASADO"
Putos rojos de mierda subvencionando con 40 millones algo tan innecesario como la cultura #BoicotAlosGoya,"Putos, rojos, mierda, innecesario, boicot"
Ya te he respondido subnormal,subnormal
"Tranquilízate tú, ya que se supone que eres analista deportivo, no comediante o payaso, aunque a veces parezca lo contrario.","comediante, payaso"
La puta que frustración .,puta
"Lee mongolo, lee. Deja de dar pena","mongolo, pena"
¡Es que hay zumos y zumos!,None
"Sólo me hacen encabronar, no debemos nada a Centroamérica ni los invasores para regalarles dinero.","encabronar, invasores"
Fuentes del gobierno me comentan que hay que aumentar el altavoz para llamar a que vengan mas a intentarlo,n/a
"Y los mejores, y los más valientes. La vieja dixit",vieja
Los Reyes Magos JAJAJAJAJAJAJAJAJAJAJAJAJAJA  Puto retrasado #TierradeNadie10,Puto retrasado
jaja eso es mejor que ser maricon o comunista,"maricon, comunista"
Lo que está claro es que ha llegado un ladrón menos.,ladrón
Jueves con J de mierda,mierda
"Ahí ahí, protegiendo a tus niños. A los mejores. ¿A cuantos tienes metidos en casa?",metidos
nonono este 2020 se anda pasando de verga,verga
Los mierdas de ABC haciéndole campaña al Fracking.,mierdas
¿a que sigues los pasos del poeta maricon?,maricon
Dale la vuelta a la camiseta y tienes el 6 del 6-1 de la REMONTADA MAMÓN!!!,MAMÓN
"Solo vienen los mejores, los más valientes",
En el fondo me alegro por el subnormal de Emery.,subnormal
hijo de puta subnormal cabeza de polla gilipollas mental zoquete,"hijo de puta, subnormal, cabeza de polla, gilipollas, mental, zoquete"
Gobierno de mierda,mierda
VIEJA PAYASA....................................... APARTA TU MIERDA DE MI MIERDA..................................... NO ME SEAS LOCA,"payasa, mierda, loca"
Por que chingado los de Facebook tuvieron que hacer otra app para poder contestar mensajes 😡,chingado
Nose que esperan para cerrar toda esa mierda,mierda
"A los machistas no les da miedo el feminismo, (muy machos ellos). Simplemente lo desprecian,.¡Imbéciles!.","machistas, desprecian, imbéciles"
Como puede ser un icono feminista una facha como ella?? 👀 estamos locos o qué?,"facha, locos"
"Basta ya hijos de las mil putas. Estáis agotando a la Afición, lo único digno que queda en el club.","hijos de las mil putas, agotando"
"Para el podemitariado y los lobotomizados del noreste español, Cristina Pardo también es facha.","podemitariado, lobotomizados, facha"
Me confirman por aquí que mi padre es subnormal.,subnormal
Mire la saga de 50 sombras de Grey...casi todo eran.lectoras...les va el.morbillo no lo.nieguen,morbillo
"This. Que puto asco de respuestas, sois repulsivos","puto, asco, repulsivos"
"Solo la fe, el dogmatismo y la estupidez te pueden hacer votar a un elemento como este #SanchezVeteATuCasa","dogmatismo, estupidez"
Hay un puto subnormal pitando en mi calle todo el puto rato,"puto, subnormal"
Dios mi madre es subnormal en serio,subnormal
Un caracol inválido es más rápido que esta internet de mierda,"inválido, mierda"
Aquí lo acogemos con los brazos abiertos y le damos una paguita vitalicia.,paguita
"tienen cojones pero huyen para que otros les REGALEN LA VIDA, un poco contradictorio no?","cojones, huyen"
"Pero que putas, maldita tensión rara entre Jaime y Brandon #GameofThrones #JaimeLannister","putas, maldita"
Creo que deberían explotar este país de mierda,"explotar, mierda"
El tonto de FC. ¿Con el PP no se podía abortar?,tonto
Quien putas es Juan Sebastián?,putas
"ha habido 6, no 5, 6.... Guti Guti Maricoooon, Maricoooon Maricoooooooon",Maricoooon
"Lo que no se es como no pone varias lineas de ferry, 2500 pavos cada uno y llenan.",pavos
",, pin pon , todos los rojos delincuentes en sus ejercicio  ..",delincuentes
Ya empiezan los sinvergüenzas..  No faltes al respeto Rumano de mierda..,"sinvergüenzas, mierda"
"Que algún shur se ofrezca a llevarlos gratis, no vaya a ser que el precio sea un impedimento para nadie",impedimento
JAJAJAJAJJA Hostia puta que bueno JAJAJAJAJAJA,Hostia puta
Tantos les cuesta entender simios de mierda,mierda
"Mejor obedecer a Soros que ser como VOX , el lacayo de Vladimir Putin ",lacayo
SALVEMOS A ESE ANIMAL DE LAS GARRAS ASESINAS Y FASCISTAS YA,"asesinas, fascistas"
"Perdón, que elite de mierda",mierda
"Israelitas, chinos, moros, culés... así estaba el Bernabéu ese día, que daba entre pena y asco.","pena, asco"
menudos fachas xDDDDDDDDD HIJOS DE PUTA,"fachas, HIJOS DE PUTA"
Segurola es un subnormal desde el minuto 1.,subnormal
Empiezo a sospechar que los traperos quieren competir con los youtubers para ver que grupo es más subnormal.,subnormal
"Debería darte vergüenza ofender las creencias de otras persona, intolerante fascista.","vergüenza, ofender, intolerante, fascista"
Celebrando mas feliz una victoria del Barsa que una del Sevilla... Este subnormal no me representa como sevillista,subnormal
ahora ser liberal es de retrasado? pues eres un poco hipocrita y tonto amigo,"retrasado, hipocrita, tonto"
¡Ese es mi Trump! 🇺🇸Que vean la galamierda los giligoyas y rojeras de los veinte duros ¡A mamarla!,"galamierda, giligoyas, rojeras, mamarla"
Que arrechera esta economía de mierda,"arrechera, mierda"
Pura supervivencia. Me pones en riesgo? Te mato.,matas
"Así actúa la propaganda de la izquierda, como cualquier rancia dictadura","rancia, dictadura"
"Los mejores, los más valientes y preparados.",None
"Te quisiste Imponer Malparido INDIO ESCORIA 👈No Pudiste, La reunión va En la OEA.","Malparido, INDIO, ESCORIA"
Yo quería ser main puta pero listisima para lo que se viene,puta
"lo que es curioso es que todos los imbeciles que llevan bandera podemita demuestra ser imbecil,con nota","imbeciles, imbecil"
"Ojalá no salga por ahí algún juez de esos pendientes de joder todo a poner su demanda, asquerosos oportunistas 🖕👎","joder, asquerosos, oportunistas"
Luego si empiezan a aparecer los cadáveres de esta basura alguien se echara las manos a la cabeza.,"cadáveres, basura"
Manda cojones que nos meta gol el subnormal de Paco Alcácer....,"cojones, subnormal"
"En 2013 Dalas ya se sabía que era retrasado, que cojones?!","retrasado, cojones"
Luego se queja Neymar... valiente subnormal.,subnormal
