Sentence,Negative Connotations
"ДаЗнав одну, їбанутішої людини не бачив",їбанутішої
"Чоловіки, хлопці - яйця, блять, в руки і до Києва!",блять
"В коментарях автор пояснює, що їздив дивитися, як тубільці пиздяться між собою, про “both sides” і “more neutral approach”, охуєнно","пиздяться, охуєнно"
"Воно нас, блядь, ні до чого не готувало.",блядь
"Люди кажуть, що всім похуй на них.",похуй
"Очікуєш на щось гідне, а в результаті отримуєш типову хуйню",хуйню
а нє поставіть-ка мнє хуй на аву і зіпсувати собі репутацію?,хуй
"Дякую за зауваження) Пиздити мене треба, щоб менше пизділа!","пиздити, пизділа"
Йди на хуй під силу,хуй
"Як воно, схоже  бляді на ваші 'незаангажовані' опитування?",бляді
"Ох ти ж блін, я й не бачила, шо вже так пізно.",блін
"Лєна, краще мене кашею годуй, ніж піздюка.",піздюка
бляяя точно) і поміняти прізвище вконтактику,бляяя
"Вкотре переконуюсь, шо я думаю піздою, а не мозком, блять","піздою, блять"
"Зараз,бляха-муха,закурю....грьобаний футбол,тримай себе в руках,Міла!","бляха-муха, грьобаний"
"Яка ж я зла, блять.",блять
та тоді якийсь пиздец бувв мене рідко губи тріскають,пиздец
"Чемпіоном він хоче бути, ага, бля.",бля
А всюди йобаний натовп з йобаними руками.,"йобаний, йобаними"
"Мені дохуя французької, а єбав, бо усний:з","дохуя, єбав"
"бляха, я не можу змусити себе вчитися!",бляха
Блядь та ну ви знущаєтесь?,"Блядь, знущаєтесь"
Мандєц блядьЧо ж так смєшно з цього?,"Мандєц, блядь"
"Та нахуй ти мені впав, скотина ти така)))","нахуй, скотина"
"Дивлюсь на відповіді голосувань і бля, who the fuck так погано мене знає?","бля, who the fuck, погано"
"та блять, нема зворотніх плацкартів на коли мені треба в обозрімом будущєм",блять
"Ну нахуй, мудаки і є мудаки","нахуй, мудаки"
"Чувак, який безуспішно намагався вмовити мене на секс, пішов ва-банк і тепер замість ниття про свій недойоб кидає мені АНЕКДОТИ.","недойоб, ниття"
"Той хуй в тг не заходитьТи шо, яка ВікторіяЯ собі не дозволяю тепер такого",хуй
"Господи йоб твою мать, вирубіть уже літо нахуй.","йоб, нахуй"
"' бля, ти пам''ятаєш, шо мені було потім?) я мацала так пити)'",бля
Схуялі ти пишеш твіти з моєю картинкою?,Схуялі
"'Перед тим, як щось затвітити, запитай у себе: ''А може всім похую на то?'', і пам''ятай, що відповідь завжди ''Так''.'",похую
"гавно вапрос, від кого передати?)",гавно
Кидає фотку в платті і каже - диви яка в мене тут жопа!,жопа
завжди роблю хуйовий а їй нра,хуйовий
Коли пацан - пиздець як відразливо.,"пиздець, відразливо"
"Підйом, курво, Arbeit macht frei",курво
– Я что лох налогі платіть?,лох
Ну вас нахєр з вашою політикою.,нахєр
Один хуй хріново добиратись з Наукової до Рясне шо старим 131 шо новим 11 #lviv #піздєц,"хуй, хріново, піздєц"
Один раз побув долбайобом і на все життя ним залишився.,долбайобом
"словом, заїбало то всьо. ви кто такіє? я вас нє звал. ідітє нахуй","заїбало, нахуй"
"Блін, я sooooo excited, прям жопою в кріслі пританцьовую","Блін, жопою"
"А нахуя він, є від нього щось, окрім шкоди?","нахуя, шкоди"
"Ого, а нахуя вони це постять...",нахуя
"Ахахах бляя, уявив собі це",бляя
блять а шо це справді лякає?) я завжди так роблю,блять
"бля, я тікаю від вас спати.",бля
Я викину цю кончену картку в Стікс блять,"кончену, блять"
"Ну блять, давайте вже про імпотенцію та рак, так нецікаво.",блять
"Я: Рєбзь, може суші візьмем?",None
"Сука, йобаний твіттер - капуста підгоріла ._.","Сука, йобаний"
"не звертай уваги. мудаків мільйон, ти одна.)",мудаків
"Все блять, привіт пенсіонерський відпочинок: сходила в замок, погуляла набережною, випила, тепер наступні дві доби хочу просто проспати в номері.",блять
Де вона зараз – хуй знає,хуй
"Підйоб, над яким не гріх поплакати.","підйоб, гріх"
"Ну бляяя, чого вони такі каєфні?",бляяя
"чума на дома цих мудаків, які розвивали рейшинал чойс теорію, ВОІСТІНУ.","чума, мудаків"
"Ранок почався з мамчиних нарікань на Укргазбанк:— бляцький Укргаз, уроди...— и тебе хорошего дня","мамчиних нарікань, бляцький, уроди"
"-ЦЕ ТИ МЕНЕ ЩА ЖИРНИМ ОБІЗВАЛА, ТА?!","жирним, обізвала"
"Тільки раптом що, це їсти треба, а не на пизду намазувати",пизду
"Сміх сміхом, а пизда горіхои",пизда
"Мій ентузіазм підриває погане самопочуття, чорт.",чорт
Вангую прапори новоросій чи іншого роду провокативні хуйні на трибунах,хуйні
Хахахах зато ви всі такі ахуєнно правильні що Господь Бог сикається від вас,"ахуєнно, сикається"
"КекНу типу пиздиті ніачом то і в житті не важкоНо я колись теж напастой мовчав, тому шарю тебе",пиздиті
Я можу придумувати їбануті програми для СТБ.,їбануті
Я охуєла і привела кураторку.,охуєла
"жопа, к слову – на 2 з мінусом і без наколок.",жопа
"Можу допомогти, все рівно хуйї штурхаю",хуйї
"я за сьогодні вже 2 рази блять, руки реально з жопи ростуть","блять, жопи"
"ой блять, плюнув подорожник приклав і заєбісь","блять, заєбісь"
"А варто лиш почути тупу наркоманську фігню, ржу як коняка.","тупу, наркоманську, фігню"
Мужик що проходив мимо зацінив мою сраку.,сраку
"Здається, мене люблять 2 дівчини.ото нєхуй було писати шопопало",нєхуй
"вже майже четверта, а я не сплю, блять",блять
Нахуя я це вчу блять?,"Нахуя, блять"
"ну бля, я не вірю",бля
"Апятьдвадцатьпять, курва)) ну але так уж бить, мені не звикати)",курва
"Лєра, вітаю, ти похерила найбільш невибагливу рослину.",похерила
"Охуєнні мапи Польщі, мої улюблені про туризм, найбільш небезпечних тварин і ландшафт",Охуєнні
"Хочеш їсти - їж, хочеш пити - пий, хочеш трахатися - ну, буває.",трахатися
"Я просто маленька дівчинка, котра хоче тортик, обіймів і хуярити ворогів наточеною сокирою.",хуярити
"Хотіла б бути твоєю сестрою, щоб завжди мати можливість тебе трахати.",трахати
смм вийшов на вулиці і нам всім пизда,пизда
"Діма: цвіте і пахне, вже чудово себе почуває та готовий валили на сесію. Хтось: ніхуя, в тебе карантин",ніхуя
блять ото жиза я в шоці,блять
"годуємо, блять, котів о п'ятій ранку",блять
"Бо сука-блять перша ночі, а ти тут розлігся як тюлєнь на льодовику.",сука-блять
"Це ж наче така хуєта, але від неї паскудно до смерті.","хуєта, паскудно"
Ну вот сучка прямо як у мене),сучка
"Заношений дірявий светр, списані блокноти, люди, котрим на тебе похуй.",похуй
"Ну бляха, як воно звучить",бляха
"Здатність говорити - це просто найнепотрібніша хуйня, дана мені.",хуйня
"Як перестати хотіти трахнути все, що рухається?",трахнути
"Мене зараз закидають гнилими хуями, але Скарлет Йохансон",гнилими хуями
Ну окЯ хуйова людина по факту і всьо,хуйова
О то в наших батьків частково така хуйня.,хуйня
"Має дві роботи, але вкрай ниє, яка у нас хренова держава, який він бідний, яке хуйове життя.","хренова, хуйове"
"Але не можу, бо то блять сім'я.",блять
"В чому ваша, сука, проблема?",сука
"Я не зла, але скоро буду бити вікна так припаркованим мудакам",мудакам
"Вам шо, феміністка хуй відгризла?",хуй відгризла
"- давай закрутимось у вирі пристрастей?- блять, Якубович, крути сам свій барабан, старий ти дід","блять, старий дід"
"сука, як же хочу сирників.",сука
сід каже що я хуйня :(,хуйня
Коли я навчуся не пройобувати час для сну на хуйню?,"пройобувати, хуйню"
Останнім часом не бачив НЕ мудаків.,мудаків
Толстой блядь воістіну великий фікрайтер,блядь
"Дякую всім, хто тримав кулаки, але співбесіда нє удалась і мене послали нахєр.",нахєр
"Ну та, і трахнутись було б непогано.",трахнутись
Моє побажання на 2014-ий: хай би всі мудаки залишились в 2013-му.,мудаки
"Буває, читаєш шось і думаєш про себе Ну що за хуйня?",хуйня
Вміння кормити хуями арт спільноту,хуями
"сукаааа, я більше не полечу нікуди!!!!!",сукаааа
"Тому що ідіть нахуй, ось чому.",нахуй
"ТА ЦЕ БУВ МОКРИЙ, МАТЬ ЙОГО, СНІГ!!!",мать його
Іноді ой як хочеться повиривати патли всім цих шлюхам!,повиривати патли шлюхам
"Якщо шось не так, то відкрий, сука, рота і скажи.",сука
Можна я перестану буть такою як я є ало мені має буть похуй а чьото не похуй,похуй
"Сука, який же ж ахуєнний день. Треба мені частіше вихідні брати","Сука, ахуєнний"
"Пізда катьонку, більше срать не буде.","Пізда, срать"
"Ні, та хуйня на однокласниках залишалась)",хуйня
"Залякані люди, збайдужілі своїм страхом...","залякані, збайдужілі, страхом"
"А при Януковичі ти, хуй, так само робив?",хуй
Ніхуя блять з неї нікуди не їде.,"Ніхуя, блять"
"Завжди хотіла бути коханкою, а не дружиною, бо їх просто трахають і все.",трахати
"Напиши тій людині ''Йди на хуй'' Порада Ендрю, на любі випадки життя",йди на хуй
"Люди, котрі юзають мільйон смайлів, без зайвих слів ідуть нахуй.",нахуй
Яка була курва матиТака ж курва дочка!,курва
"щойно бачила дівчину в сукні і в чоботахне в''язаних, а звичайних, осінніх, блять, чоботах",блять
"Сьогодні у нас, блядь, челендж розбуди Юляну?!",блядь
"Треба було відос знімати, блять.",блять
Точно не мої їбануті сусіди.,їбануті
"Блядь, сука, вибішує нахуй ця хуйня.","блядь, сука, нахуй, хуйня"
І все це блять особисто до мене звернуте.,блять
"Ааааа, ну нахуя ставити це на порозі??????",нахуя
"Бля, мене той сімл бісить.","Бля, бісить"
"А ф-зми є різні - я за той, який цю парадигму відправить нахуй",нахуй
"я чесно зізналась, що мені похуй, і канєшно ж через це тепер я тупа безсердечна сука","похуй, тупа, безсердечна, сука"
"#6йсирник RT : - Та я, блядь, не из-за бабла.",блядь
"Та нахєр блядь то всьо, всі сука сцять бути відповідальним і накатати ту заяву до ректора.","нахєр, блядь, сука, сцять"
"Отримала нині міні-інфаркт, бо думала, що він мені нахуй дзеркало знесе.",нахуй
Нема онлайн - трахає шлюх.,трахає шлюх
"Ох ці баби, котрі всерйоз думають, що комусь не похуй на все, що відбувається в їхньому житті.","баби, похуй"
"хуй там, Тернопіль Сіті, БАМ йобана","хуй, йобана"
Що блять за расистський твіттер сьогодні,"блять, расистський"
Мау хай йдуть в жопу,жопу
"за тим самим платоном поетів та взагалі митців - нахуй з пляжа, вигнати за межі Держави Платона)",нахуй
наш універ—бєспрєдєл.читай хуйовую шеву і буде тобі щастя із розумінням,"бєспрєдєл, хуйовую"
Я і щас нахуй здався?,нахуй
"Краще так, ніж всякі мразенькі",мразенькі
"Я не я, якщо не пошлю на хуй",пошлю на хуй
"Відчуття, ніби все тіло ногами пиздили.",пиздили
Вобщєм псіхану і піду на вокзал зустріну їїІ паєбать,"псіхану, паєбать"
"імхо - жахлива хуйня. красіво, більш-менш непогана бойовка, загалом - хуйня.","жахлива хуйня, хуйня"
про ситуацію з плагіатом у журналі Vogue можу сказати: 2 тупі пизди,тупі пизди
"Ви, блять, за пару годин і не згадаєте кому це писали, нащо цей цирк?","блять, цирк"
про шлюх і наркоту ще.,"шлюх, наркоту"
При мені такої хуйні б не було.,хуйні
"А я блять що, а я собі така ахуєнна, ніколи не падаю духом.","блять, ахуєнна"
"городити хуйню про грамотність жахливо неграмотними і українською, і російською мовами: вишенька на тортику цієї феєрії","хуйню, жахливо неграмотними"
"Інші просто долбайоби, бо я теж не шарю, за що ціна така.",долбайоби
Краще так ніж твітити дохуя всьякого шлаку,"дохуя, шлаку"
"Хочеш все встигнути? канєха даааа, проспи всьо нахуй:З",нахуй
"в мене така жопа, шо їй і 3 торти не завадить",жопа
"ні, це дає тобі право посилати їх нахуй!",нахуй
"Блять, я що весь час телік носив з собою і робив хуйню?","Блять, хуйню"
Через цей їбаний олх в мене вже починає блять підгорати,"їбаний, блять"
Піздєц я вчасно знайшов лігво тараканів у себе над ліжкомЯкого блять хуя?,"Піздєц, блять, хуя"
"І блять, навколо якісь діти і вони хочу бухати і вони про це пишуть.","блять, бухати"
"Життя хуйня, ми безмежно самотні, тому піду пекти піцу.",хуйня
Бля ця херея ще й двигається,"Бля, херея"
А їбля мозку - то піздєц.,"їбля, піздєц"
"Та блять, боже, дай мені вже вмерти.","блять, вмерти"
Почуваю себе тупим дебілом :(,"тупим, дебілом"
"+1 RT не можна доторкатисядо людей в маршрутці!не можна, блять!",блять
Йобана тупа мразота зіпсувала мені рейтинг на роботі.,"йобана, тупа, мразота"
"Воно настільки убоге, що навіть я, яка давно відверто називає Фреймут бляддю, не маю що сказати.","убоге, бляддю"
так ми ж багато англ і рос читаєм. от і получається хуйня.,хуйня
Нехуй мені розповідати за бєдних лікарів & призваніє.,Нехуй
"А чи не мразь ти, Дмитро?",мразь
Пісня про сесію:зззНа відміну від–Ну його на хуй :з,хуй
"гегель такий мілаш,коли пише про абстрактне мислення, і таке мудло, коли товкмачить про право і державу.",мудло
Збери п'ятьох мудакуватих клієнтів за день та отримай одне ввічливе приємне сонечко у подарунок!,мудакуватих
"Бляха, нахєра ми це зробили?","бляха, нахєра"
"Це не просто просирання,а нудне просирання",просирати
"Я зара вшарила, що я дуже долбайоб.",долбайоб
"Я блять третій день в хаті, а звалити звідси хочеться ВЖЕ І НЕГАЙНО.",блять
"То блять роби щось, жінко.",блять
"бля, не писать йому тоді, чи шо",бля
Не розумію чим я заслужила цю хуйову карму останнім часом,хуйову
"Шо за хуйня? - сказав я, уважно підбираючи слова.",хуйня
"дякую, а ти киця, блять)",блять
"всі, кому не нрав Євробачення тікайте з села,вам пизда #Eurovision",пизда
"Навіть не знаю, то дар чи прокляття моє вміння НІХУЯ НЕ ЗАБУВАТИ От якого, мозок, ти так підручники не запам'ятовував","прокляття, НІХУЯ"
"Краще здохнути, ніж визнати, що всрався.","здохнути, всрався"
Здається когось вже пора впиздити.,впиздити
"Ідеальну хуйню, щоб тебе ніхто не торкався в метро, знайдено.",хуйню
"«Подивіться, яка я бідося, жалійте мене блять!».",блять
Хєрак нада шось придумати годне хєрак похуй і так зайде,"хєрак, похуй"
"Ви хоч раз слухали хуйню, яку він несе?",хуйню
На кожен пездець є свій похуй.,"пездець, похуй"
"Хоча насправді похуй, просто не було чим, а його щітка й справді чистить в важкодоступних місцях.",похуй
"ти підписав собі вирок, сука",сука
"Отак не встиг зафоловити людину, як вона почала писати хуйню.",хуйню
"Розхуячила палець, намагаючись розбити варене яйце кістяшками.",Розхуячила
І щоб не було ще ліпше: нахуй порвані джінси,нахуй
"я б з тобою потринділа, але ти такий муділа",муділа
"Хеппі бьоздей, щось ніхуя не хеппі.",ніхуя
Найкращі ультрас - дівчата з РГМ.,
"Хочу вирубити одну кончену сучку на роботі, але я не б'ю старших.","вирубити, кончену сучку"
"(Якшо якась сука, знову, не зіллє інфу)",сука
Гоголь хоче всіх волонтерів фул-тайм і щоб всі фоткали афіші (шо за хуйня з афішами?) і набрали 300 людей (!).,хуйня
"Всі бляха такі таємничі, шо піздєц.","бляха, піздєц"
"Одного разу зробивши хуйню, ти раз-у-раз думаєш над черговою.",хуйню
"Ти сукан, бухаєш без нас з","сукан, бухаєш"
Тинка ходи на Jazz fest і вино післяЖінку свою веди блять.,блять
Мозок: *думає про цю хуйню*,хуйню
То це ясно і їбанутим.,їбанутим
І позбавляти нахуй субсидій/фіндопомоги від держави.,нахуй
Ну і де блять то #покращення?,блять
спизди там рюмку для мене :D,спизди
В коридорі готелю вже годину голосно пиздять люди.,пиздять
Не дадуть людям спокійно пизди еее бороти корупцію!11,пизди
Я ж не залупа якась,залупа
Щоб то ще такого спизданути в стрічку?,спизданути
"Щас роздінусь і піду голою, і похуй.",похуй
"Таке враження, шо в росії не вміють норм трахатись.",не вміють норм трахатись
"Подзвонили всі возможні родичі, сусіди стукаюсь блять, шось таскають там я єбу, брат 100500 раз зайшов в комнату ну блеееет","блять, єбу, блеееет"
"Заходжу я в твітор, а тут Лєщєнко пиздить.",пиздить
Антикорупціонєр – це коли в жопу за $ дає.,в жопу
кексложно вамна мене просто завжди похуй було,похуй
в сраку ті дужки засунь)))))),"сраку, засунь"
"Які, ссука вибори в умовах окупації?",ссука
"блядський твіттер, чим більше оновлень, тим більше тупить","блядський, тупить"
Як добре що така хуйня властива лише монархіям,хуйня
"-Ну как обичьно, нахуй))))Кежуал конверсейшнс віз  )))))",нахуй
"Пише: Я думала хуйня в мене в житті через відсутність сексу, порішала з сексом, а хуйня лишилася.",хуйня
"Блять, я ненавиджу своє їбуче тіло, сам факт свого існування.","Блять, ненавиджу, їбуче"
Він вміє срати мимо лотка і гарантовано не допускати олігархічного беззаконня.,срати
"ніколи...чуєте, ніколи! не плутайте такі речі. це ж як хуй з пальцем порівнювати))",хуй
"Нахуй ти палиш, ну бля","нахуй, бля"
Коли наїбала самого Бога Долею.,наїбала
"Найбільший злочин проти українського народу - влада, яка складний час впевнено і безбожно продовжує пиздити","злочин, пиздити"
"тому, кстатє, спайк лі получив каннську гілочку, а кокотюха получив хуй на патичку, і так йому і нада.",хуй на патичку
"Боже блять, нарешті хтось про CCR сказав.",блять
"зайди на фб, молю! кончений вк не дає нічого зробити! це все хуйло всране","кончений, хуйло, всране"
"Я: блять, в мене якась депресія вже протягом тижня...",блять
тобто блядь? тобі більше 25?!,блядь
Надіюсь вся ця хуйня котра весь тиждень вставала між нами і одесою не була ужасающим попередженням мірозданія,"хуйня, ужасающим"
"На вулиці теплинь, пташечки літають, спідметал хуярить в навушниках.",хуярить
"Нічого осбливого, просто новий пляж в Тернополі*АХУЄТЬ БЛЯТЬ*",АХУЄТЬ БЛЯТЬ
Сука як же мене всі бісять блять нахуй,"Сука, бісять, блять, нахуй"
Бути тупим уїбаном саме по собі не є поганою рисою.,тупим уїбаном
"Бо пити його разом з алко дуже хуйова ідея, перевірено",хуйова
"А то сука навіть не мої слова, і не мої думки.",сука
Батюшка сказав шо митрополит-це наш пастир до Спасіння а митрополітен-це якась хуйня з рельсами яка веде у Теремки,хуйня
"Але звинувачувати у проруснявій позиції можуть лише повні, абсолютно кончені дегенерати, п'янь від люмпеноти, русня і підруснявлені манкурти.","кончені дегенерати, п'янь, русня, підруснявлені манкурти"
"Так, сука, не здумай тільки стригтись",сука
Якого хуя мене тьотьою назвали?,хуя
"Тварини нас не люблять, йопт",йопт
"Не блядство, а «високий рівень соціосексуальної орієнтації»",блядство
" отож і воно, гідність, бляха, поламалася",бляха
"не можу, в мене, сука, над головою свердлять, а я намагаюсь працювати",сука
"Є така хуйня, коли ти хочеш не побачити людину, а щоб людина побачила тебе.",хуйня
"Та ну сука лізуть і лізуть, є взагалі якісь межі цього шапіто???",сука
Ти пизда як зміниласьДо того ти була ще терпимоюА зараз на кожному кроці хочеться тобі вєбати,"пизда, терпимою, вєбати"
"Шоб я не робила, все якось через жопу.",жопу
"бля, це ж твіт лів",бля
"Ваулюдина, угуДякую за настрій, бляха",бляха
"Це не лєві) а тітка, яка сама ніхуя толком не прожила.",ніхуя
звідки вони вобше блять вилізли?,блять
"Тут або Тинка, Тіна, і Крістіна як кажуть америкоси, ну або вже повним ім'ям.",америкоси
"нє, просто мене пре фраза - няняня-хуйня) Та й який з мене нах отаку?","хуйня, нах"
"Сука, я ніхуя не встигну перекласти ці йобані тексти за 2 дні.","Сука, ніхуя, йобані"
Та задовбали вже своїми піКардами.,задовбали
"Я хуй його знає, одного мене вже прикачала та кроватка-бук у стрічці?",хуй
"Я а*уєнна, як казала Камі))",а*уєнна
"Яка різниця, хто ти за дипломом, якщо по життю ти хуй.",хуй
"Та ну нахуй, це ж там підписувати бумажку треба, лінь.",нахуй
мені в школі і не таку хуйню казали,хуйню
"Іди нахуй, порошок блять, не буду я за тобою бігати.","нахуй, блять"
"Пора слухати величну симфонію *Ну його нахуй*, а завершувати увертюрою *Пєздєц* до симфонії *Життя*.","нахуй, Пєздєц"
"Знайому запросили гуляти двоє пацанів.Один - крутий чувак, з афігєнним почуттям гумору, інший - егоїстичне мудло.",егоїстичне мудло
"Де гарантія, шо цей підор не натворить хуйні і після смерті?","підор, хуйні"
А ти блядь не бачиш скільки разів?!,блядь
А ховрашки від ЗРАДИ активно їли гівно і верещали щто НІЗЯ чіпати?,гівно
"Їбати блядєй тра від тих починаючи, що гальмують законодавчі процеси, кінчаючи судами к хуям, схоже у повному складі.","їбати блядєй, хуям"
"Навчись сам собі готувати, мудак",мудак
"Ви заїбали підміняти поняття, люмпенота.","заїбали, люмпенота"
Ну і йти до сраки,сраки
Саме тому збирай манатки і пиздуй до них,пиздуй
"То мене нахуй посилали, а не його до мене..",нахуй
"Нікому, блять, навіть пожалітися не можна!",блять
"(Як я вже хочу приїхати, пизда просто, а ще два тижні).",пизда
"блядь, сам казав, шо побачив моє фото і собі захотів поставити.",блядь
"блять, забув на вписці зарядку від ноута. попереду 11годинний робочий день. сука.сука.сука","блять, сука"
"От би монетизувати своє почуття сорому за хуйню, котру роблять інші.",хуйню
а мені нравПросто гріх дрищів не падйобувать,"дрищів, падйобувать"
Та сукк пиздую з сльозами на очах,"сукк, пиздую"
На Вашу візову заяву в Консульстві положили хуй і дуже довго сміялися,хуй
Я можу їбанути по попі))))...,їбанути
"Особливо в тексті для перекладу, блядь.",блядь
"*бальной ублюдак*але ж це все цікаве розкриває, чувак!",бальной ублюдак
Але це ж ТИИИ бля ігнориш Це обідно.,бля
ну і хуй з ним.,хуй
Ахахахха блятьЯ б пішов пішкиЯкби дойшов,блять
"бляха, вгамуйте хтось тимошенко. уже блювати від її коників хочеться.","бляха, блювати, коників"
"блять, ну чому, коли я пишу саме такі твіти, ти тут?",блять
"Блядь, то кімнати в сусідньому гуртожитку...",Блядь
"не плєд хуйня, а ти хуйня",хуйня
"Дякую за сміх, мораль і 3 срані сльозини!",срані
"але спочатку то було не все одно, знач ти намагався не класти хуй, а це вже шось",хуй
Ну і хуй з тим брезентом),хуй
"Блядь, у мене відчуття, що я ревную геть усіх.",Блядь
"ой бля, що за думки в голові",бля
Та блять тисніть свої тупі кнопки!,"блять, тупі"
Що це за блядський цирк в Москві?)),блядський
Дивна срань відбувається в моєму житті.,срань
Що це за акція хворих органів оптом блять?,блять
виступав колись перед дітьми - їм похуй. ти для них лох без айфона.,"похуй, лох"
"Тільки підпишешся на якусь цікаву людину, а вона одразу перестає твітити, знаходить собі мужика, товстіє чи починає постити хуйню.","товстіє, хуйню"
сука я йду презіки купувати бо ну нах,"сука, нах"
Плач піздюків - це ідеальна зброя.,піздюків
А от гнила людина...люди мають можливість митися...,гнила
"Для всіх хто вважає, що я, блять, забагато матюкаюся наступна цитата:",блять
Цей блядський кондиціонер - гомофоб!,"блядський, гомофоб"
"Хуй там, хіба шо поблажку і замість вовчиці - Ніно",хуй
Новий говнотєрцєц - директор Россотруднічєства Воробйов.,говнотєрцєц
"- Мені похуй, що про мене говорять.",похуй
пмс - це ніхуя не весело,ніхуя
На колір та смак товариш не всякДля когось і Хакслі - хуйовий автор,хуйовий
"Ти чо, ахурмєл так базаріть, дядя?",ахурмєл
"то не росіяни, то сука італійці! боже ЯК Я НЕ ЛЮБЛЮ ІТАЛІЙЦІВ!!!","сука, НЕ ЛЮБЛЮ"
ЦЕ ЯКИЙСЬ СТЬОБ ВІД РОЗРОБНИКІВ,СТЬОБ
"Луччє я здохну єбучім ноунеймом, чем праслявлюсь і мене стануть показувати по гівнотв","здохну, єбучім, гівнотв"
"Ця спека думає, шо змусить мене вдіти майку з шортами, але хуй там пєл.",хуй
"'відчуваю себе говнарем, бо знаю цю пісню напам'ять'",говнарем
"колись розкажу, але не тут, а то злетяться всякі збоченці, які почнуть хуйню писати)","збоченці, хуйню"
"Давно на землю спустився демон, який захотів змучити людство та придумав він, блять, переїзди.","демон, блять, змучити"
"(Ну або які в нас там ще є елітарні мудаки, яким власна елітарність без тупоголових донецьких недостатньо елітарна) ","мудаки, тупоголових"
"Щороку, блять, чим ближче до дня народження, тим більше хочеться до нього не дожити.","блять, не дожити"
тільки він ще і гандон.,гандон
"Якщо я когось не читаю, значить я, блять, не хочу їх бачити в стрічці.",блять
Просто забирайся нахуй з моєї голови.,нахуй
"Тримай сраний навігатор, тварина, а то засунь як надалі.","сраний, тварина, засунь"
"мать тваю,ану іді сюда, гавно собачие,думал ко мнє лесть,","мать тваю, гавно собачие"
І всі на один час блять(,блять
"та бо сука, молоко хоче гречку, а гречка уйоба не дає.","сука, уйоба"
"Не знаю, як інші, але я, блять, не ображаюсь, а злюся Жартувати з себе маю право тільки я",блять
"От бляха нахуя починати казати те, що ти не збираєшся завершувати?!","бляха, нахуя"
"В періоди коли я пишу всіляку хуйню в твітер, мені соромно писати дм-ки мені здається, що вона мене засуджує","хуйню, соромно, засуджує"
"Рус, шо ти вже там нацейвокав",нацейвокав
пиздила в магазині та кричала про хуї на вулиці,"пиздила, хуї"
"Блядь, да доколє ж мені всілякі збоченці вк писатимуть? ._.","Блядь, збоченці"
"Санта, я хуйово поводилась, тож принеси наркотіків плєз.","хуйово, наркотіків"
"Дід Мороз, сука, подаруй мені роботу",сука
"Не бійтесь посилати нахуй людей, яким ви не потрібні.",нахуй
"Де блять м'який знак, сука?","блять, сука"
ТО ШО ТАК ВАЖКО НАПИСАТИ ПАРУ РЕЧЕНЬ? чи послати нахрін і не агрити своїми нормальниками. бісить.,"послати нахрін, агрити, бісить"
"це якісь йобані дегенерати, які свої копійки в кишені порахувати не можуть.",йобані дегенерати
Це блять логіка чи що це взагалі?,блять
"Все пішло в пизду, як тільки мені здалося, що все заєбісь.","пішло в пизду, заєбісь"
"– Нєа – блять, кінець року, люди!",блять
"Нє, бляха, мав людям ногами гривку поправляти.",бляха
