Sentence,Negative Connotations
"за ер? прошу вколоться:d много ли за пидарков проголосуют, хотя фанатов в любой секте хватает","вколоться, пидарков, секте"
"выучи сначала русский язык,или белорусский а потом вякай быдло","вякай,быдло"
"чинуш, кто даёт разрешение на вырубку-вешать за яйца невзирая на ранг","чинуш, вешать за яйца"
это не современные девушки а ебанутые девушки. современные нормальные. не путайте хуй с гусиной шеей,"ебанутые, хуй"
"Что это за поток говна? Ответить на вопрос не в состоянии, свинья?","говна, свинья"
Просто такого дебилизма и показухи у нас даже к проверке Путина не было,"дебилизма, показухи"
"дой бог, чтобы ты испытала тоже самое. вот от таких тварей и рождаются такие ублюдки.","тварей, ублюдки"
"псина ебучая, что скажут, то и пиздит в эфире на своём ебучем телеканале","псина, ебучая, пиздит"
че хватило? че добавить? жопой жирной что ли покрутила? :-d :-d,"жопой, жирной"
а свое мнение и мысли при себе держи мудило ебаное.,"мудило, ебаное"
"дура, берет ором. других учит, та сама личную жизнь не устроила",дура
"правильно, дальше эти ублюдки маньяками станут!!","ублюдки, маньяками"
и я буду рад этому!!! сучья путинская власть в деле,сучья
очистите страну от всей этой швали,швали
"Ловко наебал - значит молодец, понятия подлость и честь отсутствуют нацело","наебал, подлость"
"glav.su, cont.ws Какие-то интересные сайты? Ты там сидишь? Пойду чекну, спасибо за подсказку, пидораш.",пидораш
из подтишька по мышачи умеют пидоры бить.,пидоры
"наше сми, одни, ублюдки, показывают то, что им выгодно, и кому очко лизнцть","ублюдки, очко лизнцть"
"пидорас он конченый,позорит доброе имя олега ефремова,нет слов,пидорас он и есть пидорас.","пидорас, конченый, позорит"
"велком это вообще полная дрянь, а по внешнему виду даже и не подумаешь.",дрянь
таких выродков как этот нужно сразу на кол садить чтобы другим не повадно было,"выродков, на кол садить"
"ну, александр,представляющий в комментариях мужское мнение,насколько я поняла,был фраппирован и оп*здошен запросами мамзелей",оп*здошен
"Фррррр ПУК-ПУК По фактам есть что сказать, дикарь?",дикарь
"твой рот ебал дело не в религии , кто вы если не запасные евреи и не кавказцы?","твой рот ебал, запасные евреи, кавказцы"
"Кстати, тупая шутка про коран Кому как",тупая
"В настройках поставил дваче капчу, а уменя опять эта ебанная гугловская срань появляется","ебанная, срань"
кто вам тварям крысам дал право распоряжаться народным достоянием суки едино пидоры,"тварям,крысам,суки,пидоры"
везде бабушки блядь а дедушки ведь она пиздует к внукам а дед ебашет на работе и всегда она хорошая а дед хуевый парадокс,"блядь,пиздует,ебашет,хуевый"
мрази бедный ребёнок я представляю какая у него ненависть к родителям.,"мрази,ненависть"
", я тупой и не понял шутки или это спам?",тупой
стоит ли так реагировать на очередного придурка?,придурка
вот ето пидараст етово вообше надо въигнать из всех турниров,"пидараст, въигнать"
"видать, неслабо тебе забашляли ефремовские родственнички, или дружки, если ты так старательно рвёшь за него очко.","забашляли, родственнички, дружки, рвёшь, очко"
молодец!!! обезьянам пиздюлей отвесила.а то что судят то это ебаная толерантность.,"пиздюлей,ебаная"
потому что в думе сидят дебилы и дебилов хотят выростить,"дебилы, дебилов"
пидор хотел полит убежище получить а менты не дали его помять -облом вышел ну ничего может в 2021 получится.,"пидор, менты, облом"
я смотрю эти олероновская шайка все забайкалье заибло,"шайка, заибло"
а щас бегают с этой демократией суки продажные.,суки продажные
"Надо было не арестовывать, а просто в дурку закрыть.",дурку
нахрена фейк распространять? этому ролику 100лет в обед! это дибилом надо быть!,"нахрена, дибилом"
"сволочи, как они живут после этого.",сволочи
"даже вголове неукладывается, что есть такие дебильные дуры.","дебильные, дуры"
вот ты первый провокатор и провокационные вопросы задаешь пшол вон нахрен :-p,"провокатор, пшол вон нахрен"
"не брехай, убогий, 100 тыш пришло к белому ( не факт! жёлтому дому) в вашингтоне!","брехай, убогий"
"а нас наши умники из министерств по западным шаблонам учить надумали , уроды конченые","умники, уроды, конченые"
а современным тем более насрать на интересы нашей страны,насрать
вы что ебнутые на всю голову???,ебнутые
"ещё открывает свой поганый , рабочий рот",поганый
ты чего так обзываешь участников этой группы может сам такой педераст,"обзываешь, педераст"
казнить на месте нечего войну раздувать с братских народом,"казнить, войну, раздувать"
их. действительно. убили. вопрос кто. это те. стремилы. которые увласти. пидарасты. все. которые. сидят в думе. проститутки,"убили, пидарасты, проститутки"
"путин, сука! ты президент!, какой страны?",сука
этот козел отменил пособия на детей матерям одиночкам,козел
"сколько вышло на улицы проплаченных долбоебов, лишь бы не работать!",долбоебов
"зачем нервировать животяху? а когда она цапнет этого придурка, то разорется, что обезьяна виновата","животяху, придурка, обезьяна"
это долбоебизм ! так нельзя .,долбоебизм
"Они смешные и милые унтерки, а Стас как гоблин из падика себя ведёт и тем отталкивает","гоблин, падика"
"Схуя это в эсэсэре был коммунистический режим, дебилушка? В этом и юмор","Схуя, дебилушка"
"даааа, время идёт, а идиотов, все больше и больше.....",идиотов
ты что до всех довыёбываешься троль заокеанский,"довыёбываешься, троль"
"убить суку, это не отец","убить, суку"
"заебали вы уже, вам не угодиш, тролли бля.","заебали, бля"
"вы будете пиздеть о том кто и как тут сдулся, лег, не встал, встал но не так...","пиздеть, сдулся"
"норма, с и что здесь смешного?!, бля, дибилы","бля, дибилы"
это какой засранец такую хуйню придумывает?,"засранец, хуйню"
"козел!!!!!!! ему бы там пожить. продумано до мелочей, как угробить людей за 10 жизни.","козел, угробить"
"пиздюки едут с выебоном, а люди погибают.","пиздюки, выебоном"
"Зашел на сайт с играми, выбрал с веселой картинкой, а там вместо игры эта поебетень.",поебетень
на корню надо душить эту заразу.,"душить, заразу"
"этим пидорасам я оказалась очень нужной!а я сказала, что теперь мне похуй!!","пидорасам,похуй"
"прошу прощения, но вы просто дебил, если задаете такие вопросы.",дебил
Все мои аргументы были заглушены поросячьим визгом,поросячьим визгом
одним словом уебище которое живут в говне и последний зер без соли доедают,"уебище,говне"
"Не, по феменистски это когда бабы-страшилы снимаются, так что не прокатит в данном случае)",бабы-страшилы
"чудо, с каких хуев, россия была процветающей в начале 20 го века...",хуев
"Проблема не выбить дерьма из макак, а получить прибыль","дерьма,макак"
да ты просто пидарас конченный! о чём с тобой тварь общаться можно !,"пидарас, конченный, тварь"
"и ты , ебанушка меня хочешь чему то учить ?",ебанушка
"сидишь и тусуеш, урод!!!!! просто нет слов",урод
"то ,что у нас президент сволочь-клоун, виноват не народ, а та сволочь которая была президентом до него...","сволочь-клоун, сволочь"
"вот сучка жестокая... а родители снимают на камеру.... нет бы, пиндюлей навешать!","сучка, жестокая, пиндюлей"
"что за маразм? ты к чему призываешь, дятел?","маразм, дятел"
"Эх, как мы могли проебать свою свободу",проебать
нету на че смотреть одна хуйня подзаборная,"хуйня, подзаборная"
эту тварь судить надо я даже матерью ёё назвать не могу,"тварь, судить"
"конечно глупо, но мне жаль этих доверчивых людей, а аферистов которые в основном обманывают стариков нужно на кол сажать.","глупо, аферистов, на кол сажать"
ты сама то что сделала? ни хера ты не сделала,ни хера
им там глубоко насрать на ваше мнение,насрать
"меня просили в комментариях - ну так и ответь в комментариях, кармодрочерство повсюду",кармодрочерство
у нас своих уродов хватает.пускай менты лучше работают а не на жопе сидят,"уродов, менты, жопе"
выспались сволочи и не знают за что опладировали,сволочи
вот так до уёбков быстрее доходит.,уёбков
не могла найти где тебе гаду написать,гаду
наградить грамотой? !! этого либераста пидараса!!!!,"либераста, пидараса"
это! эти—ублюдки! как можно так?!,ублюдки
дааааа пизда пришла нашему легендарному заводу!¡!!!,пизда
потому что ты долбоёб ленивый ! жена ему плоха...)))))),"долбоёб, ленивый, плоха"
"Тебя это ебать не должно, пидарюга","ебать, пидарюга"
люди убедительная просьба не обращать на эту дуру внимания.,дуру
"гандон, который поработил народ, который в него верит",гандон
как те которые вьебали дохера денег на ручку которая может писать в невесомости если можно было взять карандаш,"вьебали, дохера"
долбаёб потом сам каналию будет чистить,долбаёб
"господи,как жалко детей,которые страдают из за таких уродов!:(",уродов
"дураком прикинулся,тут помню , тут не помню козёл.","дураком,козёл"
"Не думаю, даже с его жирной ряхой 16 оппозицинеров ему не заменить, пятерых максимум",жирной ряхой
"Я всегда с клепками беру, что бы мозг не ебсти и никуда не ездить.",ебсти
"убил человека, и в данный момент отрицает свою вину , ну не гавно ли ?","убил, гавнo"
У меня эта ссанина ауешная регулярно в рекомендуемых вылезала.,"ссанина, ауешная"
это тебе манде надо валить из питера и бегом пока тебя там не удавили! блядь жидовская,"манде, валить, удавили, блядь, жидовская"
о скудное умишко не успокаивается все высерает из себя),"скудное умишко, высерает"
ну и дурак ! нужно россию присоеденнить к белорусии - лучщеб было !,дурак
эту тварь посадить на 12 тысяч и посмотрим паскуда,"тварь, паскуда"
если дебилы эти маски брюликами украшают да по сто пятьдесят покупают .можно и по полтосу продавать,дебилы
"а может быть, тебя, вместе с такими как ты, просто в жопу послать?","жопу, послать"
И как бонусом регулярная реклама яндекс обрыгаловки.,обрыгаловки
и почему пидр уася так слезно выпрашивает?,пидр
"вы обсолютно правы.хипишь подняли из за быка,что эти люди сволочи.а этот бычара завалит сразу троих, их это не беспокоит.","хипишь,сволочи,бычара"
жирик предал фургала жопой крутит скомарох,"жирик, предал, жопой крутит, скомарох"
режиссер хуеплет у собаки лапы связаны,хуеплет
кому то было невесело ...тем пидорам которые упразднили эту практику ..,пидорам
города волнуются а вы пидарасы за одну плешивую тварь держитесь людей недовольных миллионы а вы тут херню несете,"пидарасы,плешивую тварь,херню"
ты ебланка пишешь фи на оборот кросота,ебланка
не могут писад конституцию пускай не пишут эти пидарасв,пидарасв
какой ебанашка придумал такие задачи,ебанашка
"Да заебись деваха, дрочилы вы журнальные... как несколько нормальных баб с утра повидаете, так по другому рассуждать начнете.","заебись, дрочилы, баб"
только тебя долбоеба там нехватало.,долбоеба
еще бы крест поставила ебнутая,ебнутая
"Да мне похрен, кто вам что позволяет",похрен
Вижу этого бритого мерзавца - ставлю минус. Чего и всем здравомыслящим людям желаю.,мерзавца
"и наверное написав эдакую херню, ещё и гордый ходит , как бамбук.",херню
"Тебе не похуй, пидорас ебучий?","похуй, пидорас, ебучий"
"хуйло, с чего тебе смешно!?",хуйло
каска нужна для долбоёбов...сами понимаете для каких...,долбоёбов
так ты чьих будешь толстожоп?,толстожоп
сперва прочитайте где я отвечал где писал а потом ставьте микрофон конченый ишаки администрация блин,"конченый, ишаки, блин"
да убирите эту бабу с сайта задолбала когда она только вылезит с этого авто гадина !!,"убирите, бабу, задолбала, гадина"
таких уебаторов в поля сука надо. заебали уже в доску уёбки хуевы.,"уебаторов, сука, заебали, уёбки, хуевы"
"долбоебы.. президента ругаете, а выплат ждете",долбоебы
"Да там даже по очереди не нужно, один бы улетел в нокаут, остальная школота бы втопила по тапкам.","нокаут, школота, втопила по тапкам"
"человек, который говорит, об этой гниде такое, не точто быть президентом, но и находится в этом государстве не имеет права.",гниде
да идите на хуй со своим вирусом,на хуй
стадо баранов замбированые! ещё и агрессивных!,"стадо баранов, замбированные, агрессивных"
эту сволочь надо было прямо на месте прибить!!!!!,"сволочь, прибить"
"и ломают всё вокруг не они,дебилов хватает в жизни:d",дебилов
ну и какая нормальная мать купит эту х...ю своему ребёнку.,х...ю
"одно дело сосед не так поступает,а другое,когда тебя преднамеренно угнетает властный мразило","угнетает, мразило"
"пишешь ни о чем, лишь говна плеснуть!",говна
ему не стыдно стыдео быть пидорасом которые на лайках наживаются,пидорасом
так... один бот из пригожинской фашистской лахтопараши уже пошел в атаку... твой взвод идет следом? или ты в разведку вышел?,"фашистской, лахтопараши"
россия много лет пользуется результатом производства этих тварей,тварей
"актёр может и не плохой,но как человек - хуйло конченное.","хуйло, конченное"
о долбоёб проснулся иди на укол тебе чекають,долбоёб
"и его и его семейек и хаты его, и бабки с собой пусть свои забирает! падла!","семейек, бабки, падла"
"откуда вообще взяли этого кашаи, кто это пидрило такой, в своей стране он не нужен, а нам он зачем?",пидрило
"неужели есть еще такие долбоебы? да пусть хранит бог вашего президента, и вас вместе с ним",долбоебы
кто-то же снимает понятно что взрослый это ему или ей по ебанику надо дать,ебанику
только что это за пидорные голоса за кадром?,пидорные
"А, вот, нагуглилось - видосик сверху Ну да, выходит, что загорелось и подъезды разъебало, но здание целиком не разрушилось",разъебало
долбоебка что еще сказать а прививатся я не собираюсь,долбоебка
"своё ебало подставляешь чтобы денег получить, смотри лица не хватит черт","ебало, черт"
"а где ты денег столько взяла,уродина?",уродина
"придурки, завидуйте молча, а то пишете всякую гадость","придурки, гадость"
только моральный урод мог так сказать о целом народе !,моральный урод
вся эта мразь силовая защищает бандитов 90 - х,"мразь, бандитов"
"вы ебанутые такое писать?? и мне интересно в каком месте нужно смеяться?? нах, трогать религию??? выблядки ебучие","ебанутые, нах, выблядки, ебучие"
мочите всех кто нарушает общественный порядок,мочите
какая форма какая маска совсем с ума сошли.идиоты.,идиоты
"заебалась , это ж надо так загнатся то ))) ну кому это нужно то все ? долбаны рукоблудники .","заебалась,долбаны,рукоблудники"
"и что за гон на автора, если она сама дура","гон,дура"
ебанутая лягушка домой ее срочно надоело на это все смотреть,ебанутая
"дурочка ты,у тебя мамы нет,ласковое слово жалко!",дурочка
"Вчера сосед к себе в однушку двух ламантинов принёс, хз че делать, ментов вызывать, слава богу закон скоро появится","хз, ментов"
"а казну пополнять то,надо! не даром выплаты на детей были!!! сволота поганая","сволота, поганая"
"когда этот пиздабол старый покинет кресло, как он уже настоебал. вцепился в это корыто позорник!","пиздабол, настоебал, корыто, позорник"
"вот такие дураки, как ты и голосуют за него",дураки
ебаный в рот когда это прекратиться что нам делать вы считывают пусть значит свет дорожает а его не бывает .,ебаный
вас три дуры в этом обсуждении верят в ковид!,дуры
веришь во всякую херь - верь и остальным не навязывай,херь
"а тебя это с какой стороны колышет, уёбище?",уёбище
"бля, при чем тут ваши шишки?",бля
"пидрило, не приписывай другим свои памятные достижения!!! уёбище подмосковное","пидрило, уёбище"
два пидора судьям мозги ебут. а те их слушают.,"пидора, ебут"
"любой человек гнида редкостная , и не важно хорошо нам или плохо .",гнида
"Я знаю про охуенную грузинскую культуру (которую вы, судя по всему, нагло спиздили в свое время).","охуенную, нагло, спиздили"
А нахрена тогда ты здесь это писал?,нахрена
И хули в золотом альбоме нет трека блек фуфела? Незаслуженно забытый трек.,"хули, фуфела"
Ну вот значит что если ты не скидываешь бумагу в унитаз то ты отдаешь свои материалы на изучение пиндосам.,пиндосам
"очередное разводилово. дураки уже переводятся, все это пиздешь.","разводилово, дураки, пиздешь"
Пиздоболом является владелец сайта на котором нарушаются Правила этого сайта публично выставленные,Пиздоболом
барса говно спартак бы забыль бы 6:0,говно
твоё очко уходит в пользу форума!,очко
и нехуя здесь орать что нам что то принадлежало,"нехуя, орать"
еще блядь один герой нашего времени..,блядь
пидоры когда будем дышать чистым воздухом. адмистрация это к вам,пидоры
"дурак ,это просто кошмар а не массаж","дурак,кошмар"
"я из америки, российская ты шваль",шваль
"и опять, метлы, помидоры и подарки. снова теплицы, столярку, котлызаепали",заепали
"скорее всего мы видим самый конец астронавтики пиндосии, как и самого государства извращенца.","пиндосии,извращенца"
я в шоке неужели вот эта прости господи пизда не чувствует что у неё разрез по самую не хочу,пизда
"сучка ты драная, сидишь в своей вонючей латвии и сиди. нечего свой поганый нос сунуть в чужую страну.","сучка, драная, вонючей, поганый"
"а ты,что 41 год помнишь? сколько этой шлюхе денег заплатили,чтоб она такую чушь несла.","шлюхе, чушь"
гнида трусливый ...протрезвел- одумался ? теперь будет выкручиваться пока адвокаты будут с него деньги тянуть ?,"гнида, трусливый"
"дынин александр, это твой пост? тебя за такое надо за яйца подвесить....","подвесить, яйца"
"уахаха, сук. чел, ты гений.",сука
Автор повторяет слово русские до хрена раз...,хрена
на металлолом. ни себе ни людям . какие же казахи дегенераты - пиздец просто,"дегенераты, пиздец"
"вы же считаете фургала преступников,а людей хабаровска идиотами, хотя тоже лично незнакомы.","преступников, идиотами"
звезду героя превратили в дерьмо.звания генерал раздают своим блядям.вообще куда катится страна,"дерьмо, блядям"
да пидар какойта сидит и выставляет её фотки,пидар
я хуею с этих пиздлявых мразей....,"хуею,пиздлявых,мразей"
"дуры, ну никак не поймут, что кошки самые чистые существа на земле",дуры
"террористов истребляют хорошо, а коррупцию ну блять такая трудная задача!!! просто, пиздец!!! ,,мудаки ,,","блять, пиздец, мудаки"
опека выблядки зарплату током умеют получать и нахрен пдн нужна если не умеют работать,"выблядки, нахрен"
"яб сказал:хорошо что ты водила маршрутки,блядь!",блядь
"не понимаю,, вас пидерастов клонируют где-то что-ли?",пидерастов
"тут не про деньги говорится, а про поведение этого долбаёба!",долбаёба
а какие то факты приводить таким убогим как ты смысла нет,убогим
чтоб у них руки поотсыхали уроды проклятые они о детях своих бы подумали что ждет их детей выродки проклятые,"руки поотсыхали, уроды, проклятые, выродки"
долбаеб путинский а где увлекательный рассказ про хабаровск...ха ха опять обкакался...,"долбаеб, обкакался"
"Можно хоть один тред без политоты? Даже тебя хуеосить не хочется, давай лучше про няшек-фигуристок говорить.",хуеосить
ненавижу презираю никогда врагам не верила и не доверяла чтоб он издох !!! чмо ботоксное,"ненавижу, презираю, издох, чмо ботоксное"
"чтобы ещё раз все убедились, в творческой среде пидоросятина в порядке вещей.",пидоросятина
"лично я сейчас за дальневосточную республику,как 1918-1922г,сибирь,алтай,и др.проживут без москалей и пидорцев,а вот они?","москалей, пидорцев"
начни со сваих выблядко в,выблядко
"мразь тебя нужно вывести за грань , захрибетник- жреш с рук этих учителей и рабочего класса и их -же угнетаешь.","мразь, захрибетник, угнетаешь"
какой мудак старое кино переименновывает постоянно,мудак
"россия - страна ебанатиков. все что-то предлагают, но никто ничего не делает",ебанатиков
эти польские недоебки надоели в кадой бочке затычки,недоебки
"Та иди нахуй, очеидно что ты твердолобый жЫрняга","нахуй,твердолобый,жЫрняга"
"тебя бы в первых рядах на эту войну погнали, дурик","погнали, дурик"
"явная цензура, 100% заказ пидаров с газпрома, ебучая контора","пидаров, ебучая"
"уебище, напишите нормально,вы,что не наши что-ли?",уебище
такую резонансную точку и я могу поставить на любой конбер. долбаеб ты автор редкостный.,долбаеб
ебнутая люди салатом делятся она про косточку,ебнутая
"вот это разговоры. вы не нашли в другом месте вести такие разговоры придурки,",придурки
Уроды!! у нас в семье 3 поколения там родились,Уроды
а этому пидармоту что надо?,пидармоту
"в россии много проблем будет ,законы у нас ебанутые",ебанутые
судя по словесному поносу - ты точно русский. гордись собой быдло. тьфу.,"поносу, быдло, тьфу"
какую красоту губят почему нет управы задолбали уроды все убивать крушить чтоб им пусто было,"задолбали, уроды, убивать, крушить, пусто"
"кошмар, руки бы оторвать. придурки .:o","кошмар, оторвать, придурки"
если сука ты торопишся выезжай пораньше,сука
"я уж точно не советский, а свинья тебя родила, ублюдочная коммунячья ты тварь.","свинья, ублюдочная, тварь"
А так наеб по всем фронтам,наеб
"ты что дура ,кто кормил ? путин что-ли?даже за мусор налог с грудного ребёнка .на 2 памперса помощь.идиотка...","дура,идиотка"
это либерасты воду мутят хотят пиндосию устроить.,"либерасты, пиндосию"
телек(лет пять)не смотрю...и в ок это ебло утиное влезло.,ебло
ты эт сталина вспомни суку..он блять 14 миллионов своих лохов замочил..помни тварь..,"суку, блять, лохов, тварь"
"идиоты, нахрена этот палач нужен.","идиоты, нахрена"
вот гад.а письмецо накрапал - сущий ангел,гад
"как всегда сказочно напиздел, особенно про дочку вкатившую себе вакцину. мудак...","напиздел, мудак"
какой далбаеб собирает крышу на саморезах.кто вас учил?,далбаеб
она как будто хуй проглотила,хуй
"да и попугаи как раз в данном случае толпа пьяных идиотов, дебоширов","идиотов, дебоширов"
"возмездие не за горами, обнуленный старикашка!","обнуленный, старикашка"
"У Батикова тоже клоунады хватает, впрочем",клоунады
"во как колбасит, этого лупастого недоноска ушакова.., оказывается, ему кажется, что его похуизм ненаказуем","колбасит, лупастого, недоноска, похуизм"
"нам, в россии, они и нахер не нужны!!",нахер
"это пиздец,, как сука как?","пиздец,сука"
какой дебил эту придумывает,дебил
Попизди у меня тут шаболда ибанная,"Попизди, шаболда, ибанная"
вот они сволочи и долетались,сволочи
много же Стас пердаков разорвал),пердаков разорвал
"не хуй руку поднимать на благородное создание, а сам он животное.","хуй, животное"
дак и нечего с своим свиным рылом лезть ко всем .....,свиным рылом
пусть сам ебашит отсюда урод,"ебашит, урод"
и что же ты тут делаешь и кого ищешь пиздоболка!!!!!! :d,пиздоболка
"ну и славу богу что этого дерьма ебаного больше не будет, совёнок ебаный","дерьма, ебаного, ебаный"
какой то дебил прикрепил кота к подстилке. хозяева дауны,"дебил, дауны"
что вас держит ....возле уродов,уродов
"хоть и дебилка, но ооочень красивая девушка!",дебилка
"убрать говнюка из депутатов! и вообще, гнать всю эту думскую сволочь!","говнюка, сволочь"
"сука раньше всё в бункер уходило, щас жмотьё бля сделали, что не уходит, сторожи теперь сиди богатство :-d разрабы уебанки конченные","сука, жмотьё, бля, уебанки, конченные"
пидорасы что в думе их надо на прожиточный минимум посадить и на вечно,пидорасы
этого пидора бесплатно выучили в ссср!,пидора
"вот такие мнения и создают мнение,что сосед хуйло,компромисса нет.",хуйло
к стенке таких тварей нужно ставить и другие сразу задумаются !!!,тварей
народ опущен ниже чем говно а вам фонтаны и голубые бля береты.,"опущен, говно, голубые, бля"
чё ты пиздиш 90и уж не народ начал драку а мусара пытались разагнать митинг,"пиздиш, мусара"
"кукарекнула то, о чем на харкаче последний сосницкий уже докторскую защитил и тысячи тредов высрал ЕБАТЬ ФУРОР НАХУЙ","кукарекнула, харкаче, высрал, ЕБАТЬ, НАХУЙ"
Музыки б еще этой мерзкой не было),мерзкой
а кокой национальности этот пидор и яйцедрыгало киркоров филипп всем просто похуй!!!,"пидор, яйцедрыгало, похуй"
