Sentence,Negative Connotations
Die Caritativen Einrichtungen sind mir jetzt sowas von scheissegal! Habe Austritt aus der Kirch beantragt.!!!!!!!!,scheissegal
Die Randalierer von Hamburg müssen den entstandenen Schaden ersetzen und. notfalls in Arbeitslagern abarbeiten.,"Randalierer, notfalls, Arbeitslagern"
...sie wird diese 4jahre noch absitzen und den befällt sie der Alzheimer..... Und wenn doch nicht dann auch egal...wir sind trotzdem am Arsch,"absitzen, Alzheimer, egal, Arsch"
Schon ein Wahnsinn....obwohl nichtmal 1/3 der Bevölkerung sie gewählt hat darf sie trotzdem weiter regieren.. Ist zum kotzen!,"Wahnsinn, kotzen"
"Über 87% der Deutschen Wähler die eine Altpartei wählten, sind für mich strohdumm!!!",strohdumm
Templer werden heute als Religiöse Spinner verurteilt. Das Gegenteil ist der Fall. Die Kirche hat uns missbraucht. Ein König verraten.,"Spinner, missbraucht, verraten"
..du Suffschädel.....wir tolerieren bereits weitaus schlimmeres... !!,Suffschädel
weil es Ihre Meinung ist - 😂😂wie Blöd muss man sein 🙈🙈🙈,Blöd
Ich will nicht das es Kriminellen Flüchtlingen Deserteuren und Feiglingen hier besser geht..erst recht nicht dem Afrika-Pack. Und weder bin ich Rassist noch ein Nazi noch xenophob....!,"Kriminellen, Deserteuren, Feiglingen, Afrika-Pack, Rassist, Nazi, xenophob"
"Wenn die Hälfte der Moslime den Handschlag verweigert, hilft nur. ein Tritt in den Arsch, der sie zurückschickt nach Afrika.","Tritt in den Arsch, zurückschickt nach Afrika"
Ursprünglich (gestern) ging es um FEMA-Camps - wir sind keinen Schritt weiter. Da platzt einem der Arsch - sorry.,platzt einem der Arsch
"Endlich, Trump streicht dem CIA die Gelder, die seit 1945 für weltweite Kriege sorgten - logisch, dass Merkel und Flintenuschi jaulen 💩","jaulen, Flintenuschi"
Die Pisser wollten schon immer unsere Länderein um jeden Preis und jetzt haben sie die Bruder .....,Pisser
.@USER_0 Ich warte auf dem Moment das diese dummdeutschen das begreifen und diese Volksverräterin zur Verantwortung zieht!!!,"dummdeutschen, Volksverräterin"
"Schreibt besser mal über die Asylanten Verbrechen ,dass wird bei euch totgeschwiegen!","Asylanten, Verbrechen, totgeschwiegen"
Also diesem Schweinepriester Lauterbach glaube ich keinen Cent....aber seiner Exfrau darf man getrost zuhören...seine Vita entspricht dem SPD-Standard...😃😃😃,Schweinepriester
Wen Interessiert schon was der kleine Wicht ruft. Jerusalem ist die Hauptstadt Israels. Basta.,kleine Wicht
wir brauchen das scheiß #Europa nicht ich bin #Deutscher und kein Europäer #btw2017,scheiß
Na klar kriegt der Lob von allen Seiten...ist ja ein Merkel-Blindenhund.. Wollt ihr tatsächliche Opfer sehen dann geht auf Friedhöfe oder sprecht mit den Angehörigen..!,"Merkel-Blindenhund, tatsächliche Opfer"
Auch ein Merkel Vasall der das sagen muss was diese Volksverräterin vorgibt!!! Lügenpresse!!!,"Vasall, Volksverräterin, Lügenpresse"
Dass wir diese ganzen IS-Kämpfer haben ist ausschließlich die. Schuld der Amerikaner. Scheinheiliges Volk.,"Schuld, Scheinheiliges"
"Gibt es überhaupt so viele Dreckslöcher in Deutschland, wenn die LINKEN sich bald verdrücken müßen ??","Dreckslöcher, verdrücken"
scheiß asiaten kommen nach europa klauen uns das gefühl reich zu sein,"scheiß, klauen"
"von einem Turkmenen sexuell missbraucht, x-mal minderjährige Mädchen von #rapefugees sexuell belästigt. #Kiel 2016! #islam #sophienhof [2/2]","sexuell missbraucht, minderjährige, sexuell belästigt, rapefugees"
"Klar doch alles rechte böse Nazis. Was wissen die heute von damals? Fragt eure Omas, Mütter. Nicht was Hetzmedien verbreiten.","rechte, böse, Nazis, Hetzmedien"
"Es gibt auch Rentner die darauf angewiesen sind ,die den Cent 2-3mal umdrehen müssen bevor er ausgegeben wird ,anders ist es mit den Asylanten,die haben freie Fahrt!","Asylanten, freie Fahrt"
"Träume und Wünsche...leider. Jamaika-Scheisse wird durchgesetzt....dafür sorgen schon die Lauch-Scheisser. Die bleiben klebend sitzend...der Troll Joschka hat’s Ihnen vorgemacht, die Warze Roth hat’s perfektioniert ..!","Scheisse, Lauch-Scheisser, Troll, Warze"
Die wievielte Generation Türken scheint hier auf der Straße zu sein ca.die 4te das Wespen Nest,Wespen Nest
"Helmut Schmidt hatte allein mehr Verstand, als die gesamte Berliner Muschpoke zusammen 😜",Berliner Muschpoke
Das sind die Taugenichtse...die ewig Studierenden....da geht nichts brauchbares hervor.,"Taugenichtse, nichts brauchbares"
"So sollten sich alle Politiker äußern und nicht dieses verlogene Emotionsgeschwafel, was die Lügenbrut gerne abläßt !","verlogene, Emotionsgeschwafel, Lügenbrut"
Wie dämlich sind Sie eigentlich? Sie sollten ihre Allgemeinbildung vervollständigen und Objektivität walten lassen. 🤢,dämlich
"In solchen Situationen zeigt sich echtes Herz (Empathie) und Charakter (Hilfe, die nicht in der Zeitung steht) im Gegensatz zu heuchlerischem Gutmenschentum","heuchlerischem, Gutmenschentum"
"Ich wünsche mir für sie, dass eine Großfamilie aus 'Syrien' einzieht. Leider wäre solch eine kleine, schlecht ausgestattete Wohnung für die neuen Herrenmenschen keine artgerechte Haltung....","schlecht, Herrenmenschen, artgerechte Haltung"
"Mensch, Kauder müsste sich doch bepissen vor lachen, wenn er über diese Lüge nachdenkt 😂😂😂","bepissen, Lüge"
Niki #Lauda ist in meinen Augen so blöd dass er stinkt er meint er braucht sich an keine Regeln zu halten #Mercedes #Formel1,"blöd, stinkt"
"Für mich ist der morgige Tag ein Tag der Größten Deutschen Schweinerei seit 1945, eine riesen Mogelpackung bekloppter Politiker🤢","Schweinerei, Mogelpackung, bekloppter"
Deutschland das Land der drei Geschlechter der Duckmäuser und ja Sager der Toleranz Fanatiker. Das Land der Verblödung.,"Duckmäuser, ja Sager, Toleranz Fanatiker, Verblödung"
"Ich bemerke in unseren Medien eine Strategie, die FDP gleich der AfD, zum Abschuss freizugeben.",Abschuss freizugeben
"Die linksgrün-versiffte Mischpoke in Berlin wird sich noch wundern, wenn die #Rapefugees im Sommer so richtig abgehen. Deustche Mädels,..1/2","versiffte, Mischpoke, #Rapefugees"
"Bei #Halbneger meldet sich Till #Schweiger grosskotzig zu Wort, bei Mord an #Mila Valentin hört man nichts von diesen Heuchler.","Halbneger, grosskotzig, Heuchler"
Der IS eroberte in 100ten Städten auch die Ämter mit Mio Pässen u. verblödete Beamte wundern sich über Zig Identitäten von Krimigranten 😂😂😂,"verblödete, Krimigranten"
"@USER_0: @USER_1 @USER_2 Tauber, ich würde sagen, die tatsächlichen Arschlöcher sitzen in der Regierung. SO IST ES!",Arschlöcher
"WANN ENTSORGT DEUTSCHLAND ENDLICH SEINE VOLKSMÖRDER ??A.Merkel,H.Maas,K.Göring E.,Paket Grüne,D. Nuhr,C. Ehring,M. Schulz als bevorz.Beisp.!","ENTSORGT, VOLKSMÖRDER"
Total bekloppt. Weibliche Opfer sind die Einzigen die ernst genommen werden.,Total bekloppt
"Schon der Vater,der als protestantischer Pfaffe freiwillig in die DDR ging,um den Bolschewismus zu huldigen.Die Tochter ist um Nichts besser","Pfaffe, huldigen, Nichts besser"
"Merkel schaffte es, sich bis an die Seite der FDJ-Führung der DDR zu schleimen, um diese später zu verraten. Heute macht sie es auch so 😜","schleimen, verraten"
Jeder der in der Right Trash liste von irgendso nehm linken Hurensohn ist ist ein Ehrenmann,"Trash, linken, Hurensohn"
Merkel und Konsorten haben durch die SED gut gelernt. Der Abschaum ist und bleibt oben.,"Konsorten, Abschaum"
Ich lass mir mein Land nicht von einer Horde Nafris und Antifaschisten nehmen deswegen bin ich #AFD wähler,"Horde, Nafris, Antifaschisten"
"Wie im alten Rom, Brot und Spiele hält das Volk Dumm!!!",Dumm
Ist mir scheissegal was der blöden Puppe angezogen wurde....Hauptsache Kent trägt eine Reichsuniform...!!,"scheissegal, blöden"
Würde das jemand recherchieren...dann käme bestimmt raus das der Flüchtling-Spako nicht einsitzt...!,Flüchtling-Spako
Wer die Grünen wählt ist entweder dumm oder ein Hurensohn,"dumm, Hurensohn"
"Schickt unsere Verdeidigungsministerin als Stangengirl zur Truppenbetreuung an die Front ,aber selbst dort wird sie Versagen.Eine Verteidigungsministerin ist Ein Hohn an die Truppe.Rommel wache auf!","Stangengirl, Versagen, Hohn"
Das ganze Postengeschacher ist Schmarotzertum !!! Das ganze Pack gehört weg gejagt !!!,"Postengeschacher, Schmarotzertum, Pack, weg gejagt"
"Für dumm verkaufte und befundene DORFDEPPEN die auch glauben das Heiko Maas ein Demokrat ist !! Land halt,da dauerts!","dumm, DORFDEPPEN"
"Heuchler! Wer hat denn Hartz-IV mit der SPD damals mitgegründet? ...und wie lange haben diese 'Grünen' Hartz-IV geduldet, obwohl in vieler Hinsicht dieses System unmenschlich ist! So ein Heuchler!","Heuchler, geduldet, unmenschlich"
Ich würde Grüne mit einem Geschwür am Arsch der Welt bezeichnen. Ist aber meine persönliche Meinung. Ein Geschwür kann einen Körper zerstören oder ein ganzes Land.,"Geschwür, Arsch, zerstören"
Der DE Schweinejournalimus hat wieder Hochkonjunktur wie gehabt Hetze gegen Trump u dazu diskriminieren der größten DE Oppositionpartei AFD,"Schweinejournalimus, Hetze, diskriminieren"
Hier sind schon ein paar richtig dumme Menschen unterwegs..... Gegen wenn oder was habt ihr eigentlich vor der AfD gehetzt und gestänkert?. Ich pubertierende Pickelplantagen...,"dumme, gehetzt, gestänkert, Pickelplantagen"
"Kinderfickende, schächtende #rapefugees! Wer Kinder-, Frauen-, oder Tierrechte verteidigt, darf nicht #gruene #spd oder #cdu wählen! #ltwbw","Kinderfickende, schächtende, #rapefugees"
"Martin Schulz ist nichts, kann nichts und taugt nichts. Ein totaler. Versager, schon in der Schulzeit. Und trockener Alkoholiker.","nichts, Versager, trockener Alkoholiker"
"Das hättet ihr schon letzte Woche veröffentlichen müssen , aber auf Druck der Internet-Medien seht ihr euch gezwungen heute zu veröffentlichen! Erbärmliche Unterschlagungs-Presse!🤮","Erbärmliche, Unterschlagungs-Presse"
"Ich brauche einen Blog, glaube ich, 140 Zeichen sind zu wenig. Get rid of #Islam #Muslims #rapefugees","Get rid of, #Islam, #Muslims, #rapefugees"
"#illner Leute, die Parteien wählen, die sie zu schon länger hier Lebenden herabwürdigen, sind schlicht #verblödet od. #geisteskrank","verblödet, geisteskrank"
Younower zu werden ist der finale schritt um ein Hurensohn zu werden,Hurensohn
An alle Pferde Hunde Katzen Kühe usw....ihr seid voll im Arsch...!,Arsch
"Ein krimineller, perverser Dummkopf, der bald endlich schlechte deutsche Geschichte ist!","krimineller, perverser, Dummkopf"
#FakeNews: Jetzt die übliche #Hetze der #MSM-Journaille gegen die #FPÖ in der #ZIB2 #orfsg17,"FakeNews, Hetze, Journaille"
Das ist ein Spinner der Türken hasst,"Spinner, Türken hasst"
Ich scheisse auf die GroKo !!!,scheisse
Leute regt euch nicht auf....negative Berichte haben eine positive Wirkung....AfD bleibt und wird stärker. Wie sagte die komische Kuh von den Grünen...und ich freu mich darauf....😂😂,komische Kuh
Der Steinmaier redet nur Scheisse !!!! Gerade auf NTv,Scheisse
Hast ja Recht. Erdogan und Merkel gehen mir beide mit ihrer Selbstherrlichkeit am Arsch vorbei. Egomanen sind beide,"Selbstherrlichkeit, am Arsch, Egomanen"
wenn der #Bundespräsident mit seinem dummen Geschwätz auf die #SPD zielt sollte er bedenken dass 80% der deutschen die SPD nicht wollen,dummen Geschwätz
"finde ich gut würde ich auch, aber nicht wenn man mich nötigen will. Freiwillig ok ,aber ich brauche keine Sesselfurzer die über meine Organe bestimmen","nötigen, Sesselfurzer"
"Scheiß Emanzipation . Ich will reine ,sittliche deutsche Mütter, wie einst vor den 68ern.","Scheiß, sittliche"
"Das ist eine Moslem-Schlampe , die es hoffentlich noch bereuen wird .Ich habe kein Mitleid nur Schadenfreude!","Moslem-Schlampe, bereuen, kein Mitleid, Schadenfreude"
#Diesel-#Fahrverbote: Wie vorhergesagt nimmt ihnen das #Globalisten-#Dreckspack jetzt leistbare #Mobilität &amp; zerstört dt. Schlüsselindustrie,Dreckspack
"Kann bleiben wo sie ist, dumme Nuss🖕",dumme Nuss
"Weil der LINKE SCHEIß das alles darf,hetzen,denunzieren,verleumden,kahanen,lügen,betrügen,Menschen attackieren und bald auch schießen.☠️😡☠️","SCHEIß, hetzen, denunzieren, verleumden, lügen, betrügen, attackieren, schießen"
Die 42. Volksverarsche fürs dumm Wahl-„Volk“,"Volksverarsche, dumm"
"@USER_13 @USER_15 @USER_9 @USER_3 @USER_4 @USER_7 @USER_1 @USER_14 @USER_6 @USER_12 @USER_5 @USER_10 @USER_11 Ne, das gibts nicht, ist der Vollpfosten immer noch da???",Vollpfosten
In dem Schwarz Grün regierden Hessen werden jetzt 8 zusätzliche Psychologen nur für die Jugendlichen Invasoren eingestellt. Jetzt AFD wählen,Invasoren
MEIN GOTT ! WAS HAT DIE SED-TRULLA MIT HILFE VON LINKEN U-BOOTEN AUS DEUTSCHLAND GEMACHT !?!? DAS DAS DAS DURFTE !!,"SED-TRULLA, LINKEN U-BOOTEN"
Kurz lasst dich nicht von der Trulla aufs Glatteis führen!,"Trulla, Glatteis führen"
stimmt aber hat mit meinem Kommentar nichts zu tun sie zurückgebliebene,zurückgebliebene
Asylantenflut bringt eben nur negatives für Deutschland. Drum Asylanenstop und Rückführung der Mehrzahl.,"Asylantenflut, negatives, Asylanenstop, Rückführung"
Kotz deine Propaganda wo anders aus. Hier bist du falsch.,"Kotz, Propaganda, falsch"
ekelhaft Claudia Roth wieder im Fernsehen sehen zu müssen #Bundestag,ekelhaft
"Sehe mir den Film an da ich ein dickes Fell habe. Aber eines ist Fakt. Wäre der Deutsche Islamisten, mein Kind würde ich ihn eigenhändig erschlagen.","Islamisten, eigenhändig erschlagen"
"Wegen Pussys wie dir, gibt es in 🇩🇪keinen ernstzunehmenden Widerstand.",Pussys
Der dumme Deutsche hat gewählt er läuft freiwillig zur Schlachtbank.. Armes dummes Deutschland.,"dumme, Schlachtbank, armes, dummes"
Das meiste geht eh wieder für die Asylanten drauf 🤮,"eh, drauf, 🤮"
wie kann man nur derart strunzdumme Moderatoren wie bei #taff auf #ProSieben beschäftigen,strunzdumme
und was hat der Gabriel damals Versprochen ? Verlogen ist das Pack. Nie wieder SPD,"Verlogen, Pack"
Du bist einfach nur noch lächerlich . #Bundestag,lächerlich
Von Gauland wurde verlangt das er sich wegen ˋentsorgen‘ entschuldigen sollte.... Würde das von der Kröte auch verlangt..?,"entsorgen, Kröte"
Der Hank geht mir dermaßen auf die Eier.,"dermaßen, Eier"
Die meisten Deutschen misstrauen Merkel!. Warum schreibt dieses Vasallenpack der deutschen Lügenpresse nicht mal darüber!!!!,"Vasallenpack, Lügenpresse"
"gibts diese Woche einen Wettbewerb zwischen #maischberger und #lanz, wer die Gast*in mit der hässlichten Fresse hat?","hässlichten, Fresse"
Hier haben einige Politiker richtige abgesahnt..... Und der Oberguru Maschmayer macht jetzt einen auf Fernsehstar...und produziert seiner alten b-Movies. 😃😃,"abgesahnt, Oberguru, alten b-Movies"
"Nein, MAN USS regulieren, weil dieMieten sonst in dieHöhe steigen. Bauen bedeutet nicht, dass die Mieten sinken. Da werden wir massiv verarscht.",massiv verarscht
Wie gehabt bei Illner Grüner + zwei Journalisten ein CDU u die Rot Grün versiffte Gesine Schwan ZDF versucht Grüne hochzupuschen. AFD wählen,"versiffte, hochzupuschen"
Was ist den das fette etwas da ..?,"fette, etwas"
11jahre für das Schwein ist schon ok...alles besser als Bewährung...,Schwein
Koalitionsverhandlungen um Merkel sind für mich ein widerliches Schauspiel von Schwachmaten > ein Gerangel um Posten für BILDdungsbürger 🤢,"widerliches, Schwachmaten, Gerangel"
Was für eine hohle Type....😂😂,hohle Type
Bei diesen Kölner Staatsoberhäupter sind die Kölner verloren...oder verständlicher:...voll im Arsch..!!,"verloren, voll im Arsch"
"Da wird mal wieder stark Übertrieben, es werden paar hundert wenn es hoch kommt teilnehmen!. Natürlich wird die Lügenpresse was anderes sagen","Übertrieben, Lügenpresse"
"Was für Bullshit. Wenn er mit Wissen und Unterstützung von Merkel gehandelt hat, dann ist das ein Skandal der gesamten Bundesregierung!","Bullshit, Skandal"
"Auf zdf info die übliche Trump-Hetze, fehlt heute nur noch die Hetze gegen die DDR u. Russland > Dr. Goebbels lässt wieder grüßen 😜","übliche, Hetze, Dr. Goebbels"
"Gabriel, was bist Du für ein scheinheiliger Außerrandundband-Minister.. Verkaufst Deine Demokratie an das Sultanat. Raus mit Dir.","scheinheiliger, Außerrandundband, Raus"
"Sag mal glaubt ihr allen Ernstes die Kacke dieser sogenannten Umfragen, mal ehrlich??",Kacke
...ihre Statements entsprechen ihrem Aussehen...häßlich..!!,häßlich
"Die Massen von dummen Kommentarem und deutschfeindlichen Äusserungen dieser Grünen Person sind keine Meinungen, sondern trauriges Gelaber!!","dummen, deutschfeindlichen, trauriges Gelaber"
Hatte Yücel am Ende doch recht..?...ich bleibe bei meiner Aussage: 80% der deutsche sind verblödete Schwachsinnige... Ihnen ist 🇩🇪 egal...!!,"verblödete, Schwachsinnige"
"Das Fette Schwein @USER_0 Gabriel Redet wieder auf ,alles vor der Wahl 2017 😂😂😂😂😂",Fette Schwein
#Straeter ist einfach nur noch Strunz langweilig,"Strunz, langweilig"
"Ich habe bis heute nicht verstanden, was an Dunkelhäutigen in schwarzen Burkas mit dunkler “Kultur“ BUNT sein soll... #Islamisierung","Dunkelhäutigen, dunkler, #Islamisierung"
Unsere Politiker sind zu blöd einen Terroristen auszuweisen weil er keinen Pass hat!!!,"blöd, Terroristen"
Weit und breit kein Neger.,Neger
"@USER_0de @USER_0 In der Türkei, das Maul nicht riskieren und hier frech werden! Typisch Türke!","Maul, frech, Typisch Türke"
"Hinweis: Wer wegen Nadalnys angeblicher Vergiftung nun Nordstream Gas ablehnt ,muss wegen dem tatsächlich getöteten Kashoggi auf das Saudi Öl verzichten Ihr Heuchler. #staatsTV","angeblicher, getöteten, Heuchler"
"Donald Trump ist ein Großmaul, das die Fakten zu den verkauften Autos. in D und USA nicht kennt. Er möge sein Maul halten.","Großmaul, Maul"
Die hat doch den Arsch offen.,Arsch
Bei einer psycho Sekte von freiwillig zu sprechen ist mutig.,"psycho, Sekte"
Hey Charr...du bist kein guter Boxer...im Ami-Land haut dich jeder Sparingspartner wech du Pfeife...!. @USER_1,"kein guter Boxer, haut dich, wech, Pfeife"
"Sehe ich Kathrin Göring Eckart, Merkel, Gysi, Petry, Wagenknecht und all die anderen Wendehälse die uns heute regieren. Frage ich mich. War der Fall der Mauer ein Fehler.","Wendehälse, Fehler"
"Die liebt Wahlkampf, andere lieben ihre Familien. Zum kotzen, was die SPD alles tut, um an der Macht zu kleben.","kotzen, kleben"
#Bayern sollte eine Unabhängigkeitswahl wie die Katalonen machen.. Wir brauchen keine sexy linksversiffte Regierung in #Bayern,linksversiffte
"Gute Nacht, Ihr Lieben da draußen und träumt schön von Murksel und ihrem Kurzschwanzdackel Luschet 😜","Murksel, Kurzschwanzdackel"
AUF DAS DER FUROR TEUTONICUS ERWACHT !zurhöllemitmerkel !,"Furor, zurhöllemitmerkel"
welches Meth nimmt eigentlich @USER_0? Ihre Haut sieht ja fürchterlich aus und dann das ständige blinzeln #furchtbar #maischberger,"fürchterlich, furchtbar"
"Genau Grenzen dicht, aber richtig. Asylschmarotzer raus!",Asylschmarotzer
Stellt Lügenpresse eigentl schon Überlegungen in München an zur Nacktbadesaison an der Isar und Flüchtlinge Primaten? HAHAHAHA #rapefugees,"Lügenpresse, Primaten, rapefugees"
der Dummschwätzer Herr #Dobrindt gehört nicht in die #Bundesregierung sondern ins Irrenhaus #CDU #CSU,"Dummschwätzer, Irrenhaus"
stimmt. Die Russen hatten wenigstens diese Ossis unter Kontrolle,Ossis unter Kontrolle
"Die meisten Schiffbrüchigen sind doch keine Flüchtlinge, sondern rücksichtslose Invasoren. Wann begreift Ihr politischen Hohlköpfe das?","rücksichtslose, Invasoren, Hohlköpfe"
das hätte ich der #FDP nicht zugetraut alle Achtung! nur die #Grünen kriechen allen in den Arsch,"kriechen, Arsch"
"Da erkennt man, mit was für jämmerlichen Deppen die abgefuckte SPD aus Machtgeilheit 4 Jahre das Volk verraten und verkauft hat !!!","jämmerlichen, Deppen, abgefuckte, Machtgeilheit, verraten, verkauft"
"Was die allermeisten immer noch nicht begriffen haben: Der #Islam hat seine eigenen #Menschenrechte, #scharia-basiert. Ihr Deppen!",Deppen
"Ekelhafter gehts kaum, wie sich diese CDU-Schwachmaten selbst beweihräuchern u feiern u das vor dem Hintergrund des tief gespaltenen Landes🤢","Ekelhafter, Schwachmaten"
Hab gerade in Brüssel angerufen. Ist wie mit Denyz in der Türkei. Keiner will den Spast zurück :-),Spast
Ich kritisiere insbesondere das scheinheilige Verhalten aller Mitglieder des Bundestags.,scheinheilige
idiotischer Kommentar. Aufm Supermannheft gepennt?,idiotischer
Der Gscheidschmatzer macht mich richtig wütend! Fährt mit seinem Porsche rum und reißt seine Klappe auf...ich glaubs nicht!,"Gscheidschmatzer, wütend, Klappe"
Blind ist die Meck-Pomm Schlampe auch noch!,Schlampe
"Was habe ich mit dem Faschisten Erdogan zu tun? Und Dein Beileid kannst Du Dir hinschieben, wo die Sonne nie scheint.","Faschisten, hinschieben, wo die Sonne nie scheint"
"Stimmt, die BRD geht mir auch am ARSCH vorbei. DEUTSCHLAND gillt es gegen POLITVERBRECHER,wie Merkel,Schulz,u.MAAS zu schützen !!","ARSCH, POLITVERBRECHER"
"Dummes Gelaber wegen Abschiebung in unsichere Staaten. Berlin, Manchester. und Nizza liegen auch in unsicheren Staaten. Also keine Hemmungen.","Dummes, Gelaber, unsichere, keine Hemmungen"
"Der größte Finanzbetrüger aller Zeiten, trifft einen Grünen deutschfeindlichen Türken! Diese Dummlaberei sollte sich niemand antun!","Finanzbetrüger, deutschfeindlichen, Dummlaberei"
der strunzdumme #Verstappen und sollte lieber Seifenkisten mit Wohnwagen fahren mehr kann er ohnehin nicht #F1sky,strunzdumme
"Das einzige was @USER_1 bereut bedauert, dass er erwischt wurde.. Dieser Pädophile gehört eindeutig entsorgt...samt seiner Grünen Brut!!","Pädophile, entsorgt, Grünen Brut"
"Ein schmieriger Sozi,ein Faschist der extremen Linken,ein Antideutsches Subjekt!","schmieriger, Faschist, Antideutsches Subjekt"
"Opfer im Interesse der eigenen fragwürdigen Ziele verhöhnen zu lassen sind bewusster Politik-Stil Merkels, ein kranker Geist😜","Opfer, fragwürdigen, verhöhnen, kranker"
Haha das waren welche am Flughafen typische Grünen Wähler. Bis aufs Mark blöde,blöde
"Das sind doch alles masturbierende Pickelplatagen, keine Ahnung von Etwas...deswegen werden sie bestimmt Berufspolitiker..😃😃","masturbierende, Pickelplatagen, keine Ahnung"
"Pervers. Die Türken fordern Gerechtigkeit. Anstatt dort, wo sie die. Ungerechtigkeit gewählt haben, fordern sie das in Österreich. Haut ab.","Pervers, Haut ab"
Uiiii...die Häßlichkeit geht in die nächste Runde...,Häßlichkeit
Die haben noch einen Arsch in der Hose.,Arsch
"Da die Kirche jeher den Herrschenden in den Arsch gekrochen ist, inkl. Hitler, wundert es mich nicht 😜","Arsch, gekrochen, Hitler"
ich finde gut dass #Trump #Jerusalem als Hauptstadt anerkennt nun bekommen die #Israelis erst richtig auf die Fresse,richtig auf die Fresse
"Ach du Scheisse, wer mit Nahles in die Zukunft geht kann auch gleich den Stegner dazu packen 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",Scheisse
"Die Mehrzahl=Asylschmarotzer, Verbrecher, Terroristen, Feiglinge","Asylschmarotzer, Verbrecher, Terroristen, Feiglinge"
"Mit Europa im Zentrum meinen die Polit🤡 wohl die verrottete, korrupte #EU","verrottete, korrupte"
So ein Schwein sitzt noch da oben? Pfui Teufel!,"Schwein, Pfui Teufel"
Murksel und ihre Unchristen stehen für Konfrontation gegen Russland und einen möglichen Krieg. Und den überleben auch Wahlschafe nicht 😜,"Murksel, Unchristen, Krieg, Wahlschafe"
"So sieht es in einem Land aus welches vor der Verblödung steht...ich hasse dumme Menschen, erst recht wenn es meine eigenen Landsleute sind...furchtbar","Verblödung, hasse, dumme, furchtbar"
"Hallo, war einige Tage in PL, bin gerade zurück u. muss erst all die positiven Eindrücke verarbeiten😜Horsti u. Murksel, ein Thema in PL 😂😂😂",Murksel
Es gibt deutsche Weiber die sind geil drauf...deswegen wählen sie SPDund Grünen..!,"Weiber, geil"
Umso mehr Schwachsinn die Altparteien von sich geben umso eher kommt die AFD an die Macht.. Die Bürger sind nicht ganz so verblödet wie die Altparteien glauben. #illner,"Schwachsinn, verblödet"
