Sentence,Negative Connotations
ياصاحب الحساب تراك مصختها واضح انك تبي تسوي اثارة جدل بين الشعب الفلسطيني و الشعب السعودي اركد لا احطهه فيك,"مصختها, إثارة, جدل"
اذا انت سمين ونحفت بشر امك لان محد بيفرح لك غيرها اما انّا ترى والله محد مهتم,"سمين, محد مهتم"
ياحسوفه تربية امك وابوك — الله يلعن امك وابوك 😂 😂,"ياحسوفه, يلعن"
دانتو شوية بنات شراميط اقسم بالله ي كلاب الفولو ي عرر,"شراميط,كلاب,عرر"
اشوف بوكاكو بعده كين ثم ليفا لانه بدوري هبايل,هبايل
تدورون الاتنشن من طيز الحمار الله يلعنكم,"طيز, يلعنكم"
خرجناك من اسيا ودعسناكم اكثر من مرا حرمناك من اسيا وصياحكم كان طرب واخذنا من…,"خرجناك, دعسناكم, حرمناك, صياحكم"
ردوا مصريات الناس يا عكاريت وشوفوا كيف الميلاد بيصير مجيد والعام الجديد بيصير سعيد، لعنة الله عليكم وع,"عكاريت,لعنة الله عليكم"
هل قرأت المقال على الإطلاق، أم أنك مجرد واحد آخر من عملاء غوبتا الغوغائين .,"عملاء,غوبتا,الغوغائين"
لن يشاهدوا هذا الهراء أبدا مرة أخرى.,هراء
يمكنك دائماً الاعتماد على الجهلاء لعرض جهلهم.,"الجهلاء,جهلهم"
هذا خارجي تكفيري. ويأتون بآثار مكذوبه ويتركون الاحاديث الصِحاح التي يفهمها البل…,"خارجي, تكفيري, مكذوبه"
الف مرة قلتلك .. لا قلت مقدر! قصدي مقدر احيا يا جاهل بلاك 💙,جاهل
أيا كان ما لدي من روث تركه وحده.,روث
دعه يستمر في هذا النهج حتى يكون لديه حبل كافٍ ليشنق نفسه.,يشنق
صباح الخير أي سلام يا جحش ؟,جحش
مع اني متحمسة اشوفه اقرع ولابس عسكري ومدعوس تحت الشمس,"اقرع,مدعوس"
هبلة و مش فاهمة شو عم بتحكي,"هبلة, مش فاهمة"
أي شخص غبي سيكون قادراً على فهم ذلك.,غبي
ألبرت أراكلين: لا يمكنني معرفة إذا كان منشورك ساخراً أو غبياً.,"ساخراً,غبياً"
انسان غبي وردوك مفهاش احترام للى قدامك ومعرفش مستحمل تبقى كدا ازاى .,"غبي,مفهاش احترام,مستحمل"
يلعن امك سيدي الحكم هههههه,يلعن
اللعنة اعتقدت أن هذا التعليق كان ضجيجا عاديا,اللعنة
بكل القهر الظاهر في عينيها بكل الانكسار البادي عل محياها ألا لعنة الله عليكم فاظلم كما شئت لا نرجوك مرحمةً إنّا…,"القهر, الانكسار, لعنة, فاظلم, لا نرجوك مرحمة"
بيكيه ماعليه ياعمري صح انك شوي غبي بس عادي اهم شيء اشوفك ياعمري,غبي
لويس الآن يرتدي قبعة صغيرة على رأسه السمين,سمين
آمل أن يجدوهم ويشنقوهم عاليا,يشنقوهم
من يهتم للغباء كيف يتم الصيد واللعبة بين الحين والآخر؟,الغباء
صحيح، لأن المجرم الحقيقي هو الأحمق الذي يغادر العمل مبكرًا، وليس السارق المسلح أو المغتصب المتسلسل.,"المجرم,الأحمق,السارق المسلح,المغتصب المتسلسل"
لعنة الله عليكم من مدافع وحارس,لعنة
عزيزي آلاكسيس ، هذا الفتى أحمق، لا يفهم شيئا، فاشل .,"أحمق,لا يفهم,فاشل"
سبحان الله كأنك تتكلم عن نفسك فيه احد ما أحتل مصر يابهيمه وشارع الهرم يشه…,يابهيمه
مدري مين جاب سيرة اليهود. يمكن لأنك غبي تعتقد إني تكلمت عن اليهود. ويمك…,غبي
وكان انتخاب فان دير بيلين بمثابة انتصار للغباء والانتحار الثقافي.,"الغباء,الانتحار الثقافي"
هههههه وانا بقول حل يانجس انت مو قد النقاش ولا السجال تتكلم وتتهم قيادتي وانت ما انت إلا…,نجس
الله ابدع بالدوري تأخذ افضل لاعب علطول وعندنا اي لاعب يبدع قالو دوري هبايل ههههههههههههههههههههه…,هبايل
مائة ألف شخص دفعوا المال لمشاهدة هذه القمامة.,القمامة
بدون ذكر الأغبياء مثل بيلوسي,الأغبياء
ثلاثة أرباع الناخبين الذين لم يصوتوا لهؤلاء الأغبياء؟,الأغبياء
ميسي ظُلم بادارة كارثية ومدرب غبي ، لن يبقى ميسي في البرسا بهذا الطموح والعشوائيه !! #برشلونه_بايرن_ميونخ,"ظُلم,كارثية,غبي,عشوائيه"
هئ يؤبر عضامي قولة الشاميات.. يسكتلياه هو وانا أكمل نومي هههههه بس المشكلة إنو موو هون يا دبة 🐼😭💔,دبة
ترامب كاذب ومجنون.,"كاذب,مجنون"
هي قزمة وأنا قزم شنو بنجيب غير الأقزام شوف لي وحدة طولها يكون ٣ متر وعشرين سنتيمتر،، 🥺,"قزمة,قزم,الأقزام"
بوجود الڤار الغى الهدف اقسم بالله كذا كفاااايه يلعن امك من حكم,يلعن امك
النقر على الرابط مع هذه القصة يجعلني أشعر بالغباء.,الغباء
خرج سارق آخر لا فائدة له من المجتمع.,"سارق,لا فائدة له"
ليش انتو تجننولاوماحد يقول سلمو الرواتب سلموهن يا منايك,منايك
هذا هو الخراء الذي يضحكون عليه بسبب بساطته.,الخراء
افهم تراك تعتبر زنجي بينهم,زنجي
يا فتى، ذلك الفتى وغد محظوظ.,وغد
كفايه تقديس للاعبين القدامى والله كانو عبط درجه اولى,"تقديس, عبط"
بوجود الڤار الغى الهدف اقسم بالله كذا كفاايه يلعن امك من حكم,"يلعن,امك"
نحن وقعنا ضحية بين ايديكم انت وبقية الاحزاب القذرة لعنة الله عليكم,"ضحية,القذرة,لعنة"
ياخوي المدرب متخلف المفروض ملعب نوح الموسى مع فيجسا وفي الأمام مارين مارتيتا فتوحي ورأس الحربة السوم…,متخلف
وظفوا لكويتيين والبدون ما نبي مصاروة,ما نبي مصاروة
الاغتصاب هو اعتداء جنسي بواسطة أي جنس، بغض النظر عن وجود قضيب أو عدمه!,"الاغتصاب,اعتداء"
مستحيل الشعب الفلسطيني كذا انت لاتمثل الشعب الفلسطيني يا حمار,حمار
كن كاذبًا ومحتالًا واحصل على مكافأة (أدرج صورة مولروني).,"كاذبًا,محتالًا"
خلف كل مصيبه للرجل او شي مولم مرأة.. معوض خير .. الا لعنة الله عليها بنت الكلب,"مصيبه, مولم, لعنة, بنت الكلب"
عاش حياة فارغة وبائسة .,"فارغة,بائسة"
كم فلسطيزي بياكل من خيرات السعودية اللي مش عاجبك علاقاتها الدولية؟,فلسطيزي
لهذا السبب تخليت عن التدريس بسبب المتخلفين أمثالك,المتخلفين
سمها الغباء النهائي.,الغباء
ازعجونا حذاء العصملي. يقولونا بناها العثمانيون الترك. في القرن ال 19,"ازعجونا, العصملي"
اثنين من المجانين يحاولون إظهار من حصل على الشيء الأكبر!,المجانين
جيد، لا تدع الباب يضربك في مؤخرتك بينما تترك هذه المحادثة يا سيد,"يضربك,مؤخرتك"
لا اثبات هذا شخص غبي وما يمثلنا,غبي
ليه الستات بقى أغلبهم شراميط دي بقي حبيبتي,شراميط
مشاهير الفلس ينصحون مجتمع كاامل هزلت ورب الكعبة يلعن ابو السوشل ميديا اللي خلت هذي العينات لها صو,"فلس, يلعن, العينات"
الرجال افعال لا اقوال .حددنا الخط الاحمر وتركنا الكلام لقردوغان.من يتفق مع روسيا هو ا…,قردوغان
ربما يجب عليك العودة إلى السجن، يا جبان.,"السجن,جبان"
أخوي ناصر الاخوان والراعي الرسمي لهم (قردوغان) أصبحوا مكشوفين وتناقضهم أصبح كالشمس في كبد ا…,مكشوفين، تناقضهم
يجب أن تكون جمهورياً تعتقد أن الناس غبيون جداً لإدارة حياتهم بأنفسهم.,غبيون
يالييييييييل نادي متخلف ادفعوله ال٥ مليون وفكوا امنا لازم كل موسم قبل مباراه الهلال تخربونهااااا,"متخلف, تخربونهااااا"
اذا الدوري البرتغالي دوري أغبياء دوريك وش ؟,أغبياء
ما رأيك في تيلرسون عندما يطلق على رئيسه لفظ أحمق ?,أحمق
اقسم بالله تعبتنا ياميسي يلعن امك ما اقواك ياخي 💙 💙,"تعبتنا, يلعن امك"
إني أقرأ ببطيء عن حرب فيتنام أاللعينة .,أاللعينة
ليبيا وتركيا يد وحدة وموتو بغيظكم يا مصاروة يامتهزئين من اتيوبيا وباذن الله العلم اللليبي ح يرفع فوق…,"موتو, بغيظكم, مصاروة, يامتهزئين"
ومن قالك يا اقرع انه مكنش عندنا ثقه ببلدنا 😏,اقرع
لا يمكن استبداله إلا بتوافق آخر على رأي مات قبل أن يولد,مات
بس اذا كان زنجي لا تزوجه القبائل لعدم تكافوء النسب,"زنجي, عدم تكافوء النسب"
انت يلا مش متزحلق والكورة ف ال 6 ياردة ؟ يلعن أبوك,يلعن أبوك
أقرباء ميامي و هافانا الصغار مجانين بما يكفي ليفعلوا هذا,مجانين
بعض الأغبياء وضعوا ذلك لحجب الحرب,الأغبياء
لعنة الله عليكم بعتم الأرض والعرض لليهود كيف ستقفون أمام الله,"لعنة,اليهود"
يا إلهي، لقد ذهبت حتى الآن، إنه أمر سخيف !,سخيف
مصيرنا ندعسكم في كل مكان ولو كانت مواجه مباشره لاعطيناكم دروس…,"ندعسكم, مواجه مباشره"
الخول جبران باسيل روح طلع حزب اللات والمليشيات الشيعية من بلدنا ليرجعوا النازحين يلي احتليتوا أراضيهم وهجرتون يا مجرمين,"الخول,حزب اللات,المليشيات الشيعية,احتليتوا,مجرمين"
حتى أنني أعرف الزهرة الوطنية اللعينة والقذارة التي يصنعونها في كايسونج,"اللعينة,القذارة"
الله لايوفق كل شخص له يد باللي صار ، لعنة الله عليكم,"لايوفق,لعنة"
الديانة النصرانية هي نسخة طبق الأصل عن الديانة الزرادشتية سلمها المجوس للنصارى يداً بيد ومثلاً بمثل!,"النصرانية, المجوس"
من قال لك ايها المغفل ان الصحراويين لا يشبهوننا، من اين اتى المرابطون؟؟ الصحراء كانت ارضا خ…,المغفل
لعنة الله ع طبقتنا السياسية الفاسدة والفاشلة هيدا من اهمالكن وفسادكن يا منايك,"لعنة,فاسدة,فاشلة,منايك"
دس السم في العسل عليكم لعنة الله,"السم,لعنة"
ما حدا احسن من حدا كلهن منايك وولاد قحبة 🙏,"منايك, ولاد قحبة"
حاجتك تغريد يا سمج والله العالم قرفتك,"سمج,قرفتك"
يبدو أنه يزدهر على هذه الأشياء وكثيرا ما يجعل وسائل الإعلام تبدو مثل الحمقى.,الحمقى
والله ماالوم قردوغان يوم يبغى يعمل قيود على تويتر في تركيا🤣. من كثر مامسحوا المصري…,قردوغان
من الخارج أنت أحمق لتبدي مثل هذه الملاحظة الجاهلة,"أحمق,الجاهلة"
ياكلب مسوي نفسك غني يلعن امك ترا مو عيب اذا كان الواحد فقير الله يرزق من يشاء,"ياكلب,يلعن امك"
اجل الاشكال هذه تفوز يلعن ابوك يازمن وابوك يافساد 😡,"يلعن,فساد"
وإلى أن تتعامل الحركة النسوية مع الإسلام وكيفية معاملته للمرأة، فإن الحركة برمتها ستكون مهزلة كاملة!,مهزلة
دي قلة ادب جديدة ولا شنو ؟؟ لعنة الله عليكم اجمعين ما تسوقون بهكذا افكار وأساليب تخدم اجندة بنو علمان واشباه الرجال ..,"قلة ادب, لعنة الله, اشباه الرجال"
هذول شراميط اعطينا اخبار الفقراء والايتام والعجزهه,شراميط
المشكله من صورتك انك مخنوث قصدي رجال من تكلم تعرف كعلة أمك يافتال,"المشكله, مخنوث, كعلة أمك, يافتال"
وعمها يقول اخوك ممرض و محافظ عن صلاته م رح يكون متحرش و تغريدات عمها تفشللل تفكيره مره متخلف لدرجه…,"متحرش, تفشللل, متخلف"
سافر إلى أماريلو من ألاسكا ليجعل من نفسه حمارا .,حمارا
ده مجمع شراميط ده ولا ايه,شراميط
لقد أذهلني التأكيد على أن الناخبين الأمريكيين مجرد أغبياء.,أغبياء
وأنت ذكي مثل شخص لديه فم كبير وعقل صغير وطفولي.,"فم كبير,عقل صغير,طفولي"
طب ايه واحنا رحنا فين يا شراميط,شراميط
لئيم، بخيل، وقح، ضيق الأفق، ناقص اللياقة.,"لئيم,بخيل,وقح,ضيق الأفق,ناقص اللياقة"
مهما اختلفت مع الاحداث والايام والناس ف #رابعه ف دا مش يديلك الحق انك ترضي باللي حصل ف اليوم دا إلا انك انسان متخلف…,متخلف
ده قصر قردوغان الجديد، عامل فيه حمام سباحة اوليمبي مسميه البحر المتوسط وقاعد عمال يحط بلوكات فيه وكاتب عليها بتاعتي,قردوغان
ولك كول هوا يازلمه، ليش مش فاهم,كول هوا
يا له من مهرج عديم الفائدة هذا الرجل,"مهرج,عديم الفائدة"
وفي سياقٍ آخر الصعايدة احلى واحسن ناس بالعالم,
البنات الي يقولون الولد خروف ترا الخروف مايلحق إلا التبن فهمتي ياهبلة منك ليها😏🤭 حلفت ماحد يشكرني ياعيال😌,"خروف,هبلة"
عاد يوم انك بطل وراك جبت شراميط تقسيم يحمونك ؟,شراميط
العراقيين ديبينون شكد همة انانيين من خلال رفضهم لقانون يحمي العائلة كلها مو بس البنية وشكد تفكيرهم متخلف ومحدود!!,"انانيين,متخلف,محدود"
حان الوقت لتغيير مستوى تحملنا لهذه القمامة.,قمامة
تقتلوا النساء وتسجنونه وتقولوا انكم يمنيون لعنة الله عليكم يا متوردين,"تقتلوا,لعنة,متوردين"
على الاقل بس يأدون يا شراميط تصويتنا مايروح عالفاضي,شراميط
مع ذلك، شخص جاهل مثلك يتجاهل الواقع.,جاهل
هذا السلام الذي يتغنى يه المطبعون لعنة الله عليكم ابد الدهر,"لعنة, عليكم, ابد الدهر"
في كل مرة تتعرض للإستغلال تأكد أن الخطأ عائد لك لا محالة ، كونك كُنت غبي وحسن النية لأشخاص عمرهم ما كانوا يستاهلون…,"غبي,عمرهم ما كانوا يستاهلون"
هل كان الخطأ لترامب أن جون بوديستا كان غبيًا بما فيه الكفاية ليفتح رسالة تصيد الكتروني؟,غبيًا
يا حمار لم نكن يوما تحت الاستعمار العثماني ، بل هزمناه في معركة قرب فاس…,حمار
شويه شراميط بيتحدفوا علينا يعم 😂 💔,شراميط
انت مثل عمك قردوغان يتكلم بالاسلام ويسمح بالدعارة ويسمح للمثلين بممارسة الرذيلة ويتاجر مع اس…,"قردوغان, الدعارة, مثلين, الرذيلة"
والوادي هو حفرة للخاسرين حيث يلعب الكثيرون بنصف حزمة من البطاقات.,"حفرة, الخاسرين"
ليش بتنطرب وبتسكر لمن بتجيب سيرة الحذاء يا زلمي مع إن كل واحد بفش خلقو ع ذوقو حسب مفهومو ثقافتو وعقلو…,"بتنطرب,بتسكر,الحذاء"
#الهلال حارس قزم ولاعب وسط قلب دفاع أما أن لهذا العبث ان يتوقف مايحدث في الهلال يتطلب تدخل اعضاء الشرف لإنقاذ ا…,"قزم, عبث, يتطلب تدخل"
حقائق ديوثية مداعبة الحلمات تثير الشهوة عند بالمئة من الرجال,"ديوثية,شهوة"
لا بد أن يكون لك أعداء آخرون الآن أسدي لنفسك معروفا واغرب عن وجهي,"أعداء, اغرب"
قطر اختلفت مع كل المحيط العربي لأنو تحالفت مع حليفك الخامنئي ، حليف حليفك يعني حليفك كيف سياستكن يا شياطين ما بعرف,شياطين
مش اي حد يقولك بحبك يبقي بيحبك فعلا متبقاش غبي.,غبي
الناس ينشرون لماذا لا يفعل الملاعين هذا وذاك، مزعج.,"الملاعين,مزعج"
اول مرة اشوف قمر على هيئة بشر 🤦 🏻‍♂️ ❤ ️,
اذا الحين بالكمبيوتر كيف نتلاعب بالقرعه يا حمار 😅,حمار
الصراحة اذا ما عجبك الله يلعن امك,يلعن امك
إذاً، ميركوسكي وسوليفان كانوا حثالة لسنوات.,حثالة
😅😂😂😂😂مهم خلاص بتوع اسكندريه بقيوا صعايدة خلاص,"بتوع, صعايدة"
أهؤلاء الأثرياء الساقطين، ماذا نفعل الآن، نفرض عليهم ضرائب؟,الساقطين
٣ مليون زنجي يقومون ب تشي تشي,زنجي
أزمة الوفيات الناجمة عن شبائه الأفيون هي نتيجة مباشرة لسياسة الحظر الغبية والفاسدة.,"غبية,فاسدة"
عيب تقارن دوري هبلان بجنه كره القدم,"عيب,هبلان"
مفش منه كلام هذا ياما قلنا شكلك دبه ومصرش شي يصير بلوك بعدها,"دبه, بلوك"
اشرف وانزه من ابوك يا ابن سته وستين زنوه,"ابوك,ابن سته وستين زنوه"
هذا كل مايهمكم لعنة الله عليكم جميعا البلاد تغرق وأنتم مشغولين بمواقع التواصل,لعنة الله عليكم
عبدالرحمن الغامدي ورقته الرابحه وعمار الدحيم اساسي اهبط يلعن ابوك نادي 🤣,"اهبط, يلعن"
وانتم ماذا فعلت عمائمكم يا أحفاد المجوس,"عمائمكم,أحفاد المجوس"
