Sentence,Negative Connotations
同意楼主的说法要像当年五四青年组织起来向大众发传单同时让越来越多人们如今弓澢真负真实嘴脸他们不过犹太人爪牙和虫类的亲儿子,"负真实嘴脸, 犹太人爪牙, 虫类的亲儿子"
见过不少男同就是这样理论的支持者，实际上在我看来他们其实是最自私的群体。又蠢又坏，他们除了可以骗女人和年幼无知的小孩，没人信他们。,蠢 坏 骗 年幼无知
和黑人结婚生的杂种都应该灭杀掉,"杂种, 灭杀"
我做不了吧主。坚定反黑。,反黑
狗带风向是一回事，女性群体中一部分跟狗走那是另一回事??你觉得呢,"狗带风向, 跟狗走"
是不是吧里这些nt贴都是阿娜发的？,nt
民主党搞的和平演变路线，说白了就是葵花宝典。现在美国国内也是一堆女权主义、黑命贵的政治正确。把自己切了让别人死。典型的又蠢又坏。但是你不防还真不行。不防真容易死。,"蠢, 坏, 女权主义, 黑命贵"
幕刃应该把他自己和女性割裂开,割裂
中国男性就是被五千年的文化糟粕绊住了手脚。你看女拳一点儿传统不讲。凭啥男人还要跟她们讲传统？负责任？养家？彩礼？不，这一点儿都不国际化。,"糟粕, 不讲传统, 不负责任"
不在中国地盘繁殖混种默，一切都好,繁殖混种默
不就是想制造多点舔狗,舔狗
舔狗龜男比拳師更可恨,"舔狗, 龜男, 拳師, 可恨"
默默太恶心了，受不了??,"恶心, 受不了"
跟国内外有什么关系?生理上恶心，基因里的东西都能扯到国家??,恶心
你把舔狗龟男放到这个行列里可还行，自娱自乐真好玩,舔狗 龟男
它和广大女醛全体紫砂估计大伙就能原谅它们了,女醛
打拳打输了你就开始生活不如意警告了？古墓派拳师了属于是,"生活不如意, 警告"
别跟我在这整些有的没得 言论自由 思想自由 你可以是同性恋 我可以觉得同性恋恶心 咱谁也别膈应谁 不用再回我 不想跟你们这类人沟通,有的没得 恶心 膈应
毕竟还有恋性病癖，恋艾滋病癖，答主你说对吧，，，这个不是个人自由那么简单了，是这个原因需要批判的媚黑行为。否则那些狗贼把病都留在中国了,"性病癖, 恋艾滋病癖, 媚黑, 狗贼"
我是女生，我也是这样。但是恐同其实给我造成很大的困扰，因为耽美文学和腐女太多了，到处都能看见，导致我都不想打开社交平台了！,"恐同, 困扰, 腐女"
这些巨婴都是惯出来的毛病。,巨婴
艾滋，滥交，犯罪，吸毒贩毒，粘上一样非死即伤。有交往就有潜在风险，大家都是正常人，趋利避害是本能。希望大家努力，打击默的生存空间，让社会光明一点。,"艾滋, 滥交, 犯罪, 吸毒贩毒, 非死即伤, 潜在风险"
原来ln的受众是穆狗啊,穆狗
小丑能出来说一说你的成分吗,小丑
有很多种原因，黑河南、黑北方的都是南满,黑河南、黑北方
请视说这种人为弱智,弱智
开始什么样。最开始的早就被他自己删光了吧好一朵白莲,"删光, 白莲"
什么义字当头，这是违法的，自由恋爱没毛病，别违法就行，三非黑人该驱逐驱逐，通过合法途径，乃至留学过来和国女结婚都行，别做三非,违法，驱逐
极端仇男癌成员，希望家人们留意！,仇男癌
拼生孩子还真拼不过，国男喜欢养孩子，默从来不养，怀了就跑路，,跑路
才不对亢让t们团结鼓励让t们风况捏参考棒子锅,才不对亢
debuff叠满了，本人西安上学维吾尔族极左普信男粉红爱国蛆??,"极左, 普信男, 粉红, 爱国蛆"
神经病，连谁删你都不知的质杖还来装，笔,"神经病, 质杖, 装, 笔"
啊哈哈哈，普信男破防了??，当真是喜闻乐见??,"普信男, 破防"
孽畜，还不快快现形！~,孽畜
我已经累了，也懒得讲道理了，爱咋咋地吧，ez和默关我什么事啊，总有一天中国要整出个右翼分子,"懒得讲道理, 整出, 右翼分子"
结了婚的通讯录在当今社会不出瑰的几乎为零,不出瑰
爆菊太可怕了，死变态啊??,死变态
同性恋应该选中立至少不会出来恶心人，同性恋者选中立做深柜才有可能改邪归正,"恶心人, 深柜, 改邪归正"
她们不是单纯，是真的蠢,蠢
这都不是真女拳，真女拳因为谷爱凌挑战郭女白瘦幼审美观都骂她呢,骂
看前面那么多三哥我本来以为这个是个ntr的故事【没有看过原著仅看了图片,ntr
女拳的智商真是编故事都漏洞百出啊。首先原来黄精灵体力弱不是事情是编造出来的，建议去奥运会证明自己呦。其次黄精灵真的希望每个人都摘50个果子吗？矿场，工地里一大堆果子怎么没见到小仙女去摘呢,"智商真是编故事都漏洞百出, 体力弱, 是编造出来的, 建议去奥运会证明自己, 矿场, 工地里一大堆果子怎么没见到小仙女去摘"
对于默就是有一种无差别的讨厌。。。,讨厌
还有好多是玩的。把人弄怀孕了，提上裤子就跑路。这种就叫“华垃圾”,垃圾
我怀疑你在侮辱窑姐，即使窑姐接了还挣钱的呢，她们白给甚至倒贴??,"侮辱, 窑姐, 白给, 倒贴"
这个群怎么搞群主啊，要不从新创个贴吧。那些什么奴隶啊，我草草这些东西就踢了就行，把原帖吧的东西保存一下就行,"奴隶, 我草草"
大风起兮云飞扬，安得猛士兮守四方，嘿畜，任何时候都要剿，不剿不行,畜
直接举报这个黑比，,黑比
粿籹凌迟就完事,凌迟
女拳就属于，每天给它一块钱福利，现在感觉少,女拳
外表可以。黑真是太丑,丑
所以你认为我所说的那些腐女太偏激了是在瞎bb,瞎bb
不一定只有男同恶心。有的阴阳人也挺恶心的??,恶心
猩猩都比黑人好看,黑人
新群，一起爆杀小仙女啊,爆杀
那我在网上遇到十个广西人九个是脑瘫怎么说??,脑瘫
这些女人真恶心，,恶心
女拳挑拨夫妻关系，婆媳关系，甚至挑拨女儿与父母的关系，以拆散家庭为目的，纯属一群变态,"挑拨, 拆散, 变态"
垃圾：黑同，同意的顶。颠覆国人的三观，棒垃圾当宝贝。,"垃圾, 颠覆, 棒垃圾"
蓝鸟上骚女和菩萨被开除女籍了,骚女
现实里女拳没网上猖狂可以了,猖狂
别，黑的血肉我想想都恶心,恶心
鼠鼠被俺整急了,整急了
夫妻吵架，妻子拿砍刀挥向老公小仙女放话:不过是砍一刀，谁家夫妻不吵架？,砍刀 砍
阿三不比黑哥干净多了？??,黑哥
女权师疯狂成这个样子她们要刀谁？或许仅仅看着她们每天把自己置之死地的样子，就很美妙呢,"疯狂,刀,置之死地"
大批直男被邪恶的基佬勾引失足建议立即将他们绞杀！,邪恶的 基佬 勾引 建议 绞杀
第二張圖無感，第一張圖真伞兵，另外男足真是不爭氣,無感 伞兵 不爭氣
就好比小仙女总觉得自己应该被舔、自信的仙女最美丽，自信的男人普信男。总觉得龟男如果不要自己就再也找不到更好的,舔、普信男、龟男
反正我每次叫它都是华东女贼大学,女贼
男人只会和男拳战斗，好男不和女斗。,"只会, 好男不和女斗"
理智的gay一般都反感直男，因为三观大概率是不合的??,反感
就算她不拿刀你就能打得过180斤起步的母坦克?,母坦克
猪精都是这样的，吃不到性别福利只能走这条路,"猪精, 吃不到"
黑混越来越多,黑混
真是虫混和它们祖先虫类真是天生一致直把他乡做故土的寄生虫还大言不惭说它是我过人从这片土地的记忆里就从来没有昆虫纲国际鬼子虫类及其它们后代虫混。,"虫混, 寄生虫, 大言不惭, 昆虫纲国际鬼子, 后代虫混"
关键是那么丑那么穷的h人，某些人还跪舔倒贴，这就是人的问题了，我们男的又不是sb！,丑 穷 跪舔 倒贴 sb
小仙女上辈子这么过来的,
像郑若璘和潘庆林和吴宗宪等等等一大批非常多民族豪杰都在反国际鬼子虫类及其它们后代虫混这些入寝社会的入寝者可是这些人在跪虫族眼里基本上都是键盘侠,鬼子 虫类 入寝 跪虫族 键盘侠
能把这小倪格掐死吗,掐死
我以為女拳師討厭腐女，原來這兩種屬性是能兼容的,討厭
体制内的打拳的最多了，优越感很多很强的,优越感
傻逼双标狗而已,傻逼 双标狗
中国男人家暴了那就是因为xdz把自己的负能量发泄在配偶那??,"家暴, 负能量, 发泄"
普信男明知道不能送游艇，他们多数人仍会选择在这个周末上网……而不是去好好劳动，真是无药可救无可救药,普信男 无药可救 无可救药
垃圾人口，增加世界负担,"垃圾人口, 增加世界负担"
真的，我一大学室友，女生，天天打他男朋友，都打进医院了，我们宿舍都很讨厌她，后来那女的升学了，毅然决然把那男的甩了，恶心,"打, 讨厌, 甩, 恶心"
教课书一样的普信女,普信女
说的是那些普信的直男，也不算无差别攻击吧,普信的直男
捅的好，应该虐杀幕刃,虐杀
单亲，带黑娃，怎么也会被人说的，被人疏远的。就因为这个黑娃，她这辈子是没了，这黑娃还要上她的户口，到时候这黑娃在中国生活也会很艰难的。,"黑娃, 被人说, 被人疏远, 没了, 艰难"
郭女颜值不高，又不肯去做性价比高的整容，化妆邪术毁皮肤，卸妆如同恐怖片。我是佩服成天郭女推土机为荣的，牙口真好,"颜值不高, 化妆邪术毁皮肤, 卸妆如同恐怖片, 推土机"
笑正常人是猪，散播同性恋美西意识不良风气，校方不会轻判,"猪, 散播同性恋美西意识不良风气"
这种nt发言一度让我怀疑是友军反串,nt发言
喝舍得酒，做普信男，没毛病,普信男
我也是。我及其厌恶黑皮。与其为伍就是自甘堕落????,厌恶黑皮 自甘堕落
很好!出于虚伪的人性道德?迫于无奈的理论漏洞?才有你们的今天?如果不管什么道德?你他妈今天的午饭就是在猪槽里吃了,"虚伪, 漏洞, 你他妈, 猪槽"
说的这么新奇，好了，我宣布，田园女拳有滥交的自由,滥交
姆蛆好不容易才找到的,姆蛆
搞清因果关系，主要问题还是在幕刃这边，打破她们的外包装现出原形就好了，比如把舔G的女神头发P光光，衣服换成男装，口红脂粉全擦掉，再看她们如何卖钱,舔G的女神
这种不像智人发言的极品脑瘫言论，每次都让我怀疑这是友军，然而现实就是一次又一次地打我的脸,"极品脑瘫, 打我的脸"
最好不要瞎说，B站的孝子是最狠的，搞不好我们吧又被炸了的。,"瞎说, 最狠, 炸了"
同婚不能减少骗婚，基佬骗婚是因为想要繁衍后代，占两种便宜而已，不是来自社会压力，禁止同性恋繁衍后代就可以消灭骗婚。,"骗婚, 基佬, 占便宜, 禁止同性恋繁衍"
不专拉外国人皮条的窑姐，人家都不感接黑人的客,皮条 窑姐 黑人的
她们赶紧去非洲挺好的，是死是活关我什么事，别留在国内恶心中国人。另外，友情提示，婚检发现艾滋，医院有明确要求不允许告诉患者的伴侣和亲属，别问为啥，问就是保护艾滋病人，也不知道保护了他们，正常的普通人是得罪谁了,"赶紧去非洲, 是死是活, 恶心中国人, 艾滋, 不允许告诉患者的伴侣和亲属"
帅个屁，你这是什么审美，或者阁下也是黑猩猩？,"帅个屁, 黑猩猩"
国铝都有这样光明的未来,
B站女拳，说着说着自己玻璃心把我拉黑了,玻璃心 把我拉黑
你难道不是？凭什么你的身边就是身边，我的身边就是假的？你怎么证明那些跟小黑交往的女生是我们985的？,假的
什么硅南，能不能死一死？,死一死
不要当舔狗不要当舔狗，把女人当男人一样对待，男女平等，约她来就来，不来就赶紧再约下一个，什么狗屁持之以恒的追求，那是死缠烂打，幕刃最讨厌死缠烂打了。,"舔狗, 狗屁, 死缠烂打"
这片恶心的是结尾给女主洗白了，因为小时候被老妈情人侵犯，跑路致残，渴望爱情，所以才诬陷男主，,"恶心, 侵犯, 跑路致残, 诬陷"
如何评价这个漏屎鸡老,漏屎鸡老
连这个是转发贴都看不出来只要有人骂他他就说人家是基佬嘞,骂 基佬
在反同群不反同，你自己也说过你是双性恋了，所以要为民除害找你很合理。,"反同, 要为民除害"
建议国男们别在仙女朋友圈里出现,国男
怎么样，人家现在露出猩猩面目了，你往世卫投钱，整天捐款，现在白打水漂了,"露出猩猩面目, 白打水漂"
不按照母拳预定的轨迹和套路行事，大概率被母拳成为普信,普信
关于默，玩兽j的小仙女岂是郭楠可以高攀的??????,玩兽j 高攀
来康康你的嘿爹,嘿爹
去黑非洲就行，那里有酋长,黑
这……确实挺可爱啊，从面相来说就比那些奇形怪状的女拳生物和善多了，而且人家也没什么错吧，恶意攻击不可取，别真和微博一样了,"奇形怪状, 恶意攻击"
不听老妈实话整容，信路人化妆，幕刃智商可以的,"不听老妈实话, 幕刃智商"
最后两张肥猪,肥猪
我们南方是除了自己和精神故乡谁都黑，要不你把祖籍报过来小偷还是龙鸣我保证能给你安上一个（不会是弯弯吧，那除外）,"小偷, 龙鸣, 弯弯"
小黑砸很死皮赖脸的，很难搞。老是相同几句不停地回复我。有一个老是拿恶心话回复。我猜想他们认为这样就能赶走我,"很死皮赖脸的, 很难搞, 恶心话"
杨圣母出来恶心全体男性的时候怎么看不到它站出来,"恶心, 它"
其乐无穷，老子高兴，干你鸟事。,干你鸟事
有趣的事，这些女的都是坚定的女拳??,女拳
拿着一张p的图在这里意淫，通讯录是不是都有臆想症,"意淫, 臆想症"
我觉得也不是黑哥的问题，女人结婚时候不是处女我就接受不了，跟他以前有什么族的男朋友没关系。因为我是处男,"不是处女, 接受不了, 以前"
行行行，中国男人媚外世界第一，国女世界第一优秀。反正被权威组织点名媚外的，国女那可是头一份啊。你们继续打拳，我们继续“媚外”谁也别耽误谁。,媚外
有空发这个不如去舔你默??的嘿d,舔
跟本不可能的事你在这杞人忧天啥，别看几个新闻就以为国女都媚黑了，,"杞人忧天, 媚黑"
不会真有人想和小仙女结婚吧不会吧不会吧,不会
后面改成默也算人??,也算人
能不能回复啊，笑死了，没见过这么嘴硬小胆的fw，是不是待会还要自己精神胜利一把说我不屑于和你说话啊,嘴硬 小胆 fw 精神胜利 不屑
在一些聊天交友软件，或者游戏里装成女的，骗舔狗的钱，这事我以前都干过发现舔狗简直精虫里没一点脑子,"舔狗, 骗, 精虫里没一点脑子"
她们被外国杂种羞辱了，国男愤怒受不了罢了。国女被好好对待，没人会反对,"外国杂种, 羞辱, 愤怒受不了"
母人进来啦,母人
为什么不发中国的研究？反同的是中国人,反同
真的是快要超出我的承受力了，这女的这么恶心人的？,恶心
超过西周？？？我说是放P。西周早就发明文字了，黑人什么时候有过文字？到现在还有原始社会。,"放P, 黑人, 原始社会"
原来是个臭gay,臭
ezg喜欢，我们也没办法。老实人还是祈求以后不会娶到和动物玩过的ezg吧，毕竟房车彩礼不是那么好赚的,"老实人, 祈求, 娶到, 动物玩过, 房车彩礼, 赚"
作为一个gay，我不觉得这种态度有什么问题啊……这篇回答简单说就是：你爱逼逼你逼逼，关我屁事。,"逼逼, 屁事"
政策，tm的看个足球赛是互撕大战，山东葱，东北啥啥，什么都有。,tm的 互撕
可是为什么图上都是男的？难道是因为母人智商低下说话毫无公信力吗,母人智商低下 毫无公信力
连个正式关系都没有就嫌红包小，这和网络乞丐有什么区别？,嫌红包小 网络乞丐
可别了，正常女的也会恶心女??的，起码我身边受过高等教育的女性都觉得女??傻逼,"恶心, 傻逼"
是男挙定义宠女人的男人为狗，什么叫喜欢当狗。,"狗, 当狗"
下策囧你打草惊蛇，以后她就会隐藏喜欢黑人的想法，变成一颗诡雷[蹲],诡雷
急了，某些法西斯急了，还说我是黑孝zi，23333，某些fxs，够了?,"法西斯, 黑孝zi, fxs"
那tmd倒是嫁过去啊，在中国生活算怎么回事啊,tmd
主页整天搁那和不同的白楠yy，就算你真的那么有钱也不妨碍你lkd,活该
幕刃这智商也是服了，自己妈妈说大实话不听，听网上的人吹牛逼,"智商, 吹牛逼"
只希望她们去别的国家，不要在中国，华夏的土地不能被墨污染,被墨污染
看那些疯狗干什么，天天睡在自己的幻想乡里，动不动把人咬死,"疯狗, 咬死"
黑人都是默默默默默默默默默默默,黑人
三个吧都没了，她们真废物,废物
建议小蚬屡加大力度，最好见面就得送一万元的东西，这样舔狗龟男保证死绝?,舔狗 龟男 死绝
微博傻卵玩意废物木人是这样的,傻卵 玩意 废物 木人
请让我恶意的揣测下这是什么弱智般审美,"恶意, 弱智般"
我说的是，小藓女她求分享，楼主不理她，她就开贴引战，还带了舔狗来。,小藓女 引战 舔狗
这就是慕勾正常人谁和蝈蝻结婚啊,"慕勾, 蝈蝻"
真尼玛矫情,真尼玛
哈哈哈，小仙女的事要你们管,要你们管
看了那么多回答，没看到因为说害怕艾滋，搞不懂，男人娶黑女白女好像他们就没啥意见了，女人搞黑哥白男，他们反应好大，看不懂,"搞不懂, 没啥意见, 反应好大, 看不懂"
比如在父母面前抽烟的大孝子行为,
楼主这讽刺太有力度把跪虫族和国际鬼子虫类及其它们后代虫混描写淋漓尽致,跪虫族 国际鬼子虫类 后代虫混
??xs国钕谈贡献就要开始弱者表演，享受好处就要平分，分到了还要和默骂无声贡献的郭楠不觉得自己很ex么？,"弱者表演, 默骂无声, 郭楠, 很ex"
急了，想要默了,默了
真是国际母狗总是那么迷之自信准确来说并不是国际鬼子虫类及其它们后代虫混是犹太人走狗鹰犬爪牙深入到中国的各行各业才是真事,"国际母狗, 国际鬼子, 虫类, 犹太人走狗, 鹰犬, 爪牙"
去B站看看，小仙女诬陷好人猥亵，黑框眼镜小仙男替小仙女出头，远离诬女，今日朱军，明日诸君,"诬陷, 猥亵, 诬女"
变她ma了个??8，拒绝舔狗从我做起,"变她ma, 拒绝舔狗"
来看看基佬的光荣事迹,基佬
我也是不理解，到底哪来的这些牛鬼蛇神,牛鬼蛇神
这种问题我也不知道该咋说了，就像我觉的阿莱克丝塔萨漂亮，可是偏偏有人觉得浩克漂亮。。男同属于后者。。,男同
又不给做绝育又圣母只能让流浪猫越来越多都成生态杀手了,"圣母, 流浪猫, 生态杀手"
这是个杂碎,杂碎
幕刃欠凌迟,凌迟
但为什么在别的地方那个幕刃可以讲出来这些话？,None
民主党搞的和平演变路线，说白了就是葵花宝典，美国国内现在也是一堆这些破事儿，把自己切了让别人死。典型的又蠢又坏。,破事儿、又蠢又坏
和中国思想有什么关系。。我没懂事的时候小学女同学拿班里的男同学和我开情情爱爱的玩笑我就觉得很恶心了，生理排斥男同,"恶心, 生理排斥"
在所谓“自立自强”中走向极端，然后彻底反智。管中窥豹，略见一斑，权拳二象性实乃真知灼见PS：素材来自吧中某帖一个破防幕刃的主页，欢迎仗义之辈同去屠?,"极端, 反智, 破防, 屠"
和那群基佬一样，安能辩它是雄雌,基佬
黑东北的百分之九十是“好客山洞” 见不得中国好的是美国佬小日本 见不得东北好的是好客山洞,黑 见不得 美国佬 小日本
你要坚持自己的想法，因为我也觉得同性恋很恶心，永远都不可能改变，太恶心了,"恶心, 可能, 不可能, 改变"
凭那句你您不好看，女拳就已经炸了，直接拿出包里的刀开始暴金币了,"不好看, 女拳, 炸了, 刀, 暴金币"
好像原来看过这个视频而这个视频就非常细致的讲述国际鬼子虫类及其它们后代虫混是如何慢慢虫化与озеленение全球更为细致讲述法国和英国是如何虫化,"鬼子虫, 虫化"
这就网上的拳师吗，我吐了,吐了
说的什么jb，他爹咋了？,jb
杀光一切基佬,"杀光, 基佬"
一不小心把仙女整破防了，看来网络上脾气巨大的公主基本都是这样的,"整破防, 脾气巨大"
我们国家很好啊，就是有些eg，低劣生物那是变异，和国家有什么关系？国家让你便宜了？,"低劣生物, 变异, 便宜"
草，我不是男同，我也觉得恶心，那我是不是和你一样也是男同,"草, 恶心"
默就是默，喂不饱的白眼狼,白眼狼
谁不知道吴施蒙，谁特么活该接盘。,"特么, 活该, 接盘"
既得利益者可真是笑死我了，得利的也就少数上流社会，底层打工人过得还不如卖啤的女的,"笑死, 底层打工人过得还不如卖啤的女的"
**cr，一个二次元网站引流一堆慕刃把环境都搞臭了，以后大会员一天也不充了,搞臭
滚，lkd,滚
只要这女的以后不拖着个泥娃娃来欺诈国内彩礼钱，谁管她,这女的，欺诈
Txl真恶心,恶心
别结束啊，别当驴啊小仙女独立女性啊,当驴
得到相应的权利就要负责，我不反对女人独立。但是不能盲目打拳。毕竟我妈也是女人。现在风气都被田园女权带坏了。真就是粪坑里找??臭死了,带坏 粪坑 臭死了
求个中外哲学家评论幕刃的图,
还说什么中国男人配不上中国女人的鬼话，真是带出一个好节奏，全球家庭暴力也好，情侣矛盾也好，都是人类共有的特点，非要扣帽子说只有中国人会这样，真是离谱！,"鬼话, 离谱, 扣帽子"
看来你就是答主说的那类人了吧，??以后分手了再找别隐瞒你找黑人的历史哦,答主说的那类人 分手 隐瞒 黑人的历史
女??师和泥鸽。导致艾资也不少,导致艾资
果然只有黑猩猩才能干出来,黑猩猩
看起来那就是一个垃圾勾八营销号。,"垃圾, 勾八"
很好的解释了为什么会出现那么多eg的原因，兄弟们怎么看,
假的，另外这主播也是个fw,"假的, fw"
急了急了，就会这两句？看你评论全是黑南方的，估计智商也高不到哪里去,"急了, 黑, 智商低"
而新移民甚至留学生，easyg天下文明，就是为了骗美国国籍的，当然以和白白黑黑一起为荣了。,"骗, 荣"
全部共同特点：太丑了,太丑了
知乎同性恋标签第一的帖子，一群恶心人的在那里讲如何掰弯别人,恶心 掰弯
立女热搜上一堆，女拳砂男婴的热搜就往死里压热度，逼乎真有你的，不愧是姓逼,"往死里, 逼乎, 姓逼"
说起这点，都会说，你是变态啊可是，这本来就是女性的观点。为什么男性就不能穿裙子呢?,变态
对不起啊，我先道个歉我是一个耽美读者，那些莫明就磕cp的其实是腐女我也不知道为什么腐女那么多我也很反感腐女的。,反感
但事实上，大部分都是找个接盘的，这也就罢了，到最后接盘住了，他们还不安生，各种乱搞，这才是最让人觉得恶心的,"接盘, 不安生, 乱搞, 恶心"
有几个女的跑网约车？都是男人在跑，他们还得顾家赚钱，哪像这种幕刃除了比必啥都不会？,"幕刃, 比必"
但也不是媚黑女的中国,媚黑
受不了了，同性恋真恶心,恶心
有些男的女的看不上?为什么会觉得男同看得上自己??,看不上
是啊！那个都有这些脑瘫奇人跪虫族,"脑瘫奇人, 跪虫族"
