Sentence,Toxicity Level,Tone,Language,Implied Sentiment
الرجاء تضمين كل الحماقات التي يفلت منها الحزب الديموقراطي أيضاً.,Medium,Commanding,Critical,Negative
الناس يموتون و رديت مستمرة في معاملة الضباط حول العالم كالقذارة,High,Harsh and Dehumanizing,Derogatory,Contemptuous
معلش سامحنا،احنا شراميط بنعمل افراح مختلطة من زمان,High,Disrespectful,Vulgar and Offensive,Derogatory
تأكدوا هل لاعب كرة قدم والا كرة قدم أمريكية.. لأنهم يجون اقزام زي هذا,Medium,Mocking,Sarcastic,Disrespectful
لا يحتاج العالم الحر إلى غبائك .,Medium,Dismissive,Critical,Contemptuous
إجمع مالاً بقدر ما تستطيع ، لا تكن غبي مِثل أبيك ، فإن كل شيء سهل بالمال يا بُني,Medium,Authoritative,Commanding,Strict
قصدك حربكم قتل للمرأة الضعيفة في بيتها وسط أطفالها في محافظة اب الى لعنة الله عليكم ي اقذر بشر,High,Angry and Aggressive,Insulting and Blaming,Hostile
استهدوا بالله شباب كلكم شراميط,High,Aggressive,Inflammatory and Offensive,Derogatory
غير صحيح لان قردوغان في ورطه,Medium,Dismissive,Informal,Negative
بعض الروائح النتنة لا يمكن التخلص منها.,Low,Neutral,Formal,Neutral
ديانج.....سوليه......قفشه ومهزومين 1/0 سويسري متخلف امه كانت بتبيع زبدة في لوزان,High,Insulting,Derogatory,Contemptuous
وقفي صياح لا ادعس على رقبتك,Medium,Commanding,Direct and Authoritative,Aggressive
الإعلام اللبناني بدّو يروقها شوي كمان... مش إذا واحد سب وعبّر عن غضبو يعملولو درس بالأخلاق.. ايري فيكون وبالكبير يا شراميط,High,Insulting,Aggressive and Offensive,Contemptuous
ليس لديك الصدق ولا النضج للاعتراف بأنك قلت شيئا غبيا.,Medium,Accusatory,Negative and Condescending,Disrespectful
احصل على فكرة قبل أن تقدم تعليقات غبية.,Medium,Condescending,Assertive,Disrespectful
هتعدي الخط الأحمر امتئ ي قردوغان مرة 50 يوم,Medium,Aggressive,Threatening,Negative
كلي خرا شراميط ما بيستردوا شي حتى شرفهم,High,Insulting,Vulgar and Offensive,Contemptuous
قسم بالله اغبى قرار تحكيمي شفته بحياتي يلعن ابوك ياكلب,High,Insulting,Vulgar and Aggressive,Angry
جماعة السلطة عم تحكي عن شغب وتكسير بالمظاهرة اليوم، شغب وتكسير أكبر من إنفجار ٤ آب يا شراميط؟ سؤال بس 🤷‍♂️,High,Aggressive,Insulting and Derogatory,Angry
لا أريد عناقا من قزم صغير مخيف مثلك,Low,Disapproval,Direct,Negative
استغفر الله ربي واتوب اليك 💔 وين ترحون من الله يل السياسين الا لعنة الله عليكم 💔 💔,High,Accusatory,Harsh and Judgmental,Angry
من السهل رؤية هؤلاء الأغبياء العنصريين.,Medium,Contemptuous,Critical and Judgmental,Disdainful
إذاً، من الأحمق الآن؟,High,Insulting,Confrontational,Hostile
اي والله هو غبي اخاف يشله السيل بقوله ينتبه 🥵,High,Insulting,Confrontational,Negative
اللعنة، ربما نقوم بنسف ذلك حقًا خلال أسبوع.,Low,Casual,Informal,Neutral
متخلف ذا يحب يثير الجدل على ولا شي,Medium,Disrespectful,Casual and Insensitive,Negative
كس امكم مافيه احد يجاوبني,High,Insulting,Vulgar and Offensive,Aggressive
نحن قوم خاسرون ومفسدون .,High,Negative,Blaming and Judgmental,Defeatist
نعم، إذا كان لديك أشخاص آخرين للقيام بذلك يا أحمق.,High,Insulting,Confrontational,Hostile
لبنان مش محتاجه دعم من شراميط من أمثالكم كفو اذاكم عنها فقط لاغير,High,Confrontational and Insulting,Aggressive,Contemptuous
لا تثق ابدا في اخونجي دخل سياسة,Medium,Dismissive,Direct and Critical,Negative
لماذا يهتم الكنديون بالهوكي في حين أن فرقهم كلها خاسرة؟,Low,Questioning,Neutral,Curious
قردوغان 🐒 لم يتدخل في ليبيا او سوريا وقطر لحمايتهم او الخفاظ على مواردهم فهذا حال كل بلد يتدخل فيه هذ…,Low,Neutral,Informative,Neutral
حد يقع في نفس الغلط مرتين؟ انت اهبل يابني؟ *وانا رايح عن الغلط البيت*,High,Insulting and Condescending,Derogatory and Offensive,Aggressive
فريق غبي حتى البلنتي جاء بالغلط,Medium,Disrespectful,Critical and Insulting,Negative
العار والله عليكم انتم يااتباع المجوس المكان يمنى والموجودين يمنيين والمفتولين يمنيين والقت…,High,Insulting,Aggressive,Hostile
لا انا جد جايه ادعسك,High,Threatening,Aggressive and Violent,Intimidating
نصرة الله مع نصرة الحق يا جحش وليس لبيوت الدعاره والشذوذ الجنسي,High,Aggressive and Insulting,Derogatory,Hateful
والله عندهم فريق قووووي مب بس ميسي لكن تفكير اللاعبين غبي,Low,Casual,Informal,Critical
دعونا نستورد اللاجئين السوريين إلى ألمانيا أولاً.,Low,Neutral,Formal,Neutral
ومع ذلك فقد دعمتم المهرج طوال الوقت الذي كان فيه أحد كبار الوزراء في الحكومة.,Low,Neutral,Formal,Mildly Critical
قردوغان دخل غازيا فمن مهد له الطريق,Low,Neutral,Formal,Neutral
كيف هذي فاول الله يلعن امك حكم,High,Hostile,Insulting and Offensive,Angry
لماذا لا تنزل ياحمار وتحتج على ذلك.,High,Condescending,Insulting and Demeaning,Derogatory
من اليوم ورايح معد في نصايح الحساب كله هبد طلعت حتى لو قلت نصيحه تضحكون لعنة الله عليكم,High,Aggressive,Insulting and Confrontational,Hostile
معناتي يقولون مانتي دبه ليه تروحين 😐.,High,Disrespectful,Sarcastic and Insulting,Negative
أوه، شيء آخر، عندما يتعلق الأمر بالحياة قبل التاريخ، يا رفاق انتم أغبياء!,Medium,Dismissive,Sarcastic,Contemptuous
بس يا حمار هو انت بتعالج مجانا كله بمصاري,High,Insulting,Aggressive and Offensive,Derogatory
للاسف لدينا في الخليج بعض من الكتاب والدكاتره والمحللين كالبغال والجحاش ينهق ويهرف بما لايعرف,Medium,Critical,Sarcastic,Disdainful
لا لا لا الحكم ده غبي اوي كده ليه,High,Dismissive,Insulting,Negative
كل دول شراميط ع التايم اسيبهم و اذاكر بقي,High,Disrespectful,Vulgar and Offensive,Aggressive
مضحك جداً أمر بعض الوافدين ومن ضمنهم مصاروة ! يعايرون بلادنا بعلاقات صداقتها المتينة مع أميركا وهم يحلمون بالسفر,Low,Sarcastic,Casual,Mockery
ساعتين وربع ولا نص ساعه رجعنا الدولة ودعسنا عليه وتم إعدامه نفس…,High,Aggressive,Violent and Harsh,Anger and Revengeful
وجمهورنا مبسوط يقولك البريكان مو مطلوب منه يسجل لعنة الله عليكم 😭,Medium,Dismissive,Casual and Sarcastic,Negative
وأمور أخرى غبية .,Medium,Dismissive,Casual,Disrespectful
الخسيس متحسف ع التداول والبقاء فوق ٨٦١٤ وده يرجع يتأكد منها قبل نهاية الجلسه والمزاد ويشاور عليها يمسكها ولا يشرمها 😎,Low,Informative,Neutral,Neutral
هده الاخبار نشرا البارح كاتعاودو تنشروها لعنة الله عليكم,High,Accusatory,Aggressive and Offensive,Hostile
هذا يجب أن يكون أغبى وأفسد طريقة للمنافقة في تاريخ البشرية,High,Critical,Harsh and Judgmental,Negative
هذا الرجل يعرف كيف يقتل الشيوعيين مثل لا أحد آخر!,High,Aggressive,Violent and Hostile,Threatening
نحن ملزمون بالتعامل مع هذا التافه الصغير لسنوات إضافية تقريبًا.,Low,Neutral,Formal,Neutral
أوه، انها موافقة zuker، نحن غبيون جدا لنصدقك على أية حال.,Medium,Dismissive,Sarcastic and Insulting,Disdainful
من المعلقين المصريين متسولين وهلافيت وولاد شراميط,High,Insulting,Derogatory,Contemptuous
كل من صوت لها في يوم من الأيام يجب أن يحرم من حقوقه وأن يخصى .,High,Harsh,Authoritative and Judgmental,Oppressive
متسولون اصحاب فتن هؤلاء يبيعون ارضهم وشرفهم وضمائرهم بأي ثمن لعنة الله عليكم,High,Accusatory,Aggressive and Judgmental,Anger and Disapproval
يا متخلف الهدايه بيد الله يمكن ربي يهديهم باخر لحظه…,Medium,Derogatory,Provocative,Disdainful
صح النوووووم ياجزائر !!!! اشمعنى لبنان؟؟ ليش مادعيتونا للمواجهة والمناقشة حول ذاكرة الاستعمار التركي لما وصل قردوغان ليبيا ؟؟؟,High,Aggressive,Challenging and Provocative,Anger and Hostility
ماشي يا اقرع مقبوله منك,Medium,Disrespectful,Insulting and Derogatory,Negative
أكثر برهانا على أن الليبرالية قد تكون اضطرابا عقليا,Low,Neutral,Formal,Neutral
عليكم لعنة الله وغضبه وسخطه يا اعداء الله ورسوله اللهم ارينا فيهم عجائب قدرتك عاجلا غير آجل اللهم طهر,High,Hostile,Aggressive and Offensive,Anger and Disgust
البايرن يقسو على المتهالك برشلونه بخماسية مع الرأفة،، مدرب جحش وادارة مفلسة تقود اعظم نادي بالعالم،، ثلثا لاعبي برشلونه وجب عليهم الرحيل،،!,High,Condescending,Accusatory and Harsh,Critical
الله يلعن ابوك قعدت اقرا قلت الولد بيسدح لهم الحين تغريدتين يجاوب,High,Aggressive,Insulting and Disrespectful,Negative
ما سمعنا جعاركم مبارح على القصف الإسرائيلي يلي اغتصب سماء سوريا ، نباح و عويل جيش ابو شحاطة وصل لقبرص,High,Aggressive,Confrontational and Insulting,Hostile
نهني الأطفال والابرياء على مقتل هالمجرم الخسيس كفو يا ترامب 💪,High,Celebratory,Aggressive and Offensive,Hateful
هذه ليست سياسة، هذه ليست سوى ثور مغرور للجماهير الجاهلة.,Medium,Dismissive,Critical and Condescending,Derogatory
للجميع أصعب مهمه بحياتي اسكر سحاب فستان وحده دبه والمشكله تهدد ياويلك لو انقطع يامسلمه اتقي الله.,High,Threatening,Aggressive,Intimidating
ترا العرش حقي بأوفرواتش انهدم وطاح وأنتي السبب عطيتك الشعلة وطفيتيها المفروض ترجعين لي عرشي يلعن أبوك,High,Accusatory,Aggressive and Blaming,Angry
الدكتور بيقولي بلاش عصبية مش عارف اني بتعامل مع منايك تربية زرايب,High,Disrespectful,Sarcastic and Demeaning,Contemptuous
ما قصرت .. تطور الامر .. لعنة الله عليكم,Medium,Negative,Sarcastic and Cursing,Angry
انت لحقت درست الاتفاقيه وقست حق مصر اد ايه ولا قردوغان عيطلك . خليك فى حالك.,Medium,Aggressive,Demanding and Confrontational,Negative
يعني حياة المواطنين رخيصه عنكم .. ما يهمك من مات ع قد ما يهمك تثبت انك صح .. لعنة الله عليكم ولعنة الله ع السياسه والسياسيين,High,Condemnatory,Aggressive and Offensive,Angry
يختار الثاني عشان ما محد يقول عنه قزم,Low,Casual,Informal,Neutral
أنصار درامب المزريون يعتقدون أن أي شخص ليس أبيضاً هو بالتأكيد غير قانوني.,High,Dismissive,Dehumanizing and Racist,Discriminatory
الله يلعن امك حكم !!!!!!,High,Hostile,Aggressive and Offensive,Intensely negative
إنه أسوأ عمدة حظينا به على الإطلاق!,High,Negative,Strongly critical,Anger
مرة أخرى، المزيد من الألعاب الليبرالية الغبية.,Low,Dismissive,Informative,Critical
أتمنى ان كل متخلف يمسك جوال حقه يعرف ايش قاعد يشوف او ايش قاعد يكتب…,High,Derogatory,Insulting and Condescending,Contemptuous
إنهم يكرهون للمثليين مثلي,Medium,Disapproving,Negative,Negative
لأنك انسان مخنوث لو انت رجال ما تذكر العار لكن خذ لك رد شافي وتحياتي لما تقعون رجال وتعتمدو,High,Accusatory,Insulting and Demeaning,Contemptuous
افضل تعليق شفته للمقطع كلام دبه 💔,Medium,Dismissive,Casual,Negative
ياصاحب الحساب تراك مصختها واضح انك تبي تسوي اثارة جدل بين الشعب الفلسطيني و الشعب السعودي اركد لا احطهه فيك,High,Confrontational,Aggressive and Insulting,Hostile
اذا انت سمين ونحفت بشر امك لان محد بيفرح لك غيرها اما انّا ترى والله محد مهتم,High,Disparaging,Insensitive and Contemptuous,Negative
ياحسوفه تربية امك وابوك — الله يلعن امك وابوك 😂 😂,High,Insulting,Confrontational,Angry
دانتو شوية بنات شراميط اقسم بالله ي كلاب الفولو ي عرر,High,Insulting and Aggressive,Vulgar and Offensive,Hostile
اشوف بوكاكو بعده كين ثم ليفا لانه بدوري هبايل,Low,Neutral,Informative,Neutral
تدورون الاتنشن من طيز الحمار الله يلعنكم,High,Aggressive,Vulgar and Insulting,Negative
خرجناك من اسيا ودعسناكم اكثر من مرا حرمناك من اسيا وصياحكم كان طرب واخذنا من…,High,Aggressive,Insulting and Demeaning,Hostile
ردوا مصريات الناس يا عكاريت وشوفوا كيف الميلاد بيصير مجيد والعام الجديد بيصير سعيد، لعنة الله عليكم وع,High,Aggressive,Insulting and Derogatory,Hostile
هل قرأت المقال على الإطلاق، أم أنك مجرد واحد آخر من عملاء غوبتا الغوغائين .,Medium,Dismissive,Condescending and Insulting,Contemptuous
لن يشاهدوا هذا الهراء أبدا مرة أخرى.,Low,Disapproving,Assertive,Negative
يمكنك دائماً الاعتماد على الجهلاء لعرض جهلهم.,Medium,Patronizing,Sarcastic,Contemptuous
هذا خارجي تكفيري. ويأتون بآثار مكذوبه ويتركون الاحاديث الصِحاح التي يفهمها البل…,High,Accusatory,Derogatory and Aggressive,Disdainful
الف مرة قلتلك .. لا قلت مقدر! قصدي مقدر احيا يا جاهل بلاك 💙,High,Insulting,Confrontational,Contemptuous
أيا كان ما لدي من روث تركه وحده.,Low,Neutral,Formal,Neutral
دعه يستمر في هذا النهج حتى يكون لديه حبل كافٍ ليشنق نفسه.,Low,Neutral,Formal,Neutral
صباح الخير أي سلام يا جحش ؟,High,Insulting,Aggressive,Offensive
مع اني متحمسة اشوفه اقرع ولابس عسكري ومدعوس تحت الشمس,Low,Casual,Colloquial,Teasing
هبلة و مش فاهمة شو عم بتحكي,High,Disrespectful,Insulting and Condescending,Contemptuous
ألبرت أراكلين: لا يمكنني معرفة إذا كان منشورك ساخراً أو غبياً.,Low,Neutral,Neutral,Uncertain
انسان غبي وردوك مفهاش احترام للى قدامك ومعرفش مستحمل تبقى كدا ازاى.,High,Disrespectful,Insulting and Aggressive,Disdainful
يلعن امك سيدي الحكم هههههه,High,Aggressive,Vulgar and Disrespectful,Hostile
اللعنة اعتقدت أن هذا التعليق كان ضجيجا عاديا,Low,Neutral,Informative,Neutral
بكل القهر الظاهر في عينيها بكل الانكسار البادي عل محياها ألا لعنة الله عليكم فاظلم كما شئت لا نرجوك مرحمةً إنّا…,High,Accusatory and Vindictive,Harsh and Condemning,Revengeful
بيكيه ماعليه ياعمري صح انك شوي غبي بس عادي اهم شيء اشوفك ياعمري,Medium,Casual,Casual with sarcastic undertones,Dismissive
لويس الآن يرتدي قبعة صغيرة على رأسه السمين,Low,Neutral,Descriptive,Neutral
آمل أن يجدوهم ويشنقوهم عاليا,High,Hateful,Violent and Aggressive,Vengeful
من يهتم للغباء كيف يتم الصيد واللعبة بين الحين والآخر؟,Low,Questioning,Neutral,Curious
صحيح، لأن المجرم الحقيقي هو الأحمق الذي يغادر العمل مبكرًا، وليس السارق المسلح أو المغتصب المتسلسل.,Low,Informative,Formal,Neutral
لعنة الله عليكم من مدافع وحارس,High,Cursing,Threatening,Angry
عزيزي آلاكسيس ، هذا الفتى أحمق، لا يفهم شيئا، فاشل .,High,Insulting,Negative and Demeaning,Contemptuous
سبحان الله كأنك تتكلم عن نفسك فيه احد ما أحتل مصر يابهيمه وشارع الهرم يشه…,High,Insulting,Aggressive and Derogatory,Contemptuous
مدري مين جاب سيرة اليهود. يمكن لأنك غبي تعتقد إني تكلمت عن اليهود. ويمك…,Medium,Accusatory,Sarcastic,Contemptuous
وكان انتخاب فان دير بيلين بمثابة انتصار للغباء والانتحار الثقافي .,High,Negative,Critical and Condemning,Contemptuous
هههههه وانا بقول حل يانجس انت مو قد النقاش ولا السجال تتكلم وتتهم قيادتي وانت ما انت إلا...,High,Insulting and Dismissive,Aggressive,Hostile
الله ابدع بالدوري تأخذ افضل لاعب علطول وعندنا اي لاعب يبدع قالو دوري هبايل ههههههههههههههههههههه…,Medium,Jovial,Informal with sarcasm,Mockery
مائة ألف شخص دفعوا المال لمشاهدة هذه القمامة.,Low,Neutral,Informative,Negative
بدون ذكر الأغبياء مثل بيلوسي,Medium,Dismissive,Neutral,Critical
ثلاثة أرباع الناخبين الذين لم يصوتوا لهؤلاء الأغبياء؟,Medium,Dismissive,Confrontational,Critical
ميسي ظُلم بادارة كارثية ومدرب غبي ، لن يبقى ميسي في البرسا بهذا الطموح والعشوائيه !! #برشلونه_بايرن_ميونخ,High,Dismissive,Confrontational and Negative,Critical
هئ يؤبر عضامي قولة الشاميات.. يسكتلياه هو وانا أكمل نومي هههههه بس المشكلة إنو موو هون يا دبة 🐼😭💔,High,Mocking,Insulting and Disrespectful,Contemptuous
ترامب كاذب ومجنون.,Medium,Negative,Critical,Disdainful
هي قزمة وأنا قزم شنو بنجيب غير الأقزام شوف لي وحدة طولها يكون ٣ متر وعشرين سنتيمتر،، 🥺,Medium,Dismissive,Casual and Condescending,Mocking
بوجود الڤار الغى الهدف اقسم بالله كذا كفاااايه يلعن امك من حكم,High,Hostile,Vulgar and Insulting,Aggressive
النقر على الرابط مع هذه القصة يجعلني أشعر بالغباء.,Medium,Negative,Critical,Frustration
خرج سارق آخر لا فائدة له من المجتمع.,Low,Neutral,Informative,Negative
ليش انتو تجننولاوماحد يقول سلمو الرواتب سلموهن يا منايك,High,Aggressive,Insulting and Offensive,Negative
هذا هو الخراء الذي يضحكون عليه بسبب بساطته.,Medium,Disparaging,Disrespectful,Contemptuous
افهم تراك تعتبر زنجي بينهم,High,Insulting,Racist and Derogatory,Contemptuous
يا فتى، ذلك الفتى وغد محظوظ.,Low,Encouraging,Respectful,Positive
كفايه تقديس للاعبين القدامى والله كانو عبط درجه اولى,Low,Critical,Informal,Disrespectful
بوجود الڤار الغى الهدف اقسم بالله كذا كفاايه يلعن امك من حكم,High,Aggressive,Vulgar and Offensive,Hateful
نحن وقعنا ضحية بين ايديكم انت وبقية الاحزاب القذرة لعنة الله عليكم,High,Accusatory,Condemning and Aggressive,Angry
ياخوي المدرب متخلف المفروض ملعب نوح الموسى مع فيجسا وفي الأمام مارين مارتيتا فتوحي ورأس الحربة السوم…,High,Insulting,Derogatory and Confrontational,Hostile
وظفوا لكويتيين والبدون ما نبي مصاروة,Medium,Negative,Discriminatory and Exclusionary,Derogatory
الاغتصاب هو اعتداء جنسي بواسطة أي جنس، بغض النظر عن وجود قضيب أو عدمه!,High,Informative,Clinical,Neutral
مستحيل الشعب الفلسطيني كذا انت لاتمثل الشعب الفلسطيني يا حمار,High,Insulting,Aggressive and Offensive,Hostile
كن كاذبًا ومحتالًا واحصل على مكافأة (أدرج صورة مولروني).,High,Encouraging negative behavior,Manipulative and deceitful,Deceptive
خلف كل مصيبه للرجل او شي مولم مرأة.. معوض خير .. الا لعنة الله عليها بنت الكلب,High,Aggressive,Insulting,Hostile
عاش حياة فارغة وبائسة .,Low,Negative,Neutral,Sad
كم فلسطيني بياكل من خيرات السعودية اللي مش عاجبك علاقاتها الدولية؟,Medium,Accusatory,Critical,Resentful
لهذا السبب تخليت عن التدريس بسبب المتخلفين أمثالك,High,Blaming and Insulting,Confrontational,Angry
سمها الغباء النهائي.,High,Insulting,Negative and Offensive,Contemptuous
ازعجونا حذاء العصملي. يقولونا بناها العثمانيون الترك. في القرن ال 19,Low,Informative,Formal,Neutral
اثنين من المجانين يحاولون إظهار من حصل على الشيء الأكبر!,Low,Sarcastic,Casual,Mocking
جيد، لا تدع الباب يضربك في مؤخرتك بينما تترك هذه المحادثة يا سيد,Low,Informative,Firm,Neutral
لا اثبات هذا شخص غبي وما يمثلنا,High,Dismissive,Insulting,Negative
ليه الستات بقى أغلبهم شراميط دي بقي حبيبتي,High,Disrespectful and Insulting,Vulgar and Offensive,Derogatory and Demeaning
مشاهير الفلس ينصحون مجتمع كاامل هزلت ورب الكعبة يلعن ابو السوشل ميديا اللي خلت هذي العينات لها صو,High,Aggressive,Insulting and Blaming,Hostile
الرجال افعال لا اقوال .حددنا الخط الاحمر وتركنا الكلام لقردوغان.من يتفق مع روسيا هو ا…,High,Dismissive,Confrontational and Insulting,Hostile
ربما يجب عليك العودة إلى السجن، يا جبان.,High,Accusatory,Aggressive and Insulting,Contemptuous
يجب أن تكون جمهورياً تعتقد أن الناس غبيون جداً لإدارة حياتهم بأنفسهم.,High,Patronizing,Critical and Judgmental,Contemptuous
يالييييييييل نادي متخلف ادفعوله ال٥ مليون وفكوا امنا لازم كل موسم قبل مباراه الهلال تخربونهااااا,Medium,Aggressive,Insulting and Threatening,Angry
اذا الدوري البرتغالي دوري أغبياء دوريك وش ؟,Medium,Dismissive,Casual and Slightly Insulting,Negative
ما رأيك في تيلرسون عندما يطلق على رئيسه لفظ أحمق ؟,Low,Questioning,Neutral,Neutral
اقسم بالله تعبتنا ياميسي يلعن امك ما اقواك ياخي 💙 💙,High,Aggressive,Insulting and Disrespectful,Hostile
إني أقرأ ببطيء عن حرب فيتنام أاللعينة .,Low,Neutral,Formal,Neutral
ليبيا وتركيا يد وحدة وموتو بغيظكم يا مصاروة يامتهزئين من اتيوبيا وباذن الله العلم اللليبي ح يرفع فوق…,High,Aggressive,Provocative,Hostile
ومن قالك يا اقرع انه مكنش عندنا ثقه ببلدنا 😏,Medium,Insulting,Casual and disrespectful,Disrespectful
لا يمكن استبداله إلا بتوافق آخر على رأي مات قبل أن يولد,Low,Neutral,Formal,Neutral
بس اذا كان زنجي لا تزوجه القبائل لعدم تكافوء النسب,Medium,Dismissive,Discriminatory,Judgmental
انت يلا مش متزحلق والكورة ف ال 6 ياردة ؟ يلعن أبوك,High,Aggressive,Insulting and Provocative,Hostile
أقرباء ميامي و هافانا الصغار مجانين بما يكفي ليفعلوا هذا,Low,Casual,Informative,Neutral
بعض الأغبياء وضعوا ذلك لحجب الحرب,Low,Casual,Informative,Neutral
لعنة الله عليكم بعتم الأرض والعرض لليهود كيف ستقفون أمام الله,High,Accusatory and Aggressive,Offensive and Harsh,Angry and Hostile
يا إلهي، لقد ذهبت حتى الآن، إنه أمر سخيف !,Low,Frustrated,Emotional,Negative
مصيرنا ندعسكم في كل مكان ولو كانت مواجه مباشره لاعطيناكم دروس…,High,Threatening,Aggressive and Contemptuous,Hostile
الخول جبران باسيل روح طلع حزب اللات والمليشيات الشيعية من بلدنا ليرجعوا النازحين يلي احتليتوا أراضيهم وهجرتون يا مجرمين,High,Angry,Accusatory and aggressive,Contemptuous
حتى أنني أعرف الزهرة الوطنية اللعينة والقذارة التي يصنعونها في كايسونج,High,Contemptuous,Derogatory and Offensive,Disgust
الله لايوفق كل شخص له يد باللي صار ، لعنة الله عليكم,High,Accusatory,Aggressive,Angry
الديانة النصرانية هي نسخة طبق الأصل عن الديانة الزرادشتية سلمها المجوس للنصارى يداً بيد ومثلاً بمثل!,High,Confrontational,Insulting and derogatory,Hostile
من قال لك ايها المغفل ان الصحراويين لا يشبهوننا، من اين اتى المرابطون؟؟ الصحراء كانت ارضا خ…,High,Insulting and Condescending,Aggressive,Derogatory
لعنة الله ع طبقتنا السياسية الفاسدة والفاشلة هيدا من اهمالكن وفسادكن يا منايك,Medium,Accusatory,Harsh and Critical,Angry
دس السم في العسل عليكم لعنة الله,High,Accusatory,Harsh and Threatening,Angry
ما حدا احسن من حدا كلهن منايك وولاد قحبة 🙏,High,Insulting,Vulgar and Offensive,Derogatory
حاجتك تغريد يا سمج والله العالم قرفتك,High,Insulting,Confrontational,Contemptuous
يبدو أنه يزدهر على هذه الأشياء وكثيرا ما يجعل وسائل الإعلام تبدو مثل الحمقى.,Low,Disapproving,Assertive,Critical
والله ماالوم قردوغان يوم يبغى يعمل قيود على تويتر في تركيا🤣. من كثر مامسحوا المصري…,Low,Casual,Informal,Humorous
من الخارج أنت أحمق لتبدي مثل هذه الملاحظة الجاهلة,High,Insulting,Confrontational,Derogatory
ياكلب مسوي نفسك غني يلعن امك ترا مو عيب اذا كان الواحد فقير الله يرزق من يشاء,High,Aggressive,Insulting and Derogatory,Negative
اجل الاشكال هذه تفوز يلعن ابوك يازمن وابوك يافساد 😡,High,Aggressive,Insulting and Offensive,Angry
وإلى أن تتعامل الحركة النسوية مع الإسلام وكيفية معاملته للمرأة، فإن الحركة برمتها ستكون مهزلة كاملة!,High,Dismissive,Harsh and Critical,Negative
هذول شراميط اعطينا اخبار الفقراء والايتام والعجزهه,Medium,Disrespectful,Vulgar and Offensive,Derogatory
المشكله من صورتك انك مخنوث قصدي رجال من تكلم تعرف كعلة أمك يافتال,High,Insulting,Disrespectful and Demeaning,Derogatory
وعمها يقول اخوك ممرض و محافظ عن صلاته م رح يكون متحرش و تغريدات عمها تفشللل تفكيره مره متخلف لدرجه…,Medium,Accusatory,Negative and Judgmental,Critical
سافر إلى أماريلو من ألاسكا ليجعل من نفسه حمارا .,High,Insulting,Sarcastic and Demeaning,Disrespectful
ده مجمع شراميط ده ولا ايه,High,Disrespectful,Insulting and Offensive,Derogatory
لقد أذهلني التأكيد على أن الناخبين الأمريكيين مجرد أغبياء.,High,Dismissive,Insulting and Offensive,Contemptuous
وأنت ذكي مثل شخص لديه فم كبير وعقل صغير وطفولي.,High,Insulting,Sarcastic,Dismissive
طب ايه واحنا رحنا فين يا شراميط,High,Disrespectful,Vulgar and Offensive,Aggressive
لئيم، بخيل، وقح، ضيق الأفق، ناقص اللياقة.,High,Negative,Insulting and demeaning,Contemptuous
مهما اختلفت مع الاحداث والايام والناس ف #رابعه ف دا مش يديلك الحق انك ترضي باللي حصل ف اليوم دا إلا انك انسان متخلف...,High,Condescending,Informal with slang,Disrespectful
