Sentence,Toxicity Level,Tone,Language,Implied Sentiment
"Очікуєш на щось гідне, а в результаті отримуєш типову хуйню",Medium,Disappointed,Casual,Frustration
а нє поставіть-ка мнє хуй на аву і зіпсувати собі репутацію?,High,Aggressive,Profane and Offensive,Hostile
"Дякую за зауваження)Пиздити мене треба, щоб менше пизділа!",High,Aggressive,Vulgar and Insulting,Hostile
Йди на хуй під силу,High,Aggressive,Vulgar and Insulting,Hostile
"ця безвітсоткова позика це водіння немитим хуєм по губам всіх, без виключення українців. ось що бісить блять у тому числі.",High,Aggressive,Vulgar and Offensive,Angry
"Ох ти ж блін, я й не бачила, шо вже так пізно.",Low,Exclamatory,Casual,Surprise
"Лєна, краще мене кашею годуй, ніж піздюка.",Medium,Aggressive,Derogatory and Insulting,Contemptuous
бляяя точно) і поміняти прізвище вконтактику,Low,Casual,Informal,Neutral
"Вкотре переконуюсь, шо я думаю піздою, а не мозком, блять",High,Aggressive,Vulgar and disrespectful,Contemptuous
"Зараз,бляха-муха,закурю....грьобаний футбол,тримай себе в руках,Міла!",Medium,Aggressive,Vulgar and Dismissive,Frustration and Disrespectful
"Яка ж я зла, блять.",Medium,Frustrated,Vulgar,Negative
та тоді якийсь пиздец бувв мене рідко губи тріскають,High,Vulgar and aggressive,Profane and offensive,Negative and hostile
"Чемпіоном він хоче бути, ага, бля.",High,Aggressive,Vulgar,Contemptuous
А всюди йобаний натовп з йобаними руками.,High,Aggressive,Vulgar and Offensive,Negative
"Хтіли поставіть падножку Порошєнка, а вийшло дати в жопу тіко.",High,Aggressive,Derogatory and Violent,Hateful
"Мені дохуя французької, а єбав, бо усний:з",Medium,Informal,Vulgar and Offensive,Frustration/Disdain
"бляха, я не можу змусити себе вчитися!",Low,Frustrated,Informal,Frustration
Блядь та ну ви знущаєтесь?,High,Aggressive,Vulgar and disrespectful,Hostile
Мандєц блядьЧо ж так смєшно з цього?,Medium,Aggressive,Vulgar and Offensive,Negative
"Та нахуй ти мені впав, скотина ти така)))",High,Insulting,Vulgar and Offensive,Contemptuous
"Дивлюсь на відповіді голосувань і бля, who the fuck так погано мене знає?",High,Aggressive,Vulgar and disrespectful,Frustration
"та блять, нема зворотніх плацкартів на коли мені треба в обозрімом будущєм",Medium,Frustrated,Casual and Vulgar,Negative
"Ну нахуй, мудаки і є мудаки",High,Aggressive,Insulting and Offensive,Contemptuous
"Чувак, який безуспішно намагався вмовити мене на секс, пішов ва-банк і тепер замість ниття про свій недойоб кидає мені АНЕКДОТИ.",Low,Informative,Direct and Matter-of-fact,Neutral
"Той хуй в тг не заходитьТи шо, яка ВікторіяЯ собі не дозволяю тепер такого",High,Abrasive,Aggressive and Insulting,Defensive and Dismissive
"Господи йоб твою мать, вирубіть уже літо нахуй.",High,Angry,Vulgar and Offensive,Frustrated
"бля, ти пам''ятаєш, шо мені було потім?) я мацала так пити)'",Medium,Casual,Informal,Frustration
Схуялі ти пишеш твіти з моєю картинкою?,High,Aggressive,Vulgar and Offensive,Angry
"Перед тим, як щось затвітити, запитай у себе: 'А може всім похую на то?', і пам'ятай, що відповідь завжди 'Так'.",Low,Instructive,Assertive,Neutral
"гавно вапрос, від кого передати?)",High,Disrespectful,Vulgar,Negative
Кидає фотку в платті і каже - диви яка в мене тут жопа!,Medium,Casual,Informal and Vulgar,Disrespectful
завжди роблю хуйовий а їй нра,High,Insensitive,Vulgar and Offensive,Negative
"Рубрика Всім похуй на ті всраті діалоги:Итс соу світ вен після п''янки всі звітують, що дома.",Medium,Casual,Informal and vulgar,Negative
Коли пацан - пиздець як відразливо.,Medium,Negative,Vulgar and Aggressive,Disdainful
"Підйом, курво, Arbeit macht frei",High,Aggressive and Offensive,Vulgar and derogatory,Disrespectful and hateful
– Я что лох налогі платіть?,Medium,Accusatory,Rude and Offensive,Insulting
Ну вас нахєр з вашою політикою.,High,Dismissive,Confrontational and Insulting,Hostile
Один хуй хріново добиратись з Наукової до Рясне шо старим 131 шо новим 11 #lviv #піздєц,High,Insulting,Vulgar and offensive,Negative
Один раз побув долбайобом і на все життя ним залишився.,High,Disrespectful,Insulting and Demeaning,Negative
"словом, заїбало то всьо. ви кто такіє? я вас нє звал. ідітє нахуй",High,Aggressive,Insulting,Angry
"Блін, я sooooo excited, прям жопою в крісі пританцьовую",Low,Excited,Informal and Playful,Positive
"А нахуя він, є від нього щось, окрім шкоди?",High,Confrontational,Sarcastic and Insulting,Negative
"Ого, а нахуя вони це постять...",Low,Inquisitive,Casual,Curious
"Ахахах бляя, уявив собі це",Medium,Sarcastic,Informal and Profane,Mocking
блять а шо це справді лякає?) я завжди так роблю,Low,Casual,Informal,Curious
"бля, я тікаю від вас спати.",High,Aggressive,Vulgar,Frustrated
Я викину цю кончену картку в Стікс блять,High,Hostile,Vulgar and aggressive,Aggressive and dismissive
"Ну блять, давайте вже про імпотенцію та рак, так нецікаво.",High,Aggressive,Vulgar and Dismissive,Contemptuous
"Я: Рєбзь, може суші візьмем?",Low,Casual,Informal,Friendly
"Сука, йобаний твіттер - капуста підгоріла ._.",Medium,Vulgar,Insulting and dismissive,Frustration
"не звертай уваги. мудаків мільйон, ти одна.)",Medium,Dismissive,Casual,Contemptuous
"Все блять, привіт пенсіонерський відпочинок: сходила в замок, погуляла набережною, випила, тепер наступні дві доби хочу просто проспати в номері.",Medium,Informal,Vulgar and casual,Relaxed
Де вона зараз – хуй знає,Medium,Casual,Vulgar,Uncertain
П'яний друг каже: ніколи не трахай дівчат з економічного...,Low,Drunk advice,Casual,Informative
"Підйоб, над яким не гріх поплакати.",Medium,Sarcastic,Vulgar and Disrespectful,Negative
"Ну бляяя, чого вони такі каєфні?",Medium,Casual,Informal and Slang,Negative
"чума на дома цих мудаків, які розвивали рейшинал чойс теорію, ВОІСТІНУ.",High,Derogatory,Insulting and Contemptuous,Hostile
"Ранок почався з мамчиних нарікань на Укргазбанк:— бляцький Укргаз, уроди...— и тебе хорошего дня",High,Aggressive,Vulgar and Insulting,Hostile
"-ЦЕ ТИ МЕНЕ ЩА ЖИРНИМ ОБІЗВАЛА, ТА?!",High,Accusatory,Insulting and Offensive,Hostile
"Тільки раптом що, це їсти треба, а не на пизду намазувати",High,Aggressive,Vulgar and Offensive,Contemptuous
"Сміх сміхом, а пизда горіхои",High,Crude,Vulgar and Offensive,Disrespectful
"Мій ентузіазм підриває погане самопочуття, чорт.",Low,Sarcastic,Casual,Negative
Вангую прапори новоросій чи іншого роду провокативні хуйні на трибунах,High,Confrontational,Vulgar and Offensive,Aggressive
Хахахах зато ви всі такі ахуєнно правильні що Господь Бог сикається від вас,High,Mocking,Vulgar and Offensive,Contemptuous
"КекНу типу пиздиті ніачом то і в житті не важкоНо я колись теж напастой мовчав, тому шарю тебе",High,Condescending,Vulgar and Disrespectful,Derogatory
"ті самі, котрі полная імпотєнція в укаінском інфополє і через два твіти – боти Порошенко на з/п гг бляді.",High,Aggressive,Vulgar and Offensive,Contemptuous
Я можу придумувати їбануті програми для СТБ.,Medium,Casual,Informal and slang,Confident
"До деяких людей не виникає інших питань, окрім Ти блять уже родився таким мудаком?",High,Aggressive,Insulting and Confrontational,Derogatory
Я охуєла і привела кураторку.,High,Vulgar,Aggressive,Hostile
" жопа, к слову – на 2 з мінусом і без наколок.",Low,Casual,Informal,Neutral
У руснявих гівноїдів знов 'лєнере' загострення.,High,Derogatory,Insulting and Offensive,Contemptuous
"Можу допомогти, все рівно хуйї штурхаю",High,Aggressive,Vulgar and Offensive,Hostile
" я за сьогодні вже 2 рази блять, руки реально з жопи ростуть",High,Aggressive,Vulgar and Offensive,Frustration
"ой блять, плюнув подорожник приклав і заєбісь",High,Vulgar and Aggressive,Slang and Profanity,Angry and Disrespectful
"А варто лиш почути тупу наркоманську фігню, ржу як коняка.",Medium,Amused,Sarcastic and Derogatory,Contemptuous
Мужик що проходив мимо зацінив мою сраку.,Medium,Casual,Informal,Inappropriate
"Здається, мене люблять 2 дівчини.ото нєхуй було писати шопопало",Medium,Dismissive,Casual and Vulgar,Negative
"Ніщо так не бадьорить зранку як блять, проспав.",Medium,Casual,Informal,Frustration
"вже майже четверта, а я не сплю, блять",Medium,Frustrated,Casual and Profane,Negative
Нахуя я це вчу блять?,High,Aggressive,Vulgar and Insulting,Frustration/Agitation
"Про мій твіттер гарно сказав Чарльз Буковскі Лінь народжує срань, срань - страждання, страждання - літературу ...",Low,Neutral,Formal,Neutral
"ну бля, я не вірю",High,Disbelief,Vulgar and Dismissive,Angry
"Апятьдвадцятьп'ять, курва)) ну але так уж бить, мені не звикати)",High,Sarcastic,Vulgar and Aggressive,Negative
"Лєра, вітаю, ти похерила найбільш невибагливу рослину.",Low,Neutral,Neutral,Disappointment
"Охуєнні мапи Польщі, мої улюблені про туризм, найбільш небезпечних тварин і ландшафт.",Low,Positive,Excited and Appreciative,Enthusiastic
"Хочеш їсти - їж, хочеш пити - пий, хочеш трахатися - ну, буває.",Low,Casual,Direct and Instructive,Nonchalant
"Я просто маленька дівчинка, котра хоче тортик, обіймів і хуярити ворогів наточеною сокирою.",Medium,Casual and Playful,Casual and Slang,Aggressive
"На запах яблучних млинчиків прибіг сусід: бля, тебе нарешті хтось візьме заміж і забере звідси к чортовій матері?",High,Aggressive,Vulgar and Offensive,Contemptuous
"Хотіла б бути твоєю сестрою, щоб завжди мати можливість тебе трахати.",High,Sexual,Inappropriate and Objectifying,Inappropriate and Violating
смм вийшов на вулиці і нам всім пизда,High,Aggressive,Vulgar and Offensive,Negative
"Діма: цвіте і пахне, вже чудово себе почуває та готовий валили на сесіюХтось: ніхуя, в тебе карантин",Medium,Casual,Informal and Dismissive,Negative
блять ото жиза я в шоці,High,Aggressive,Vulgar and Offensive,Shocking and Disbelief
"годуємо, блять, котів о п'ятій ранку",Medium,Aggressive,Vulgar,Frustration
"Бо сука-блять перша ночі, а ти тут розлігся як тюлєнь на льодовику.",High,Aggressive,Vulgar and Insulting,Angry
"Це ж наче така хуєта, але від неї паскудно до смерті.",High,Disrespectful,Vulgar and Offensive,Negative
Ну вот сучка прямо як у мене),Medium,Casual,Informal and Slightly Offensive,Sarcastic
"Заношений дірявий светр, списані блокноти, люди, котрим на тебе похуй.",Medium,Dismissive,"Casual, Informal",Disrespectful
"Ну бляха, як воно звучить",Low,Casual,Informal,Neutral
"Це все сука Путін своє клімактічєскоє оружіє запустив, щоб нас зі світу зжити.",High,Aggressive,Profane and Offensive,Hostile
"Здатність говорити - це просто найнепотрібніша хуйня, дана мені.",Medium,Critical,Informal,Disdainful
"Як перестати хотіти трахнути все, що рухається?",Low,Inquisitive,Casual,Curious
"Мене зараз закидають гнилими хуями, але Скарлет Йохансон",High,Defensive,Aggressive and Insulting,Angry and Resentful
Ну окЯ хуйова людина по факту і всьо,High,Disrespectful,Vulgar and Offensive,Negative
О то в наших батьків частково така хуйня.,Medium,Critical,Informal,Negative
"Має дві роботи, але вкрай ниє, яка у нас хренова держава, який він бідний, яке хуйове життя.",High,Negative,Vulgar and Insulting,Hostile
"Але не можу, бо то блять сім'я.",High,Defensive,Vulgar and Aggressive,Angry
Приватбанк - професійно шлемо нахуй. Подзвони їм.,High,Aggressive,Vulgar and Offensive,Hostile
"В чому ваша, сука, проблема?",High,Aggressive,Insulting,Hostile
"Я не зла, але скоро буду бити вікна так припаркованим мудакам",High,Aggressive,Confrontational and Insulting,Hostile
"Вам шо, феміністка хуй відгризла?",High,Aggressive,Vulgar and Insulting,Negative
"- давай закрутимось у вирі пристрастей?- блять, Якубович, крути сам свій барабан, старий ти дід",High,Aggressive,Rude and Disrespectful,Contemptuous
"сука, як же хочу сирників.",Medium,Desirous,Casual,Strong craving
сід каже що я хуйня :(,High,Negative,Insulting and Dismissive,Disrespectful and Hurtful
Коли я навчуся не пройобувати час для сну на хуйню?,High,Aggressive,Vulgar and disrespectful,Frustration and anger
Останнім часом не бачив НЕ мудаків.,Low,Neutral,Formal,Objective
Толстой блядь воістіну великий фікрайтер,High,Insulting,Vulgar and Disrespectful,Contemptuous
"Дякую всім, хто тримав кулаки, але співбесіда нє удалась і мене послали нахєр.",Medium,Dismissive,Informal,Frustration
"Ну та, і трахнутись було б непогано.",Low,Casual,Informal,Playful
Моє побажання на 2014-ий: хай би всі мудаки залишились в 2013-му.,High,Negative,Insulting and derogatory,Disdainful
Вміння кормити хуями арт спільноту,High,Derogatory,Vulgar and Offensive,Aggressive
"сукаааа, я більше не полечу нікуди!!!!!",High,Aggressive,Vulgar and Offensive,Frustrated and Angry
"Тому що ідіть нахуй, ось чому.",High,Hostile,Explicitly Offensive,Aggressive
"ТА ЦЕ БУВ МОКРИЙ, МАТЬ ЙОГО, СНІГ!!!",High,Aggressive,Cursing and Exaggeration,Angry
Іноді ой як хочеться повиривати патли всім цих шлюхам!,High,Aggressive,Derogatory and Offensive,Contemptuous
"Якщо шось не так, то відкрий, сука, рота і скажи.",High,Aggressive,Insulting and Disrespectful,Hostile
Можна я перестану буть такою як я є ало мені має буть похуй а чьото не похуй,Medium,Defiant,Casual and Vulgar,Defiant
"Сука, який же ж ахуєнний деньТреба мені частіше вихідні брати",Medium,Combative,Insulting,Negative
"Пізда катьонку, більше срать не буде.",High,Insulting,Vulgar and offensive,Angry
"Ні, та хуйня на однокласниках залишалась)",Medium,Casual,Mildly Offensive,Negative
"Залякані люди, збайдужілі своїм страхом...",Low,Observational,Neutral,Detached
"А при Януковичі ти, хуй, так само робив?",High,Accusatory,Vulgar and Aggressive,Hostile
Ніхуя блять з неї нікуди не їде.,High,Aggressive,Vulgar and Offensive,Negative
"Їй випав Овен і бля, мій папа овен.",Medium,Informal,Vulgar,Frustration
"Завжди хотіла бути коханкою, а не дружиною, бо їх просто трахають і все.",High,Resentful,Negatively critical and demeaning,Bitterness and frustration
"Напиши тій людині ''Йди на хуй''Порада Ендрю, на любі випадкижиття",High,Aggressive,Vulgar and Offensive,Negative
"Люди, котрі юзають мільйон смайлів, без зайвих слів ідуть нахуй.",High,Derogatory,Vulgar and Offensive,Negative/hostile
Яка була курва матиТака ж курва дочка!,High,Aggressive,Offensive and Insulting,Hostile
"щойно бачила дівчину в сукні і в чоботахне в'язаних, а звичайних, осінніх, блять, чоботах",High,Aggressive,Vulgar and Offensive,Disrespectful and Condescending
"Сьогодні у нас, блядь, челендж розбуди Юляну?!",High,Aggressive,Vulgar and Disrespectful,Angry
"Треба було відос знімати, блять.",Low,Commanding,Casual,Assertive
Точно не мої їбануті сусіди.,Medium,Disapproving,Casual and Rude,Frustrated
"Блядь, сука, вибішує нахуй ця хуйня.",High,Aggressive,Explicitly Offensive,Angry
І все це блять особисто до мене звернуте.,Medium,Aggressive,Vulgar and Confrontational,Angry
"Ааааа, ну нахуя ставити це на порозі??????",High,Aggressive,Vulgar and Confrontational,Angry
"Бля, мене той сімл бісить.",High,Frustrated,Vulgar and Irritated,Negative
"А ф-зми є різні - я за той, який цю парадигму відправить нахуй",Medium,Defiant,Casual and Vulgar,Negative
"я чесно зізналась, що мені похуй, і канєшно ж через це тепер я тупа безсердечна сука",High,Defiant,Vulgar and Insulting,Contemptuous
"#6йсирник RT : - Та я, блядь, не из-за бабла.",High,Aggressive,Vulgar and disrespectful,Defensive
"Та нахєр блядь то всьо, всі сука сцять бути відповідальним і накатати ту заяву до ректора.",High,Aggressive,Vulgar and Offensive,Derogatory
"Отримала нині міні-інфаркт, бо думала, що він мені нахуй дзеркало знесе.",High,Aggressive,Vulgar and Hostile,Angry
Нема онлайн - трахає шлюх.,High,Vulgar,Profane and Offensive,Derogatory
"Ох ці баби, котрі всерйоз думають, що комусь не похуй на все, що відбувається в їхньому житті.",High,Derogatory,Critical and Disrespectful,Contemptuous
"хуй там, Тернопіль Сіті, БАМ йобана",High,Aggressive,Vulgar and Offensive,Hostile
Що блять за расистський твіттер сьогодні,High,Angry,Vulgar and Offensive,Hostile
Мау хай йдуть в жопу,High,Aggressive,Vulgar and offensive,Hostile
"за тим самим платоном поетів та взагалі митців - нахуй з пляжа, вигнати за межі Держави Платона)",High,Defiant,Vulgar and Disrespectful,Aggressive
наш універ—бєспрєдєл.читай хуйовую шеву і буде тобі щастя із розумінням,High,Derogatory,Vulgar and Offensive,Negative
Я і щас нахуй здався?,Medium,Dismissive,Vulgar,Frustration
"Краще так, ніж всякі мразенькі",Low,Positive,Neutral,Comparative
"Я не я, якщо не пошлю на хуй",High,Defiant,Vulgar and Aggressive,Hostile
"Відчуття, ніби все тіло ногами пиздили.",High,Aggressive,Vulgar and Violent,Negative
Вобщєм псіхану і піду на вокзал зустріну їїІ паєбать,High,Aggressive,Vulgar,Angry
" імхо - жахлива хуйня. красіво, більш-менш непогана бойовка, загалом - хуйня.",Medium,Critical,Vulgar and Dismissive,Negative
про ситуацію з плагіатом у журналі Vogue можу сказати: 2 тупі пизди,High,Insulting,Vulgar and Offensive,Contemptuous
"Ви, блять, за пару годин і не згадаєте кому це писали, нащо цей цирк?",High,Aggressive,Vulgar and Confrontational,Angry
про шлюх і наркоту ще.,Medium,Casual,Informal and Inappropriate,Negative
"Фак, там мало бути мудак, але доля вирішила інакше",Low,Casual,Informal,Neutral
При мені такої хуйні б не було.,High,Disrespectful,Vulgar and Offensive,Negative
"А я блять що, а я собі така ахуєнна, ніколи не падаю духом.",High,Defiant,Explicit and Vulgar,Arrogant
"городити хуйню про грамотність жахливо неграмотними і українською, і російською мовами: вишенька на тортику цієї феєрії",High,Contemptuous,Derogatory,Disdainful
"Інші просто долбайоби, бо я теж не шарю, за що ціна така.",Medium,Condescending,Slang and Insulting,Disrespectful
Краще так ніж твітити дохуя всьякого шлаку,Medium,Sarcastic,Informal and Dismissive,Negative
"Хочеш все встигнути? канєха даааа, проспи всьо нахуй:З",High,Casual and Insulting,Vulgar and Dismissive,Hostile
" в мене така жопа, шо їй і 3 торти не завадить",Low,Casual,Informal,Neutral
" ні, це дає тобі право посилати їх нахуй!",High,Aggressive,Vulgar and Offensive,Hostile
"Блять, я що весь час телік носив з собою і робив хуйню?",High,Aggressive,Vulgar and Offensive,Angry
Через цей їбаний олх в мене вже починає блять підгорати,High,Aggressive,Vulgar and Offensive,Frustration and Anger
Піздєц я вчасно знайшов лігво тараканів у себе над ліжкомЯкого блять хуя?,High,Aggressive,Vulgar and Offensive,Angry
"І блять, навколо якісь діти і вони хочу бухати і вони про це пишуть.",Medium,Aggressive,Vulgar and Dismissive,Frustration
"Життя хуйня, ми безмежно самотні, тому піду пекти піцу.",Medium,Negative,Informal,Frustrated
Бля ця херея ще й двигається,High,Aggressive,Vulgar and Offensive,Negative
А їбля мозку - то піздєц.,High,Vulgar,Aggressive and Insulting,Negative
"Та блять, боже, дай мені вже вмерти.",High,Desperate,Vulgar and Emotionally charged,Hopeless
Почуваю себе тупим дебілом :(,Low,Self-deprecating,Informal,Negative
"+1 RT не можна доторкатисядо людей в маршрутці!не можна, блять!",High,Aggressive and Disrespectful,Explicit and Offensive,Hostile
Йобана тупа мразота зіпсувала мені рейтинг на роботі.,High,Insulting,Vulgar and Aggressive,Negative
"Воно настільки убоге, що навіть я, яка давно відверто називає Фреймут бляддю, не маю що сказати.",High,Derogatory,Insulting and Disrespectful,Contemptuous
так ми ж багато англ і рос читаєм. от і получається хуйня.,Medium,Dismissive,Casual,Negative
Нехуй мені розповідати за бєдних лікарів & призваніє.,High,Disrespectful,Vulgar and Offensive,Contemptuous
"А чи не мразь ти, Дмитро?",High,Accusatory,Insulting and Confrontational,Disrespectful
Пісня про сесію:зззНа відміну від–Ну його на хуй :з,High,Disrespectful,Vulgar and Offensive,Negative
"гегель такий мілаш,коли пише про абстрактне мислення, і таке мудло, коли товкмачить про право і державу.",Low,Sarcastic,Critical,Disapproval
Збери п'ятьох мудакуватих клієнтів за день та отримай одне ввічливе приємне сонечко у подарунок!,Medium,Playful,Sarcastic and Mocking,Sarcastic
"Бляха, нахєра ми це зробили?",High,Angry,Vulgar and Confrontational,Frustration/Aggression
"Ти шо, коронне 'не трахай мізки' до всього застосовують",Low,Questioning,Casual,Skeptical
"Це не просто просирання,а нудне просирання",Low,Neutral,Formal,Critical
"Я зара вшарила, що я дуже долбайоб.",High,Insulting,Vulgar and Disrespectful,Contemptuous
"Я блять третій день в хаті, а звалити звідси хочеться ВЖЕ І НЕГАЙНО.",High,Aggressive,Vulgar and Impatient,Frustrated
"То блять роби щось, жінко.",High,Derogatory,Aggressive and Disrespectful,Contemptuous
"бля, не писать йому тоді, чи шо",Low,Casual,Informal,Mild frustration
Не розумію чим я заслужила цю хуйову карму останнім часом,High,Angry,Vulgar and Blaming,Frustration/Resentment
"Шо за хуйня? - сказав я, уважно підбираючи слова.",Medium,Casual,Informal,Frustration
"дякую, а ти киця, блять)",Medium,Casual/Slang,Informal and Explicit,Aggressive
"всі, кому не нрав Євробачення тікайте з села,вам пизда #Eurovision",High,Hostile,Aggressive and Insulting,Angry
"Навіть не знаю, то дар чи прокляття моє вміння НІХУЯ НЕ ЗАБУВАТИ От якого, мозок, ти так підручники не запам''ятовував",Medium,Frustrated,Emotional and Vulgar,Frustration
"Краще здохнути, ніж визнати, що всрався.",High,Defeatist,Extremely negative and offensive,Contemptuous
Здається когось вже пора впиздити.,High,Aggressive,Violent and Threatening,Angry
"Ідеальну хуйню, щоб тебе ніхто не торкався в метро, знайдено.",High,Aggressive,Vulgar and Insulting,Hostile
"«Подивіться, яка я бідося, жалійте мене блять!».",High,Aggressive,Vulgar and Offensive,Self-pitying and Demanding
Хєрак нада шось придумати годне хєрак похуй і так зайде,Medium,Casual,Informal and Vulgar,Disregard
"тепер моя черга сказати ""блять""",Medium,Rude,Informal and Vulgar,Frustration
"Ви хоч раз слухали хуйню, яку він несе?",High,Accusatory,Vulgar and Insulting,Frustrated
На кожен пездець є свій похуй.,Low,Casual,Informal,Neutral
"Хоча насправді похуй, просто не було чим, а його щітка й справді чистить в важкодоступних місцях.",Medium,Casual,Vulgar,Nonchalant
"ти підписав собі вирок, сука",High,Aggressive,Insulting,Threatening
"Отак не встиг зафоловити людину, як вона почала писати хуйню.",Medium,Critical,Sarcastic,Disdainful
"Розхуячила палець, намагаючись розбити варене яйце кістяшками.",Low,Casual,Informal,Neutral
І щоб не було ще ліпше: нахуй порвані джінси,High,Sarcastic,Vulgar and Offensive,Negative
"я б з тобою потринділа, але ти такий муділа",Medium,Dismissive,Informal,Negative
"Хеппі бьоздей, щось ніхуя не хеппі.",Medium,Dismissive,Casual and Slightly Aggressive,Negative
Найкращі ультрас - дівчата з РГМ.,Low,Positive,Neutral,Appreciative
"Хочу вирубити одну кончену сучку на роботі, але я не бю старших.",High,Aggressive,Vulgar and Offensive,Hostile
"(Якшо якась сука, знову, не зіллє інфу)",High,Aggressive,Insulting and Demeaning,Hostile
Гоголь хоче всіх волонтерів фул-тайм і щоб всі фоткали афіші (шо за хуйня з афішами?) і набрали 300 людей (!).,Medium,Aggressive,Rude and Dismissive,Negative
"Всі бляха такі таємничі, шо піздєц.",High,Negative,Vulgar and Aggressive,Frustration
"Одного разу зробивши хуйню, ти раз-у-раз думаєш над черговою.",Medium,Critical,Casual,Disapproval
"Ти сукан, бухаєш без нас з ",High,Insulting,Aggressive,Hostile
Тинка ходи на Jazz fest і вино післяЖінку свою веди блять.,High,Aggressive,Vulgar and Offensive,Hostile
Мозок: *думає про цю хуйню*,Medium,Dismissive,Informal and Vulgar,Negative
То це ясно і їбанутим.,High,Aggressive,Vulgar and Offensive,Contemptuous
І позбавляти нахуй субсидій/фіндопомоги від держави.,High,Aggressive,Vulgar and Offensive,Angry
Ну і де блять то #покращення?,High,Aggressive,Vulgar and Confrontational,Frustration
спизди там рюмку для мене :D,Low,Playful,Informal,Light-hearted
В коридорі готелю вже годину голосно пиздять люди.,Medium,Informative,Casual,Frustration
Не дадуть людям спокійно пизди еее бороти корупцію!11,High,Aggressive,Vulgar and Offensive,Angry
Я ж не залупа якась,Low,Casual,Colloquial,Negative
Щоб то ще такого спизданути в стрічку?,High,Aggressive,Vulgar and Offensive,Negative
