Sentence,Toxicity Level,Tone,Language,Implied Sentiment
"भड्वा, तल्वे चातु, कुत्ते से भी बडा कुत्ता देखना हो तो तुजे देख लेना चाहिये",High,Insulting and Condescending,Derogatory,Contemptuous
इस सुअर के बच्चे ने बहुत ही आपत्ती जनक भाषा का इस्तमाल किया है।,Low,Informative,Critical Observation,Neutral
सुवर कहि के इनकी भी बहन बेटियो के साथ नहीं होंना चाहिए यह सब ,High,Derogatory,Aggressive and Offensive,Contemptuous
तुम लोग सालों नंगे कर के मारे जाओगे सुवर की औलाद,High,Abusive,Insulting and Degrading,Hostile
"अगर ये भडवा गिरी है तो जो जसोदाबेन के साथ हो रहा है वो दलाली, भडवा गिरी  और अन्याय तीनों है जो आपके यहां हो रहा है",High,Accusatory,Derogatory and Offensive,Anger
भोसडी बालो तुम ही अपनी बहनो को भेजते हो चुदबाने इन लिव-इन रिलेशनशिप के नाम पर,High,Aggressive,Vulgar and offensive,Derogatory
सूअर के पिछवाड़े मे और बाथरुम मे अपनी बेटी को ढूंढ रहा है,Medium,Disrespectful,Casual,Negative
काहे के प्रोफेशनल बे भड़वा गिरी और दलाली के ?,High,Defamatory,Insulting and derogatory,Aggressive
और ये रोहित ने घुसेड़ा पहला छक्का गांड में..,Medium,Aggressive,Vulgar and Offensive,Disrespectful
एड्रेस पर भोसड़ी के भेज रहा हू ,High,Insulting,Vulgar and Offensive,Aggressive
भोंसड़ी के तेरे पिछवाड़े में कांग्रेस का पंजा पड़ेगा तो समझ मे आएगा,High,Aggressive,Insulting and Offensive,Contemptuous
कुछ लोग तो अपने बायो मे फाउंडर तो ऎसे लिखेंगे कि जैसे कोई बड़ी सी कंपनी खोल रखी है. हट भेनचोद.,High,Aggressive,Vulgar and Offensive,Hostile
ये हराम का पिल्ला हरामखोर हरामी है जिस का खाता है उसी में ये हरामखोर छेद करता है।।,High,Accusatory,Derogatory and Offensive,Hostile
तू जेएनयू में झांठ नहीं उखाड़ता भोसडीके,High,Insulting,Vulgar and Offensive,Aggressive
ये हराम की खाने वाले पुलिस वाले जो गुनहगार उसको तो पकड़ नही पाती,High,Accusatory,Derogatory,Angry
"अभिनेत्री ने अभिनय हराम बता फिल्में छोड़ीं। तो क्या सायरा, शबाना, सलमान, शाहरुख , अमीर, आदि हरामी हैं ?",High,Accusatory,Defamatory and Offensive,Malicious
मूर्खो! ये घर में बैठकर कमेंट में किसी को गाली देना कौन सी बहादुरी है?,Medium,Mocking,Derogatory,Contemptuous
भड़वे के पास कुत्ता जैसा नाक है हरामखोर पत्रकार,High,Insulting,Abusive,Contemptuous
अब तो भेनचोद बेइज्जती को भी शर्म आ रही हो गई |,High,Insulting,Vulgar and Disrespectful,Contemptuous
"ऐसे नीच, घटिया, दुष्ट, असुर, राक्षस, मनोवृति के व्यक्ति की जगह केवल पागलखाना",High,Negative,Insulting and Derogatory,Contemptuous
कमीना कातिल को चौराहे पर खड़ा करके गोली मार देनी चाहिये |,High,Commanding,Aggressive,Violent
इस हरामजदओ का हरामीपन के अलावा किसी बात से मतलब नहीं ,High,Disrespectful,Abusive,Derogatory
"थू है ऐसे लोगो पर, और समाज पर |",Low,Disgust,Contemptuous,Negative
भड़वा मीडिया ने भी इस घटना को नही दिखाया। ,Medium,Negative,Critical,Disapproval
सूअर लोग अपना अस्तित्व बचाने में लगे हैं।।,Low,Neutral,Informative,Neutral
भोसडीके सिर्फ तीन ही परिवार वर्षों तक शासन करते रहे।,High,Offensive,Vulgar and Abusive,Derogatory
"एक जैसा न समझ सबको, ओर तू गांड लेके बीच मे न आ",High,Derogatory,Offensive and Abusive,Aggressive
तो अच्छा होगा कि तुम अपनी हद मे रहो. बेटीचोद,High,Condescending,Abusive and Disrespectful,Derogatory
"भइया आपकी दलाली वाली पत्रकारिता ने जिस विचारधारा को बढ़ावा दिया है, उसी का असर है।",Medium,Accusatory,Critical,Negative
"भैया ब्लॉक कर दिया मैंने तो इस नीच को,",Low,Casual,Non-aggressive,Neutral
दोनों एक नंबर के हरामि हो,Medium,Insulting,Casual,Disrespectful
"कायदे से आज थाला को बैटिंग का मौका नही मिलना चाहिए वरना थाला गाँड कूट देगा, इंडिया की",High,Threatening,Aggressive,Angry
ज़रा सुनिए कुछ लोगों का स्तर कितना गिरा हुआ है। हरामी नीच,High,Disrespectful,Insulting,Derogatory
हरामी भाग गया मैदान छोड़ कर,Medium,Aggressive,Insulting,Negative
आपने सिर्फ सत्ता की लालच में नफरत और हिंसा को पनपाया है। अब ड्रामेबाजी क्यों पलटु कुमार?,Medium,Accusatory,Critical,Disdainful
ठोक ठोक के इतना गन्दी औलाद पैदा किया है,High,Abusive,Vulgar and Offensive,Contemptuous
खुद का खून जला जला कर ये एनामिक होने को पूरी तरह से ततपर दिखते है,Low,Assertive,Intense and Dramatic,Intense or Passionate
उनमें एक ये टोटिचोर शामिल है !!!,Medium,Sarcastic,Negative,Mocking
सरदाना जी थोड़ा कम जहर उगला करो।,Low,Instructional,Polite,Neutral
तेरी मर्यादा को तेरी गांड में घुसेड़ दूंगा समझा बे!!  कुछ भी उटपटांग लिखते रहते हो ???,High,Threatening and Dismissive,Vulgar and Aggressive,Hostile
मरने दो इन हरामी लड़कियों को,High,Aggressive,Offensive and Insulting,Hostile
"नमक हरामी की हद पार हुई, सुधर जाओ  सुवरों",High,Derogatory,Abusive,Disdainful
ये ममता भेन के लवडी तेरे गांड मे दम है तो बंगाल के बाहर एक छोटासा भी नमुना दीखादे,High,Insulting,Vulgar and Profane,Aggressive
हमारे टुकड़ों पर पलने वाले सूअर नमक हराम भड़वे,High,Insulting,Derogatory and Offensive,Contemptuous
तुम सब कुत्ते हो जो समय समय पर भौकते रहते हो,Medium,Derogatory,Insulting and Condemning,Contemptuous
भेनचोद की औलाद एक बाप की औलाद है तो सामने से आकर हमला कर,High,Aggressive and Offensive,Vulgar and Insulting,Hostile
जिगर चाहिए   जो तुम जैसी फ़टु सुअर की औलादो के पास नही है ,High,Insulting,Aggressive and Demeaning,Contemptuous
पहले गोरो को हराया   फिर हरमखोरों बांग्लादेश को हराया,High,Aggressive,Derogatory,Negative
"तू नही सुधरेगा तू कमीना का कमीना ही रहेगा , चूतिया।",High,Insulting,Derogatory and Offensive,Malicious
तेरे गांड के गलिचे ना बना दिये तो बोलना,High,Threatening,Vulgar and Offensive,Aggressive
भड्वा जांच करले कितना लाभ लिया तू,Medium,Insulting,Confrontational,Negative
और भेनचोद बड़ी बड़ी बकचोदी कर रहा है ||,High,Aggressive,Insulting and Offensive,Hostile
बिना बारूद की मिसाइल साले भड़वे ,High,Insulting,Aggressive,Hostile
तेरे मुह में अब बवासीर हो गया होगा |,Low,Casual/Sarcastic,Informal,Teasing
"इसके पिछवाडे मे खूटा ठोकना पडेगा, इसको अच्छी वाते समझ में नहीं आती है ।",Medium,Disrespectful,Vulgar and Insulting,Contemptuous
इतना दोगला पन कहा से लाते हो लुच्चो ?,High,Insulting,Condescending,Contemptuous
पकिस्तान वाले ट्विस्टर पे मैच फिक्स वाला रन्डी रोना कर रहे हैं ,High,Derogatory,Insulting,Negative
"राजनीति में एक आतंकी नेता आ गई हैं, कभी शहीद का अपमान कर रही तो क़भी राष्ट्रपिता की हत्यारे का सर्मथन",High,Accusatory,Negative and Controversial,Anger and Disgust
"मुझे नीच पर सफाई  देने की जरूरत नहीं, बदलेगी सरकार",Low,Assertive,Formal,Neutral
ये हरामखोरो को पता नही है ?,High,Contemptuous,Derogatory,Disrespectful
कश्मीर को मिलाया भारत में आज ही अमिश भड़वा की तरफ से खुशखबरी !?,Medium,Excited,Casual and Informal,Positive
कन्हैया कुमार का सूपड़ा साफ होने से दिल खुश हो गया।।  साले कुत्ते सूअर की औलाद !!,High,Insulting,Vulgar and Offensive,Contemptuous
कल इंडिया हारी नहीं थी तेरे बाप पाकिस्तान को बाहर करने के लिए जान बूझकर हारी थी,High,Aggressive,Derogatory and Offensive,Contemptuous
आ गए भोसडीके दल्ले भकचोदी लेकर।,High,Insulting,Vulgar and Offensive,Contemptuous
तुम्हारे जेसे दल्ले का तो कहना ही क्या,Medium,Dismissive,Sarcastic,Contemptuous
साला दल्ला वोट के कुछ भी कर सकता है |,Low,Casual,Informal,Negative
गैस सिलेंडर महंगा हुआ होता तो अभी तक रंडी रोना रोते |,High,Disrespectful,Vulgar and Insulting,Hostile
गौरव साहब नारंगी वाले क्या दूसरे देश के हैं जो उस रंडी ने ऐसा लिखा है,High,Disrespectful,Vulgar and Offensive,Derogatory
धोनी से ज्यादा तो हार्दिक गांड़ फाड़ देता है..    अगला मैच हार्दिक खेलेगा,Medium,Aggressive,Vulgar and Offensive,Negative
"भाई साहब ये कोई ताजुब की बात नही है यहाँ पर बहुत सारे कमीने, मकार, नमकहराम, दलाल, फरेबी, देशद्रोही है",High,Disparaging,Derogatory,Negative/hostile
में उस समय सुन नही पाया था। हाँ हा हा हां ह क्योंकि उस समय मे बकचोदी में व्यस्त था,High,Mocking,Vulgar and Offensive,Contemptuous
"अरे हरामी, कम से कम २ ने हमला किया!",High,Abusive,Aggressive,Negative
अब इसपे कोई न्यूज चैनल और दलाल एंकर आपत्ति भी नही जताएंगे ?,Low,Neutral,Formal,Questioning
"जलेबी तो गईं, पर कुत्ते की जात पहचानी गई",Low,Casual,Casual and Informal,Neutral
तुम भोसडीके इधर हो मैंने कहा कहा नही ढूंडा,High,Aggressive,Vulgar and Offensive,Angry
"भोसड़ी के कटुवे मादरचोद, जो सच है वही तो सुदर्शन न्यूज दिखाता है।",High,Insulting,Derogatory and Offensive,Aggressive
<number> के स्कोर का सत्यानाश कर दिया साले ने,High,Dismissive,Insulting and Offensive,Hostile
बड़ी बेगैरत बेगम है तुम्हारी रोटी भी ठीक से नही बना पा रही,High,Insulting,Disrespectful and Demeaning,Contemptuous
साला मैंने एक ट्वीट क्या किया सभी हेटर्स की गान्ड में मिर्च लग गई,High,Aggressive,Vulgar and Offensive,Contemptuous
अब बोल रहा है इक सील भी नहीं हुआ चुप भड़वे भेनचोद,High,Aggressive,Insulting and Abusive,Contemptuous
"मादरजात सनी ,तेरे पास टाइम नही है ?",High,Abusive,Derogatory,Aggressive
ये देखकर मुझे तेरी मेहरबानिया फिल्म के सुंदर गांड की याद आ गई |,High,Sexual,Explicit and Insulting,Inappropriate
किया होता तो तू ही रंडी जोर जोर से हंगामा मचाती ,High,Aggressive,Derogatory and Offensive,Hostile
तब कोई रंडी की औकात नहीं जो कमेंट करे।,High,Contemptuous,Derogatory,Disrespectful
अरे दलाल मिडीया वालो जरा विपक्षी चोर उचक्के को तो देश हितमे सवाल पुछकर देखो क्या जबाब आताहै भेनचोद,High,Aggressive,Abusive and Offensive,Derogatory
इन कांग्रेसी चूतियों को मेंशन कर कोनसा तीर मार रहा है,High,Derogatory,Insulting and Abusive,Negative
वो भी तेरी तरह कमीने ही है तुझसे हाथ नहि मिलाएँगे,Medium,Dismissive,Sarcastic,Hurtful
तुम जैसे दलाल तो चिल्ला रहे है अब दुसरो को बोलने की क्या जरुरत ?,Medium,Condescending,Accusatory and Dismissive,Contemptuous
ये स्टाम्प में पीछे ज़रा सा पिल्ला अपनी खूब माँ चुदवा रहा है आज,High,Graphic and Disrespectful,Vulgar and Offensive,Sexually explicit and derogatory
ऐसे भड़वा लोगो से मु से बात नहीं होनी चाहिए इनसे हाथ और पैरो से बात होनी चाहिए,High,Disrespectful,Derogatory and Offensive,Contemptuous
"अरे भेनचोद, भोसडीका है तुझे क्या समझ कर वोट दिया और तु क्या निकला।",High,Abusive,Vulgar and Insulting,Aggressive
"सोजा  भैनचोद, हर कोई नया नया चुटकुला करता रेहता हे",Medium,Disrespectful,Vulgar,Negative
वाह दोगले हरामी पत्रकार सही न्यूज़ नहीं चलाई ?,Medium,Aggressive,Insulting and Provocative,Negative
"अरे भोसडीके, कुछ ट्विट करणे से पहले व्हेरिफाय करणा सिखले. ",High,Aggressive,Insulting and Derogatory,Offensive
"चमक तेरी आंखों में कबूतर से कम नहीं, बाप तेरा भरवा और तू किसी रंडी की भड़वे से कम नहीं..",High,Derogatory,Offensive and Insulting,Contemptuous
घर से बाहर आकर उन सांपो को सबक नही सिखा सकते?,Low,Questioning,Neutral,Curious
भेनचोद...  समझ नही आ रहा केस किस खुशी में चल रहा है.,High,Aggressive,Derogatory and Offensive,Negative
पिछवाड़े में दम होता तो भागता नहीं हरामखोर,High,Derogatory,Insulting and Offensive,Contemptuous
सालो को जेल में डाल तो क्या रे बिकाऊ दलाल पत्रकार,High,Contemptuous,Derogatory and Insulting,Hostile
दम हैं गाँड मैं यह काम करने की?,High,Aggressive,Insulting and Disrespectful,Defamatory
"अच्छा,,और कौन कौन है मादरचोद नीच??? अब जरा शब्दों को सुधारने की जरूरत है शायद,,",High,Aggressive,Abusive and Insulting,Contemptuous
ओए कानिये इतने जल्दी में ट्वीट क्यों कर देते हो? ,Low,Questioning,Casual,Curious
साला बल्ला तो बिल्कुल चलता ही नहीं है इसका मादरचोद,High,Aggressive,Abusive,Contemptuous
"आज कल तो रेप आम बात हो गई ऐसा लगता है, साले हरामी पर कड़ी लगाम लगाना जरूरी है ।",High,Aggressive,Offensive and vulgar,Contemptuous
ये सूअरिआ यहां हिन्दुओं को बदनाम कर रही है पत्रकारिता के नाम पर कलंक है ये,High,Accusatory,Derogatory,Hateful
मादर चोदो समाचार दिखाना जैसे हुआ वैसे,High,Aggressive,Vulgar and Offensive,Angry
भोसडिके इंटरनेशनल रिपोर्ट की खबर तुरन्त आ जाती है,High,Abusive,Vulgar and Offensive,Aggressive
ये हैं सुअर के पिल्ले हरामी कालापानी भेजिये हराम की औलादो को..,High,Derogatory,Abusive and Offensive,Hateful
कल रिटायर होगा तो सब यही लोग थैंक यू धोनी वाले ट्वीट पर रंडी रोना करेंगे,High,Offensive,Abusive and derogatory,Aggressive
ये बचपन नहीं जवानी है सड़े लूँड,Medium,Dismissive,Sarcastic,Negative
एक बार अपनी पे आ गए ना भेनचोद तो अच्छा नहीं होगा,Medium,Disrespectful,Vulgar and Offensive,Negative
देख भोसडीके अपुण सेलिब्रिटी है अभी,High,Insulting,Vulgar and Offensive,Hostile
हरामी भोसड़ीके बिजली चोर हो तुम,High,Insulting,Vulgar and Abusive,Contemptuous
भोसड़ीके अगर अभी कुछ नहीं किया तो वोट मांगने मत आना।,High,Confrontational,Insulting and Aggressive,Hostile
बस हिन्दु मुसलमान कराओ और अपनी रोटी सेको। तेरे जैसा नीच आदमी इस संसार मे कही नही मिलेगा।,High,Aggressive and Insulting,Derogatory and Discriminatory,Contemptuous
इस बारे मे ना तो हरामी मीडिया ने मुंह खोला और ना ही सरकार द्वारा कोई ठोस कदम उठाया गया !,High,Accusatory,Derogatory and Offensive,Angry
पत्रकारों को ज़बरदस्ती मूत पिलाने की ज़रूरत ही नहीं |,High,Forceful,Aggressive,Controlling
इस हरामखोर कुत्ते  भेनचोद के साथ क्या सुलूक किया जाना चाहिए?? इसको फाड़ कर सुअरों को खिला देना चाहिए??,High,Hostile,Insulting and Aggressive,Angry
मादरजात राजनेताओं और भड़वा पत्रकारों के मुंह से उफ्फ तक नहीं निकलता,High,Insulting,Derogatory and Offensive,Disdainful
आज हमारे देश ने इतना अच्छा काम किया है तुम उस पर सवाल उठा रहे हो? चूतिया कम दिमाग वाले |,High,Derogatory,Insulting and Demeaning,Disrespectful
वाह सूअर के नाजायज़ पिल्ले इतना जल्दी पलट गए| वाह क्या भाई चारे अमन शांति का पाठ पढ़ा रहा है |,Medium,Mocking,Sarcastic,Derogatory
रंडी सॉरी फिर तुम कहोगे गलत भाषा बोली,High,Aggressive,Insulting and Offensive,Disrespectful
चुप कर भोसडीके समाजसेवी पर गलत  कमेंट करता है,High,Aggressive,Insulting,Hostile
मैं समस्त जौनपुर वालो से आग्रह करता हु की ऐसे नाली के कीड़ों को समाज से बाहर करो जो हमारे जौनपुर का नाम खराब करते है।,High,Persuasive,Authoritative,Negative
"मादरचोद इसने कांग्रेस को कहा से कहा पहुँचा दिया,",High,Insulting,Vulgar and Offensive,Aggressive
क्योंकि मादरचोद ऐसे ही लोग सोचते है ये मेरा क्या बिगड़ लेगा ?,High,Derogatory,Vulgar and Offensive,Contemptuous
यहां भडवा की गांड जल रही है।,High,Derogatory,Vulgar and Offensive,Insulting and Aggressive
कोई बॉल छोड़ रहा है कोई डक कर रहा है वो भी <number> ओवर में... वाह मादरचोद,Medium,Sarcastic,Casual and Insulting,Negative
भैनचोद 4g के नाम पे अच्छा चुतिया काटते है,High,Insulting,Derogatory and Offensive,Contemptuous
अब तो ये भी हरामी बनते जा रहे हैं,Low,Casual,Slang,Disapproval
हलाला की पैदाइश सूअर की औलाद तू चुप कर,High,Insulting,Derogatory and offensive,Contemptuous
तब ये संस्कार क्या चादर मोड़ने गए थे ?,Low,Curious,Formal,Neutral
भोसड़ीके यहां आकर बात कर तुझे जवाब देंगे। ,High,Aggressive,Vulgar and Offensive,Angry
ये हरामी खुलेआम अलगाववादी भाषा बोल रहा है।,High,Derogatory,Abusive and Offensive,Contemptuous
"लण्ड, सच्चे पत्रकार  बनने की कोशिश कर वर्ना अपने आपसे घीन आने लगेगी",Medium,Critical,Direct and Harsh,Aggressive
दो चार को शूट करो ये हरामी लोग अपने आप चिल्लाना बन्द कर देंगें।,High,Aggressive,Abusive and Offensive,Negative
"अबे फर्जी इंसान, तेरे गान्ड के नीचे भड़वे उत्पात मचा रहे , उसपर जबान खोल..",High,Aggressive,Insulting and derogatory,Contemptuous
तेरे जैसों हरामी दलालों की पैदाईश पे ताली नहीं गाली देकर जाते हैं।,High,Derogatory,Insulting and Demeaning,Contemptuous
धिक्कार है ऐसे व्यक्ति पर,Low,Disapproving,Formal,Disgust
यहाँ भोसडीके हम चार लौंडे बैठ के मैच देख रहे,High,Insulting,Vulgar and Offensive,Negative
साले पिछले बारी बोला था कांग्रेस से गठबंधन की बात भी करू तो बेटा मर जाये,High,Threatening,Aggressive and Abusive,Hostile
आजकल फेसबुक पे बहुत बकचोदी देखरा हूँ |,Medium,Mocking,Informal and Offensive,Disrespectful
इसकी जाँच होनी चाहिए | इसके पीछे देश के टुकड़े-टूकडे करने वाली हरामी की शक्तियों तो नहीं  हैं |,High,Disrespectful,Vulgar and Offensive,Negative
हरामी की औलाद है तू तो हराम का ही कमायेगा।,High,Derogatory,Abusive,Contemptuous
रोज़ कौन भेनचोद लाउडस्पीकर पर रैप करता है ?,High,Aggressive,Insulting and Offensive,Hostile
भोसड़ी के तू अच्छा नहीं नाच रहा है ।,High,Insulting,Vulgar and Offensive,Aggressive
"कल तक तो आवाजें उठ रही थी बलात्कारियों के लिए फाँसी का कानून बने! आज पेरोल दी जाने लगी ? वाह री राजनीति वाह!,",Low,Sarcastic,Critical,Disdainful
आगे कुछ लिखने की ज़रूरत नहीं है भोसड़ीके।,High,Aggressive,Insulting and Vulgar,Offensive
असंख्य बार ये रंडी रोना देखने की चाहत नहीं ,High,Derogatory,Insulting and Offensive,Contemptuous
ये मादरचोद किसी के नही होते....,High,Insulting,Vulgar and Offensive,Hostile
मादरचोद हम नेपाल चले जाएं ?,High,Aggressive,Vulgar and Offensive,Derogatory
इस मादरचोद की करतूत को इतना सेंड करो जो की  पकडा जाये ।,High,Hostile,Insulting and Offensive,Negative
खैर दीदी आपसे नही हो पाएगा अपने मालिक की गलतियां तलचट्टो का कहाँ दिखाई देती है?,Low,Questioning,Respectful,Doubtful
तु बीजेपी के गलती का इंतजार ऐसा करता है  जैसे कि रंडी को ग्राहक का हो |,High,Derogatory,Vulgar and Offensive,Contemptuous
मीडिया में NDA के राज्यसभा में बहुमत के करीब पहुंचने का दावा हवा-हवाई है।,Low,Neutral,Formal,Neutral
आंटी जी किसी की मज़ाक नहीं करते हैं अपने गिरेबान में झांक कर देखो आप क्या है |,Medium,Condescending,Sarcastic,Disrespectful
बहनचोद कमीने काले मूह के तेरी गांड में खुजली क्यू नहि हो रही,High,Abusive,Vulgar and Offensive,Contemptuous
"कोई हरामि कुछ भी करे कोई मतलब नही, बस कोई हमारी बहन बेटियो की इज्जत से न खेले",Medium,Aggressive,Vulgar and Insulting,Disrespectful
"अरे भेनचोद चुतीया तु केरेक्टर की बात कर रहा है,",High,Insulting,Vulgar and Offensive,Hostile
अनुभव सिन्हा तेरा बाप लगता हे इसलिए तुझे उसकी फिल्म अच्छी लगती है ?,Low,Questioning,Casual,Neutral
तुझे तो तेरी औकात जनता ने दिखा दी |,High,Condescending,Insulting and Demeaning,Contemptuous
गंडवे अपनी गांड खोल कर पूरा लुंड घुसावाने को तैयार  हो गए थे..,High,Vulgar and Offensive,Derogatory and Explicit,Disrespectful
तेरी मां का भोसड़ा जिस धोनी के नाम पर उछल रहा है ना उस धोनी को दादा ने बनाया तीन नम्बर पर बैटिंग करवा कर,High,Derogatory,Vulgar and Offensive,Disrespectful
भोसडीके ऑनलाइन ट्रांसफर कर दे पूरा पैसा और चिल कर..,High,Aggressive,Vulgar and Offensive,Negative
इलेक्शन से पहले महापंडित बनता था,Low,Neutral,Informative,Neutral
घुटनों के बल आ जाएंगे साले सुअर की औलाद।,High,Abusive,Rude and Insulting,Aggressive
ये हरामी अभी भी जनमतसंग्रह करवाना चाहता है,Medium,Negative,Aggressive and Offensive,Disrespectful
पिछवाड़ा चाटने वाला को <number> लाख देता है भड़वा |,High,Contemptuous,Derogatory and Insulting,Disrespectful
आबे तू तो बात मत कर भोसडीके.,High,Insulting,Vulgar and Disrespectful,Hostile
साली रंडी इतना ज्ञान छोड़ रही है  |,High,Derogatory,Abusive and Offensive,Negative
सिर्फ़ भ़ड़व़ा B ग्रेड़  वालों को मिर्ची लग रही है ??,Low,Casual,Casual and Informal,Mocking
यही हाल ईस कमीने का है।,Medium,Negative,Offensive,Disapproving
तुम्हारे साथ सारे विपक्षी भड़वा डांस कर रहे होते।,Medium,Dismissive,Insulting,Negative
कुत्ते के पत्ते के साथ तेरी धुलाई होगी भोसडीके |,High,Aggressive,Vulgar and Offensive,Hostile
लन्ड के झाँट बलात्कारीयो और हत्यारा के समर्थन मे तुम सब रैली निकालते हो,High,Accusatory,Aggressive and Offensive,Angry
तुम लोगों को क़ायदे से जूते पड़ने चाहिए ..,Low,Instructive,Authoritative,Serious
"दलाल, भड़वा भाग रे भाग !!",High,Aggressive,Insulting and Offensive,Negative
अब रण्डी रोना कर दिए होते भड़वों तुम लोग,High,Insulting and Derogatory,Aggressive,Contemptuous
इन जैसे मादरचोद पर आखिर मुकदमा क्यों नहीं हो रहा है?,High,Mocking,Derogatory and Offensive,Disdainful
समझा जरा रे सुअर हमको भी,High,Disrespectful,Offensive,Contemptuous
मोदी को बोल पकड़े रंडी की औलादों को जेल में डाले,High,Aggressive,Insulting and Offensive,Hostile
बात नेहरू की तो उसने इतने गड्ढे किये इस देश में की भेनचोद आज तक नहीं भरे जा रहे समझ गया चरसी,High,Aggressive,Offensive and Profane,Hateful
भोसड़ी वाले तुम लोग जो है शांति बचाने वाले बन जाते हो,High,Aggressive,Vulgar and Offensive,Contemptuous
500 रंडी के चक्कर में पूरी कॉम बदनाम नहीं होनी चाहिए,High,Derogatory,Offensive and Insensitive,Negative
भेनचोद इसकी तरह इसकी कस्मे भी झूठी,High,Aggressive,Vulgar and Insulting,Hostile
"ये आप हम जानते हैं, भेनचोद मूर्ख लोग जानते हैं क्या?",High,Aggressive,Insulting and Offensive,Contemptuous
भेनचोद देश के जवानों का सम्मान ना करें उसको सम्मान देने की जरुरत नहीं,High,Contemptuous,Vulgar and Disrespectful,Disrespectful
कही जाके अब तो डूब मर भड़वे !!,High,Aggressive,Vulgar and Offensive,Hostile
और उसी खरीदे हुए फ्लैट के बालकनी से नीचे प्लास्टिक की बोतल फेकेंगे भोसडीके...,High,Aggressive,Vulgar and Offensive,Derogatory
वो क्या है ना कि कुत्ते और कुत्तें के पिल्ले को घी हजम नहीं होती,Low,Casual,Informal,Neutral
कोठे की पैदाइस साला दल्ला भड़वा आजम,High,Insulting,Derogatory and Offensive,Aggressive
गांड़ में मिर्ची क्यों लगती है।,Low,Questioning,Casual,Neutral
किसी ने सही कहा कि जब गीदड़ की मौत आती है तो गाँव की तरफ दोड़ कर जाता है।,Low,Casual,Neutral,Neutral
सबसे बड़े हरामि तुम पत्रकार हो,High,Insulting,Confrontational,Hostile
पैदाइस सुअर औलाद यह क्या काम कर रहा है ?,Medium,Questioning,Derogatory,Disrespectful
तुम सुअर भर तमीज़ से नहीं रह सकते।,High,Insulting,Offensive,Disrespectful
जिधर देखो इशक़ के बिमार बैठे है  हज़ारो मर गयें लाखो तैयार है कमीने ,High,Contemptuous,Disrespectful and Insulting,Aggressive
तू सही से पढ़ लिया कर रंडि साली,High,Confrontational,Insulting and Offensive,Disrespectful
लगता है मेरठ के लोग भड़वा बन गए है,Medium,Accusatory,Insulting,Contemptuous
सहन की भी एक सीमा होती है. बहुत हुई तुम जेसओ को इज्जत. मादरचोद भेनचोद रंडी की औलाद,High,Abusive,Vulgar and Offensive,Intense Anger
साला गीदड़ धमकी देता है लेना देना कुछ है नहीं..,Low,Casual,Slang and Informal,Non-serious
जब बात किसी को बदनाम करने की होती है तो कुछ लोग कुत्ते से भी ज्यादा तेज भोंकते हैं ,High,Critical,Aggressive and Demeaning,Negative
